N_THREADS	N_TRANSACTIONS	TIME	N_ABORTS	PROCESS_READ_TIME	PROCESS_WRITE_TIME	PROCESS_VALIDATION_TIME	PROCESS_OTHER_TIME	COMMIT_VALIDATION_TIME	COMMIT_OTHER_TIME	WASTED_TIME
1	1000	0.661908	0	3.89743e-05	1.51086e-05	0	0.00059174	0	1.33714e-05	3.77143e-07	0.74
1	1000	0.661994	0	3.89857e-05	1.51171e-05	0	0.0005918	0	1.338e-05	3.77143e-07	0.71
1	1000	0.662008	0	3.90029e-05	1.51171e-05	0	0.000591803	0	1.33743e-05	3.74286e-07	0.71
1	1000	0.662009	0	3.89829e-05	1.51229e-05	0	0.000591809	0	1.33829e-05	3.77143e-07	0.71
1	1000	0.662005	0	3.898e-05	1.51171e-05	0	0.00059182	0	1.33743e-05	3.77143e-07	0.71
1	1000	0.662009	0	3.89943e-05	1.51143e-05	0	0.000591811	0	1.33771e-05	3.77143e-07	0.71
1	1000	0.662011	0	3.89914e-05	1.51114e-05	0	0.000591817	0	1.33771e-05	3.77143e-07	0.72
1	1000	0.661993	0	3.898e-05	1.51114e-05	0	0.000591811	0	1.33771e-05	3.77143e-07	0.71
1	1000	0.661985	0	3.898e-05	1.51086e-05	0	0.000591811	0	1.33714e-05	3.77143e-07	0.71
1	1000	0.661997	0	3.89829e-05	1.51114e-05	0	0.000591811	0	1.338e-05	3.77143e-07	0.71
2	2000	0.688207	2.48659	4.01457e-05	1.51143e-05	8.49143e-06	0.000583426	1e-07	1.338e-05	1.33e-05	0.77
2	2000	0.684937	1.7199	4.02714e-05	1.51114e-05	8.68571e-06	0.00058324	3.42857e-08	1.338e-05	8.45429e-06	0.74
2	2000	0.684616	2.24829	4.01629e-05	1.51143e-05	8.81143e-06	0.000583109	2.28571e-08	1.33829e-05	1.13086e-05	0.74
2	2000	0.688324	2.48659	4.01314e-05	1.51114e-05	8.58571e-06	0.000583346	7.42857e-08	1.33857e-05	1.33629e-05	0.75
2	2000	0.68902	2.20049	4.01886e-05	1.51171e-05	8.59429e-06	0.000583314	5.71429e-08	1.33771e-05	1.17257e-05	0.74
2	2000	0.688776	2.58159	4.01829e-05	1.51086e-05	8.64286e-06	0.000583306	8.85714e-08	1.338e-05	1.38657e-05	0.74
2	2000	0.685965	2.48659	4.01743e-05	1.51114e-05	8.65714e-06	0.00058326	7.71429e-08	1.338e-05	1.34171e-05	0.74
2	2000	0.687488	1.96078	4.02171e-05	1.51114e-05	8.63143e-06	0.000583286	5.42857e-08	1.33771e-05	9.93143e-06	0.75
2	2000	0.685148	2.05681	4.01771e-05	1.51171e-05	8.64857e-06	0.000583269	5.42857e-08	1.33829e-05	1.07457e-05	0.74
2	2000	0.691631	2.10475	4.02543e-05	1.51114e-05	8.59143e-06	0.000583306	4.57143e-08	1.338e-05	1.10086e-05	0.75
3	3000	0.706038	4.36723	4.10857e-05	1.51114e-05	1.70686e-05	0.000574949	2.2e-07	1.34057e-05	2.336e-05	0.78
3	3000	0.706999	4.33673	4.12257e-05	1.51114e-05	1.71657e-05	0.000574803	2.08571e-07	1.33857e-05	2.43943e-05	0.77
3	3000	0.704384	3.81533	4.11886e-05	1.51114e-05	1.714e-05	0.000574823	1.25714e-07	1.33943e-05	2.00829e-05	0.76
3	3000	0.711561	4.4586	4.11257e-05	1.51114e-05	1.70771e-05	0.000574877	2.31429e-07	1.33886e-05	2.53343e-05	0.76
3	3000	0.70428	4.0614	4.11571e-05	1.51143e-05	1.72086e-05	0.000574757	1.82857e-07	1.33829e-05	2.17771e-05	0.76
3	3000	0.709375	4.4586	4.11257e-05	1.51114e-05	1.70171e-05	0.000574954	1.85714e-07	1.33943e-05	2.48e-05	0.77
3	3000	0.708944	4.15335	4.116e-05	1.51143e-05	1.68514e-05	0.000575163	1.65714e-07	1.34057e-05	2.258e-05	0.76
3	3000	0.708083	4.18397	4.11486e-05	1.51114e-05	1.70486e-05	0.000574937	1.45714e-07	1.34057e-05	2.234e-05	0.77
3	3000	0.715388	4.33673	4.11171e-05	1.51114e-05	1.69143e-05	0.000575074	1.57143e-07	1.33857e-05	2.40714e-05	0.77
3	3000	0.715545	4.39771	4.11486e-05	1.51114e-05	1.70057e-05	0.000574923	2.31429e-07	1.33914e-05	2.42457e-05	0.78
4	4000	0.730317	5.81587	4.20314e-05	1.51086e-05	2.52457e-05	0.000566854	2.88571e-07	1.34029e-05	3.18914e-05	0.81
4	4000	0.730042	6.38895	4.19229e-05	1.51114e-05	2.482e-05	0.000567334	3.31429e-07	1.33943e-05	3.62743e-05	0.78
4	4000	0.732754	6.54206	4.19086e-05	1.51086e-05	2.50857e-05	0.00056696	3.91429e-07	1.33914e-05	3.73143e-05	0.79
4	4000	0.730684	6.36704	4.19743e-05	1.51114e-05	2.52e-05	0.000566883	2.51429e-07	1.33943e-05	3.602e-05	0.78
