N_THREADS	N_TRANSACTIONS	TIME	N_ABORTS	PROCESS_READ_TIME	PROCESS_WRITE_TIME	PROCESS_VALIDATION_TIME	PROCESS_OTHER_TIME	COMMIT_VALIDATION_TIME	COMMIT_OTHER_TIME	WASTED_TIME
1	1000	0.18629	0	1.53971e-05	1.342e-05	0	2.35686e-05	0	8.95143e-06	1.06286e-06
1	1000	0.186281	0	1.53714e-05	1.34143e-05	0	2.35857e-05	0	8.95429e-06	1.06857e-06
1	1000	0.186305	0	1.53829e-05	1.342e-05	0	2.36e-05	0	8.94857e-06	1.06e-06
1	1000	0.186267	0	1.54029e-05	1.33686e-05	0	2.36029e-05	0	8.93429e-06	1.06857e-06
1	1000	0.186291	0	1.538e-05	1.34057e-05	0	2.35914e-05	0	8.95143e-06	1.05714e-06
1	1000	0.186263	0	1.53629e-05	1.34057e-05	0	2.35886e-05	0	8.94857e-06	1.05714e-06
1	1000	0.186263	0	1.53686e-05	1.33943e-05	0	2.35971e-05	0	8.94286e-06	1.06571e-06
1	1000	0.186279	0	1.538e-05	1.34057e-05	0	2.35914e-05	0	8.95143e-06	1.06286e-06
1	1000	0.186289	0	1.53914e-05	1.33857e-05	0	2.36114e-05	0	8.95143e-06	1.06286e-06
1	1000	0.186272	0	1.538e-05	1.33943e-05	0	2.35971e-05	0	8.94286e-06	1.06857e-06
2	2000	0.186708	0	1.54371e-05	1.34e-05	1.42857e-08	2.36886e-05	2.85714e-09	8.97429e-06	1.05429e-06
2	2000	0.186653	0	1.54171e-05	1.33914e-05	1.71429e-08	2.36686e-05	2.85714e-09	8.96286e-06	1.06286e-06
2	2000	0.186716	0	1.54286e-05	1.33886e-05	1.14286e-08	2.37114e-05	2.85714e-09	8.96857e-06	1.06e-06
2	2000	0.186661	0	1.54086e-05	1.34086e-05	1.71429e-08	2.36743e-05	2.85714e-09	8.96571e-06	1.06e-06
2	2000	0.186665	0	1.54086e-05	1.34114e-05	1.14286e-08	2.36771e-05	2.85714e-09	8.96571e-06	1.06e-06
2	2000	0.186645	0	1.54029e-05	1.33971e-05	1.42857e-08	2.36686e-05	2.85714e-09	8.96e-06	1.06286e-06
2	2000	0.186661	0	1.54029e-05	1.33971e-05	1.42857e-08	2.36857e-05	2.85714e-09	8.96571e-06	1.06571e-06
2	2000	0.186676	0	1.54086e-05	1.33914e-05	2e-08	2.368e-05	2.85714e-09	8.96286e-06	1.06e-06
2	2000	0.186653	0	1.54086e-05	1.33886e-05	2e-08	2.36686e-05	2.85714e-09	8.96286e-06	1.06286e-06
2	2000	0.186672	0	1.54114e-05	1.34057e-05	1.42857e-08	2.36743e-05	2.85714e-09	8.96857e-06	1.06857e-06
3	3000	0.188253	0	1.56057e-05	1.34286e-05	6.28571e-08	2.426e-05	1.42857e-08	9.12e-06	1.04571e-06
3	3000	0.188259	0	1.55971e-05	1.342e-05	6.28571e-08	2.42829e-05	1.42857e-08	9.11714e-06	1.04571e-06
3	3000	0.188252	0	1.55857e-05	1.34257e-05	6.57143e-08	2.42743e-05	1.42857e-08	9.12e-06	1.04571e-06
3	3000	0.188247	0	1.56e-05	1.34171e-05	6.85714e-08	2.42486e-05	1.42857e-08	9.11429e-06	1.04571e-06
3	3000	0.188251	0	1.558e-05	1.34314e-05	6e-08	2.42629e-05	1.42857e-08	9.12286e-06	1.04857e-06
3	3000	0.188256	0	1.55886e-05	1.342e-05	5.71429e-08	2.42886e-05	1.14286e-08	9.12571e-06	1.04286e-06
3	3000	0.188259	0	1.55886e-05	1.34371e-05	6.57143e-08	2.42514e-05	1.14286e-08	9.12571e-06	1.04571e-06
3	3000	0.188267	0	1.55857e-05	1.34314e-05	6e-08	2.42886e-05	1.42857e-08	9.12857e-06	1.04857e-06
3	3000	0.188262	0	1.56e-05	1.34257e-05	6.57143e-08	2.42686e-05	1.42857e-08	9.12571e-06	1.04857e-06
3	3000	0.188228	0	1.55943e-05	1.34171e-05	6.57143e-08	2.42571e-05	1.42857e-08	9.12e-06	1.04286e-06
4	4000	0.195935	0.522258	1.84714e-05	1.40286e-05	2.97143e-06	2.18171e-05	4e-08	9.54286e-06	1.27143e-06
4	4000	0.195774	0.497512	1.84829e-05	1.40229e-05	2.92571e-06	2.184e-05	3.42857e-08	9.52571e-06	1.24571e-06
4	4000	0.195914	0.546992	1.84829e-05	1.40257e-05	2.94857e-06	2.18286e-05	4.28571e-08	9.53429e-06	1.28571e-06
4	4000	0.195847	0.546992	1.84857e-05	1.40343e-05	2.98e-06	2.17829e-05	2.57143e-08	9.54e-06	1.24571e-06
4	4000	0.195811	0.522258	1.84829e-05	1.40257e-05	2.94e-06	2.18343e-05	3.14286e-08	9.54e-06	1.24857e-06
4	4000	0.195932	0.398406	1.84686e-05	1.40314e-05	2.97714e-06	2.18429e-05	3.71429e-08	9.53143e-06	1.23429e-06
4	4000	0.195827	0.497512	1.84371e-05	1.40314e-05	2.92571e-06	2.19114e-05	3.71429e-08	9.53143e-06	1.24857e-06
4	4000	0.195875	0.373599	1.84514e-05	1.40229e-05	2.93429e-06	2.19171e-05	3.71429e-08	9.53714e-06	1.21143e-06
4	4000	0.195855	0.497512	1.84257e-05	1.40257e-05	2.93429e-06	2.19229e-05	3.71429e-08	9.53714e-06	1.25714e-06
4	4000	0.195857	0.546992	1.84714e-05	1.40229e-05	2.97143e-06	2.18257e-05	2.85714e-08	9.52571e-06	1.26571e-06
5	5000	0.200297	0.734564	1.95e-05	1.44857e-05	4.27714e-06	2.11114e-05	1.17143e-07	9.69429e-06	1.38857e-06
5	5000	0.200512	0.931246	1.94629e-05	1.45086e-05	4.23143e-06	2.12171e-05	1.71429e-07	9.72e-06	1.47429e-06
5	5000	0.200451	0.990099	1.94686e-05	1.44971e-05	4.20857e-06	2.122e-05	1.94286e-07	9.72286e-06	1.51429e-06
5	5000	0.200199	0.714853	1.94486e-05	1.448e-05	4.23143e-06	2.11714e-05	1.45714e-07	9.70286e-06	1.35714e-06
5	5000	0.200414	0.872324	1.94629e-05	1.44771e-05	4.21714e-06	2.11971e-05	1.71429e-07	9.70286e-06	1.45429e-06
5	5000	0.200294	0.695134	1.94571e-05	1.44914e-05	4.20857e-06	2.122e-05	1.65714e-07	9.71143e-06	1.36e-06
5	5000	0.20024	0.734564	1.94514e-05	1.44857e-05	4.21429e-06	2.12057e-05	1.71429e-07	9.69714e-06	1.38571e-06
5	5000	0.200514	0.950872	1.94943e-05	1.45057e-05	4.23143e-06	2.11886e-05	1.4e-07	9.70857e-06	1.50286e-06
5	5000	0.200327	0.813331	1.94714e-05	1.44857e-05	4.23714e-06	2.12057e-05	1.6e-07	9.7e-06	1.42571e-06
5	5000	0.200461	0.773963	1.94629e-05	1.448e-05	4.26857e-06	2.11343e-05	1.34286e-07	9.69714e-06	1.39429e-06
6	6000	0.210954	1.13693	2.17343e-05	1.55086e-05	6.47429e-06	2.15914e-05	4.77143e-07	1.05114e-05	1.85714e-06
6	6000	0.210898	1.20204	2.17971e-05	1.55057e-05	6.55429e-06	2.15086e-05	4.17143e-07	1.04914e-05	1.89429e-06
6	6000	0.211001	1.18577	2.17143e-05	1.54943e-05	6.51143e-06	2.15829e-05	4.37143e-07	1.04914e-05	1.84857e-06
6	6000	0.2112	1.41308	2.18229e-05	1.55229e-05	6.56571e-06	2.14343e-05	4.45714e-07	1.05e-05	2.00857e-06
6	6000	0.210974	1.20204	2.17657e-05	1.55057e-05	6.54857e-06	2.15086e-05	4.54286e-07	1.05e-05	1.85429e-06
6	6000	0.210776	1.13693	2.17086e-05	1.55114e-05	6.38571e-06	2.17114e-05	5.57143e-07	1.05143e-05	1.81714e-06
6	6000	0.211183	1.31579	2.17914e-05	1.55143e-05	6.56286e-06	2.14514e-05	4.31429e-07	1.04971e-05	1.96571e-06
6	6000	0.211022	1.25082	2.17429e-05	1.552e-05	6.49429e-06	2.16229e-05	4.68571e-07	1.05057e-05	1.90286e-06
6	6000	0.210947	1.20204	2.18029e-05	1.55229e-05	6.51429e-06	2.14971e-05	4.31429e-07	1.04971e-05	1.84e-06
6	6000	0.210972	1.15321	2.17857e-05	1.55114e-05	6.52571e-06	2.15371e-05	4.68571e-07	1.05e-05	1.83429e-06
7	7000	0.223531	1.60247	2.53771e-05	1.70314e-05	9.02571e-06	2.00771e-05	1.57143e-06	1.124e-05	2.28857e-06
7	7000	0.223429	1.75439	2.54057e-05	1.70486e-05	9.05714e-06	2.00429e-05	1.45143e-06	1.12486e-05	2.4e-06
7	7000	0.223357	1.5748	2.53657e-05	1.70114e-05	9.06571e-06	2.00457e-05	1.54571e-06	1.12029e-05	2.22e-06
7	7000	0.223607	1.75439	2.53829e-05	1.70571e-05	8.98e-06	2.018e-05	1.62e-06	1.12714e-05	2.42e-06
7	7000	0.223359	1.75439	2.53571e-05	1.70543e-05	8.98857e-06	2.016e-05	1.57143e-06	1.12857e-05	2.32e-06
7	7000	0.223269	1.5748	2.538e-05	1.70229e-05	9e-06	2.00486e-05	1.51143e-06	1.122e-05	2.22e-06
7	7000	0.223572	1.79574	2.53829e-05	1.70486e-05	9.05429e-06	2.008e-05	1.6e-06	1.12371e-05	2.36571e-06
7	7000	0.223656	1.76817	2.54257e-05	1.70343e-05	9.07143e-06	2.00514e-05	1.49143e-06	1.124e-05	2.36857e-06
7	7000	0.223504	1.80951	2.53514e-05	1.70743e-05	8.90857e-06	2.01971e-05	1.64571e-06	1.12886e-05	2.45143e-06
7	7000	0.223979	2.11159	2.53543e-05	1.71229e-05	8.92857e-06	2.02543e-05	1.67714e-06	1.13229e-05	2.62286e-06
8	8000	0.247505	2.53411	3.09629e-05	2.01657e-05	1.24829e-05	2.102e-05	4.04286e-06	1.33229e-05	3.5e-06
8	8000	0.247914	2.46281	3.09743e-05	2.01429e-05	1.25543e-05	2.09629e-05	4.00857e-06	1.32829e-05	3.46286e-06
8	8000	0.247641	2.24829	3.09743e-05	2.012e-05	1.26057e-05	2.08857e-05	3.97429e-06	1.32314e-05	3.27143e-06
8	8000	0.247635	2.36759	3.10114e-05	2.01257e-05	1.26371e-05	2.08429e-05	4.00286e-06	1.32514e-05	3.32e-06
8	8000	0.247841	2.68824	3.08714e-05	2.01714e-05	1.24429e-05	2.108e-05	4.14e-06	1.33257e-05	3.51429e-06
8	8000	0.248179	2.40332	3.09286e-05	2.012e-05	1.25686e-05	2.08914e-05	4.04e-06	1.33114e-05	3.38857e-06
8	8000	0.247638	2.2244	3.09743e-05	2.01114e-05	1.26657e-05	2.08029e-05	3.93143e-06	1.32914e-05	3.25429e-06
8	8000	0.247293	2.23634	3.09943e-05	2.01314e-05	1.252e-05	2.092e-05	4.07429e-06	1.32771e-05	3.26e-06
8	8000	0.247614	2.2244	3.09657e-05	2.01257e-05	1.26057e-05	2.09171e-05	3.96571e-06	1.32771e-05	3.19429e-06
8	8000	0.247192	2.11673	3.09429e-05	2.01029e-05	1.25457e-05	2.08886e-05	4.00857e-06	1.32943e-05	3.07143e-06
9	9000	0.28551	3.31937	3.96257e-05	2.49457e-05	1.80771e-05	2.23286e-05	8.06571e-06	1.646e-05	5.25429e-06
9	9000	0.285825	3.34014	3.96171e-05	2.49057e-05	1.81086e-05	2.22343e-05	8.18857e-06	1.64457e-05	5.32571e-06
9	9000	0.285538	3.56798	3.956e-05	2.49114e-05	1.80057e-05	2.23429e-05	8.24857e-06	1.644e-05	5.35143e-06
9	9000	0.285647	3.30898	3.95486e-05	2.49229e-05	1.804e-05	2.23486e-05	8.12571e-06	1.64457e-05	5.22571e-06
9	9000	0.285821	3.61962	3.95714e-05	2.49171e-05	1.81829e-05	2.21114e-05	8.21429e-06	1.64257e-05	5.56571e-06
9	9000	0.285413	3.16333	3.96514e-05	2.49114e-05	1.82829e-05	2.20429e-05	7.99714e-06	1.64571e-05	5.08e-06
9	9000	0.285413	3.02769	3.964e-05	2.49629e-05	1.80657e-05	2.242e-05	8.10571e-06	1.64857e-05	4.92286e-06
9	9000	0.286005	3.43348	3.96771e-05	2.49543e-05	1.81771e-05	2.22229e-05	8.10857e-06	1.64857e-05	5.42571e-06
9	9000	0.285627	3.37127	3.95314e-05	2.49314e-05	1.80857e-05	2.23343e-05	8.16857e-06	1.64457e-05	5.26286e-06
9	9000	0.285551	3.36089	3.96057e-05	2.49229e-05	1.79543e-05	2.24486e-05	8.20286e-06	1.64543e-05	5.21429e-06
10	10000	0.334051	4.47077	5.11686e-05	3.03629e-05	2.68e-05	2.11971e-05	1.37914e-05	2.00571e-05	8.33429e-06
10	10000	0.334104	4.38856	5.10971e-05	3.03486e-05	2.68e-05	2.11257e-05	1.38457e-05	2.002e-05	8.38857e-06
10	10000	0.334181	4.26041	5.12714e-05	3.03743e-05	2.67714e-05	2.12e-05	1.37229e-05	2.00629e-05	8.04571e-06
