N_THREADS	N_TRANSACTIONS	TIME	N_ABORTS	PROCESS_READ_TIME	PROCESS_WRITE_TIME	PROCESS_VALIDATION_TIME	PROCESS_OTHER_TIME	COMMIT_VALIDATION_TIME	COMMIT_OTHER_TIME	WASTED_TIME
1	1000	0.175056	0	1.48686e-05	1.34543e-05	0	2.39086e-05	0	8.95429e-06	1.08e-06	0.25
1	1000	0.175078	0	1.48657e-05	1.34629e-05	0	2.39371e-05	0	8.95714e-06	1.07143e-06	0.24
1	1000	0.175033	0	1.48657e-05	1.34486e-05	0	2.39e-05	0	8.95429e-06	1.07714e-06	0.24
1	1000	0.175059	0	1.48686e-05	1.346e-05	0	2.39114e-05	0	8.96571e-06	1.06e-06	0.24
1	1000	0.175067	0	1.48743e-05	1.34743e-05	0	2.38943e-05	0	8.96286e-06	1.07429e-06	0.24
1	1000	0.175046	0	1.48743e-05	1.34429e-05	0	2.39114e-05	0	8.95714e-06	1.06857e-06	0.24
1	1000	0.175044	0	1.484e-05	1.34686e-05	0	2.39057e-05	0	8.96e-06	1.07143e-06	0.24
1	1000	0.175028	0	1.48686e-05	1.34571e-05	0	2.38914e-05	0	8.95714e-06	1.06571e-06	0.24
1	1000	0.175038	0	1.48743e-05	1.34514e-05	0	2.39086e-05	0	8.95429e-06	1.06857e-06	0.24
1	1000	0.175038	0	1.48714e-05	1.34486e-05	0	2.38971e-05	0	8.95429e-06	1.08e-06	0.24
2	2000	0.175586	0	1.49514e-05	1.34771e-05	1.71429e-08	2.402e-05	2.85714e-09	8.99143e-06	1.05143e-06	0.25
2	2000	0.175575	0	1.49457e-05	1.34743e-05	1.42857e-08	2.40143e-05	2.85714e-09	8.99143e-06	1.05429e-06	0.24
2	2000	0.175562	0	1.49543e-05	1.34629e-05	1.42857e-08	2.40229e-05	2.85714e-09	8.98571e-06	1.06e-06	0.24
2	2000	0.175587	0	1.49486e-05	1.34714e-05	1.42857e-08	2.40286e-05	2.85714e-09	8.98571e-06	1.06e-06	0.24
2	2000	0.175574	0	1.49629e-05	1.34571e-05	1.71429e-08	2.402e-05	2.85714e-09	8.98571e-06	1.06e-06	0.24
2	2000	0.175574	0	1.49571e-05	1.34714e-05	1.42857e-08	2.40143e-05	2.85714e-09	8.98857e-06	1.05714e-06	0.24
2	2000	0.175583	0	1.49486e-05	1.34657e-05	1.42857e-08	2.40343e-05	2.85714e-09	8.99143e-06	1.05714e-06	0.24
2	2000	0.17563	0	1.49514e-05	1.34743e-05	1.71429e-08	2.404e-05	2.85714e-09	8.99143e-06	1.05714e-06	0.24
2	2000	0.175571	0	1.49429e-05	1.34686e-05	1.42857e-08	2.40314e-05	2.85714e-09	8.98857e-06	1.06e-06	0.24
2	2000	0.175557	0	1.496e-05	1.34486e-05	1.14286e-08	2.40343e-05	2.85714e-09	8.98286e-06	1.06286e-06	0.24
3	3000	0.177913	0	1.52571e-05	1.35857e-05	1.22857e-07	2.48171e-05	8.57143e-09	9.22857e-06	1.06e-06	0.25
3	3000	0.177924	0	1.52629e-05	1.358e-05	1.31429e-07	2.48114e-05	8.57143e-09	9.22857e-06	1.05714e-06	0.24
3	3000	0.177897	0	1.52571e-05	1.35829e-05	1.2e-07	2.48143e-05	8.57143e-09	9.23143e-06	1.06e-06	0.24
3	3000	0.177911	0	1.52629e-05	1.35829e-05	1.28571e-07	2.48029e-05	8.57143e-09	9.22857e-06	1.05714e-06	0.24
3	3000	0.177912	0	1.52514e-05	1.358e-05	1.2e-07	2.48343e-05	8.57143e-09	9.22571e-06	1.05429e-06	0.24
3	3000	0.17789	0	1.52629e-05	1.35857e-05	1.14286e-07	2.48171e-05	8.57143e-09	9.23143e-06	1.05429e-06	0.24
3	3000	0.177902	0	1.52629e-05	1.35857e-05	1.22857e-07	2.48029e-05	8.57143e-09	9.22286e-06	1.06286e-06	0.24
3	3000	0.177927	0	1.52486e-05	1.35857e-05	1.2e-07	2.48486e-05	8.57143e-09	9.22571e-06	1.05714e-06	0.24
3	3000	0.177927	0	1.52543e-05	1.35829e-05	1.17143e-07	2.48457e-05	8.57143e-09	9.22857e-06	1.06e-06	0.24
3	3000	0.177898	0	1.52486e-05	1.35829e-05	1.14286e-07	2.48343e-05	8.57143e-09	9.22857e-06	1.06286e-06	0.24
4	4000	0.185198	0.124844	1.79543e-05	1.42629e-05	3.38286e-06	2.17229e-05	3.14286e-08	9.58e-06	1.11714e-06	0.27
4	4000	0.185189	0.0999001	1.79571e-05	1.42743e-05	3.38857e-06	2.17114e-05	3.42857e-08	9.57143e-06	1.1e-06	0.25
4	4000	0.1852	0.0999001	1.79514e-05	1.42657e-05	3.40857e-06	2.17057e-05	2.57143e-08	9.57714e-06	1.09143e-06	0.25
4	4000	0.185181	0.0999001	1.796e-05	1.42829e-05	3.38857e-06	2.17114e-05	2.57143e-08	9.57429e-06	1.09429e-06	0.25
4	4000	0.185209	0.124844	1.79743e-05	1.42686e-05	3.38857e-06	2.17029e-05	3.42857e-08	9.58e-06	1.11429e-06	0.25
4	4000	0.185159	0.0999001	1.79514e-05	1.42771e-05	3.37714e-06	2.17171e-05	2.28571e-08	9.58e-06	1.1e-06	0.25
4	4000	0.185223	0.0999001	1.79771e-05	1.42771e-05	3.44e-06	2.16371e-05	2.85714e-08	9.57143e-06	1.09714e-06	0.25
4	4000	0.185183	0.0999001	1.79486e-05	1.42657e-05	3.36857e-06	2.17543e-05	3.14286e-08	9.57429e-06	1.10571e-06	0.25
4	4000	0.185198	0.0999001	1.79514e-05	1.42714e-05	3.41429e-06	2.168e-05	2.85714e-08	9.58e-06	1.1e-06	0.25
4	4000	0.185225	0.124844	1.796e-05	1.42657e-05	3.41143e-06	2.16829e-05	2.85714e-08	9.58286e-06	1.11429e-06	0.25
5	5000	0.190095	0.059964	1.89971e-05	1.46857e-05	4.67143e-06	2.15143e-05	7.71429e-08	9.8e-06	1.06286e-06	0.27
5	5000	0.190119	0.179677	1.9e-05	1.47e-05	4.64286e-06	2.15457e-05	7.14286e-08	9.78571e-06	1.12286e-06	0.25
5	5000	0.190117	0.0999001	1.90057e-05	1.46857e-05	4.67714e-06	2.15286e-05	6.28571e-08	9.78e-06	1.08e-06	0.25
5	5000	0.190035	0.039984	1.89971e-05	1.46857e-05	4.66857e-06	2.14943e-05	6.85714e-08	9.78e-06	1.05714e-06	0.25
5	5000	0.190215	0.159744	1.90286e-05	1.46914e-05	4.66857e-06	2.15086e-05	8.85714e-08	9.78571e-06	1.11714e-06	0.25
5	5000	0.190108	0.059964	1.90086e-05	1.46857e-05	4.70571e-06	2.14829e-05	6.28571e-08	9.78286e-06	1.06e-06	0.25
5	5000	0.190138	0.139804	1.902e-05	1.46943e-05	4.65714e-06	2.15314e-05	6.28571e-08	9.79143e-06	1.10857e-06	0.25
5	5000	0.190133	0.059964	1.90114e-05	1.46886e-05	4.70286e-06	2.14914e-05	6.85714e-08	9.78857e-06	1.06857e-06	0.25
5	5000	0.190282	0.159744	1.902e-05	1.46857e-05	4.73143e-06	2.14686e-05	5.42857e-08	9.78571e-06	1.12e-06	0.25
5	5000	0.190235	0.159744	1.90171e-05	1.47e-05	4.7e-06	2.14857e-05	7.42857e-08	9.79429e-06	1.12e-06	0.25
6	6000	0.201305	0.149775	2.20971e-05	1.61029e-05	7.71143e-06	2.032e-05	4.2e-07	1.05571e-05	1.24571e-06	0.29
6	6000	0.201329	0.166389	2.20629e-05	1.61e-05	7.72286e-06	2.034e-05	4.05714e-07	1.05486e-05	1.26571e-06	0.27
6	6000	0.201263	0.149775	2.20343e-05	1.60914e-05	7.65714e-06	2.04457e-05	4.51429e-07	1.056e-05	1.25143e-06	0.27
6	6000	0.201289	0.182998	2.206e-05	1.60943e-05	7.71429e-06	2.03457e-05	4.14286e-07	1.056e-05	1.28286e-06	0.26
6	6000	0.201294	0.166389	2.20743e-05	1.60857e-05	7.67714e-06	2.03914e-05	4.14286e-07	1.05486e-05	1.26571e-06	0.26
