N_THREADS	N_TRANSACTIONS	TIME	N_ABORTS	PROCESS_READ_TIME	PROCESS_WRITE_TIME	PROCESS_VALIDATION_TIME	PROCESS_OTHER_TIME	COMMIT_VALIDATION_TIME	COMMIT_OTHER_TIME	WASTED_TIME
1	1000	0.789496	0	0.000102037	6.76457e-05	0	0.000584154	0	2.69286e-05	1.01143e-06	1.02
1	1000	0.789465	0	0.00010198	6.76257e-05	0	0.000584186	0	2.69371e-05	1.00857e-06	1.01
1	1000	0.789537	0	0.000101989	6.76971e-05	0	0.000584197	0	2.69171e-05	1.01143e-06	1.01
1	1000	0.789592	0	0.000102023	6.77e-05	0	0.000584214	0	2.69171e-05	1.00857e-06	1.01
1	1000	0.789636	0	0.000102031	6.77086e-05	0	0.000584237	0	2.69257e-05	1.00857e-06	1.01
1	1000	0.789486	0	0.000101989	6.76686e-05	0	0.000584166	0	2.69343e-05	1.01143e-06	1.01
1	1000	0.789501	0	0.000101997	6.76571e-05	0	0.000584177	0	2.69343e-05	1.00857e-06	1.01
1	1000	0.789533	0	0.000101983	6.76829e-05	0	0.000584203	0	2.69229e-05	1.00857e-06	1.01
1	1000	0.789465	0	0.000101977	6.766e-05	0	0.00058416	0	2.694e-05	1.00857e-06	1.01
1	1000	0.789474	0	0.00010198	6.76571e-05	0	0.000584157	0	2.69457e-05	1.01143e-06	1.01
2	2000	0.820062	0.199601	0.000106743	6.88143e-05	1.99771e-05	0.000566186	7.42857e-08	2.732e-05	2.12286e-06	1.05
2	2000	0.819374	0.199601	0.000106331	6.86486e-05	2.01286e-05	0.000565874	4e-08	2.732e-05	2.05429e-06	1.04
2	2000	0.820454	0.299103	0.000106854	6.88257e-05	1.98e-05	0.000566283	1e-07	2.73086e-05	2.53714e-06	1.04
2	2000	0.82106	0.348779	0.000106923	6.88543e-05	1.96829e-05	0.000566446	1.14286e-07	2.72971e-05	2.74571e-06	1.04
2	2000	0.819812	0.199601	0.000106743	6.86857e-05	1.99743e-05	0.000566069	7.71429e-08	2.73229e-05	2.12857e-06	1.04
2	2000	0.820881	0.249377	0.000106803	6.88057e-05	1.98514e-05	0.000566243	7.71429e-08	2.72971e-05	2.37429e-06	1.05
2	2000	0.820218	0.299103	0.000106846	6.86771e-05	1.97714e-05	0.000566257	9.42857e-08	2.73343e-05	2.53143e-06	1.04
2	2000	0.821081	0.398406	0.000106989	6.88343e-05	1.95371e-05	0.000566543	1.14286e-07	2.73114e-05	2.90286e-06	1.04
2	2000	0.820585	0.299103	0.000106789	6.87343e-05	2.00886e-05	0.000565946	1e-07	2.73429e-05	2.53714e-06	1.04
2	2000	0.819602	0.199601	0.000106434	6.87486e-05	2.00714e-05	0.000565997	4e-08	2.73343e-05	2.05429e-06	1.04
3	3000	0.853015	0.332226	0.000112283	7.09943e-05	4.00371e-05	0.000548774	6.85714e-08	2.77657e-05	2.89429e-06	1.08
3	3000	0.853575	0.497512	0.000112534	7.10486e-05	3.94571e-05	0.000549389	1.48571e-07	2.78029e-05	3.74857e-06	1.08
3	3000	0.852614	0.431464	0.000112306	7.10057e-05	3.96057e-05	0.000549146	1.08571e-07	2.77771e-05	3.43143e-06	1.07
3	3000	0.852638	0.299103	0.000111983	7.09743e-05	3.97371e-05	0.000548994	4e-08	2.77686e-05	2.94286e-06	1.07
3	3000	0.853056	0.365327	0.000112426	7.11229e-05	3.96743e-05	0.000549209	1e-07	2.78e-05	2.91143e-06	1.07
3	3000	0.854487	0.464499	0.000112431	7.10343e-05	3.96143e-05	0.000549214	9.14286e-08	2.77943e-05	3.69143e-06	1.07
3	3000	0.852346	0.365327	0.00011228	7.09829e-05	3.96571e-05	0.000549117	8.28571e-08	2.77914e-05	3.09143e-06	1.07
3	3000	0.853054	0.497512	0.000112346	7.10657e-05	3.96886e-05	0.000549206	1.65714e-07	2.77886e-05	3.71143e-06	1.07
3	3000	0.852023	0.464499	0.000112163	7.10371e-05	3.95943e-05	0.000549206	1.2e-07	2.77914e-05	3.44286e-06	1.08
3	3000	0.851949	0.398406	0.0001122	7.10829e-05	3.954e-05	0.000549246	8.57143e-08	2.77771e-05	3.04286e-06	1.08
4	4000	0.893346	0.546992	0.000119814	7.48686e-05	6.148e-05	0.000531554	2.82857e-07	2.83429e-05	4.32286e-06	1.12
4	4000	0.893968	0.645802	0.000119986	7.48743e-05	6.12286e-05	0.000531786	2.77143e-07	2.836e-05	5.07143e-06	1.11
4	4000	0.892548	0.571713	0.000119846	7.48686e-05	6.11971e-05	0.000531846	3.68571e-07	2.83429e-05	4.53714e-06	1.12
