N_THREADS	N_TRANSACTIONS	TIME	N_ABORTS	PROCESS_READ_TIME	PROCESS_WRITE_TIME	PROCESS_VALIDATION_TIME	PROCESS_OTHER_TIME	COMMIT_VALIDATION_TIME	COMMIT_OTHER_TIME	WASTED_TIME
1	1000	0.958025	0	0.000175114	6.77486e-05	0	0.000679666	0	2.69229e-05	1.02857e-06	1.04
1	1000	0.958014	0	0.000175089	6.77543e-05	0	0.00067968	0	2.69229e-05	1.02286e-06	1.03
1	1000	0.958019	0	0.000175106	6.77457e-05	0	0.000679674	0	2.69229e-05	1.02286e-06	1.04
1	1000	0.958029	0	0.000175106	6.77543e-05	0	0.000679669	0	2.69229e-05	1.03143e-06	1.03
1	1000	0.958055	0	0.000175091	6.77371e-05	0	0.000679731	0	2.69171e-05	1.03429e-06	1.03
1	1000	0.958088	0	0.000175103	6.78086e-05	0	0.000679689	0	2.69086e-05	1.02857e-06	1.03
1	1000	0.958015	0	0.000175106	6.77429e-05	0	0.000679666	0	2.69257e-05	1.02571e-06	1.03
1	1000	0.958067	0	0.000175129	6.77714e-05	0	0.000679674	0	2.692e-05	1.02571e-06	1.03
1	1000	0.958071	0	0.000175123	6.77829e-05	0	0.000679686	0	2.69057e-05	1.03143e-06	1.03
1	1000	0.958048	0	0.000175097	6.77514e-05	0	0.000679703	0	2.69229e-05	1.02857e-06	1.03
2	2000	1.02909	1.96078	0.000184014	7.03029e-05	3.62771e-05	0.000647226	2.68571e-07	2.718e-05	1.57143e-05	1.11
2	2000	1.02665	2.00882	0.00018408	7.028e-05	3.63257e-05	0.000647209	1.82857e-07	2.71714e-05	1.66971e-05	1.10
2	2000	1.02823	2.05681	0.000184109	7.03457e-05	3.62714e-05	0.000647246	1.82857e-07	2.71714e-05	1.71371e-05	1.10
2	2000	1.03102	2.00882	0.00018394	7.01914e-05	3.62543e-05	0.000647211	2.77143e-07	2.71743e-05	1.67029e-05	1.11
