N_THREADS	N_TRANSACTIONS	TIME	N_ABORTS	PROCESS_READ_TIME	PROCESS_WRITE_TIME	PROCESS_VALIDATION_TIME	PROCESS_OTHER_TIME	COMMIT_VALIDATION_TIME	COMMIT_OTHER_TIME	WASTED_TIME
1	1000	0.161621	0	4.56286e-06	8.88e-06	0	8.78857e-06	2.51429e-07	2.80286e-06	1.19429e-06
1	1000	0.16161	0	4.55429e-06	8.88e-06	0	8.78286e-06	2.51429e-07	2.80286e-06	1.19714e-06
1	1000	0.161619	0	4.56286e-06	8.87714e-06	0	8.79143e-06	2.48571e-07	2.80571e-06	1.19429e-06
1	1000	0.161628	0	4.56e-06	8.88571e-06	0	8.78857e-06	2.51429e-07	2.80286e-06	1.19429e-06
1	1000	0.161616	0	4.56e-06	8.87714e-06	0	8.78571e-06	2.51429e-07	2.80286e-06	1.19714e-06
1	1000	0.161625	0	4.55714e-06	8.88286e-06	0	8.78857e-06	2.51429e-07	2.80286e-06	1.19429e-06
1	1000	0.161617	0	4.56e-06	8.88286e-06	0	8.78286e-06	2.51429e-07	2.80286e-06	1.19714e-06
1	1000	0.161606	0	4.56e-06	8.87429e-06	0	8.78857e-06	2.48571e-07	2.80571e-06	1.19143e-06
1	1000	0.161616	0	4.55429e-06	8.87714e-06	0	8.79143e-06	2.51429e-07	2.80286e-06	1.19429e-06
1	1000	0.161608	0	4.55714e-06	8.86857e-06	0	8.78857e-06	2.48571e-07	2.80571e-06	1.19429e-06
2	2000	0.16175	1.13693	4.56e-06	8.92571e-06	0	8.78571e-06	2.51429e-07	2.81429e-06	1.23714e-06
2	2000	0.161822	1.18577	4.56571e-06	8.91714e-06	0	8.78857e-06	2.48571e-07	2.81714e-06	1.30571e-06
2	2000	0.161756	1.03909	4.56286e-06	8.92571e-06	0	8.78571e-06	2.51429e-07	2.81429e-06	1.23714e-06
2	2000	0.161779	1.38067	4.56e-06	8.91429e-06	0	8.78286e-06	2.51429e-07	2.81429e-06	1.3e-06
2	2000	0.161745	1.08803	4.56e-06	8.92e-06	0	8.78857e-06	2.45714e-07	2.82e-06	1.23429e-06
2	2000	0.161873	1.5748	4.56286e-06	8.92286e-06	0	8.78571e-06	2.51429e-07	2.81429e-06	1.36286e-06
2	2000	0.161834	1.62322	4.56e-06	8.92e-06	0	8.78571e-06	2.48571e-07	2.81714e-06	1.33143e-06
2	2000	0.16174	1.03909	4.56e-06	8.93143e-06	0	8.78571e-06	2.51429e-07	2.81429e-06	1.23143e-06
2	2000	0.161745	1.13693	4.56286e-06	8.92e-06	0	8.78571e-06	2.51429e-07	2.81429e-06	1.24e-06
2	2000	0.161874	1.5748	4.56286e-06	8.92e-06	0	8.78857e-06	2.51429e-07	2.81429e-06	1.36e-06
3	3000	0.162004	4.30622	4.56e-06	8.90286e-06	0	8.79143e-06	2.48571e-07	2.81143e-06	1.40286e-06
3	3000	0.161915	4.51941	4.56286e-06	8.90286e-06	0	8.78286e-06	2.48571e-07	2.81143e-06	1.38e-06
3	3000	0.162073	5.69003	4.55714e-06	8.90286e-06	0	8.78857e-06	2.48571e-07	2.81143e-06	1.48e-06
3	3000	0.161998	4.7619	4.56e-06	8.9e-06	0	8.79143e-06	2.48571e-07	2.81143e-06	1.48571e-06
3	3000	0.161919	4.85252	4.55429e-06	8.90286e-06	0	8.78857e-06	2.48571e-07	2.81143e-06	1.39143e-06
3	3000	0.162193	4.30622	4.56571e-06	8.90286e-06	0	8.78857e-06	2.48571e-07	2.81143e-06	1.51429e-06
3	3000	0.162001	4.48902	4.55429e-06	8.90571e-06	0	8.78857e-06	2.48571e-07	2.81143e-06	1.46571e-06
3	3000	0.161884	4.36723	4.56e-06	8.90286e-06	0	8.78857e-06	2.48571e-07	2.81143e-06	1.36e-06
3	3000	0.161901	3.78448	4.56e-06	8.90286e-06	0	8.79143e-06	2.48571e-07	2.81143e-06	1.38e-06
3	3000	0.162049	4.27569	4.55714e-06	8.90571e-06	0	8.78857e-06	2.48571e-07	2.81143e-06	1.46857e-06
4	4000	0.162378	7.5572	4.55429e-06	8.90286e-06	0	8.79429e-06	2.51429e-07	2.80857e-06	1.79143e-06
