N_THREADS	N_TRANSACTIONS	TIME	N_ABORTS	PROCESS_READ_TIME	PROCESS_WRITE_TIME	PROCESS_VALIDATION_TIME	PROCESS_OTHER_TIME	COMMIT_VALIDATION_TIME	COMMIT_OTHER_TIME	WASTED_TIME
1	1000	0.193597	0	1.144e-05	2.72143e-05	0	2.01771e-05	2.51429e-07	9.24571e-06	2.42857e-06
1	1000	0.193623	0	1.14371e-05	2.72229e-05	0	2.01857e-05	2.51429e-07	9.25429e-06	2.43429e-06
1	1000	0.193619	0	1.14543e-05	2.72229e-05	0	2.01743e-05	2.51429e-07	9.26e-06	2.42857e-06
1	1000	0.19361	0	1.14371e-05	2.72229e-05	0	2.01829e-05	2.51429e-07	9.24857e-06	2.42571e-06
1	1000	0.193622	0	1.144e-05	2.722e-05	0	2.01829e-05	2.48571e-07	9.26286e-06	2.42571e-06
1	1000	0.193623	0	1.14343e-05	2.72257e-05	0	2.01886e-05	2.51429e-07	9.26286e-06	2.42857e-06
1	1000	0.193653	0	1.14457e-05	2.724e-05	0	2.01886e-05	2.51429e-07	9.26e-06	2.42571e-06
1	1000	0.193616	0	1.14371e-05	2.72171e-05	0	2.01914e-05	2.51429e-07	9.26e-06	2.42e-06
1	1000	0.193656	0	1.14514e-05	2.724e-05	0	2.01971e-05	2.51429e-07	9.25143e-06	2.42e-06
1	1000	0.193637	0	1.14457e-05	2.72343e-05	0	2.01829e-05	2.51429e-07	9.26286e-06	2.42571e-06
2	2000	0.195256	0.398406	1.16429e-05	2.77114e-05	0	2.04743e-05	2.51429e-07	9.43143e-06	2.60857e-06
2	2000	0.194641	0.348779	1.15543e-05	2.74571e-05	0	2.03429e-05	2.51429e-07	9.38286e-06	2.52e-06
2	2000	0.195309	0.398406	1.16514e-05	2.77e-05	0	2.04771e-05	2.48571e-07	9.44286e-06	2.62571e-06
2	2000	0.196453	0.645802	1.18057e-05	2.81143e-05	0	2.07114e-05	2.51429e-07	9.56571e-06	2.80286e-06
2	2000	0.194955	0.497512	1.16e-05	2.758e-05	0	2.04171e-05	2.51429e-07	9.38571e-06	2.58571e-06
2	2000	0.195336	0.348779	1.16571e-05	2.77229e-05	0	2.04914e-05	2.51429e-07	9.43714e-06	2.62e-06
