N_THREADS	N_TRANSACTIONS	TIME	N_ABORTS	PROCESS_READ_TIME	PROCESS_WRITE_TIME	PROCESS_VALIDATION_TIME	PROCESS_OTHER_TIME	COMMIT_VALIDATION_TIME	COMMIT_OTHER_TIME	WASTED_TIME
1	1000	0.163932	0	5.64e-06	4.65714e-06	0	8.91429e-06	2.51429e-07	8.19429e-06	1.13429e-06
1	1000	0.163932	0	5.64e-06	4.66e-06	0	8.91429e-06	2.51429e-07	8.19714e-06	1.13143e-06
1	1000	0.163923	0	5.63714e-06	4.66e-06	0	8.91429e-06	2.51429e-07	8.19429e-06	1.13143e-06
1	1000	0.163927	0	5.63429e-06	4.66e-06	0	8.91143e-06	2.51429e-07	8.20286e-06	1.13143e-06
1	1000	0.163928	0	5.64286e-06	4.66286e-06	0	8.90571e-06	2.51429e-07	8.2e-06	1.13429e-06
1	1000	0.16394	0	5.64e-06	4.66e-06	0	8.91143e-06	2.51429e-07	8.19429e-06	1.13143e-06
1	1000	0.163934	0	5.63714e-06	4.66e-06	0	8.90857e-06	2.48571e-07	8.20857e-06	1.13143e-06
1	1000	0.163936	0	5.63714e-06	4.66e-06	0	8.91429e-06	2.51429e-07	8.2e-06	1.13143e-06
1	1000	0.163923	0	5.63429e-06	4.66e-06	0	8.90857e-06	2.51429e-07	8.2e-06	1.13143e-06
1	1000	0.163935	0	5.64e-06	4.66e-06	0	8.91143e-06	2.51429e-07	8.2e-06	1.13143e-06
2	2000	0.164725	2.05681	5.69429e-06	4.67714e-06	0	8.91429e-06	2.48571e-07	8.26571e-06	1.73714e-06
2	2000	0.165127	2.95973	5.70571e-06	4.68286e-06	0	8.90857e-06	2.51429e-07	8.26286e-06	2.05714e-06
2	2000	0.165159	3.05381	5.70571e-06	4.67714e-06	0	8.91714e-06	2.51429e-07	8.26571e-06	2.08e-06
2	2000	0.165147	3.05381	5.71714e-06	4.67714e-06	0	8.91143e-06	2.48571e-07	8.26286e-06	2.07714e-06
2	2000	0.16459	1.47783	5.69714e-06	4.68e-06	0	8.91143e-06	2.48571e-07	8.26571e-06	1.58286e-06
2	2000	0.16515	3.24141	5.70857e-06	4.68e-06	0	8.91143e-06	2.51429e-07	8.26286e-06	2.10286e-06
2	2000	0.165278	3.52147	5.71714e-06	4.68e-06	0	8.91143e-06	2.51429e-07	8.26e-06	2.21714e-06
2	2000	0.165755	4.98812	5.71143e-06	4.67714e-06	0	8.91714e-06	2.51429e-07	8.26571e-06	2.68571e-06
2	2000	0.164654	1.52634	5.69429e-06	4.67714e-06	0	8.91714e-06	2.48571e-07	8.26857e-06	1.58286e-06
2	2000	0.165117	2.95973	5.7e-06	4.67714e-06	0	8.91429e-06	2.45714e-07	8.26857e-06	2.05143e-06
3	3000	0.16944	10.8999	5.78286e-06	4.67143e-06	0	8.91429e-06	2.48571e-07	8.24286e-06	4.98857e-06
3	3000	0.169013	12.2037	5.75714e-06	4.67143e-06	0	8.91429e-06	2.48571e-07	8.24e-06	5.32857e-06
3	3000	0.169027	12.2807	5.73429e-06	4.66857e-06	0	8.91429e-06	2.48571e-07	8.24e-06	5.56286e-06
3	3000	0.168579	12.1265	5.77714e-06	4.66857e-06	0	8.91429e-06	2.48571e-07	8.24e-06	5.38286e-06
3	3000	0.168165	10.018	5.74571e-06	4.67143e-06	0	8.91714e-06	2.48571e-07	8.24286e-06	4.68857e-06
3	3000	0.16849	11.8425	5.74286e-06	4.66857e-06	0	8.91714e-06	2.48571e-07	8.24e-06	5.22857e-06
3	3000	0.167762	10.6345	5.74286e-06	4.66857e-06	0	8.91143e-06	2.48571e-07	8.24e-06	4.75429e-06
3	3000	0.170163	14.7727	5.77714e-06	4.66857e-06	0	8.91429e-06	2.48571e-07	8.24286e-06	6.58571e-06
3	3000	0.168998	13.4449	5.78286e-06	4.67143e-06	0	8.91429e-06	2.48571e-07	8.24e-06	5.87429e-06
3	3000	0.169247	13.2948	5.74e-06	4.67143e-06	0	8.91143e-06	2.48571e-07	8.24e-06	6.05429e-06
4	4000	0.17871	29.503	5.85429e-06	4.67143e-06	0	8.91714e-06	2.48571e-07	8.24e-06	1.49257e-05
4	4000	0.180923	32.0075	5.86e-06	4.66857e-06	0	8.91714e-06	2.48571e-07	8.24286e-06	1.67371e-05
4	4000	0.180826	32.6713	5.86286e-06	4.66857e-06	0	8.92e-06	2.51429e-07	8.24286e-06	1.718e-05
4	4000	0.18012	29.8984	5.87714e-06	4.66857e-06	0	8.92e-06	2.45714e-07	8.24857e-06	1.52429e-05
4	4000	0.176951	25.9534	5.84e-06	4.67143e-06	0	8.91143e-06	2.45714e-07	8.24286e-06	1.274e-05
