N_THREADS	N_TRANSACTIONS	TIME	N_ABORTS	PROCESS_READ_TIME	PROCESS_WRITE_TIME	PROCESS_VALIDATION_TIME	PROCESS_OTHER_TIME	COMMIT_VALIDATION_TIME	COMMIT_OTHER_TIME	WASTED_TIME
1	1000	0.761821	0	6.33886e-05	5.05629e-05	0	0.000586069	2.48571e-07	5.85257e-05	1.13143e-06	0.88
1	1000	0.761903	0	6.34029e-05	5.05714e-05	0	0.000586094	2.51429e-07	5.85571e-05	1.13143e-06	0.85
1	1000	0.761975	0	6.34086e-05	5.05686e-05	0	0.000586123	2.51429e-07	5.85971e-05	1.13143e-06	0.86
1	1000	0.761905	0	6.34057e-05	5.05657e-05	0	0.000586106	2.48571e-07	5.85514e-05	1.13143e-06	0.85
1	1000	0.76194	0	6.34029e-05	5.05657e-05	0	0.000586117	2.51429e-07	5.85743e-05	1.13143e-06	0.86
1	1000	0.761833	0	6.33714e-05	5.05657e-05	0	0.000586057	2.51429e-07	5.856e-05	1.13429e-06	0.86
1	1000	0.761844	0	6.33914e-05	5.05629e-05	0	0.000586066	2.51429e-07	5.85429e-05	1.13429e-06	0.85
1	1000	0.761789	0	6.33886e-05	5.05686e-05	0	0.000586043	2.48571e-07	5.85143e-05	1.13143e-06	0.86
1	1000	0.761852	0	6.33971e-05	5.05657e-05	0	0.000586063	2.48571e-07	5.85514e-05	1.13143e-06	0.86
1	1000	0.761896	0	6.33971e-05	5.05629e-05	0	0.000586097	2.51429e-07	5.85571e-05	1.13429e-06	0.85
2	2000	0.773231	2.72374	6.344e-05	5.056e-05	0	0.000586114	2.51429e-07	5.85429e-05	1.208e-05	0.88
2	2000	0.774749	3.00679	6.34114e-05	5.05514e-05	0	0.000586109	2.51429e-07	5.85514e-05	1.39057e-05	0.87
2	2000	0.772598	2.48659	6.34286e-05	5.05543e-05	0	0.000586089	2.51429e-07	5.85457e-05	1.074e-05	0.86
2	2000	0.774118	2.81827	6.34343e-05	5.05571e-05	0	0.000586146	2.48571e-07	5.85743e-05	1.28171e-05	0.87
2	2000	0.774096	2.6764	6.34229e-05	5.05657e-05	0	0.00058618	2.48571e-07	5.85743e-05	1.27229e-05	0.87
2	2000	0.774233	2.72374	6.34714e-05	5.05686e-05	0	0.000586237	2.45714e-07	5.86486e-05	1.30514e-05	0.87
2	2000	0.77399	2.72374	6.34429e-05	5.05571e-05	0	0.000586097	2.51429e-07	5.85486e-05	1.21457e-05	0.87
2	2000	0.773312	2.58159	6.344e-05	5.05657e-05	0	0.000586194	2.51429e-07	5.85457e-05	1.10257e-05	0.87
2	2000	0.773318	2.72374	6.342e-05	5.05543e-05	0	0.000586086	2.48571e-07	5.85343e-05	1.17657e-05	0.87
2	2000	0.773451	2.6764	6.34229e-05	5.05657e-05	0	0.000586189	2.51429e-07	5.85486e-05	1.17743e-05	0.85
3	3000	0.788333	5.66038	6.35114e-05	5.05657e-05	0	0.000586257	2.48571e-07	5.858e-05	2.39143e-05	0.90
3	3000	0.787549	5.60101	6.34629e-05	5.05571e-05	0	0.00058614	2.48571e-07	5.85686e-05	2.38857e-05	0.86
3	3000	0.787631	5.77889	6.35e-05	5.058e-05	0	0.000586254	2.48571e-07	5.86343e-05	2.50543e-05	0.88
3	3000	0.787488	5.45225	6.34486e-05	5.05543e-05	0	0.000586111	2.48571e-07	5.85543e-05	2.42229e-05	0.88
3	3000	0.787751	5.71967	6.35486e-05	5.05771e-05	0	0.000586257	2.48571e-07	5.86543e-05	2.55714e-05	0.88
3	3000	0.784758	5.33291	6.34943e-05	5.056e-05	0	0.000586106	2.48571e-07	5.85771e-05	2.17886e-05	0.87
