N_THREADS	N_TRANSACTIONS	TIME	N_ABORTS	PROCESS_READ_TIME	PROCESS_WRITE_TIME	PROCESS_VALIDATION_TIME	PROCESS_OTHER_TIME	COMMIT_VALIDATION_TIME	COMMIT_OTHER_TIME	WASTED_TIME
1	1000	0.221462	0	1.57086e-05	1.60657e-05	0	2.04429e-05	2.51429e-07	2.65857e-05	2.38571e-06
1	1000	0.221436	0	1.57057e-05	1.60657e-05	0	2.04371e-05	2.51429e-07	2.65686e-05	2.38571e-06
1	1000	0.221456	0	1.57029e-05	1.60429e-05	0	2.04514e-05	2.48571e-07	2.65886e-05	2.38857e-06
1	1000	0.221461	0	1.57029e-05	1.60629e-05	0	2.044e-05	2.51429e-07	2.65886e-05	2.38571e-06
1	1000	0.221442	0	1.57114e-05	1.60514e-05	0	2.044e-05	2.51429e-07	2.65686e-05	2.39143e-06
1	1000	0.22144	0	1.56971e-05	1.606e-05	0	2.04514e-05	2.51429e-07	2.65743e-05	2.38e-06
1	1000	0.221442	0	1.57057e-05	1.60514e-05	0	2.04314e-05	2.51429e-07	2.65771e-05	2.38857e-06
1	1000	0.221464	0	1.57114e-05	1.60571e-05	0	2.044e-05	2.48571e-07	2.65657e-05	2.39429e-06
1	1000	0.221417	0	1.57086e-05	1.60486e-05	0	2.04314e-05	2.51429e-07	2.656e-05	2.39143e-06
1	1000	0.221481	0	1.57029e-05	1.60543e-05	0	2.04486e-05	2.51429e-07	2.65971e-05	2.38e-06
2	2000	0.233032	9.74729	1.62343e-05	1.62029e-05	0	2.05714e-05	2.51429e-07	2.69429e-05	1.192e-05
2	2000	0.234585	10.9131	1.62e-05	1.62143e-05	0	2.058e-05	2.51429e-07	2.69457e-05	1.34743e-05
2	2000	0.235006	11.2295	1.62314e-05	1.62229e-05	0	2.05886e-05	2.51429e-07	2.69771e-05	1.37057e-05
2	2000	0.23224	9.00819	1.61771e-05	1.62086e-05	0	2.05686e-05	2.51429e-07	2.69286e-05	1.11971e-05
2	2000	0.23407	10.5546	1.62029e-05	1.61971e-05	0	2.05571e-05	2.51429e-07	2.69457e-05	1.302e-05
2	2000	0.232759	9.42029	1.62571e-05	1.622e-05	0	2.05914e-05	2.51429e-07	2.69686e-05	1.14371e-05
2	2000	0.232395	9.46129	1.624e-05	1.61943e-05	0	2.05657e-05	2.45714e-07	2.694e-05	1.142e-05
2	2000	0.232271	9.17348	1.61371e-05	1.62e-05	0	2.05571e-05	2.51429e-07	2.692e-05	1.13086e-05
2	2000	0.232681	9.58409	1.61829e-05	1.62086e-05	0	2.05657e-05	2.51429e-07	2.696e-05	1.16029e-05
2	2000	0.235121	11.4653	1.62829e-05	1.622e-05	0	2.05771e-05	2.48571e-07	2.69771e-05	1.41171e-05
3	3000	0.362601	58.5234	1.796e-05	1.66771e-05	0	2.11943e-05	2.48571e-07	2.76e-05	0.000136003
3	3000	0.349826	56.1339	1.79543e-05	1.66714e-05	0	2.12171e-05	2.48571e-07	2.76029e-05	0.000123794
3	3000	0.375925	61.1046	1.80086e-05	1.67486e-05	0	2.12571e-05	2.48571e-07	2.76457e-05	0.000150646
3	3000	0.37881	60.6454	1.80114e-05	1.67229e-05	0	2.124e-05	2.48571e-07	2.76343e-05	0.00014808
3	3000	0.383929	61.375	1.806e-05	1.66857e-05	0	2.12286e-05	2.48571e-07	2.75943e-05	0.00015768
3	3000	0.349793	55.9601	1.78343e-05	1.66714e-05	0	2.11829e-05	2.48571e-07	2.76e-05	0.000122931
3	3000	0.34626	55.0764	1.79743e-05	1.66714e-05	0	2.12029e-05	2.48571e-07	2.75943e-05	0.000117486
3	3000	0.348657	56.0182	1.79886e-05	1.66886e-05	0	2.11971e-05	2.48571e-07	2.76257e-05	0.000121946
3	3000	0.357652	57.1061	1.80029e-05	1.67286e-05	0	2.12371e-05	2.48571e-07	2.76286e-05	0.000128106
3	3000	0.364016	58.3796	1.79486e-05	1.66743e-05	0	2.11943e-05	2.48571e-07	2.75886e-05	0.000134963
4	4000	1.00395	87.8164	2.03771e-05	1.858e-05	0	2.34143e-05	2.51429e-07	2.96771e-05	0.000765686
4	4000	1.04019	88.0945	2.04e-05	1.852e-05	0	2.33571e-05	2.48571e-07	2.96057e-05	0.000792809
4	4000	0.981974	87.3781	2.03857e-05	1.85286e-05	0	2.33657e-05	2.48571e-07	2.96229e-05	0.000739629
4	4000	0.989017	87.5842	2.02829e-05	1.85429e-05	0	2.33686e-05	2.45714e-07	2.96714e-05	0.000748597
4	4000	0.992727	87.6061	2.03629e-05	1.86e-05	0	2.34286e-05	2.45714e-07	2.97086e-05	0.000750843
4	4000	0.973609	87.3622	2.02914e-05	1.85714e-05	0	2.33714e-05	2.51429e-07	2.96457e-05	0.000733554
4	4000	1.01748	87.8249	2.02914e-05	1.85229e-05	0	2.33171e-05	2.48571e-07	2.956e-05	0.000772274
4	4000	1.02215	88.0304	2.04657e-05	1.86343e-05	0	2.35029e-05	2.48571e-07	2.97571e-05	0.000782514
4	4000	1.01899	87.9125	2.04429e-05	1.86e-05	0	2.34229e-05	2.42857e-07	2.96914e-05	0.000774249
4	4000	1.01132	87.7458	2.03086e-05	1.85371e-05	0	2.33714e-05	2.48571e-07	2.96543e-05	0.00076582
5	5000	2.17077	94.0344	2.28457e-05	2.12857e-05	0	2.65886e-05	2.42857e-07	3.21257e-05	0.00191486
5	5000	2.2807	94.2898	2.284e-05	2.12543e-05	0	2.66e-05	2.42857e-07	3.20857e-05	0.00202673
5	5000	2.25247	94.1808	2.24343e-05	2.10743e-05	0	2.63343e-05	2.42857e-07	3.18114e-05	0.00197905
5	5000	2.17592	93.9525	2.24914e-05	2.10457e-05	0	2.63057e-05	2.42857e-07	3.18657e-05	0.00190459
5	5000	2.24727	94.1844	2.27914e-05	2.11886e-05	0	2.64914e-05	2.42857e-07	3.19914e-05	0.00198222
5	5000	2.24035	94.1796	2.27829e-05	2.12286e-05	0	2.65429e-05	2.42857e-07	3.20829e-05	0.00198732
5	5000	2.23502	94.1861	2.28743e-05	2.12629e-05	0	2.66086e-05	2.42857e-07	3.21686e-05	0.00197962
5	5000	2.30595	94.3413	2.278e-05	2.12286e-05	0	2.65571e-05	2.42857e-07	3.20486e-05	0.00204739
5	5000	2.34683	94.4148	2.276e-05	2.11829e-05	0	2.65171e-05	2.42857e-07	3.19857e-05	0.00208044
5	5000	2.25667	94.2179	2.26257e-05	2.114e-05	0	2.64486e-05	2.42857e-07	3.19629e-05	0.00199308
6	6000	4.2525	96.5792	2.55229e-05	2.39486e-05	0	2.97743e-05	2.4e-07	3.41486e-05	0.00397612
6	6000	4.28119	96.6057	2.54257e-05	2.402e-05	0	2.98457e-05	2.4e-07	3.434e-05	0.00401042
6	6000	4.18207	96.5204	2.55429e-05	2.392e-05	0	2.97114e-05	2.4e-07	3.426e-05	0.00388629
6	6000	4.17604	96.4993	2.52686e-05	2.38171e-05	0	2.96343e-05	2.4e-07	3.42971e-05	0.0038739
6	6000	4.14456	96.4902	2.55086e-05	2.40057e-05	0	2.97857e-05	2.4e-07	3.42829e-05	0.00386614
6	6000	4.29666	96.6078	2.55114e-05	2.39857e-05	0	2.97886e-05	2.4e-07	3.42829e-05	0.0040169
6	6000	4.04122	96.3906	2.52829e-05	2.38371e-05	0	2.96086e-05	2.4e-07	3.41286e-05	0.00375088
6	6000	4.21555	96.5538	2.55314e-05	2.40914e-05	0	2.99057e-05	2.4e-07	3.43371e-05	0.00394726
6	6000	4.15405	96.5003	2.55086e-05	2.40886e-05	0	2.98857e-05	2.4e-07	3.42514e-05	0.00386895
6	6000	4.12225	96.4638	2.54314e-05	2.39171e-05	0	2.97171e-05	2.4e-07	3.43429e-05	0.00381874
7	7000	7.05672	97.6724	2.78229e-05	2.63486e-05	0	3.26114e-05	2.4e-07	3.606e-05	0.00674594
7	7000	6.80927	97.5852	2.77486e-05	2.62229e-05	0	3.24314e-05	2.4e-07	3.608e-05	0.00646225
7	7000	6.81376	97.5841	2.762e-05	2.61029e-05	0	3.23429e-05	2.4e-07	3.59914e-05	0.00648404
7	7000	7.04444	97.663	2.77e-05	2.62143e-05	0	3.25086e-05	2.4e-07	3.60514e-05	0.00673307
7	7000	7.13524	97.6996	2.80086e-05	2.64143e-05	0	3.274e-05	2.4e-07	3.62029e-05	0.00683893
7	7000	6.90916	97.6255	2.76886e-05	2.62429e-05	0	3.24657e-05	2.4e-07	3.598e-05	0.0065977
7	7000	6.86114	97.6017	2.76057e-05	2.604e-05	0	3.22886e-05	2.4e-07	3.60314e-05	0.0065398
7	7000	6.90774	97.6158	2.76457e-05	2.61114e-05	0	3.23857e-05	2.4e-07	3.59371e-05	0.00659151
7	7000	6.85055	97.6009	2.77029e-05	2.61714e-05	0	3.24571e-05	2.4e-07	3.60857e-05	0.00653381
7	7000	7.08004	97.67	2.77057e-05	2.61371e-05	0	3.24114e-05	2.4e-07	3.59629e-05	0.00675241
8	8000	10.4149	98.2255	2.95086e-05	2.79457e-05	0	3.46229e-05	2.51429e-07	3.73057e-05	0.010062
8	8000	10.2278	98.1892	2.92229e-05	2.76457e-05	0	3.42857e-05	2.51429e-07	3.72657e-05	0.0098421
8	8000	10.5084	98.2405	2.94457e-05	2.78543e-05	0	3.45114e-05	2.51429e-07	3.722e-05	0.0101496
8	8000	10.625	98.2632	2.97571e-05	2.81829e-05	0	3.48714e-05	2.51429e-07	3.76e-05	0.0103102
8	8000	10.7458	98.2813	2.95943e-05	2.79771e-05	0	3.46971e-05	2.51429e-07	3.76343e-05	0.0104399
8	8000	10.5211	98.242	2.94057e-05	2.78543e-05	0	3.45029e-05	2.48571e-07	3.73743e-05	0.010193
8	8000	10.4293	98.2222	2.92857e-05	2.77514e-05	0	3.43714e-05	2.51429e-07	3.728e-05	0.0100999
8	8000	10.4099	98.2262	2.96114e-05	2.79686e-05	0	3.46686e-05	2.51429e-07	3.74857e-05	0.0100554
8	8000	10.672	98.2729	2.98086e-05	2.81743e-05	0	3.49229e-05	2.51429e-07	3.75914e-05	0.0103425
8	8000	10.162	98.1782	2.92771e-05	2.77143e-05	0	3.43314e-05	2.48571e-07	3.73086e-05	0.00975407
9	9000	14.5789	98.5852	3.06314e-05	2.892e-05	0	3.59314e-05	2.31429e-07	3.81657e-05	0.00194057
9	9000	14.4846	98.576	3.05886e-05	2.89457e-05	0	3.59114e-05	2.31429e-07	3.81029e-05	0.00177723
9	9000	14.8589	98.6124	3.07171e-05	2.896e-05	0	3.59829e-05	2.31429e-07	3.80914e-05	0.002216
9	9000	15.0569	98.6313	3.09571e-05	2.926e-05	0	3.63114e-05	2.31429e-07	3.82914e-05	0.00240908
9	9000	14.396	98.5662	3.07857e-05	2.90514e-05	0	3.60257e-05	2.31429e-07	3.80314e-05	0.00171644
9	9000	14.4404	98.5701	3.05829e-05	2.886e-05	0	3.58486e-05	2.31429e-07	3.802e-05	0.00177995
9	9000	14.5882	98.5869	3.07686e-05	2.90743e-05	0	3.60714e-05	2.31429e-07	3.83e-05	0.00191789
9	9000	14.2982	98.5556	3.06457e-05	2.89743e-05	0	3.59086e-05	2.31429e-07	3.80543e-05	0.00153821
9	9000	14.629	98.5889	3.05914e-05	2.88343e-05	0	3.58029e-05	2.31429e-07	3.80971e-05	0.00197237
9	9000	14.1739	98.5407	3.02257e-05	2.85429e-05	0	3.54657e-05	2.31429e-07	3.78371e-05	0.00138773
10	10000	19.4845	98.831	3.16486e-05	2.98286e-05	0	3.71029e-05	2.28571e-07	3.88657e-05	0.00676979
10	10000	19.3648	98.8244	3.18314e-05	3.00771e-05	0	3.73143e-05	2.28571e-07	3.888e-05	0.00660327
10	10000	19.1903	98.8115	3.15457e-05	2.97171e-05	0	3.69229e-05	2.28571e-07	3.85857e-05	0.00647666
10	10000	19.2469	98.817	3.18114e-05	3.002e-05	0	3.73457e-05	2.28571e-07	3.88029e-05	0.00644125
10	10000	18.9237	98.7955	3.152e-05	2.974e-05	0	3.69771e-05	2.28571e-07	3.88543e-05	0.00611565
10	10000	19.2042	98.814	3.15857e-05	2.98086e-05	0	3.70714e-05	2.28571e-07	3.888e-05	0.00651456
10	10000	19.2993	98.8191	3.15343e-05	2.97571e-05	0	3.69943e-05	2.28571e-07	3.87857e-05	0.00661172
10	10000	18.7899	98.7893	3.148e-05	2.96857e-05	0	3.69114e-05	2.28571e-07	3.89629e-05	0.00594599
10	10000	19.424	98.8283	3.18171e-05	2.99943e-05	0	3.73143e-05	2.28571e-07	3.90829e-05	0.00663722
10	10000	19.491	98.8333	3.19886e-05	3.01457e-05	0	3.74657e-05	2.28571e-07	3.91114e-05	0.00663191
11	11000	24.0779	98.9609	3.226e-05	3.03543e-05	0	3.78657e-05	2.51429e-07	3.90857e-05	0.0112076
11	11000	24.5004	98.9814	3.248e-05	3.05771e-05	0	3.80714e-05	2.51429e-07	3.93857e-05	0.011583
11	11000	24.4872	98.9803	3.24971e-05	3.05571e-05	0	3.80914e-05	2.51429e-07	3.906e-05	0.011568
11	11000	24.7324	98.9914	3.24857e-05	3.06429e-05	0	3.81571e-05	2.51429e-07	3.938e-05	0.0118484
11	11000	24.9192	98.9973	3.24629e-05	3.05429e-05	0	3.80543e-05	2.51429e-07	3.92857e-05	0.00535318
11	11000	23.9435	98.957	3.21029e-05	3.03e-05	0	3.76686e-05	2.51429e-07	3.90514e-05	0.0110738
11	11000	24.7129	98.9905	3.274e-05	3.082e-05	0	3.83714e-05	2.51429e-07	3.94857e-05	0.0120042
11	11000	24.8182	98.9943	3.24657e-05	3.05771e-05	0	3.80514e-05	2.51429e-07	3.932e-05	0.0120371
11	11000	24.27	98.97	3.21914e-05	3.03657e-05	0	3.78057e-05	2.51429e-07	3.908e-05	0.0114503
11	11000	24.1584	98.967	3.23857e-05	3.05143e-05	0	3.79857e-05	2.51429e-07	3.90543e-05	0.011175
12	12000	32.7545	99.172	3.38086e-05	3.17686e-05	0	3.96057e-05	2.4e-07	4.04457e-05	0.00753618
12	12000	32.1492	99.1567	3.35914e-05	3.15771e-05	0	3.94029e-05	2.4e-07	4.02629e-05	0.00704014
12	12000	31.471	99.1382	3.37029e-05	3.15857e-05	0	3.93971e-05	2.4e-07	4.02429e-05	0.00620325
12	12000	31.1477	99.1281	3.33914e-05	3.13343e-05	0	3.90914e-05	2.4e-07	4.00371e-05	0.00584293
12	12000	32.1661	99.1575	3.36314e-05	3.16171e-05	0	3.94486e-05	2.4e-07	4.01971e-05	0.00699351
12	12000	31.3084	99.1317	3.29229e-05	3.09371e-05	0	3.86457e-05	2.4e-07	3.97686e-05	0.0059454
