N_THREADS	N_TRANSACTIONS	TIME	N_ABORTS	PROCESS_READ_TIME	PROCESS_WRITE_TIME	PROCESS_VALIDATION_TIME	PROCESS_OTHER_TIME	COMMIT_VALIDATION_TIME	COMMIT_OTHER_TIME	WASTED_TIME
1	1000	0.200641	0	1.76371e-05	1.75714e-05	0	2.03286e-05	2.51429e-07	3.07829e-05	2.41714e-06	0.28
1	1000	0.200632	0	1.76343e-05	1.75543e-05	0	2.034e-05	2.51429e-07	3.07914e-05	2.40857e-06	0.26
1	1000	0.200627	0	1.76343e-05	1.75714e-05	0	2.03171e-05	2.51429e-07	3.07914e-05	2.41714e-06	0.26
1	1000	0.200671	0	1.76457e-05	1.75743e-05	0	2.03286e-05	2.48571e-07	3.08057e-05	2.42e-06	0.26
1	1000	0.200633	0	1.76429e-05	1.75629e-05	0	2.03114e-05	2.51429e-07	3.07886e-05	2.41714e-06	0.26
1	1000	0.200615	0	1.76229e-05	1.75686e-05	0	2.03343e-05	2.51429e-07	3.07686e-05	2.41143e-06	0.26
1	1000	0.200666	0	1.76371e-05	1.75714e-05	0	2.03286e-05	2.48571e-07	3.07971e-05	2.41714e-06	0.26
1	1000	0.200635	0	1.764e-05	1.75571e-05	0	2.03314e-05	2.51429e-07	3.07886e-05	2.41429e-06	0.26
1	1000	0.200641	0	1.764e-05	1.75657e-05	0	2.03229e-05	2.48571e-07	3.07914e-05	2.42e-06	0.26
1	1000	0.200626	0	1.76429e-05	1.75629e-05	0	2.03171e-05	2.51429e-07	3.078e-05	2.41714e-06	0.26
2	2000	0.202992	0.645802	1.80514e-05	1.786e-05	0	2.064e-05	2.51429e-07	3.138e-05	2.76857e-06	0.29
2	2000	0.203798	1.38067	1.81086e-05	1.79629e-05	0	2.07229e-05	2.51429e-07	3.15714e-05	3.12857e-06	0.26
2	2000	0.203599	1.23457	1.80857e-05	1.79314e-05	0	2.07e-05	2.45714e-07	3.15514e-05	3.03714e-06	0.27
2	2000	0.202816	0.744417	1.79743e-05	1.78171e-05	0	2.06029e-05	2.51429e-07	3.13057e-05	2.8e-06	0.27
2	2000	0.202861	0.842836	1.798e-05	1.78343e-05	0	2.06286e-05	2.51429e-07	3.13686e-05	2.70571e-06	0.26
2	2000	0.202893	1.13693	1.79686e-05	1.78086e-05	0	2.06e-05	2.51429e-07	3.128e-05	2.95429e-06	0.26
2	2000	0.202444	0.299103	1.79371e-05	1.77771e-05	0	2.058e-05	2.51429e-07	3.12486e-05	2.60857e-06	0.26
2	2000	0.202126	0.249377	1.78286e-05	1.76914e-05	0	2.05229e-05	2.51429e-07	3.11314e-05	2.56286e-06	0.26
2	2000	0.202669	0.348779	1.79429e-05	1.78057e-05	0	2.06114e-05	2.51429e-07	3.13e-05	2.60286e-06	0.26
2	2000	0.203299	0.398406	1.81086e-05	1.79571e-05	0	2.06943e-05	2.51429e-07	3.15714e-05	2.66286e-06	0.26
3	3000	0.208927	2.18455	1.89257e-05	1.87629e-05	0	2.15171e-05	2.48571e-07	3.29057e-05	3.62571e-06	0.29
3	3000	0.207407	1.89666	1.876e-05	1.856e-05	0	2.13143e-05	2.48571e-07	3.25686e-05	3.41143e-06	0.27
3	3000	0.208865	3.50595	1.88257e-05	1.86571e-05	0	2.14229e-05	2.48571e-07	3.27057e-05	4.14e-06	0.27
3	3000	0.207161	1.92873	1.87086e-05	1.84571e-05	0	2.124e-05	2.48571e-07	3.24657e-05	3.42571e-06	0.27
3	3000	0.207931	2.62902	1.87857e-05	1.85657e-05	0	2.13629e-05	2.48571e-07	3.26086e-05	3.73143e-06	0.27
3	3000	0.208238	3.13206	1.87943e-05	1.85743e-05	0	2.132e-05	2.48571e-07	3.26057e-05	4.00286e-06	0.27
3	3000	0.208107	3.50595	1.87143e-05	1.84543e-05	0	2.12657e-05	2.48571e-07	3.25086e-05	4.10857e-06	0.27
3	3000	0.208149	2.37553	1.87886e-05	1.85771e-05	0	2.13457e-05	2.48571e-07	3.26486e-05	3.65143e-06	0.27
3	3000	0.207928	2.62902	1.87886e-05	1.85714e-05	0	2.13543e-05	2.48571e-07	3.26229e-05	3.65143e-06	0.27
3	3000	0.209346	3.81533	1.87914e-05	1.85857e-05	0	2.13629e-05	2.48571e-07	3.26514e-05	4.82e-06	0.27
4	4000	0.215858	4.82988	1.99114e-05	1.97057e-05	0	2.25229e-05	2.51429e-07	3.44257e-05	5.45714e-06	0.30
4	4000	0.216534	4.60291	2e-05	1.98086e-05	0	2.26343e-05	2.48571e-07	3.46371e-05	5.06857e-06	0.28
4	4000	0.214664	4.73922	1.98429e-05	1.95571e-05	0	2.23857e-05	2.51429e-07	3.42514e-05	5.05714e-06	0.28
4	4000	0.215686	5.37024	1.992e-05	1.96886e-05	0	2.25057e-05	2.45714e-07	3.44257e-05	5.34e-06	0.28
4	4000	0.215521	4.4662	2.00171e-05	1.97657e-05	0	2.25686e-05	2.51429e-07	3.45914e-05	5.03714e-06	0.28
4	4000	0.215937	4.30622	1.99029e-05	1.96971e-05	0	2.25029e-05	2.48571e-07	3.44829e-05	4.73714e-06	0.28
4	4000	0.215197	3.52147	2.00629e-05	1.98057e-05	0	2.26143e-05	2.48571e-07	3.46543e-05	4.47429e-06	0.28
4	4000	0.215103	4.69383	1.986e-05	1.96457e-05	0	2.24657e-05	2.51429e-07	3.43714e-05	4.90571e-06	0.28
