N_THREADS	N_TRANSACTIONS	TIME	N_ABORTS	PROCESS_READ_TIME	PROCESS_WRITE_TIME	PROCESS_VALIDATION_TIME	PROCESS_OTHER_TIME	COMMIT_VALIDATION_TIME	COMMIT_OTHER_TIME	WASTED_TIME
1	1000	1.39125	0	0.000256417	0.000164277	0	0.000738697	2.51429e-07	0.000222629	2.36286e-06	1.48
1	1000	1.39142	0	0.000256477	0.000164323	0	0.000738651	2.51429e-07	0.000222729	2.36286e-06	1.48
1	1000	1.39136	0	0.000256497	0.000164306	0	0.000738629	2.51429e-07	0.000222694	2.36286e-06	1.48
1	1000	1.39143	0	0.000256483	0.000164294	0	0.000738657	2.48571e-07	0.000222766	2.36e-06	1.48
1	1000	1.39127	0	0.000256446	0.000164291	0	0.000738677	2.51429e-07	0.000222634	2.36e-06	1.48
1	1000	1.39134	0	0.000256457	0.000164289	0	0.000738711	2.51429e-07	0.000222643	2.36571e-06	1.48
1	1000	1.39122	0	0.000256423	0.00016428	0	0.00073864	2.51429e-07	0.000222649	2.36e-06	1.48
1	1000	1.39105	0	0.000256369	0.000164183	0	0.000738654	2.51429e-07	0.000222597	2.35429e-06	1.48
1	1000	1.39144	0	0.0002565	0.000164366	0	0.000738683	2.51429e-07	0.000222671	2.36e-06	1.48
1	1000	1.39133	0	0.000256471	0.00016428	0	0.000738677	2.51429e-07	0.000222677	2.35714e-06	1.48
2	2000	1.43792	2.6764	0.000265214	0.000168746	0	0.000745794	2.48571e-07	0.000229009	2.05714e-05	1.54
2	2000	1.43819	2.6764	0.000265391	0.000168911	0	0.00074584	2.48571e-07	0.000228877	2.05657e-05	1.53
2	2000	1.43513	2.24829	0.00026542	0.000168794	0	0.000745763	2.51429e-07	0.000228717	1.76086e-05	1.53
2	2000	1.43969	2.58159	0.000265726	0.00016916	0	0.000746046	2.51429e-07	0.000228917	2.14e-05	1.54
2	2000	1.43876	2.6764	0.000265566	0.000169029	0	0.000745934	2.48571e-07	0.000229049	2.05714e-05	1.53
2	2000	1.43821	2.53411	0.00026534	0.0001689	0	0.000745846	2.48571e-07	0.000229137	2.03629e-05	1.53
2	2000	1.43834	2.58159	0.00026532	0.000168891	0	0.00074588	2.48571e-07	0.000229169	2.042e-05	1.53
2	2000	1.43641	2.39141	0.000265803	0.000168997	0	0.000746051	2.48571e-07	0.000229014	1.92857e-05	1.53
2	2000	1.43799	2.58159	0.000265666	0.000169006	0	0.000745966	2.51429e-07	0.00022914	2.09029e-05	1.53
