N_THREADS	N_TRANSACTIONS	TIME	N_ABORTS	PROCESS_READ_TIME	PROCESS_WRITE_TIME	PROCESS_VALIDATION_TIME	PROCESS_OTHER_TIME	COMMIT_VALIDATION_TIME	COMMIT_OTHER_TIME	WASTED_TIME
1	1000	1.17943	0	0.000164223	0.000164243	0	0.000629854	2.51429e-07	0.000211923	2.47143e-06	1.28
1	1000	1.1796	0	0.000164263	0.000164314	0	0.000629826	2.48571e-07	0.000212017	2.47143e-06	1.28
1	1000	1.17956	0	0.000164243	0.0001643	0	0.00062982	2.48571e-07	0.000212026	2.45429e-06	1.27
1	1000	1.17937	0	0.000164209	0.000164214	0	0.000629857	2.51429e-07	0.000211894	2.46857e-06	1.27
1	1000	1.17961	0	0.000164277	0.00016432	0	0.00062982	2.51429e-07	0.000212009	2.46857e-06	1.27
1	1000	1.17939	0	0.000164203	0.00016424	0	0.000629843	2.48571e-07	0.000211926	2.46286e-06	1.27
1	1000	1.17973	0	0.00016432	0.000164349	0	0.000629809	2.51429e-07	0.000212071	2.46e-06	1.27
1	1000	1.17974	0	0.00016428	0.000164349	0	0.000629843	2.51429e-07	0.00021208	2.47143e-06	1.27
1	1000	1.17976	0	0.000164274	0.000164371	0	0.000629811	2.51429e-07	0.00021212	2.46571e-06	1.27
1	1000	1.1797	0	0.000164266	0.000164334	0	0.00062982	2.48571e-07	0.0002121	2.47143e-06	1.27
2	2000	1.21205	2.86547	0.000169109	0.000168629	0	0.000632906	2.51429e-07	0.000216814	1.72029e-05	1.31
2	2000	1.21111	2.77103	0.000168891	0.000168634	0	0.000632811	2.51429e-07	0.000217197	1.60771e-05	1.30
2	2000	1.21024	2.77103	0.000169066	0.000168617	0	0.000632894	2.48571e-07	0.000216857	1.47343e-05	1.31
2	2000	1.21189	2.72374	0.000168786	0.000168483	0	0.000632751	2.48571e-07	0.00021742	1.65771e-05	1.30
2	2000	1.212	2.86547	0.000168874	0.000168689	0	0.000632851	2.51429e-07	0.000216977	1.66486e-05	1.31
2	2000	1.21454	2.95973	0.000168731	0.000168594	0	0.000632811	2.51429e-07	0.000217234	1.73914e-05	1.32
2	2000	1.21115	2.95973	0.000168811	0.000168557	0	0.000632837	2.51429e-07	0.000217226	1.62343e-05	1.31
2	2000	1.21216	3.00679	0.000168831	0.000168594	0	0.000632829	2.48571e-07	0.00021702	1.62971e-05	1.30
2	2000	1.21202	3.00679	0.000168874	0.000168509	0	0.000632851	2.51429e-07	0.00021692	1.63029e-05	1.30
2	2000	1.211	2.86547	0.000168989	0.000168583	0	0.000632851	2.51429e-07	0.000216906	1.61886e-05	1.31
3	3000	1.25298	4.82234	0.00017504	0.000174394	0	0.000636529	2.48571e-07	0.000224754	3.10486e-05	1.35
3	3000	1.25573	5.57129	0.000174969	0.000174423	0	0.00063654	2.48571e-07	0.000224917	3.43057e-05	1.35
3	3000	1.24853	4.42816	0.000175111	0.000174514	0	0.000636614	2.48571e-07	0.000225514	2.86343e-05	1.34
3	3000	1.25223	5.00317	0.00017514	0.000174469	0	0.000636606	2.48571e-07	0.000225137	3.044e-05	1.35
3	3000	1.25969	5.45225	0.000175311	0.000174597	0	0.000636631	2.48571e-07	0.000224823	3.39771e-05	1.35
3	3000	1.25427	5.15334	0.000175054	0.000174454	0	0.000636591	2.48571e-07	0.000225046	3.16143e-05	1.35
3	3000	1.25016	5.12334	0.000175186	0.000174463	0	0.000636626	2.48571e-07	0.000224697	3.09314e-05	1.34
3	3000	1.25396	5.00317	0.00017544	0.000174734	0	0.00063674	2.48571e-07	0.000224583	3.11886e-05	1.35
3	3000	1.25477	5.18331	0.000175351	0.000174537	0	0.0006366	2.48571e-07	0.000224654	3.18171e-05	1.36
3	3000	1.25749	5.30303	0.00017534	0.000174711	0	0.000636686	2.48571e-07	0.000224449	2.99686e-05	1.35
4	4000	1.30263	7.25713	0.000184003	0.000183183	0	0.000642183	2.51429e-07	0.000236066	4.40229e-05	1.40
