N_THREADS	N_TRANSACTIONS	TIME	N_ABORTS	PROCESS_READ_TIME	PROCESS_WRITE_TIME	PROCESS_VALIDATION_TIME	PROCESS_OTHER_TIME	COMMIT_VALIDATION_TIME	COMMIT_OTHER_TIME	WASTED_TIME
1	1000	0.710903	0	3.08286e-05	6.914e-05	0	0.000586054	2.51429e-07	2.16029e-05	1.13143e-06	0.83
1	1000	0.710786	0	3.08229e-05	6.91343e-05	0	0.00058598	2.51429e-07	2.15714e-05	1.13143e-06	0.80
1	1000	0.710819	0	3.082e-05	6.91314e-05	0	0.000586003	2.51429e-07	2.15857e-05	1.13143e-06	0.80
1	1000	0.710976	0	3.084e-05	6.91457e-05	0	0.000586103	2.51429e-07	2.16086e-05	1.13143e-06	0.80
1	1000	0.710989	0	3.08314e-05	6.91486e-05	0	0.00058612	2.48571e-07	2.16114e-05	1.13429e-06	0.80
1	1000	0.710944	0	3.08514e-05	6.91457e-05	0	0.000586063	2.51429e-07	2.16057e-05	1.13429e-06	0.80
1	1000	0.710984	0	3.08371e-05	6.91486e-05	0	0.000586114	2.51429e-07	2.16057e-05	1.13143e-06	0.80
1	1000	0.71082	0	3.08429e-05	6.91343e-05	0	0.000585983	2.51429e-07	2.15857e-05	1.12857e-06	0.80
1	1000	0.710919	0	3.082e-05	6.91457e-05	0	0.000586066	2.51429e-07	2.16086e-05	1.13143e-06	0.80
1	1000	0.710883	0	3.084e-05	6.91371e-05	0	0.000586031	2.51429e-07	2.15971e-05	1.13143e-06	0.80
2	2000	0.722877	3.19458	3.08629e-05	6.91486e-05	0	0.000586171	2.48571e-07	2.16457e-05	1.24143e-05	0.84
2	2000	0.722887	3.19458	3.08543e-05	6.91429e-05	0	0.000586186	2.45714e-07	2.16429e-05	1.20771e-05	0.81
2	2000	0.722772	3.24141	3.08514e-05	6.91429e-05	0	0.000586083	2.48571e-07	2.16286e-05	1.22171e-05	0.81
2	2000	0.722904	3.05381	3.086e-05	6.914e-05	0	0.000586203	2.51429e-07	2.16343e-05	1.20686e-05	0.81
2	2000	0.722864	3.24141	3.08686e-05	6.91514e-05	0	0.000586151	2.48571e-07	2.16429e-05	1.25514e-05	0.81
2	2000	0.721231	2.72374	3.088e-05	6.91629e-05	0	0.000586214	2.48571e-07	2.16314e-05	1.10143e-05	0.81
2	2000	0.722905	3.52147	3.08543e-05	6.91514e-05	0	0.000586197	2.51429e-07	2.16314e-05	1.25714e-05	0.82
2	2000	0.722962	3.38164	3.08486e-05	6.91486e-05	0	0.000586189	2.51429e-07	2.16829e-05	1.24429e-05	0.81
2	2000	0.722926	3.24141	3.08686e-05	6.91486e-05	0	0.000586214	2.51429e-07	2.16371e-05	1.242e-05	0.80
2	2000	0.721519	2.62902	3.086e-05	6.91486e-05	0	0.000586217	2.48571e-07	2.16257e-05	1.15143e-05	0.81
3	3000	0.730519	6.60025	3.08943e-05	6.916e-05	0	0.000586211	2.48571e-07	2.16943e-05	1.94514e-05	0.85
3	3000	0.732219	5.77889	3.08914e-05	6.91686e-05	0	0.000586234	2.48571e-07	2.16543e-05	2.098e-05	0.83
3	3000	0.729619	5.92662	3.08914e-05	6.916e-05	0	0.000586229	2.48571e-07	2.16629e-05	1.79743e-05	0.82
3	3000	0.732264	6.42545	3.08857e-05	6.91657e-05	0	0.000586237	2.48571e-07	2.16571e-05	2.09914e-05	0.83
3	3000	0.73171	6.54206	3.08829e-05	6.91571e-05	0	0.000586249	2.48571e-07	2.16514e-05	2.07429e-05	0.82
3	3000	0.732663	6.97674	3.09e-05	6.916e-05	0	0.000586189	2.48571e-07	2.17143e-05	2.12943e-05	0.83
3	3000	0.731098	6.91902	3.08971e-05	6.91629e-05	0	0.0005862	2.48571e-07	2.16886e-05	2.01714e-05	0.82
3	3000	0.732897	6.74541	3.08886e-05	6.916e-05	0	0.000586189	2.48571e-07	2.168e-05	2.22486e-05	0.83
3	3000	0.73211	5.24321	3.088e-05	6.91514e-05	0	0.000586243	2.48571e-07	2.16629e-05	2.11343e-05	0.82
3	3000	0.7329	6.48379	3.08943e-05	6.91657e-05	0	0.00058624	2.48571e-07	2.16629e-05	2.11086e-05	0.83
4	4000	0.747255	9.17348	3.09286e-05	6.91829e-05	0	0.000586326	2.48571e-07	2.16886e-05	2.94e-05	0.86
4	4000	0.744322	9.33817	3.092e-05	6.91657e-05	0	0.000586186	2.45714e-07	2.16886e-05	3.012e-05	0.84
4	4000	0.741745	8.63408	3.09171e-05	6.91943e-05	0	0.000586314	2.48571e-07	2.16886e-05	2.83029e-05	0.83
4	4000	0.746228	10.5546	3.092e-05	6.91657e-05	0	0.000586349	2.51429e-07	2.16771e-05	3.10429e-05	0.84
4	4000	0.745558	9.80834	3.09143e-05	6.916e-05	0	0.000586343	2.51429e-07	2.16971e-05	3.01286e-05	0.83
4	4000	0.745848	9.68616	3.09286e-05	6.91886e-05	0	0.000586323	2.48571e-07	2.16857e-05	3.18686e-05	0.84
4	4000	0.740298	9.07024	3.09143e-05	6.91914e-05	0	0.000586351	2.51429e-07	2.16943e-05	2.73971e-05	0.83
4	4000	0.746594	8.77993	3.092e-05	6.91886e-05	0	0.000586354	2.51429e-07	2.16857e-05	3.03057e-05	0.84
4	4000	0.745083	9.70655	3.092e-05	6.91771e-05	0	0.00058634	2.48571e-07	2.168e-05	2.94143e-05	0.84
4	4000	0.750958	8.69664	3.092e-05	6.91886e-05	0	0.000586329	2.48571e-07	2.168e-05	3.28543e-05	0.84
5	5000	0.752062	11.8321	3.096e-05	6.91886e-05	0	0.00058638	2.42857e-07	2.17371e-05	4.02114e-05	0.86
5	5000	0.753686	12.6027	3.09629e-05	6.91714e-05	0	0.000586357	2.42857e-07	2.17886e-05	4.07686e-05	0.85
5	5000	0.757496	11.1111	3.09571e-05	6.918e-05	0	0.00058634	2.42857e-07	2.176e-05	4.16086e-05	0.85
5	5000	0.754588	12.7247	3.09571e-05	6.91743e-05	0	0.00058636	2.42857e-07	2.17743e-05	4.21343e-05	0.84
5	5000	0.753584	12.3883	3.09514e-05	6.91886e-05	0	0.000586337	2.42857e-07	2.17457e-05	4.03943e-05	0.85
5	5000	0.754408	11.7387	3.094e-05	6.91714e-05	0	0.000586366	2.42857e-07	2.17657e-05	3.90943e-05	0.85
5	5000	0.758238	12.3729	3.09571e-05	6.918e-05	0	0.00058634	2.42857e-07	2.17743e-05	4.22114e-05	0.85
5	5000	0.757164	13.9415	3.09571e-05	6.91657e-05	0	0.000586346	2.42857e-07	2.17771e-05	4.48486e-05	0.86
5	5000	0.756796	13.7187	3.09543e-05	6.91914e-05	0	0.000586329	2.42857e-07	2.17571e-05	4.12286e-05	0.84
5	5000	0.759405	12.74	3.096e-05	6.918e-05	0	0.00058636	2.42857e-07	2.17543e-05	4.29514e-05	0.85
6	6000	0.765306	13.9415	3.09771e-05	6.91971e-05	0	0.000586437	2.4e-07	2.18e-05	5.03257e-05	0.88
6	6000	0.770397	14.2367	3.09686e-05	6.91971e-05	0	0.000586429	2.4e-07	2.18029e-05	5.13314e-05	0.86
6	6000	0.764239	13.6939	3.09829e-05	6.91971e-05	0	0.000586423	2.4e-07	2.18171e-05	5.07457e-05	0.86
6	6000	0.762375	14.6272	3.09886e-05	6.91886e-05	0	0.00058642	2.4e-07	2.18086e-05	4.756e-05	0.85
6	6000	0.762052	14.9419	3.09771e-05	6.92114e-05	0	0.000586431	2.4e-07	2.18029e-05	4.76257e-05	0.86
6	6000	0.768015	14.2122	3.09886e-05	6.92086e-05	0	0.000586431	2.4e-07	2.18171e-05	4.94857e-05	0.86
6	6000	0.772113	15.0863	3.098e-05	6.91971e-05	0	0.000586403	2.4e-07	2.18229e-05	4.65629e-05	0.86
6	6000	0.764463	15.0743	3.09857e-05	6.91914e-05	0	0.000586417	2.4e-07	2.18086e-05	4.85857e-05	0.86
6	6000	0.768293	15.4215	3.09886e-05	6.92029e-05	0	0.000586426	2.4e-07	2.17943e-05	5.00429e-05	0.86
6	6000	0.763664	14.9901	3.09686e-05	6.92029e-05	0	0.000586449	2.4e-07	2.18114e-05	4.858e-05	0.85
