N_THREADS	N_TRANSACTIONS	TIME	N_ABORTS	PROCESS_READ_TIME	PROCESS_WRITE_TIME	PROCESS_VALIDATION_TIME	PROCESS_OTHER_TIME	COMMIT_VALIDATION_TIME	COMMIT_OTHER_TIME	WASTED_TIME
1	1000	0.197296	0	1.31114e-05	2.46686e-05	0	2.03429e-05	2.51429e-07	1.35743e-05	2.44286e-06
1	1000	0.197306	0	1.31171e-05	2.46771e-05	0	2.03486e-05	2.48571e-07	1.35714e-05	2.44857e-06
1	1000	0.197319	0	1.31229e-05	2.46714e-05	0	2.03457e-05	2.48571e-07	1.35829e-05	2.44286e-06
1	1000	0.197269	0	1.31086e-05	2.46657e-05	0	2.03343e-05	2.48571e-07	1.35657e-05	2.45143e-06
1	1000	0.197309	0	1.31171e-05	2.468e-05	0	2.034e-05	2.51429e-07	1.35771e-05	2.44571e-06
1	1000	0.197299	0	1.31257e-05	2.46714e-05	0	2.03429e-05	2.48571e-07	1.35686e-05	2.44286e-06
1	1000	0.197294	0	1.31143e-05	2.46714e-05	0	2.03429e-05	2.51429e-07	1.35686e-05	2.44571e-06
1	1000	0.197311	0	1.31171e-05	2.46714e-05	0	2.03371e-05	2.48571e-07	1.35857e-05	2.44857e-06
1	1000	0.197293	0	1.31114e-05	2.46686e-05	0	2.03429e-05	2.51429e-07	1.358e-05	2.44857e-06
1	1000	0.197298	0	1.31086e-05	2.46686e-05	0	2.03457e-05	2.48571e-07	1.35829e-05	2.44571e-06
2	2000	0.199059	0.447984	1.33629e-05	2.50714e-05	0	2.06514e-05	2.51429e-07	1.38743e-05	2.63714e-06
2	2000	0.198826	0.447984	1.33143e-05	2.498e-05	0	2.06e-05	2.45714e-07	1.38457e-05	2.58857e-06
2	2000	0.198597	0.348779	1.328e-05	2.49057e-05	0	2.056e-05	2.51429e-07	1.38171e-05	2.55429e-06
2	2000	0.19903	0.447984	1.33514e-05	2.508e-05	0	2.06343e-05	2.51429e-07	1.386e-05	2.64e-06
2	2000	0.198578	0.497512	1.32686e-05	2.49029e-05	0	2.05314e-05	2.51429e-07	1.37771e-05	2.65143e-06
2	2000	0.199225	0.546992	1.33914e-05	2.51429e-05	0	2.06914e-05	2.48571e-07	1.38943e-05	2.64571e-06
2	2000	0.198356	0.249377	1.32486e-05	2.48686e-05	0	2.05143e-05	2.51429e-07	1.37371e-05	2.52857e-06
2	2000	0.198203	0.249377	1.322e-05	2.48457e-05	0	2.04857e-05	2.51429e-07	1.36971e-05	2.51714e-06
2	2000	0.199163	0.744417	1.33543e-05	2.504e-05	0	2.06486e-05	2.48571e-07	1.39029e-05	2.70857e-06
2	2000	0.198201	0.299103	1.32171e-05	2.48343e-05	0	2.048e-05	2.51429e-07	1.36971e-05	2.52286e-06
3	3000	0.202183	2.31195	1.36657e-05	2.55743e-05	0	2.10829e-05	2.48571e-07	1.42571e-05	3.43714e-06
3	3000	0.201178	1.7038	1.36143e-05	2.54486e-05	0	2.10057e-05	2.48571e-07	1.42457e-05	2.90571e-06
3	3000	0.202463	1.60708	1.38457e-05	2.59343e-05	0	2.13e-05	2.48571e-07	1.44143e-05	2.97429e-06
3	3000	0.201954	1.47783	1.37457e-05	2.57457e-05	0	2.116e-05	2.48571e-07	1.43314e-05	2.96e-06
