N_THREADS	N_TRANSACTIONS	TIME	N_ABORTS	PROCESS_READ_TIME	PROCESS_WRITE_TIME	PROCESS_VALIDATION_TIME	PROCESS_OTHER_TIME	COMMIT_VALIDATION_TIME	COMMIT_OTHER_TIME	WASTED_TIME
1	1000	0.186695	0	1.31171e-05	2.49771e-05	0	2.03229e-05	2.51429e-07	1.4e-05	2.37429e-06	0.27
1	1000	0.186644	0	1.31171e-05	2.49571e-05	0	2.03057e-05	2.48571e-07	1.39886e-05	2.37714e-06	0.25
1	1000	0.186661	0	1.31229e-05	2.49657e-05	0	2.032e-05	2.51429e-07	1.39829e-05	2.37429e-06	0.25
1	1000	0.186676	0	1.31229e-05	2.49771e-05	0	2.03086e-05	2.48571e-07	1.39914e-05	2.38e-06	0.25
1	1000	0.186672	0	1.31229e-05	2.49714e-05	0	2.03086e-05	2.48571e-07	1.39886e-05	2.38571e-06	0.25
1	1000	0.186676	0	1.31257e-05	2.49629e-05	0	2.03143e-05	2.51429e-07	1.39943e-05	2.38571e-06	0.25
1	1000	0.186695	0	1.31171e-05	2.49857e-05	0	2.03114e-05	2.51429e-07	1.39943e-05	2.38857e-06	0.25
1	1000	0.186677	0	1.31286e-05	2.49629e-05	0	2.03114e-05	2.51429e-07	1.39914e-05	2.38286e-06	0.25
1	1000	0.186684	0	1.31229e-05	2.498e-05	0	2.03143e-05	2.51429e-07	1.39914e-05	2.38286e-06	0.25
1	1000	0.186653	0	1.312e-05	2.49686e-05	0	2.03057e-05	2.51429e-07	1.39886e-05	2.38e-06	0.25
2	2000	0.188073	0.299103	1.32914e-05	2.522e-05	0	2.056e-05	2.48571e-07	1.42314e-05	2.50286e-06	0.27
2	2000	0.187595	0.199601	1.32286e-05	2.50829e-05	0	2.046e-05	2.51429e-07	1.41029e-05	2.48286e-06	0.25
2	2000	0.188051	0.199601	1.33029e-05	2.52229e-05	0	2.05571e-05	2.48571e-07	1.42029e-05	2.49429e-06	0.25
2	2000	0.187639	0.0999001	1.32257e-05	2.50857e-05	0	2.04629e-05	2.51429e-07	1.414e-05	2.46857e-06	0.25
2	2000	0.188026	0.348779	1.32886e-05	2.52086e-05	0	2.05457e-05	2.48571e-07	1.42e-05	2.52e-06	0.25
2	2000	0.18788	0.199601	1.32657e-05	2.51571e-05	0	2.05229e-05	2.48571e-07	1.41971e-05	2.48571e-06	0.25
2	2000	0.187967	0.299103	1.32857e-05	2.51857e-05	0	2.054e-05	2.48571e-07	1.418e-05	2.50571e-06	0.25
2	2000	0.187836	0.149775	1.326e-05	2.51343e-05	0	2.05143e-05	2.51429e-07	1.41743e-05	2.47714e-06	0.25
2	2000	0.187449	0.0999001	1.32e-05	2.50286e-05	0	2.04314e-05	2.51429e-07	1.40771e-05	2.46286e-06	0.25
2	2000	0.187582	0.0999001	1.32229e-05	2.50629e-05	0	2.04571e-05	2.48571e-07	1.41343e-05	2.46286e-06	0.25
3	3000	0.191876	2.37553	1.37857e-05	2.60971e-05	0	2.12229e-05	2.48571e-07	1.47371e-05	3.25429e-06	0.28
3	3000	0.191025	0.990099	1.37286e-05	2.596e-05	0	2.11343e-05	2.48571e-07	1.46314e-05	2.80571e-06	0.25
3	3000	0.190723	1.41308	1.368e-05	2.58257e-05	0	2.10629e-05	2.48571e-07	1.46686e-05	2.81429e-06	0.25
3	3000	0.19131	1.7038	1.37114e-05	2.59171e-05	0	2.11114e-05	2.48571e-07	1.46971e-05	3.07143e-06	0.25
3	3000	0.191933	1.80033	1.37829e-05	2.60314e-05	0	2.12057e-05	2.48571e-07	1.476e-05	3.18571e-06	0.25
3	3000	0.190699	1.51018	1.36771e-05	2.582e-05	0	2.10629e-05	2.48571e-07	1.46257e-05	2.86e-06	0.25
3	3000	0.19116	1.5425	1.37314e-05	2.59257e-05	0	2.11257e-05	2.48571e-07	1.46771e-05	2.88571e-06	0.25
3	3000	0.191235	1.47783	1.37371e-05	2.59486e-05	0	2.11571e-05	2.48571e-07	1.46771e-05	2.98571e-06	0.25
3	3000	0.192037	2.37553	1.376e-05	2.602e-05	0	2.118e-05	2.48571e-07	1.47143e-05	3.32e-06	0.25
3	3000	0.191478	1.15321	1.38114e-05	2.60829e-05	0	2.12286e-05	2.48571e-07	1.47886e-05	2.86857e-06	0.25
4	4000	0.196566	3.63768	1.446e-05	2.72629e-05	0	2.21543e-05	2.48571e-07	1.546e-05	3.88e-06	0.29
4	4000	0.1963	2.58159	1.44371e-05	2.72543e-05	0	2.21257e-05	2.48571e-07	1.54057e-05	3.54571e-06	0.26
4	4000	0.196136	3.54473	1.43629e-05	2.70686e-05	0	2.20314e-05	2.45714e-07	1.53457e-05	3.79429e-06	0.26
4	4000	0.197006	3.59123	1.452e-05	2.74171e-05	0	2.22343e-05	2.51429e-07	1.54886e-05	3.83429e-06	0.26
4	4000	0.195945	3.1477	1.43457e-05	2.70257e-05	0	2.20029e-05	2.48571e-07	1.53114e-05	3.79143e-06	0.26
4	4000	0.196494	3.218	1.43886e-05	2.71257e-05	0	2.20971e-05	2.51429e-07	1.54143e-05	3.84857e-06	0.26
4	4000	0.195286	2.29604	1.43486e-05	2.70229e-05	0	2.20086e-05	2.51429e-07	1.52914e-05	3.38286e-06	0.26
4	4000	0.196533	3.52147	1.44543e-05	2.732e-05	0	2.21771e-05	2.48571e-07	1.54229e-05	3.86e-06	0.26
4	4000	0.19568	2.65271	1.43943e-05	2.71657e-05	0	2.20657e-05	2.48571e-07	1.53429e-05	3.45714e-06	0.26
4	4000	0.196761	3.33494	1.44486e-05	2.72971e-05	0	2.21629e-05	2.45714e-07	1.54943e-05	3.92857e-06	0.26
5	5000	0.202718	5.12334	1.52543e-05	2.86886e-05	0	2.32886e-05	2.42857e-07	1.63057e-05	4.81714e-06	0.28
5	5000	0.203189	4.48902	1.54371e-05	2.90486e-05	0	2.34857e-05	2.42857e-07	1.64543e-05	4.44857e-06	0.27
5	5000	0.200796	3.15708	1.516e-05	2.85e-05	0	2.31371e-05	2.42857e-07	1.616e-05	3.79714e-06	0.27
5	5000	0.202089	3.64232	1.53429e-05	2.88543e-05	0	2.33571e-05	2.42857e-07	1.63486e-05	4.07714e-06	0.26
5	5000	0.202259	4.85252	1.53114e-05	2.88086e-05	0	2.33314e-05	2.42857e-07	1.63171e-05	4.50571e-06	0.26
5	5000	0.203245	4.63475	1.53857e-05	2.89457e-05	0	2.34286e-05	2.42857e-07	1.64429e-05	4.56857e-06	0.26
5	5000	0.203654	5.46417	1.53914e-05	2.89571e-05	0	2.34457e-05	2.42857e-07	1.646e-05	4.81143e-06	0.26
5	5000	0.202074	4.21456	1.522e-05	2.86029e-05	0	2.322e-05	2.42857e-07	1.62943e-05	4.43429e-06	0.27
5	5000	0.202525	4.21456	1.53429e-05	2.88514e-05	0	2.33771e-05	2.42857e-07	1.63943e-05	4.25429e-06	0.26
5	5000	0.201706	3.77213	1.52629e-05	2.86771e-05	0	2.32629e-05	2.42857e-07	1.62714e-05	4.16571e-06	0.26
6	6000	0.211546	6.30856	1.66314e-05	3.11143e-05	0	2.50829e-05	2.4e-07	1.77943e-05	5.58e-06	0.29
6	6000	0.212122	5.86759	1.67371e-05	3.13714e-05	0	2.52257e-05	2.4e-07	1.78543e-05	5.37143e-06	0.28
6	6000	0.212359	6.42545	1.67286e-05	3.13486e-05	0	2.52171e-05	2.4e-07	1.782e-05	5.72286e-06	0.28
6	6000	0.210743	6.02976	1.658e-05	3.104e-05	0	2.50286e-05	2.4e-07	1.76457e-05	5.22571e-06	0.27
6	6000	0.210864	6.20603	1.65857e-05	3.10457e-05	0	2.504e-05	2.4e-07	1.76714e-05	5.43429e-06	0.27
6	6000	0.211044	6.25	1.658e-05	3.10629e-05	0	2.50171e-05	2.4e-07	1.76486e-05	5.54e-06	0.27
6	6000	0.211114	5.92662	1.65829e-05	3.11057e-05	0	2.50371e-05	2.4e-07	1.76743e-05	5.2e-06	0.27
6	6000	0.211631	6.49836	1.666e-05	3.12086e-05	0	2.51229e-05	2.4e-07	1.776e-05	5.59429e-06	0.27
6	6000	0.210104	5.55643	1.64886e-05	3.08571e-05	0	2.49e-05	2.4e-07	1.768e-05	5.04857e-06	0.27
6	6000	0.211933	6.44004	1.67086e-05	3.13114e-05	0	2.51914e-05	2.4e-07	1.786e-05	5.73143e-06	0.27
7	7000	0.223463	6.84056	1.86e-05	3.46829e-05	0	2.76114e-05	2.4e-07	1.96771e-05	6.43429e-06	0.30
7	7000	0.222838	7.18642	1.84286e-05	3.432e-05	0	2.74029e-05	2.4e-07	1.968e-05	6.51429e-06	0.29
7	7000	0.223578	7.02617	1.85457e-05	3.45971e-05	0	2.75543e-05	2.4e-07	1.96343e-05	6.47714e-06	0.28
7	7000	0.224057	7.72476	1.85314e-05	3.45743e-05	0	2.75571e-05	2.4e-07	1.96886e-05	6.96e-06	0.29
7	7000	0.22231	6.24163	1.84371e-05	3.43829e-05	0	2.74343e-05	2.4e-07	1.96029e-05	5.92e-06	0.29
7	7000	0.223711	7.84623	1.84857e-05	3.44286e-05	0	2.74743e-05	2.4e-07	1.96257e-05	7.01714e-06	0.29
7	7000	0.224043	7.41965	1.85171e-05	3.452e-05	0	2.75171e-05	2.4e-07	1.96343e-05	7e-06	0.29
7	7000	0.224707	7.79768	1.86257e-05	3.47886e-05	0	2.766e-05	2.4e-07	1.978e-05	7.08e-06	0.29
7	7000	0.224517	8.20876	1.86029e-05	3.47171e-05	0	2.76086e-05	2.4e-07	1.97057e-05	6.96286e-06	0.29
