N_THREADS	N_TRANSACTIONS	TIME	N_ABORTS	PROCESS_READ_TIME	PROCESS_WRITE_TIME	PROCESS_VALIDATION_TIME	PROCESS_OTHER_TIME	COMMIT_VALIDATION_TIME	COMMIT_OTHER_TIME	WASTED_TIME
1	1000	0.207814	0	1.15486e-05	2.21943e-05	0	2.03657e-05	2.48571e-07	1.10714e-05	2.38e-06	0.28
1	1000	0.207806	0	1.15457e-05	2.21857e-05	0	2.03629e-05	2.51429e-07	1.10686e-05	2.38e-06	0.25
1	1000	0.207826	0	1.15629e-05	2.21857e-05	0	2.03629e-05	2.51429e-07	1.108e-05	2.38857e-06	0.25
1	1000	0.207814	0	1.156e-05	2.21629e-05	0	2.03457e-05	2.48571e-07	1.10771e-05	2.39143e-06	0.25
1	1000	0.207801	0	1.156e-05	2.21743e-05	0	2.03429e-05	2.51429e-07	1.10743e-05	2.38286e-06	0.25
1	1000	0.207828	0	1.15629e-05	2.21714e-05	0	2.03486e-05	2.51429e-07	1.10686e-05	2.38286e-06	0.25
1	1000	0.207785	0	1.156e-05	2.21743e-05	0	2.03286e-05	2.51429e-07	1.10686e-05	2.38286e-06	0.25
1	1000	0.207821	0	1.15629e-05	2.21771e-05	0	2.03514e-05	2.51429e-07	1.10657e-05	2.38e-06	0.25
1	1000	0.207828	0	1.15629e-05	2.21771e-05	0	2.03457e-05	2.51429e-07	1.10629e-05	2.38571e-06	0.25
1	1000	0.207842	0	1.15629e-05	2.21686e-05	0	2.036e-05	2.51429e-07	1.10714e-05	2.38286e-06	0.25
2	2000	0.209236	3.61446	1.166e-05	2.236e-05	0	2.04257e-05	2.51429e-07	1.12171e-05	2.90857e-06	0.27
2	2000	0.209067	3.38164	1.16543e-05	2.23543e-05	0	2.04371e-05	2.48571e-07	1.12171e-05	2.84571e-06	0.26
2	2000	0.20909	3.56798	1.16571e-05	2.23743e-05	0	2.044e-05	2.51429e-07	1.122e-05	2.84e-06	0.25
2	2000	0.20912	3.75361	1.16571e-05	2.23714e-05	0	2.044e-05	2.51429e-07	1.12229e-05	2.86571e-06	0.25
2	2000	0.20929	3.75361	1.16543e-05	2.238e-05	0	2.04343e-05	2.51429e-07	1.12229e-05	2.93714e-06	0.25
2	2000	0.209309	3.84615	1.16543e-05	2.23714e-05	0	2.04457e-05	2.51429e-07	1.12343e-05	2.93143e-06	0.26
2	2000	0.209244	3.70727	1.166e-05	2.23629e-05	0	2.044e-05	2.51429e-07	1.12143e-05	2.91143e-06	0.24
2	2000	0.209284	3.89236	1.16543e-05	2.23629e-05	0	2.04429e-05	2.48571e-07	1.12143e-05	2.95143e-06	0.26
2	2000	0.209135	3.84615	1.16686e-05	2.23714e-05	0	2.04343e-05	2.48571e-07	1.12257e-05	2.87429e-06	0.26
2	2000	0.209238	3.52147	1.16571e-05	2.23457e-05	0	2.04371e-05	2.51429e-07	1.12257e-05	2.90571e-06	0.25
3	3000	0.211914	11.9201	1.17343e-05	2.24114e-05	0	2.06286e-05	2.48571e-07	1.13457e-05	4.56857e-06	0.28
3	3000	0.212377	12.4088	1.17343e-05	2.24286e-05	0	2.06229e-05	2.48571e-07	1.13543e-05	4.88286e-06	0.26
3	3000	0.212219	12.8667	1.17429e-05	2.24371e-05	0	2.06343e-05	2.48571e-07	1.13629e-05	5.02857e-06	0.26
3	3000	0.211412	11.4522	1.17286e-05	2.24e-05	0	2.05971e-05	2.48571e-07	1.134e-05	4.33714e-06	0.26
3	3000	0.21161	11.7387	1.17257e-05	2.24e-05	0	2.05971e-05	2.48571e-07	1.13314e-05	4.60571e-06	0.26
3	3000	0.211297	11.032	1.17343e-05	2.24e-05	0	2.06057e-05	2.48571e-07	1.13286e-05	4.26571e-06	0.26
3	3000	0.211724	11.6608	1.17371e-05	2.24029e-05	0	2.06171e-05	2.48571e-07	1.13514e-05	4.59143e-06	0.26
3	3000	0.211551	11.946	1.174e-05	2.24229e-05	0	2.06143e-05	2.48571e-07	1.13714e-05	4.38571e-06	0.26
3	3000	0.21151	11.0056	1.17371e-05	2.24e-05	0	2.06257e-05	2.48571e-07	1.13514e-05	4.38286e-06	0.26
3	3000	0.21159	11.5566	1.17286e-05	2.24086e-05	0	2.06257e-05	2.48571e-07	1.13514e-05	4.53714e-06	0.26
4	4000	0.255475	56.8501	1.21943e-05	2.34886e-05	0	2.14943e-05	2.45714e-07	1.18486e-05	4.30057e-05	0.33
4	4000	0.255404	56.1259	1.218e-05	2.34543e-05	0	2.14743e-05	2.48571e-07	1.18286e-05	4.18543e-05	0.30
4	4000	0.254074	56.4981	1.21886e-05	2.34771e-05	0	2.14714e-05	2.51429e-07	1.18286e-05	4.26314e-05	0.30
4	4000	0.256412	57.7122	1.22e-05	2.348e-05	0	2.14914e-05	2.48571e-07	1.18543e-05	4.44943e-05	0.31
4	4000	0.250804	55.0663	1.21857e-05	2.34514e-05	0	2.14686e-05	2.48571e-07	1.18429e-05	3.942e-05	0.30
4	4000	0.254057	57.1138	1.218e-05	2.34657e-05	0	2.14771e-05	2.48571e-07	1.18343e-05	4.32543e-05	0.30
4	4000	0.255507	57.265	1.21943e-05	2.34629e-05	0	2.14686e-05	2.51429e-07	1.18257e-05	4.41171e-05	0.31
