N_THREADS	N_TRANSACTIONS	TIME	N_ABORTS	PROCESS_READ_TIME	PROCESS_WRITE_TIME	PROCESS_VALIDATION_TIME	PROCESS_OTHER_TIME	COMMIT_VALIDATION_TIME	COMMIT_OTHER_TIME	WASTED_TIME
1	1000	1.04679	0	9.74457e-05	0.000214523	0	0.000671574	2.51429e-07	5.392e-05	2.36857e-06	1.15
1	1000	1.04679	0	9.74114e-05	0.00021454	0	0.000671534	2.51429e-07	5.39743e-05	2.37143e-06	1.13
1	1000	1.04672	0	9.744e-05	0.000214491	0	0.000671543	2.51429e-07	5.39257e-05	2.36571e-06	1.14
1	1000	1.04679	0	9.74257e-05	0.000214546	0	0.000671543	2.51429e-07	5.39543e-05	2.36571e-06	1.14
1	1000	1.04676	0	9.74686e-05	0.00021448	0	0.000671546	2.51429e-07	5.39371e-05	2.36286e-06	1.13
1	1000	1.04682	0	9.74571e-05	0.00021452	0	0.000671597	2.48571e-07	5.39229e-05	2.36e-06	1.15
1	1000	1.04678	0	9.74286e-05	0.000214489	0	0.000671597	2.48571e-07	5.39486e-05	2.35714e-06	1.14
1	1000	1.04677	0	9.74286e-05	0.000214523	0	0.00067156	2.51429e-07	5.39371e-05	2.36286e-06	1.13
1	1000	1.04677	0	9.74057e-05	0.000214514	0	0.000671563	2.48571e-07	5.39629e-05	2.36571e-06	1.15
1	1000	1.04682	0	9.74514e-05	0.000214531	0	0.000671537	2.51429e-07	5.39714e-05	2.36857e-06	1.13
2	2000	1.07347	2.20049	0.000100534	0.0002198	0	0.000675189	2.45714e-07	5.51686e-05	1.52143e-05	1.16
2	2000	1.07417	2.34375	0.0001006	0.000219786	0	0.000675211	2.51429e-07	5.52229e-05	1.51057e-05	1.17
2	2000	1.07467	2.39141	0.000100529	0.000219711	0	0.000675174	2.51429e-07	5.51829e-05	1.54657e-05	1.17
2	2000	1.07481	2.39141	0.000100517	0.000219749	0	0.000675163	2.51429e-07	5.52971e-05	1.54686e-05	1.17
2	2000	1.07473	2.39141	0.000100583	0.000219686	0	0.000675183	2.51429e-07	5.52257e-05	1.54543e-05	1.18
2	2000	1.07515	2.58159	0.000100566	0.000219871	0	0.000675306	2.48571e-07	5.52743e-05	1.60771e-05	1.17
2	2000	1.0749	2.6764	0.000100511	0.000219611	0	0.000675246	2.51429e-07	5.52371e-05	1.69743e-05	1.17
2	2000	1.07313	2.39141	0.000100571	0.000219911	0	0.000675197	2.48571e-07	5.50943e-05	1.49457e-05	1.16
2	2000	1.07471	2.39141	0.000100543	0.00021974	0	0.000675154	2.51429e-07	5.52143e-05	1.54629e-05	1.17
2	2000	1.07542	2.72374	0.00010044	0.0002194	0	0.000675091	2.51429e-07	5.52543e-05	1.71743e-05	1.17
3	3000	1.10952	7.23562	0.000104263	0.000226117	0	0.000679543	2.48571e-07	5.70171e-05	3.224e-05	1.20
3	3000	1.10705	6.25	0.000104403	0.000226223	0	0.000679734	2.48571e-07	5.72743e-05	3.112e-05	1.20
3	3000	1.10332	6.45463	0.000104394	0.000226409	0	0.000679711	2.48571e-07	5.72029e-05	2.774e-05	1.19
3	3000	1.11186	6.74541	0.000104391	0.000226251	0	0.00067974	2.48571e-07	5.72743e-05	3.34486e-05	1.21
3	3000	1.113	7.23562	0.00010454	0.000226451	0	0.000679891	2.48571e-07	5.74971e-05	3.60029e-05	1.21
3	3000	1.11236	6.62932	0.000104454	0.000226577	0	0.000679849	2.48571e-07	5.70829e-05	3.32486e-05	1.21
3	3000	1.11319	6.25	0.000104649	0.000226934	0	0.00067994	2.48571e-07	5.72571e-05	3.398e-05	1.21
3	3000	1.11394	5.39262	0.000104477	0.000226666	0	0.000679871	2.48571e-07	5.714e-05	3.23914e-05	1.21
3	3000	1.10496	6.48379	0.00010446	0.000226603	0	0.000679823	2.48571e-07	5.70571e-05	2.89286e-05	1.20
3	3000	1.11358	6.42545	0.00010452	0.000226743	0	0.000679863	2.48571e-07	5.69914e-05	3.22171e-05	1.21
4	4000	1.14306	7.62125	0.000109857	0.000236657	0	0.000686331	2.48571e-07	5.99571e-05	3.99e-05	1.23
4	4000	1.15668	9.29705	0.000109629	0.000236109	0	0.000686077	2.45714e-07	6.00143e-05	4.68057e-05	1.25
4	4000	1.15745	10.7143	0.000109617	0.000236031	0	0.000686157	2.51429e-07	6.01429e-05	4.746e-05	1.26
4	4000	1.15194	9.1941	0.00010994	0.000236691	0	0.000686463	2.48571e-07	6.02771e-05	4.36714e-05	1.25
