N_THREADS	N_TRANSACTIONS	TIME	N_ABORTS	PROCESS_READ_TIME	PROCESS_WRITE_TIME	PROCESS_VALIDATION_TIME	PROCESS_OTHER_TIME	COMMIT_VALIDATION_TIME	COMMIT_OTHER_TIME	WASTED_TIME
1	1000	0.714755	0	3.08057e-05	8.33657e-05	0	0.00058608	2.51429e-07	1.12257e-05	1.13143e-06	0.82
1	1000	0.714694	0	3.08229e-05	8.33857e-05	0	0.000585983	2.51429e-07	1.12229e-05	1.13143e-06	0.80
1	1000	0.714788	0	3.08171e-05	8.33971e-05	0	0.000586069	2.51429e-07	1.12257e-05	1.13143e-06	0.80
1	1000	0.714789	0	3.08057e-05	8.34029e-05	0	0.000586074	2.51429e-07	1.12257e-05	1.13143e-06	0.80
1	1000	0.714769	0	3.08057e-05	8.33914e-05	0	0.000586069	2.51429e-07	1.12257e-05	1.13143e-06	0.80
1	1000	0.714788	0	3.08286e-05	8.34029e-05	0	0.000586051	2.51429e-07	1.12257e-05	1.13143e-06	0.80
1	1000	0.714787	0	3.08086e-05	8.33971e-05	0	0.000586077	2.51429e-07	1.12257e-05	1.13143e-06	0.81
1	1000	0.714799	0	3.08143e-05	8.34e-05	0	0.00058608	2.48571e-07	1.12286e-05	1.13143e-06	0.80
1	1000	0.71481	0	3.082e-05	8.34143e-05	0	0.000586074	2.51429e-07	1.12257e-05	1.13143e-06	0.80
1	1000	0.714783	0	3.08114e-05	8.33886e-05	0	0.00058608	2.51429e-07	1.12257e-05	1.13143e-06	0.80
2	2000	0.7272	3.19458	3.08514e-05	8.34686e-05	0	0.000586186	2.51429e-07	1.12229e-05	1.138e-05	0.83
2	2000	0.725773	2.77103	3.08571e-05	8.34657e-05	0	0.000586191	2.51429e-07	1.12229e-05	1.076e-05	0.81
2	2000	0.727226	3.00679	3.08543e-05	8.34743e-05	0	0.000586197	2.45714e-07	1.12286e-05	1.13914e-05	0.81
2	2000	0.725706	3.19458	3.08714e-05	8.34629e-05	0	0.000586197	2.51429e-07	1.12257e-05	1.14457e-05	0.81
2	2000	0.727203	3.10078	3.08486e-05	8.34657e-05	0	0.000586206	2.51429e-07	1.12229e-05	1.17286e-05	0.82
2	2000	0.727195	3.10078	3.08571e-05	8.34714e-05	0	0.000586186	2.51429e-07	1.12257e-05	1.17286e-05	0.81
2	2000	0.727226	3.4283	3.08457e-05	8.34657e-05	0	0.000586186	2.48571e-07	1.12314e-05	1.17714e-05	0.82
2	2000	0.725756	2.95973	3.08486e-05	8.34514e-05	0	0.000586191	2.48571e-07	1.12286e-05	1.11229e-05	0.81
2	2000	0.725793	3.00679	3.08571e-05	8.34571e-05	0	0.000586217	2.51429e-07	1.12257e-05	1.14629e-05	0.82
2	2000	0.725785	2.91262	3.08629e-05	8.34486e-05	0	0.00058622	2.48571e-07	1.12257e-05	1.07543e-05	0.83
3	3000	0.738392	6.39626	3.088e-05	8.35057e-05	0	0.00058622	2.48571e-07	1.12286e-05	2.224e-05	0.86
3	3000	0.739213	8.53659	3.08914e-05	8.35371e-05	0	0.000586249	2.48571e-07	1.12286e-05	2.20486e-05	0.83
3	3000	0.738129	5.18331	3.08886e-05	8.35257e-05	0	0.000586257	2.48571e-07	1.12286e-05	2.176e-05	0.85
3	3000	0.735232	5.30303	3.08971e-05	8.35143e-05	0	0.000586243	2.48571e-07	1.12286e-05	2.08257e-05	0.82
3	3000	0.737406	5.45225	3.08971e-05	8.35286e-05	0	0.000586226	2.48571e-07	1.12314e-05	2.26086e-05	0.82
3	3000	0.735854	5.21327	3.08886e-05	8.34971e-05	0	0.000586137	2.48571e-07	1.12257e-05	2.01286e-05	0.83
3	3000	0.741608	6.80336	3.08914e-05	8.35114e-05	0	0.000586183	2.48571e-07	1.12286e-05	2.20657e-05	0.83
3	3000	0.741458	5.83804	3.08857e-05	8.35029e-05	0	0.000586169	2.48571e-07	1.12286e-05	2.33771e-05	0.84
3	3000	0.737321	6.10329	3.08914e-05	8.34914e-05	0	0.000586129	2.48571e-07	1.12257e-05	2.14086e-05	0.83
3	3000	0.738281	6.33781	3.08971e-05	8.35314e-05	0	0.000586217	2.48571e-07	1.12286e-05	2.25086e-05	0.83
4	4000	0.757238	10.1931	3.09171e-05	8.36e-05	0	0.0005863	2.48571e-07	1.12257e-05	3.6e-05	0.87
4	4000	0.751281	9.58409	3.09257e-05	8.35857e-05	0	0.000586277	2.48571e-07	1.12314e-05	3.27e-05	0.85
4	4000	0.749561	9.31762	3.09286e-05	8.36057e-05	0	0.000586309	2.48571e-07	1.12257e-05	3.152e-05	0.84
4	4000	0.751982	10.3541	3.09171e-05	8.35971e-05	0	0.000586306	2.48571e-07	1.12257e-05	3.54886e-05	0.85
4	4000	0.749912	8.38296	3.09314e-05	8.35914e-05	0	0.000586231	2.48571e-07	1.12286e-05	3.03657e-05	0.84
4	4000	0.754286	10.9131	3.094e-05	8.36143e-05	0	0.00058634	2.48571e-07	1.12286e-05	3.43829e-05	0.85
4	4000	0.753008	10.5346	3.09314e-05	8.36057e-05	0	0.000586346	2.51429e-07	1.12257e-05	3.57057e-05	0.85
4	4000	0.753039	10.6744	3.09429e-05	8.36057e-05	0	0.000586243	2.45714e-07	1.12286e-05	3.61457e-05	0.85
4	4000	0.749201	10.0315	3.09343e-05	8.35886e-05	0	0.000586349	2.45714e-07	1.12314e-05	3.32714e-05	0.84
