N_THREADS	N_TRANSACTIONS	TIME	N_ABORTS	PROCESS_READ_TIME	PROCESS_WRITE_TIME	PROCESS_VALIDATION_TIME	PROCESS_OTHER_TIME	COMMIT_VALIDATION_TIME	COMMIT_OTHER_TIME	WASTED_TIME
1	1000	0.195842	0	1.31257e-05	2.74229e-05	0	2.03029e-05	2.51429e-07	9.38571e-06	2.48e-06
1	1000	0.195798	0	1.31286e-05	2.74314e-05	0	2.028e-05	2.51429e-07	9.36e-06	2.47429e-06
1	1000	0.195878	0	1.314e-05	2.74229e-05	0	2.03286e-05	2.51429e-07	9.37429e-06	2.48286e-06
1	1000	0.195852	0	1.31286e-05	2.74314e-05	0	2.03057e-05	2.51429e-07	9.36857e-06	2.47714e-06
1	1000	0.195829	0	1.31371e-05	2.74229e-05	0	2.02971e-05	2.48571e-07	9.36857e-06	2.47429e-06
1	1000	0.195842	0	1.31314e-05	2.74229e-05	0	2.03029e-05	2.51429e-07	9.38e-06	2.47714e-06
1	1000	0.195797	0	1.31314e-05	2.74286e-05	0	2.02857e-05	2.51429e-07	9.35429e-06	2.47429e-06
1	1000	0.195835	0	1.31257e-05	2.742e-05	0	2.03114e-05	2.48571e-07	9.37714e-06	2.48e-06
1	1000	0.195858	0	1.314e-05	2.74343e-05	0	2.03e-05	2.51429e-07	9.37143e-06	2.48e-06
1	1000	0.195863	0	1.31314e-05	2.74257e-05	0	2.03086e-05	2.51429e-07	9.38571e-06	2.48286e-06
2	2000	0.197138	0.596421	1.33029e-05	2.77171e-05	0	2.05257e-05	2.48571e-07	9.52571e-06	2.58857e-06
2	2000	0.196966	0.348779	1.32743e-05	2.76771e-05	0	2.04886e-05	2.48571e-07	9.50571e-06	2.55714e-06
2	2000	0.197098	0.546992	1.33057e-05	2.772e-05	0	2.05114e-05	2.51429e-07	9.51143e-06	2.59143e-06
2	2000	0.196679	0.348779	1.32343e-05	2.76143e-05	0	2.04314e-05	2.51429e-07	9.44857e-06	2.55143e-06
2	2000	0.197407	0.645802	1.33343e-05	2.78086e-05	0	2.05714e-05	2.51429e-07	9.56e-06	2.63429e-06
2	2000	0.198844	0.695134	1.35829e-05	2.83486e-05	0	2.086e-05	2.48571e-07	9.64857e-06	2.88e-06
2	2000	0.197246	0.497512	1.33057e-05	2.77486e-05	0	2.05486e-05	2.51429e-07	9.54e-06	2.60857e-06
2	2000	0.19777	0.348779	1.34057e-05	2.798e-05	0	2.06571e-05	2.51429e-07	9.57143e-06	2.64571e-06
2	2000	0.19746	0.497512	1.33543e-05	2.78771e-05	0	2.05943e-05	2.48571e-07	9.53143e-06	2.65429e-06
2	2000	0.198371	0.596421	1.34914e-05	2.81486e-05	0	2.07714e-05	2.51429e-07	9.64857e-06	2.78857e-06
3	3000	0.20047	1.47783	1.37857e-05	2.87886e-05	0	2.12029e-05	2.48571e-07	9.82571e-06	3.00857e-06
3	3000	0.200783	2.08877	1.37171e-05	2.85714e-05	0	2.10886e-05	2.48571e-07	9.78571e-06	3.45429e-06
3	3000	0.201636	2.24829	1.384e-05	2.89343e-05	0	2.12771e-05	2.48571e-07	9.86286e-06	3.76571e-06
3	3000	0.20038	1.38067	1.37257e-05	2.86514e-05	0	2.11286e-05	2.48571e-07	9.81714e-06	3.15714e-06
3	3000	0.201051	1.47783	1.376e-05	2.86886e-05	0	2.11514e-05	2.48571e-07	9.82286e-06	3.06857e-06
3	3000	0.200004	1.08803	1.36971e-05	2.854e-05	0	2.108e-05	2.48571e-07	9.83143e-06	2.90571e-06
3	3000	0.200139	1.736	1.36914e-05	2.85429e-05	0	2.10657e-05	2.48571e-07	9.82571e-06	3.07143e-06
3	3000	0.199677	1.05541	1.36743e-05	2.84886e-05	0	2.10229e-05	2.48571e-07	9.77714e-06	2.83429e-06
3	3000	0.201236	1.736	1.38743e-05	2.89657e-05	0	2.12971e-05	2.48571e-07	9.87143e-06	3.35143e-06
3	3000	0.200528	1.76817	1.378e-05	2.87371e-05	0	2.118e-05	2.48571e-07	9.84857e-06	3.06571e-06
4	4000	0.204939	3.24141	1.43429e-05	2.99286e-05	0	2.19657e-05	2.51429e-07	1.01657e-05	3.85143e-06
4	4000	0.204905	2.53411	1.44143e-05	3.01371e-05	0	2.206e-05	2.45714e-07	1.02171e-05	3.57714e-06
4	4000	0.205261	2.84188	1.44171e-05	3.01429e-05	0	2.20714e-05	2.51429e-07	1.02229e-05	3.69143e-06
4	4000	0.204636	3.56798	1.43229e-05	2.99114e-05	0	2.19543e-05	2.48571e-07	1.01743e-05	3.84e-06
4	4000	0.205548	3.49819	1.44457e-05	3.01914e-05	0	2.21e-05	2.48571e-07	1.02514e-05	3.90857e-06
4	4000	0.20428	2.6764	1.42829e-05	2.98114e-05	0	2.18829e-05	2.48571e-07	1.01457e-05	3.6e-06
4	4000	0.206418	4.4662	1.45629e-05	3.05257e-05	0	2.22743e-05	2.48571e-07	1.03057e-05	4.25143e-06
