N_THREADS	N_TRANSACTIONS	TIME	N_ABORTS	PROCESS_READ_TIME	PROCESS_WRITE_TIME	PROCESS_VALIDATION_TIME	PROCESS_OTHER_TIME	COMMIT_VALIDATION_TIME	COMMIT_OTHER_TIME	WASTED_TIME
1	1000	0.185076	0	1.31286e-05	2.77229e-05	0	2.02629e-05	2.51429e-07	9.72e-06	2.35143e-06	0.27
1	1000	0.185072	0	1.31514e-05	2.77e-05	0	2.02771e-05	2.51429e-07	9.70571e-06	2.36e-06	0.25
1	1000	0.185054	0	1.314e-05	2.76971e-05	0	2.02771e-05	2.51429e-07	9.69714e-06	2.35714e-06	0.25
1	1000	0.185053	0	1.314e-05	2.76857e-05	0	2.028e-05	2.51429e-07	9.71143e-06	2.36e-06	0.25
1	1000	0.185054	0	1.31429e-05	2.76971e-05	0	2.02714e-05	2.51429e-07	9.71143e-06	2.35429e-06	0.25
1	1000	0.185055	0	1.31371e-05	2.76943e-05	0	2.02686e-05	2.51429e-07	9.72286e-06	2.36e-06	0.25
1	1000	0.18508	0	1.31457e-05	2.77086e-05	0	2.02771e-05	2.51429e-07	9.71143e-06	2.36e-06	0.25
1	1000	0.185049	0	1.31429e-05	2.77029e-05	0	2.02714e-05	2.48571e-07	9.70286e-06	2.36e-06	0.25
1	1000	0.185042	0	1.314e-05	2.76857e-05	0	2.02714e-05	2.51429e-07	9.7e-06	2.36e-06	0.25
1	1000	0.18505	0	1.314e-05	2.77e-05	0	2.02771e-05	2.51429e-07	9.70857e-06	2.35714e-06	0.25
2	2000	0.186157	0.249377	1.326e-05	2.792e-05	0	2.04457e-05	2.51429e-07	9.80571e-06	2.48571e-06	0.27
2	2000	0.186701	0.199601	1.336e-05	2.81457e-05	0	2.05857e-05	2.48571e-07	9.89143e-06	2.48e-06	0.25
2	2000	0.18633	0.398406	1.33057e-05	2.80029e-05	0	2.05e-05	2.48571e-07	9.80571e-06	2.50571e-06	0.25
2	2000	0.186572	0.497512	1.33143e-05	2.80143e-05	0	2.05286e-05	2.51429e-07	9.84857e-06	2.60286e-06	0.25
2	2000	0.18618	0.249377	1.32686e-05	2.792e-05	0	2.04657e-05	2.51429e-07	9.80571e-06	2.48857e-06	0.25
2	2000	0.186703	0.299103	1.336e-05	2.81457e-05	0	2.05914e-05	2.51429e-07	9.85143e-06	2.5e-06	0.25
2	2000	0.186221	0.299103	1.326e-05	2.79286e-05	0	2.04686e-05	2.51429e-07	9.81714e-06	2.49714e-06	0.25
2	2000	0.186576	0.348779	1.33171e-05	2.806e-05	0	2.05514e-05	2.48571e-07	9.86571e-06	2.52571e-06	0.25
2	2000	0.186758	0.447984	1.33429e-05	2.81114e-05	0	2.05657e-05	2.51429e-07	9.84857e-06	2.56286e-06	0.25
2	2000	0.186114	0.249377	1.32486e-05	2.79e-05	0	2.04457e-05	2.51429e-07	9.80857e-06	2.47429e-06	0.25
3	3000	0.189389	1.7038	1.37257e-05	2.88971e-05	0	2.10943e-05	2.48571e-07	1.01486e-05	2.9e-06	0.27
3	3000	0.189091	1.76817	1.36686e-05	2.87743e-05	0	2.10257e-05	2.48571e-07	1.00943e-05	2.89143e-06	0.25
3	3000	0.189907	1.76817	1.37486e-05	2.89314e-05	0	2.11229e-05	2.48571e-07	1.01343e-05	3.05429e-06	0.25
3	3000	0.189311	1.63934	1.36886e-05	2.88286e-05	0	2.10429e-05	2.48571e-07	1.00857e-05	3.02857e-06	0.25
3	3000	0.189908	1.5748	1.37686e-05	2.89771e-05	0	2.11343e-05	2.48571e-07	1.01314e-05	3.04857e-06	0.25
3	3000	0.190336	1.80033	1.38229e-05	2.91257e-05	0	2.12229e-05	2.48571e-07	1.01857e-05	3.11429e-06	0.25
3	3000	0.190028	1.99281	1.37314e-05	2.89114e-05	0	2.11086e-05	2.48571e-07	1.01486e-05	3.11429e-06	0.25
3	3000	0.189738	2.15264	1.36971e-05	2.88657e-05	0	2.10829e-05	2.48571e-07	1.01171e-05	3.13143e-06	0.25
3	3000	0.190482	1.63934	1.38371e-05	2.91771e-05	0	2.12514e-05	2.48571e-07	1.01943e-05	3.06857e-06	0.25
3	3000	0.189879	1.47783	1.378e-05	2.90371e-05	0	2.11657e-05	2.48571e-07	1.01657e-05	3.06857e-06	0.25
4	4000	0.194928	3.19458	1.44257e-05	3.04371e-05	0	2.20914e-05	2.51429e-07	1.06086e-05	3.76e-06	0.28
4	4000	0.194737	2.62902	1.44029e-05	3.04171e-05	0	2.20629e-05	2.51429e-07	1.056e-05	3.73429e-06	0.26
4	4000	0.196076	3.26481	1.45314e-05	3.06857e-05	0	2.222e-05	2.51429e-07	1.064e-05	4.13714e-06	0.26
4	4000	0.195381	3.0303	1.45e-05	3.05943e-05	0	2.21714e-05	2.51429e-07	1.06057e-05	3.88286e-06	0.26
4	4000	0.194013	2.6764	1.43171e-05	3.01457e-05	0	2.19257e-05	2.48571e-07	1.05057e-05	3.79714e-06	0.26
4	4000	0.194377	2.60531	1.44314e-05	3.04086e-05	0	2.20829e-05	2.51429e-07	1.05886e-05	3.58857e-06	0.26
4	4000	0.195252	3.40497	1.44229e-05	3.04171e-05	0	2.20657e-05	2.51429e-07	1.05714e-05	4.18571e-06	0.26
4	4000	0.194377	2.81827	1.44057e-05	3.04143e-05	0	2.20686e-05	2.48571e-07	1.056e-05	3.71714e-06	0.26
4	4000	0.19357	2.36759	1.43171e-05	3.01714e-05	0	2.19429e-05	2.51429e-07	1.05114e-05	3.44857e-06	0.26
4	4000	0.194647	2.72374	1.44286e-05	3.04429e-05	0	2.20971e-05	2.48571e-07	1.05943e-05	3.76286e-06	0.26
5	5000	0.199949	4.34284	1.51829e-05	3.20686e-05	0	2.314e-05	2.42857e-07	1.10743e-05	4.53143e-06	0.29
5	5000	0.199602	3.93852	1.51571e-05	3.19543e-05	0	2.31229e-05	2.42857e-07	1.10943e-05	4.20571e-06	0.26
5	5000	0.199961	4.92489	1.50971e-05	3.18657e-05	0	2.30429e-05	2.42857e-07	1.10714e-05	4.71143e-06	0.26
5	5000	0.201257	4.19621	1.542e-05	3.26514e-05	0	2.34514e-05	2.42857e-07	1.12114e-05	4.43714e-06	0.26
5	5000	0.200825	4.7619	1.522e-05	3.21457e-05	0	2.31914e-05	2.42857e-07	1.11171e-05	4.78857e-06	0.26
5	5000	0.20108	5.1953	1.52171e-05	3.21257e-05	0	2.31857e-05	2.42857e-07	1.11086e-05	4.82571e-06	0.26
5	5000	0.200064	4.41598	1.52257e-05	3.21229e-05	0	2.31886e-05	2.42857e-07	1.11171e-05	4.41143e-06	0.26
5	5000	0.20142	4.48902	1.52857e-05	3.23086e-05	0	2.32857e-05	2.42857e-07	1.11429e-05	4.73429e-06	0.26
5	5000	0.200954	4.30622	1.52714e-05	3.22343e-05	0	2.32486e-05	2.42857e-07	1.11429e-05	4.68571e-06	0.26
5	5000	0.20151	5.39262	1.53314e-05	3.234e-05	0	2.33114e-05	2.42857e-07	1.11571e-05	5.15143e-06	0.26
6	6000	0.21049	5.69003	1.67114e-05	3.52857e-05	0	2.514e-05	2.4e-07	1.20343e-05	5.66286e-06	0.28
6	6000	0.209386	5.80848	1.65971e-05	3.50743e-05	0	2.49943e-05	2.4e-07	1.19743e-05	5.6e-06	0.27
6	6000	0.209773	6.87568	1.65229e-05	3.49029e-05	0	2.49457e-05	2.4e-07	1.19371e-05	6.09714e-06	0.27
6	6000	0.210023	6.25	1.65657e-05	3.49771e-05	0	2.49771e-05	2.4e-07	1.19743e-05	5.98857e-06	0.27
6	6000	0.210561	6.62932	1.67029e-05	3.53057e-05	0	2.51343e-05	2.4e-07	1.202e-05	6.32857e-06	0.27
6	6000	0.209667	5.40754	1.65543e-05	3.49657e-05	0	2.49514e-05	2.4e-07	1.19286e-05	5.38e-06	0.27
