N_THREADS	N_TRANSACTIONS	TIME	N_ABORTS	PROCESS_READ_TIME	PROCESS_WRITE_TIME	PROCESS_VALIDATION_TIME	PROCESS_OTHER_TIME	COMMIT_VALIDATION_TIME	COMMIT_OTHER_TIME	WASTED_TIME
1	1000	0.205138	0	1.11429e-05	2.22229e-05	0	2.02486e-05	2.48571e-07	8.84857e-06	2.38286e-06	0.26
1	1000	0.205132	0	1.11371e-05	2.22286e-05	0	2.02543e-05	2.51429e-07	8.83429e-06	2.38571e-06	0.25
1	1000	0.205113	0	1.11343e-05	2.222e-05	0	2.02543e-05	2.51429e-07	8.83143e-06	2.38857e-06	0.25
1	1000	0.205082	0	1.112e-05	2.22314e-05	0	2.02343e-05	2.48571e-07	8.83143e-06	2.38571e-06	0.25
1	1000	0.205118	0	1.11286e-05	2.22257e-05	0	2.02457e-05	2.48571e-07	8.83714e-06	2.38571e-06	0.25
1	1000	0.205138	0	1.11371e-05	2.22286e-05	0	2.02457e-05	2.51429e-07	8.83429e-06	2.38571e-06	0.25
1	1000	0.205081	0	1.11257e-05	2.22229e-05	0	2.024e-05	2.51429e-07	8.83143e-06	2.38e-06	0.25
1	1000	0.205086	0	1.11257e-05	2.22171e-05	0	2.02457e-05	2.51429e-07	8.83429e-06	2.38571e-06	0.25
1	1000	0.205142	0	1.11371e-05	2.22314e-05	0	2.02486e-05	2.48571e-07	8.83714e-06	2.38571e-06	0.25
1	1000	0.205102	0	1.11343e-05	2.22143e-05	0	2.02486e-05	2.51429e-07	8.82857e-06	2.39143e-06	0.25
2	2000	0.206555	4.03071	1.12371e-05	2.244e-05	0	2.03514e-05	2.48571e-07	8.95143e-06	2.94571e-06	0.28
2	2000	0.206502	3.4283	1.12343e-05	2.244e-05	0	2.03457e-05	2.51429e-07	8.96571e-06	2.88e-06	0.26
2	2000	0.206643	4.03071	1.12343e-05	2.24457e-05	0	2.03771e-05	2.48571e-07	8.97143e-06	2.96286e-06	0.25
2	2000	0.206669	3.98464	1.12514e-05	2.24571e-05	0	2.03771e-05	2.48571e-07	8.97143e-06	2.95714e-06	0.25
2	2000	0.206743	3.61446	1.12343e-05	2.24629e-05	0	2.036e-05	2.48571e-07	8.96571e-06	2.97429e-06	0.25
2	2000	0.206615	3.89236	1.12486e-05	2.24314e-05	0	2.03743e-05	2.48571e-07	8.96e-06	2.95143e-06	0.25
2	2000	0.20691	4.07674	1.12457e-05	2.24429e-05	0	2.038e-05	2.51429e-07	8.98e-06	3.10857e-06	0.25
2	2000	0.206464	3.66089	1.12429e-05	2.24543e-05	0	2.03686e-05	2.48571e-07	8.97714e-06	2.86571e-06	0.25
2	2000	0.206613	4.07674	1.12429e-05	2.24486e-05	0	2.036e-05	2.51429e-07	8.96857e-06	3.01429e-06	0.25
2	2000	0.206373	3.89236	1.12286e-05	2.24229e-05	0	2.034e-05	2.51429e-07	8.95143e-06	2.89429e-06	0.25
3	3000	0.210146	12.6638	1.13e-05	2.24771e-05	0	2.05086e-05	2.48571e-07	9.05429e-06	5.28286e-06	0.28
3	3000	0.209317	11.3999	1.13029e-05	2.248e-05	0	2.05257e-05	2.48571e-07	9.06571e-06	4.92857e-06	0.26
3	3000	0.208392	10.3675	1.12943e-05	2.246e-05	0	2.05171e-05	2.48571e-07	9.05714e-06	4.09143e-06	0.26
3	3000	0.209798	12.5874	1.13086e-05	2.24571e-05	0	2.05257e-05	2.48571e-07	9.06286e-06	5.48857e-06	0.25
3	3000	0.208819	11.5566	1.13e-05	2.24829e-05	0	2.05057e-05	2.48571e-07	9.06e-06	4.56286e-06	0.25
3	3000	0.208661	11.2689	1.13029e-05	2.24743e-05	0	2.05171e-05	2.48571e-07	9.07143e-06	4.22286e-06	0.25
3	3000	0.208858	11.5305	1.13114e-05	2.24743e-05	0	2.05371e-05	2.48571e-07	9.06571e-06	4.62e-06	0.25
3	3000	0.209863	12.5364	1.13057e-05	2.24771e-05	0	2.05343e-05	2.48571e-07	9.06286e-06	5.20857e-06	0.25
3	3000	0.209794	13.3198	1.13086e-05	2.24857e-05	0	2.05171e-05	2.48571e-07	9.07429e-06	5.18571e-06	0.26
3	3000	0.209658	12.5874	1.12971e-05	2.248e-05	0	2.05343e-05	2.48571e-07	9.06857e-06	5.22571e-06	0.26
4	4000	0.250907	55.9034	1.17429e-05	2.34543e-05	0	2.13886e-05	2.51429e-07	9.43143e-06	4.24743e-05	0.32
4	4000	0.254734	56.7661	1.176e-05	2.34914e-05	0	2.14314e-05	2.48571e-07	9.47429e-06	4.47971e-05	0.31
4	4000	0.250825	55.8499	1.17486e-05	2.34514e-05	0	2.13943e-05	2.51429e-07	9.44e-06	4.24229e-05	0.30
4	4000	0.255149	56.465	1.174e-05	2.34457e-05	0	2.13857e-05	2.51429e-07	9.43429e-06	4.35943e-05	0.30
4	4000	0.248947	55.2222	1.17457e-05	2.34457e-05	0	2.14e-05	2.48571e-07	9.45143e-06	4.11829e-05	0.30
4	4000	0.254885	56.9754	1.17571e-05	2.34743e-05	0	2.14029e-05	2.51429e-07	9.45143e-06	4.56771e-05	0.30
4	4000	0.252072	54.9803	1.17429e-05	2.342e-05	0	2.13743e-05	2.51429e-07	9.44571e-06	3.97457e-05	0.30
4	4000	0.255604	57.3515	1.17657e-05	2.34857e-05	0	2.14229e-05	2.48571e-07	9.45714e-06	4.55571e-05	0.31
4	4000	0.251427	54.7665	1.17371e-05	2.34343e-05	0	2.13743e-05	2.51429e-07	9.44286e-06	4.09229e-05	0.29
4	4000	0.254277	56.8919	1.176e-05	2.34743e-05	0	2.14086e-05	2.51429e-07	9.45143e-06	4.43657e-05	0.30
5	5000	0.334046	74.8756	1.25857e-05	2.51657e-05	0	2.294e-05	2.42857e-07	1.00829e-05	0.000115911	0.41
5	5000	0.332034	74.7933	1.25886e-05	2.51543e-05	0	2.29514e-05	2.42857e-07	1.00886e-05	0.000115257	0.38
5	5000	0.329485	74.7513	1.25629e-05	2.512e-05	0	2.29e-05	2.42857e-07	1.00629e-05	0.000113046	0.37
5	5000	0.328427	74.4781	1.25771e-05	2.516e-05	0	2.29229e-05	2.42857e-07	1.00771e-05	0.000111514	0.38
5	5000	0.324314	73.9746	1.25457e-05	2.51457e-05	0	2.28914e-05	2.42857e-07	1.00629e-05	0.000108534	0.37
5	5000	0.33733	75.4926	1.262e-05	2.52343e-05	0	2.29886e-05	2.42857e-07	1.00914e-05	0.000120951	0.38
5	5000	0.328307	74.0973	1.25457e-05	2.50686e-05	0	2.28629e-05	2.42857e-07	1.00514e-05	0.000109206	0.38
5	5000	0.328916	74.2878	1.25886e-05	2.51714e-05	0	2.29314e-05	2.42857e-07	1.00914e-05	0.000110583	0.38
5	5000	0.327571	74.4937	1.25857e-05	2.51571e-05	0	2.29229e-05	2.42857e-07	1.008e-05	0.000112123	0.38
5	5000	0.325254	74.5625	1.25543e-05	2.51314e-05	0	2.28914e-05	2.42857e-07	1.00886e-05	0.000110566	0.37
6	6000	0.455045	83.4519	1.37771e-05	2.75171e-05	0	2.50029e-05	2.4e-07	1.092e-05	0.000219083	0.53
6	6000	0.444218	83.3634	1.37743e-05	2.75429e-05	0	2.49943e-05	2.4e-07	1.09514e-05	0.000218526	0.49
6	6000	0.437325	82.9662	1.37514e-05	2.74771e-05	0	2.49429e-05	2.4e-07	1.09543e-05	0.000210186	0.49
6	6000	0.445213	83.3412	1.37857e-05	2.758e-05	0	2.49943e-05	2.4e-07	1.094e-05	0.000218043	0.49
6	6000	0.435146	82.863	1.37486e-05	2.752e-05	0	2.49686e-05	2.4e-07	1.09286e-05	0.000207954	0.48
6	6000	0.443903	83.1848	1.376e-05	2.75057e-05	0	2.49543e-05	2.4e-07	1.09171e-05	0.000216031	0.49
6	6000	0.437652	83.0043	1.37314e-05	2.74686e-05	0	2.49057e-05	2.4e-07	1.08914e-05	0.000209449	0.49
6	6000	0.438272	83.1309	1.38029e-05	2.75686e-05	0	2.49943e-05	2.4e-07	1.09629e-05	0.000212889	0.48
6	6000	0.43577	82.9966	1.37771e-05	2.75571e-05	0	2.49886e-05	2.4e-07	1.09571e-05	0.000211194	0.48
6	6000	0.43692	83.0067	1.37686e-05	2.75086e-05	0	2.49771e-05	2.4e-07	1.09171e-05	0.000210857	0.48
7	7000	0.59244	87.8857	1.538e-05	3.06229e-05	0	2.76571e-05	2.4e-07	1.20571e-05	0.00035498	0.65
7	7000	0.584859	87.5659	1.522e-05	3.04257e-05	0	2.744e-05	2.4e-07	1.19514e-05	0.000340903	0.63
7	7000	0.586212	87.7947	1.52429e-05	3.04e-05	0	2.74657e-05	2.4e-07	1.19829e-05	0.000346909	0.63
7	7000	0.595899	87.814	1.52629e-05	3.04543e-05	0	2.74743e-05	2.4e-07	1.196e-05	0.000351683	0.64
7	7000	0.587006	87.7942	1.52257e-05	3.04114e-05	0	2.74257e-05	2.4e-07	1.19371e-05	0.00034762	0.63
7	7000	0.580182	87.6273	1.52486e-05	3.044e-05	0	2.74657e-05	2.4e-07	1.2e-05	0.000341411	0.62
7	7000	0.5895	87.8882	1.53057e-05	3.05086e-05	0	2.75286e-05	2.4e-07	1.20229e-05	0.000353363	0.64
7	7000	0.585406	87.7352	1.53143e-05	3.05714e-05	0	2.75771e-05	2.4e-07	1.20343e-05	0.00034708	0.64
7	7000	0.583965	87.7288	1.53171e-05	3.05657e-05	0	2.75571e-05	2.4e-07	1.20143e-05	0.000347594	0.63
7	7000	0.589809	87.6713	1.52086e-05	3.04086e-05	0	2.74086e-05	2.4e-07	1.19771e-05	0.000346849	0.63
8	8000	0.803288	90.9111	1.70057e-05	3.382e-05	0	3.03e-05	2.51429e-07	1.31371e-05	0.000544803	0.88
8	8000	0.79246	90.7554	1.69457e-05	3.37371e-05	0	3.02629e-05	2.51429e-07	1.31543e-05	0.000533854	0.84
8	8000	0.801067	90.9835	1.71e-05	3.40629e-05	0	3.05086e-05	2.51429e-07	1.32057e-05	0.000549109	0.85
8	8000	0.796573	90.8514	1.70114e-05	3.38543e-05	0	3.03629e-05	2.51429e-07	1.32029e-05	0.000540191	0.85
8	8000	0.796499	90.9321	1.70543e-05	3.40143e-05	0	3.04171e-05	2.51429e-07	1.32114e-05	0.00054556	0.85
8	8000	0.797614	90.958	1.714e-05	3.42057e-05	0	3.06086e-05	2.48571e-07	1.33114e-05	0.000545597	0.84
8	8000	0.779618	90.7414	1.69686e-05	3.38257e-05	0	3.032e-05	2.51429e-07	1.31886e-05	0.00052836	0.82
8	8000	0.797837	90.963	1.70457e-05	3.39743e-05	0	3.04171e-05	2.51429e-07	1.31543e-05	0.000544734	0.85
8	8000	0.796679	91.0301	1.70657e-05	3.39514e-05	0	3.04057e-05	2.51429e-07	1.31943e-05	0.000548271	0.84
8	8000	0.797345	90.8549	1.70143e-05	3.384e-05	0	3.03514e-05	2.51429e-07	1.31743e-05	0.000539326	0.85
9	9000	1.04619	92.8607	1.87914e-05	3.74086e-05	0	3.32343e-05	2.31429e-07	1.43629e-05	0.000777154	1.11
9	9000	1.05874	92.9251	1.89086e-05	3.756e-05	0	3.33886e-05	2.31429e-07	1.44543e-05	0.000793149	1.13
9	9000	1.0371	92.771	1.88714e-05	3.75114e-05	0	3.33914e-05	2.31429e-07	1.44829e-05	0.000766723	1.10
9	9000	1.06759	93.0029	1.89343e-05	3.76743e-05	0	3.34886e-05	2.31429e-07	1.45086e-05	0.000803783	1.14
9	9000	1.03209	92.7132	1.882e-05	3.73714e-05	0	3.32086e-05	2.31429e-07	1.43971e-05	0.000761651	1.10
9	9000	1.04765	92.8934	1.89714e-05	3.77886e-05	0	3.35286e-05	2.31429e-07	1.45286e-05	0.00078442	1.12
9	9000	1.04467	92.8472	1.88086e-05	3.73229e-05	0	3.31971e-05	2.31429e-07	1.43629e-05	0.000777554	1.11
9	9000	1.04171	92.8649	1.89514e-05	3.76229e-05	0	3.342e-05	2.31429e-07	1.446e-05	0.000776134	1.11
9	9000	1.05451	92.8856	1.88914e-05	3.752e-05	0	3.33914e-05	2.31429e-07	1.44457e-05	0.000787094	1.12
9	9000	1.02148	92.6286	1.89314e-05	3.76543e-05	0	3.342e-05	2.31429e-07	1.44914e-05	0.000750297	1.09
10	10000	1.34885	94.2418	2.07514e-05	4.11171e-05	0	3.632e-05	2.28571e-07	1.572e-05	0.00107124	1.43
10	10000	1.34299	94.2096	2.07543e-05	4.13057e-05	0	3.63943e-05	2.28571e-07	1.57314e-05	0.00106529	1.41
10	10000	1.33388	94.1235	2.06971e-05	4.10571e-05	0	3.62629e-05	2.28571e-07	1.56857e-05	0.00105047	1.41
10	10000	1.33855	94.1529	2.08314e-05	4.13457e-05	0	3.65057e-05	2.28571e-07	1.576e-05	0.00105291	1.41
10	10000	1.33769	94.1517	2.07714e-05	4.12657e-05	0	3.63829e-05	2.28571e-07	1.572e-05	0.00105373	1.41
10	10000	1.35838	94.2726	2.08857e-05	4.14171e-05	0	3.65943e-05	2.28571e-07	1.57343e-05	0.00108358	1.43
10	10000	1.35515	94.2102	2.08114e-05	4.13571e-05	0	3.65029e-05	2.28571e-07	1.57743e-05	0.00106971	1.43
10	10000	1.3377	94.1854	2.084e-05	4.14086e-05	0	3.64971e-05	2.28571e-07	1.57657e-05	0.00106136	1.41
10	10000	1.34209	94.1456	2.07143e-05	4.10314e-05	0	3.62771e-05	2.28571e-07	1.57e-05	0.00105573	1.41
10	10000	1.32338	94.0462	2.06086e-05	4.09886e-05	0	3.616e-05	2.28571e-07	1.57086e-05	0.00103806	1.39
11	11000	1.70278	95.1635	2.23171e-05	4.42971e-05	0	3.88857e-05	2.51429e-07	1.67229e-05	0.00140054	1.77
11	11000	1.73846	95.2878	2.28229e-05	4.52457e-05	0	3.96686e-05	2.51429e-07	1.70057e-05	0.0014453	1.81
11	11000	1.70291	95.1379	2.24229e-05	4.44343e-05	0	3.90829e-05	2.51429e-07	1.67971e-05	0.00139762	1.77
11	11000	1.7127	95.2013	2.25229e-05	4.47286e-05	0	3.92514e-05	2.51429e-07	1.69143e-05	0.00141558	1.78
11	11000	1.73094	95.2247	2.256e-05	4.47371e-05	0	3.926e-05	2.51429e-07	1.68086e-05	0.00142904	1.81
11	11000	1.69601	95.1681	2.24971e-05	4.46171e-05	0	3.91686e-05	2.51429e-07	1.69086e-05	0.00140241	1.77
11	11000	1.72078	95.2509	2.27886e-05	4.51829e-05	0	3.96371e-05	2.51429e-07	1.71114e-05	0.00143364	1.80
11	11000	1.71915	95.2139	2.25257e-05	4.46829e-05	0	3.92171e-05	2.51429e-07	1.68943e-05	0.00141428	1.80
11	11000	1.70695	95.1909	2.26114e-05	4.48657e-05	0	3.93943e-05	2.51429e-07	1.69686e-05	0.00141494	1.78
11	11000	1.67885	95.1066	2.24714e-05	4.462e-05	0	3.91457e-05	2.51429e-07	1.68971e-05	0.00138088	1.75
12	12000	2.12684	95.9359	2.43114e-05	4.82029e-05	0	4.20629e-05	2.4e-07	1.81571e-05	0.00181612	2.19
12	12000	2.10228	95.882	2.41857e-05	4.79886e-05	0	4.18571e-05	2.4e-07	1.8e-05	0.00178413	2.17
12	12000	2.11088	95.9014	2.42086e-05	4.80171e-05	0	4.19486e-05	2.4e-07	1.80857e-05	0.00179651	2.18
12	12000	2.11468	95.9218	2.43971e-05	4.83829e-05	0	4.22343e-05	2.4e-07	1.82343e-05	0.00180649	2.19
12	12000	2.07418	95.8107	2.42143e-05	4.79886e-05	0	4.19371e-05	2.4e-07	1.80543e-05	0.00175566	2.14
12	12000	2.10902	95.9054	2.43143e-05	4.814e-05	0	4.202e-05	2.4e-07	1.814e-05	0.00179795	2.18
12	12000	2.13036	95.9591	2.44886e-05	4.852e-05	0	4.23343e-05	2.4e-07	1.81686e-05	0.00182339	2.20
12	12000	2.09912	95.8698	2.418e-05	4.78914e-05	0	4.18429e-05	2.4e-07	1.79571e-05	0.00177883	2.17
12	12000	2.12157	95.9347	2.44286e-05	4.84429e-05	0	4.22457e-05	2.4e-07	1.81857e-05	0.00181763	2.20
12	12000	2.11321	95.8953	2.42943e-05	4.80971e-05	0	4.20171e-05	2.4e-07	1.80771e-05	0.00179433	2.19
