N_THREADS	N_TRANSACTIONS	TIME	N_ABORTS	PROCESS_READ_TIME	PROCESS_WRITE_TIME	PROCESS_VALIDATION_TIME	PROCESS_OTHER_TIME	COMMIT_VALIDATION_TIME	COMMIT_OTHER_TIME	WASTED_TIME
1	1000	1.15438	0	0.000142151	0.000228034	0	0.000742783	2.51429e-07	3.21343e-05	2.42571e-06	1.25
1	1000	1.15453	0	0.000142231	0.00022788	0	0.000742926	2.51429e-07	3.21943e-05	2.42e-06	1.25
1	1000	1.15466	0	0.000142291	0.000228051	0	0.000742889	2.51429e-07	3.216e-05	2.42571e-06	1.25
1	1000	1.15445	0	0.000142157	0.00022806	0	0.000742817	2.51429e-07	3.21457e-05	2.42571e-06	1.25
1	1000	1.1544	0	0.00014214	0.000228074	0	0.000742777	2.51429e-07	3.214e-05	2.42857e-06	1.24
1	1000	1.15466	0	0.000142251	0.00022808	0	0.000742883	2.51429e-07	3.21714e-05	2.42857e-06	1.25
1	1000	1.15466	0	0.000142269	0.000228051	0	0.000742903	2.51429e-07	3.21571e-05	2.42571e-06	1.25
1	1000	1.15459	0	0.000142246	0.000228029	0	0.000742891	2.48571e-07	3.21486e-05	2.43429e-06	1.25
1	1000	1.1544	0	0.000142083	0.000228069	0	0.000742823	2.48571e-07	3.21514e-05	2.43143e-06	1.25
1	1000	1.15469	0	0.000142266	0.00022808	0	0.000742917	2.51429e-07	3.21571e-05	2.43143e-06	1.25
2	2000	1.18686	2.10475	0.000146514	0.0002339	0	0.000748966	2.51429e-07	3.30857e-05	1.58771e-05	1.28
2	2000	1.19246	3.2882	0.000146426	0.000233909	0	0.000748606	2.51429e-07	3.30171e-05	2.03486e-05	1.29
2	2000	1.18631	2.00882	0.000146551	0.000234094	0	0.000748654	2.51429e-07	3.29657e-05	1.586e-05	1.28
2	2000	1.19422	2.6764	0.00014672	0.000234157	0	0.00074898	2.51429e-07	3.30543e-05	2.03514e-05	1.29
2	2000	1.18804	2.34375	0.00014664	0.000233706	0	0.00074856	2.48571e-07	3.304e-05	1.85371e-05	1.28
2	2000	1.1928	2.72374	0.000146531	0.000233729	0	0.000748757	2.48571e-07	3.314e-05	2.15429e-05	1.29
2	2000	1.18829	2.95973	0.000146474	0.000233966	0	0.000748663	2.51429e-07	3.30914e-05	1.87314e-05	1.29
2	2000	1.18671	2.05681	0.000146623	0.0002341	0	0.000748834	2.51429e-07	3.29971e-05	1.59457e-05	1.28
2	2000	1.19038	2.15264	0.000146711	0.000234369	0	0.000748714	2.51429e-07	3.29629e-05	1.83771e-05	1.28
2	2000	1.18878	2.34375	0.00014654	0.00023376	0	0.000748631	2.48571e-07	3.302e-05	1.83629e-05	1.28
3	3000	1.22815	5.00317	0.000152106	0.000243071	0	0.000754137	2.48571e-07	3.40086e-05	3.61114e-05	1.32
3	3000	1.2246	5.06329	0.000152031	0.000243034	0	0.000754237	2.48571e-07	3.40657e-05	3.34314e-05	1.32
3	3000	1.22806	4.97308	0.000152311	0.000243154	0	0.000754214	2.48571e-07	3.40829e-05	3.46314e-05	1.32
3	3000	1.23706	5.66038	0.000152254	0.00024316	0	0.000754166	2.48571e-07	3.40371e-05	4.03257e-05	1.33
3	3000	1.23219	5.92662	0.000151977	0.000242423	0	0.000754063	2.48571e-07	3.404e-05	4.11343e-05	1.33
3	3000	1.2363	6.27929	0.000152074	0.000242589	0	0.000754029	2.48571e-07	3.40429e-05	3.90114e-05	1.33
3	3000	1.22972	5.98558	0.000152214	0.000243174	0	0.000754406	2.48571e-07	3.42143e-05	3.70571e-05	1.33
3	3000	1.23286	6.80336	0.000152011	0.000242386	0	0.000754006	2.48571e-07	3.40714e-05	3.82829e-05	1.33
3	3000	1.23075	5.06329	0.00015208	0.000242926	0	0.000754263	2.48571e-07	3.41114e-05	3.70057e-05	1.33
3	3000	1.23311	5.66038	0.000152251	0.000243069	0	0.00075418	2.48571e-07	3.40686e-05	3.75571e-05	1.33
4	4000	1.28247	9.00819	0.000159134	0.000254523	0	0.00076316	2.48571e-07	3.56714e-05	5.816e-05	1.37
4	4000	1.27861	8.34097	0.000159414	0.000255349	0	0.000763491	2.51429e-07	3.56371e-05	5.03857e-05	1.37
4	4000	1.28376	7.94016	0.000159403	0.000255043	0	0.000763597	2.51429e-07	3.564e-05	5.33343e-05	1.38
4	4000	1.28458	7.94016	0.000159566	0.000255386	0	0.000763851	2.48571e-07	3.56514e-05	5.11914e-05	1.39
4	4000	1.28083	9.31762	0.000159174	0.000254714	0	0.000763269	2.51429e-07	3.56114e-05	5.57314e-05	1.37
4	4000	1.28294	8.04598	0.000159606	0.000255926	0	0.000763791	2.48571e-07	3.56029e-05	5.11286e-05	1.38
4	4000	1.29668	9.1941	0.000159491	0.000255671	0	0.00076372	2.48571e-07	3.56743e-05	6.14714e-05	1.39
4	4000	1.2881	9.82867	0.000159329	0.000254937	0	0.00076352	2.51429e-07	3.574e-05	6.20314e-05	1.38
4	4000	1.28382	7.08479	0.0001593	0.000255006	0	0.000763477	2.51429e-07	3.56171e-05	5.38543e-05	1.38
4	4000	1.28564	9.31762	0.000159329	0.000255363	0	0.00076342	2.48571e-07	3.56343e-05	5.49114e-05	1.38
5	5000	1.34668	10.1043	0.000169297	0.000271823	0	0.000778637	2.42857e-07	3.81314e-05	7.25343e-05	1.44
5	5000	1.35007	11.4103	0.00016956	0.000273206	0	0.000778897	2.42857e-07	3.80114e-05	7.578e-05	1.44
5	5000	1.36063	10.778	0.000169603	0.000273691	0	0.00077888	2.42857e-07	3.796e-05	7.44286e-05	1.45
5	5000	1.3518	10.6505	0.000169606	0.00027286	0	0.000778749	2.42857e-07	3.80971e-05	7.45629e-05	1.44
5	5000	1.35677	11.8632	0.000170271	0.000274543	0	0.000779789	2.42857e-07	3.80857e-05	7.63886e-05	1.45
5	5000	1.34893	10.8734	0.000169771	0.000273443	0	0.000779129	2.42857e-07	3.80371e-05	7.32571e-05	1.45
5	5000	1.34175	10.9369	0.000169671	0.000273563	0	0.000778966	2.42857e-07	3.79743e-05	6.96571e-05	1.45
5	5000	1.35173	10.6983	0.000169523	0.000273037	0	0.0007787	2.42857e-07	3.78914e-05	7.26457e-05	1.45
5	5000	1.35069	9.97479	0.000169706	0.00027348	0	0.000778771	2.42857e-07	3.796e-05	7.26e-05	1.44
5	5000	1.34585	10.5866	0.000169854	0.000273251	0	0.000779291	2.42857e-07	3.80914e-05	7.42457e-05	1.44
6	6000	1.44342	13.3449	0.000184671	0.00029904	0	0.000800097	2.4e-07	4.12286e-05	9.32371e-05	1.54
6	6000	1.43696	12.5237	0.000184626	0.000298689	0	0.000800163	2.4e-07	4.12029e-05	9.372e-05	1.53
6	6000	1.43829	11.5436	0.000184609	0.000298549	0	0.000800194	2.4e-07	4.13657e-05	9.4e-05	1.54
6	6000	1.4382	13.7063	0.00018534	0.000300123	0	0.0008012	2.4e-07	4.13371e-05	9.77743e-05	1.54
6	6000	1.43421	13.4199	0.000184511	0.000298894	0	0.000799877	2.4e-07	4.11629e-05	9.42571e-05	1.53
6	6000	1.43872	13.1819	0.000184637	0.000298154	0	0.000800234	2.4e-07	4.13143e-05	9.82057e-05	1.54
6	6000	1.43773	13.4699	0.000184597	0.000298423	0	0.000800231	2.4e-07	4.13971e-05	9.03286e-05	1.53
6	6000	1.43799	13.4699	0.000184894	0.000299303	0	0.0008006	2.4e-07	4.126e-05	9.49029e-05	1.53
6	6000	1.43748	13.207	0.000184523	0.000298209	0	0.000799971	2.4e-07	4.138e-05	9.54714e-05	1.54
6	6000	1.43822	14.1999	0.000184549	0.000298206	0	0.000799869	2.4e-07	4.12143e-05	9.64571e-05	1.54
7	7000	1.55263	14.7381	0.0002055	0.000334731	0	0.000828617	2.4e-07	4.56886e-05	0.000120894	1.64
7	7000	1.55305	14.707	0.0002055	0.000333729	0	0.000828874	2.4e-07	4.59657e-05	0.000118386	1.65
7	7000	1.55691	14.8004	0.000205234	0.000333334	0	0.00082838	2.4e-07	4.564e-05	0.000119934	1.66
7	7000	1.56524	14.1631	0.00020566	0.000333897	0	0.000829029	2.4e-07	4.60086e-05	0.00012538	1.66
7	7000	1.56482	15.8755	0.000205574	0.00033448	0	0.000828871	2.4e-07	4.57429e-05	0.000127483	1.66
7	7000	1.55885	16.7162	0.000205849	0.000335614	0	0.000829143	2.4e-07	4.57257e-05	0.00012656	1.66
7	7000	1.56554	16.1877	0.000204983	0.000333183	0	0.000828123	2.4e-07	4.56029e-05	0.000122429	1.66
7	7000	1.56357	14.3207	0.000205066	0.000333431	0	0.000828131	2.4e-07	4.57029e-05	0.00012258	1.66
7	7000	1.55983	14.8729	0.000205054	0.000334349	0	0.000827954	2.4e-07	4.53886e-05	0.000120554	1.66
7	7000	1.56167	13.9521	0.000205191	0.000333651	0	0.000828143	2.4e-07	4.56886e-05	0.00011608	1.65
8	8000	1.71299	15.6652	0.000232043	0.000377931	0	0.000864297	2.51429e-07	5.16829e-05	0.000159846	1.82
