N_THREADS	N_TRANSACTIONS	TIME	N_ABORTS	PROCESS_READ_TIME	PROCESS_WRITE_TIME	PROCESS_VALIDATION_TIME	PROCESS_OTHER_TIME	COMMIT_VALIDATION_TIME	COMMIT_OTHER_TIME	WASTED_TIME
1	1000	0.229213	0	2.02829e-05	1.98914e-05	0	2.30629e-05	6.51429e-07	2.28257e-05	2.51429e-06
1	1000	0.229165	0	2.02686e-05	1.98743e-05	0	2.30657e-05	6.54286e-07	2.28229e-05	2.52e-06
1	1000	0.229226	0	2.02714e-05	1.98657e-05	0	2.30829e-05	6.48571e-07	2.28457e-05	2.51714e-06
1	1000	0.229285	0	2.02886e-05	1.98857e-05	0	2.30857e-05	6.48571e-07	2.28571e-05	2.51714e-06
1	1000	0.229289	0	2.03029e-05	1.992e-05	0	2.30743e-05	6.54286e-07	2.28343e-05	2.51143e-06
1	1000	0.229254	0	2.02971e-05	1.99086e-05	0	2.30629e-05	6.51429e-07	2.28429e-05	2.51429e-06
1	1000	0.229239	0	2.02686e-05	1.98829e-05	0	2.308e-05	6.51429e-07	2.28286e-05	2.52857e-06
1	1000	0.229215	0	2.028e-05	1.988e-05	0	2.30686e-05	6.51429e-07	2.28371e-05	2.51714e-06
1	1000	0.229242	0	2.02714e-05	1.98829e-05	0	2.30743e-05	6.54286e-07	2.28429e-05	2.52e-06
1	1000	0.229226	0	2.02743e-05	1.988e-05	0	2.30857e-05	6.51429e-07	2.28343e-05	2.52e-06
2	2000	0.231301	0.546992	2.076e-05	2.00314e-05	8e-08	2.31171e-05	9.97143e-07	2.31486e-05	2.75143e-06
2	2000	0.23135	0.596421	2.07486e-05	2.00371e-05	7.14286e-08	2.31429e-05	9.82857e-07	2.31629e-05	2.8e-06
2	2000	0.231245	0.596421	2.07229e-05	2.004e-05	6.85714e-08	2.31457e-05	9.71429e-07	2.31486e-05	2.76e-06
2	2000	0.231317	0.596421	2.07486e-05	2.00286e-05	7.42857e-08	2.314e-05	9.97143e-07	2.31571e-05	2.77143e-06
2	2000	0.231319	0.596421	2.07371e-05	2.00343e-05	7.14286e-08	2.31371e-05	9.74286e-07	2.316e-05	2.79429e-06
2	2000	0.231317	0.546992	2.07514e-05	2.00343e-05	7.14286e-08	2.31486e-05	9.8e-07	2.31743e-05	2.75429e-06
2	2000	0.231438	0.744417	2.07514e-05	2.00571e-05	7.14286e-08	2.31371e-05	1e-06	2.31771e-05	2.84286e-06
2	2000	0.231261	0.596421	2.07314e-05	2.00257e-05	6.85714e-08	2.31543e-05	9.6e-07	2.31486e-05	2.76857e-06
2	2000	0.231305	0.447984	2.078e-05	2.00371e-05	7.14286e-08	2.314e-05	9.97143e-07	2.31571e-05	2.71143e-06
2	2000	0.231386	0.596421	2.07543e-05	2.00314e-05	7.71429e-08	2.316e-05	9.97143e-07	2.31771e-05	2.78571e-06
3	3000	0.264621	24.0506	2.30457e-05	2.06686e-05	4.6e-07	2.34143e-05	2.89429e-06	2.40057e-05	2.83171e-05
3	3000	0.263368	23.4303	2.30629e-05	2.06143e-05	4.48571e-07	2.342e-05	2.87143e-06	2.39743e-05	2.73457e-05
3	3000	0.264525	23.7417	2.30286e-05	2.06629e-05	4.4e-07	2.344e-05	2.83143e-06	2.39886e-05	2.82343e-05
3	3000	0.266726	24.2998	2.30371e-05	2.06686e-05	4.17143e-07	2.34629e-05	2.80857e-06	2.39771e-05	2.86857e-05
3	3000	0.263204	23.0572	2.29857e-05	2.06486e-05	4.57143e-07	2.34257e-05	2.86857e-06	2.39857e-05	2.69371e-05
3	3000	0.262016	21.936	2.29657e-05	2.062e-05	4.28571e-07	2.344e-05	2.84571e-06	2.39657e-05	2.53657e-05
3	3000	0.265121	24.0314	2.292e-05	2.06514e-05	4.25714e-07	2.34314e-05	2.79143e-06	2.39857e-05	2.79771e-05
