N_THREADS	N_TRANSACTIONS	TIME	N_ABORTS	PROCESS_READ_TIME	PROCESS_WRITE_TIME	PROCESS_VALIDATION_TIME	PROCESS_OTHER_TIME	COMMIT_VALIDATION_TIME	COMMIT_OTHER_TIME	WASTED_TIME
1	1000	0.206555	0	2.07829e-05	2.20943e-05	0	2.30686e-05	6.57143e-07	2.57829e-05	2.48857e-06	0.29
1	1000	0.206534	0	2.07657e-05	2.20771e-05	0	2.30829e-05	6.62857e-07	2.57829e-05	2.47429e-06	0.27
1	1000	0.206548	0	2.07857e-05	2.20743e-05	0	2.30743e-05	6.57143e-07	2.57857e-05	2.48286e-06	0.27
1	1000	0.206558	0	2.07971e-05	2.20829e-05	0	2.306e-05	6.6e-07	2.57771e-05	2.48857e-06	0.27
1	1000	0.206551	0	2.07914e-05	2.20857e-05	0	2.30571e-05	6.6e-07	2.57829e-05	2.48857e-06	0.27
1	1000	0.206536	0	2.07886e-05	2.208e-05	0	2.30571e-05	6.6e-07	2.578e-05	2.48571e-06	0.27
1	1000	0.206548	0	2.07686e-05	2.20829e-05	0	2.30886e-05	6.6e-07	2.57743e-05	2.48571e-06	0.27
1	1000	0.206537	0	2.07657e-05	2.20829e-05	0	2.30771e-05	6.6e-07	2.578e-05	2.48286e-06	0.27
1	1000	0.206575	0	2.07886e-05	2.20771e-05	0	2.30857e-05	6.54286e-07	2.57971e-05	2.48571e-06	0.27
1	1000	0.206539	0	2.078e-05	2.20743e-05	0	2.30771e-05	6.6e-07	2.57771e-05	2.48286e-06	0.27
2	2000	0.207839	0.049975	2.088e-05	2.21343e-05	0	2.33171e-05	7.88571e-07	2.60114e-05	2.56857e-06	0.29
2	2000	0.207787	0.049975	2.08743e-05	2.21343e-05	0	2.33057e-05	7.68571e-07	2.60086e-05	2.56571e-06	0.27
2	2000	0.207774	0.049975	2.088e-05	2.21343e-05	0	2.33029e-05	7.48571e-07	2.59971e-05	2.56857e-06	0.27
2	2000	0.207835	0.049975	2.088e-05	2.21371e-05	0	2.33057e-05	7.74286e-07	2.60171e-05	2.56857e-06	0.27
2	2000	0.207734	0.049975	2.08829e-05	2.21229e-05	0	2.32914e-05	7.4e-07	2.59886e-05	2.57429e-06	0.27
2	2000	0.207895	0.049975	2.09029e-05	2.21543e-05	2.85714e-09	2.33029e-05	7.85714e-07	2.604e-05	2.57143e-06	0.27
2	2000	0.207749	0.049975	2.08857e-05	2.214e-05	2.85714e-09	2.32657e-05	7.88571e-07	2.59743e-05	2.56571e-06	0.27
2	2000	0.207818	0.049975	2.088e-05	2.21371e-05	0	2.33057e-05	7.68571e-07	2.60057e-05	2.56571e-06	0.27
2	2000	0.207759	0.049975	2.08857e-05	2.21371e-05	0	2.32743e-05	7.65714e-07	2.59943e-05	2.56857e-06	0.27
2	2000	0.207833	0.049975	2.09e-05	2.214e-05	2.85714e-09	2.33057e-05	7.6e-07	2.60057e-05	2.57429e-06	0.27
3	3000	0.219394	0.299103	2.18314e-05	2.29171e-05	6.57143e-08	2.40171e-05	7.58286e-06	2.75e-05	2.84571e-06	0.30
3	3000	0.219394	0.23279	2.18629e-05	2.29086e-05	6e-08	2.40114e-05	7.64571e-06	2.74943e-05	2.78571e-06	0.28
3	3000	0.219337	0.332226	2.18114e-05	2.29257e-05	6.57143e-08	2.40229e-05	7.52286e-06	2.74971e-05	2.86e-06	0.28
3	3000	0.219394	0.265957	2.18343e-05	2.29171e-05	6.85714e-08	2.40314e-05	7.58286e-06	2.74857e-05	2.83429e-06	0.28
3	3000	0.219347	0.265957	2.18657e-05	2.29114e-05	6e-08	2.40171e-05	7.58e-06	2.74943e-05	2.8e-06	0.28
3	3000	0.219474	0.299103	2.18629e-05	2.29086e-05	6e-08	2.404e-05	7.56857e-06	2.74914e-05	2.84286e-06	0.28
