N_THREADS	N_TRANSACTIONS	TIME	N_ABORTS	PROCESS_READ_TIME	PROCESS_WRITE_TIME	PROCESS_VALIDATION_TIME	PROCESS_OTHER_TIME	COMMIT_VALIDATION_TIME	COMMIT_OTHER_TIME	WASTED_TIME
1	1000	1.05728	0	0.00017452	0.000180403	0	0.000580323	6.51429e-07	0.000112329	2.50286e-06	1.30
1	1000	1.05726	0	0.000174531	0.000180406	0	0.000580343	6.48571e-07	0.000112283	2.50857e-06	1.30
1	1000	1.05734	0	0.000174574	0.000180449	0	0.000580317	6.48571e-07	0.000112294	2.51143e-06	1.30
1	1000	1.05729	0	0.000174537	0.000180417	0	0.000580357	6.51429e-07	0.000112277	2.50286e-06	1.30
1	1000	1.0573	0	0.000174546	0.00018042	0	0.000580366	6.48571e-07	0.000112266	2.51429e-06	1.30
1	1000	1.05728	0	0.000174546	0.000180406	0	0.000580351	6.51429e-07	0.000112263	2.50857e-06	1.29
1	1000	1.05716	0	0.000174483	0.000180374	0	0.00058032	6.48571e-07	0.000112283	2.50286e-06	1.30
1	1000	1.05728	0	0.000174557	0.000180389	0	0.000580303	6.51429e-07	0.000112323	2.50857e-06	1.29
1	1000	1.05731	0	0.000174551	0.000180443	0	0.00058036	6.54286e-07	0.000112254	2.50286e-06	1.29
1	1000	1.05724	0	0.000174497	0.000180389	0	0.00058034	6.51429e-07	0.000112303	2.50857e-06	1.30
2	2000	1.14351	2.10475	0.000180511	0.000186923	3e-07	0.000583451	3.55286e-05	0.00011596	2.56571e-05	1.39
2	2000	1.15918	2.62902	0.000179837	0.000186511	2.74286e-07	0.000583377	3.49429e-05	0.000116489	3.14857e-05	1.40
2	2000	1.1613	2.48659	0.000179857	0.000186494	2.57143e-07	0.000583314	3.48057e-05	0.000116614	3.00057e-05	1.40
2	2000	1.15901	2.48659	0.000179834	0.000186451	2.65714e-07	0.000583323	3.48429e-05	0.000116571	2.98914e-05	1.40
2	2000	1.15883	2.48659	0.000179709	0.000186389	2.68571e-07	0.000583286	3.49057e-05	0.00011654	2.988e-05	1.40
2	2000	1.14559	2.15264	0.000180466	0.000186923	2.88571e-07	0.00058344	3.54371e-05	0.000116097	2.61971e-05	1.38
2	2000	1.14358	2.10475	0.000180514	0.000186926	3e-07	0.000583529	3.54914e-05	0.00011596	2.56686e-05	1.38
2	2000	1.1557	2.34375	0.000179746	0.000186331	2.37143e-07	0.000583286	3.49943e-05	0.000116417	2.79486e-05	1.40
2	2000	1.13924	2.24829	0.000180434	0.000186903	3.17143e-07	0.000583377	3.55314e-05	0.00011626	2.70829e-05	1.38
2	2000	1.15753	2.53411	0.000179794	0.000186457	2.74286e-07	0.000583309	3.48686e-05	0.000116309	3.03771e-05	1.41
3	3000	1.19512	4.21456	0.00018744	0.000194671	4.94286e-07	0.000587477	3.77886e-05	0.000124483	5.01543e-05	1.44
3	3000	1.18887	3.72272	0.000187837	0.00019502	6.11429e-07	0.000587529	3.74486e-05	0.000122914	4.38714e-05	1.43
3	3000	1.2	4.03071	0.00018756	0.000194771	4e-07	0.00058762	3.75229e-05	0.000125417	4.75486e-05	1.44
3	3000	1.19173	3.56798	0.000187803	0.000195109	5.68571e-07	0.000587577	3.736e-05	0.000123397	4.286e-05	1.43
3	3000	1.20063	4.12272	0.000187291	0.000194669	4.02857e-07	0.000587554	3.77429e-05	0.000125166	4.90543e-05	1.44
3	3000	1.20651	4.7619	0.000187309	0.000194771	4.14286e-07	0.000587634	3.75257e-05	0.000124894	5.65943e-05	1.45
3	3000	1.20611	4.21456	0.000187286	0.000194706	4.54286e-07	0.000587546	3.74714e-05	0.000124286	5.04886e-05	1.45
3	3000	1.19148	4.15335	0.0001876	0.000194857	4.45714e-07	0.000587634	3.77914e-05	0.00012446	4.844e-05	1.44
3	3000	1.20634	4.42816	0.000187706	0.000195003	4.48571e-07	0.000587643	3.744e-05	0.00012454	5.24343e-05	1.44
3	3000	1.20035	4.39771	0.000186934	0.000194229	3.2e-07	0.000587509	3.78543e-05	0.000125863	5.23171e-05	1.45
4	4000	1.27202	6.19137	0.000199386	0.000207989	6.2e-07	0.000594166	3.98171e-05	0.000135851	7.68457e-05	1.51
4	4000	1.2759	6.58571	0.000198451	0.000207183	6.34286e-07	0.000593806	3.98429e-05	0.000135923	8.192e-05	1.52
4	4000	1.26823	6.05918	0.000198391	0.000207017	8.08571e-07	0.000593586	3.98857e-05	0.000135534	7.424e-05	1.51
4	4000	1.27009	5.97085	0.000198717	0.000207609	5.68571e-07	0.000594106	4.03829e-05	0.000137837	7.318e-05	1.52
4	4000	1.26539	6.25732	0.000198894	0.000207569	6.05714e-07	0.000594029	3.98543e-05	0.000135111	7.67371e-05	1.51
4	4000	1.27102	6.21336	0.000198217	0.000206831	5.42857e-07	0.000593791	4.018e-05	0.000136449	7.59057e-05	1.51
4	4000	1.27036	6.03712	0.000198897	0.000207363	5.94286e-07	0.000593874	4.00229e-05	0.000136483	7.44029e-05	1.51
4	4000	1.27114	5.90449	0.000197971	0.000206777	5.17143e-07	0.000593766	4.07857e-05	0.000140309	7.24571e-05	1.51
4	4000	1.26182	5.8602	0.00019914	0.000207694	7.17143e-07	0.000593983	4.00171e-05	0.000135749	7.222e-05	1.50
4	4000	1.2796	6.08124	0.000198297	0.000206929	6.22857e-07	0.000593711	4.01886e-05	0.000136903	7.50771e-05	1.52
5	5000	1.36593	7.59564	0.000215331	0.000226309	8.65714e-07	0.000602997	4.37914e-05	0.000156057	9.93229e-05	1.61
5	5000	1.36847	8.39135	0.000215389	0.000226694	8.85714e-07	0.000603149	4.37629e-05	0.000155606	0.000109786	1.61
5	5000	1.37551	8.24004	0.00021574	0.000227029	8.74286e-07	0.000603237	4.35686e-05	0.00015474	0.000108166	1.62
5	5000	1.35576	7.30441	0.000215754	0.00022658	9.42857e-07	0.000603077	4.35771e-05	0.000154531	9.48943e-05	1.60
5	5000	1.36719	7.96981	0.0002155	0.000226529	9.71429e-07	0.000602971	4.318e-05	0.000152229	0.000103997	1.61
5	5000	1.37684	8.0206	0.000215874	0.000227054	8.97143e-07	0.000603177	4.32514e-05	0.000153529	0.000105611	1.62
5	5000	1.37682	7.96981	0.000215951	0.00022692	9.71429e-07	0.000603029	4.27114e-05	0.000151369	0.000103917	1.62
5	5000	1.37244	8.17264	0.000214826	0.000225923	9.02857e-07	0.0006028	4.38457e-05	0.000156166	0.000107074	1.62
5	5000	1.36135	7.78311	0.00021546	0.000226357	9.42857e-07	0.000602969	4.32143e-05	0.000152626	0.000101669	1.61
5	5000	1.37708	8.05443	0.000215431	0.00022668	1e-06	0.000602874	4.374e-05	0.000155646	0.000105091	1.62
6	6000	1.49577	9.62494	0.000240237	0.000254591	1.34857e-06	0.000615763	4.77886e-05	0.000175114	0.000136397	1.75
6	6000	1.49006	9.50226	0.000241177	0.000255566	1.41143e-06	0.000616114	4.746e-05	0.00017462	0.000134809	1.73
6	6000	1.49825	10.045	0.000240603	0.000255043	1.44286e-06	0.000615891	4.77714e-05	0.000174989	0.000142631	1.74
6	6000	1.49673	9.54319	0.000240571	0.000254774	1.26e-06	0.00061596	4.74914e-05	0.000174646	0.000135131	1.74
6	6000	1.50621	9.50226	0.000240106	0.00025452	1.28571e-06	0.000615829	4.78143e-05	0.000175674	0.000135129	1.75
6	6000	1.50598	9.85577	0.000239469	0.000253803	1.31429e-06	0.0006155	4.75629e-05	0.000174097	0.000139457	1.75
6	6000	1.51565	10.3943	0.000240106	0.00025436	1.26e-06	0.000615749	4.82e-05	0.00017734	0.000149051	1.75
6	6000	1.50853	10.3809	0.000240069	0.000254271	1.27143e-06	0.000615771	4.76743e-05	0.000174897	0.000147863	1.75
6	6000	1.50134	9.73371	0.000239537	0.000253586	1.27429e-06	0.00061558	4.83686e-05	0.000177937	0.000137677	1.74
6	6000	1.49863	9.76087	0.000239909	0.000254326	1.42571e-06	0.00061562	4.82371e-05	0.00017742	0.00013824	1.74
7	7000	1.66373	11.5268	0.000272994	0.000291337	1.77143e-06	0.000632169	5.36457e-05	0.000203194	0.000180637	1.91
7	7000	1.65625	11.3026	0.000272137	0.00029074	1.60286e-06	0.000632091	5.39943e-05	0.0002049	0.00017562	1.89
7	7000	1.67934	11.6496	0.000272371	0.000290443	1.74857e-06	0.000631866	5.39371e-05	0.000205274	0.000182369	1.92
7	7000	1.66169	11.5268	0.000272777	0.0002909	1.79714e-06	0.000632023	5.43114e-05	0.000205363	0.000181914	1.91
7	7000	1.6665	11.7387	0.000272251	0.00029046	1.66857e-06	0.000631954	5.43743e-05	0.00020654	0.000184557	1.91
7	7000	1.6683	11.2576	0.000271934	0.000290071	1.67429e-06	0.000631746	5.42029e-05	0.000205674	0.000176486	1.91
7	7000	1.66325	11.4932	0.000272623	0.000291069	1.67143e-06	0.000632186	5.35971e-05	0.000202717	0.000179017	1.91
7	7000	1.65992	11.2013	0.000271986	0.000290146	1.74286e-06	0.000631746	5.44457e-05	0.000206391	0.00017488	1.90
7	7000	1.66375	11.426	0.000272914	0.000291134	1.81429e-06	0.000631971	5.36943e-05	0.000204117	0.000178429	1.91
7	7000	1.67896	12.4891	0.000272286	0.000290477	1.69714e-06	0.000631863	5.34114e-05	0.000202506	0.000197354	1.92
8	8000	1.87328	13.5322	0.00031142	0.000334669	2.17429e-06	0.000651257	6.10971e-05	0.000237251	0.000236257	2.12
8	8000	1.8837	13.5509	0.000309954	0.000333423	2.02857e-06	0.000650783	6.18429e-05	0.000240691	0.000236854	2.13
8	8000	1.8645	13.6442	0.000311514	0.000335003	2.18857e-06	0.000651283	6.12943e-05	0.000238346	0.000238434	2.11
8	8000	1.85979	13.1568	0.00031082	0.000333857	2.08571e-06	0.000650923	6.13286e-05	0.000238966	0.000227171	2.10
8	8000	1.87436	13.4761	0.00031112	0.000334314	2.20857e-06	0.000651043	6.20629e-05	0.000242006	0.000233634	2.12
8	8000	1.85743	12.9015	0.000310346	0.000333703	2.21143e-06	0.000650783	6.16486e-05	0.000239429	0.000223483	2.10
8	8000	1.86603	12.9773	0.000310131	0.000332917	2.24e-06	0.000650409	6.12171e-05	0.0002382	0.000225174	2.11
8	8000	1.87915	13.923	0.000310946	0.000334163	2.13714e-06	0.000651091	6.15971e-05	0.000239394	0.000243671	2.12
8	8000	1.86166	12.4918	0.000311171	0.000334203	2.28e-06	0.000650834	6.12914e-05	0.000238894	0.000215811	2.11
8	8000	1.8603	13.1473	0.000311466	0.000334683	2.19143e-06	0.000651151	6.12543e-05	0.000238089	0.000228491	2.10
9	9000	2.09636	15.4294	0.000354526	0.00038236	2.47143e-06	0.000671911	7.10457e-05	0.000282326	0.000299131	2.34
9	9000	2.09701	15.318	0.000357103	0.000384691	2.89429e-06	0.000672546	6.99429e-05	0.00027744	0.000297431	2.35
9	9000	2.08835	14.9901	0.00035778	0.000386066	2.92857e-06	0.00067312	6.93943e-05	0.000275243	0.000291454	2.34
9	9000	2.08652	14.7727	0.000356003	0.000384374	2.78286e-06	0.000672626	7.06571e-05	0.00028002	0.000286471	2.32
9	9000	2.09845	15.4294	0.000357006	0.000385263	2.82857e-06	0.00067284	6.96743e-05	0.000276397	0.000300086	2.35
9	9000	2.09275	15.0543	0.000355123	0.000382966	2.77143e-06	0.000671926	7.04714e-05	0.000279789	0.00029116	2.34
9	9000	2.09781	15.3897	0.0003569	0.000385374	2.89429e-06	0.000672734	6.95143e-05	0.000275866	0.000299494	2.34
9	9000	2.09353	15.0061	0.000356586	0.000385109	2.54e-06	0.000673074	6.99971e-05	0.000278646	0.0002922	2.34
9	9000	2.09168	14.8856	0.000355446	0.000383163	2.56857e-06	0.000672231	7.078e-05	0.000280611	0.00028666	2.33
9	9000	2.09068	14.6596	0.000353937	0.00038204	2.69714e-06	0.000671586	7.04143e-05	0.000279697	0.000284286	2.34
10	10000	2.34207	16.2619	0.000405383	0.000438703	3.37714e-06	0.000695431	7.88343e-05	0.00031826	0.000350374	2.61
10	10000	2.33525	16.5066	0.00040484	0.000438331	3.18857e-06	0.000695586	7.96086e-05	0.00032148	0.000356171	2.58
10	10000	2.34734	17.0469	0.000405177	0.000437849	3.3e-06	0.000695154	7.89571e-05	0.000319223	0.00036946	2.59
10	10000	2.34632	16.6528	0.000406594	0.000439983	3.42571e-06	0.00069592	7.86886e-05	0.000317411	0.000360397	2.59
10	10000	2.33976	16.5066	0.00040712	0.000439694	3.39143e-06	0.000695849	7.88171e-05	0.000317949	0.000355243	2.58
10	10000	2.34767	16.9159	0.000404003	0.00043762	3.30857e-06	0.000695146	7.946e-05	0.000320523	0.000366537	2.60
10	10000	2.3304	16.1918	0.000405297	0.000438969	3.42e-06	0.000695534	7.91e-05	0.000319269	0.000348517	2.57
10	10000	2.35138	16.978	0.000403431	0.000437151	3.20286e-06	0.000695009	7.94971e-05	0.000320709	0.000368594	2.59
10	10000	2.32515	15.924	0.000404734	0.000437857	3.40286e-06	0.000695126	7.90371e-05	0.000318337	0.0003385	2.57
10	10000	2.34485	16.7083	0.000402766	0.0004364	3.16e-06	0.00069478	7.95e-05	0.000320766	0.000359863	2.60
11	11000	2.60129	18.0083	0.000456103	0.000494409	3.89143e-06	0.000719077	8.77314e-05	0.00035896	0.000429591	2.85
11	11000	2.60186	17.9043	0.000456046	0.000494597	4.19429e-06	0.000718811	8.79086e-05	0.000360223	0.000427003	2.85
11	11000	2.59853	17.9778	0.000452394	0.000491689	3.63143e-06	0.00071818	9.03e-05	0.000369886	0.000429966	2.84
11	11000	2.60875	18.2946	0.000452674	0.000491303	3.76e-06	0.000717963	8.96571e-05	0.000366817	0.000436526	2.85
11	11000	2.62159	18.5849	0.00045494	0.000494046	3.88e-06	0.000718977	8.89143e-05	0.000364171	0.0004469	2.87
11	11000	2.59071	17.7386	0.00045616	0.00049504	4.04571e-06	0.000719143	8.82886e-05	0.000361497	0.00042236	2.83
11	11000	2.60585	18.3492	0.000456369	0.00049436	3.83143e-06	0.000719029	8.87e-05	0.000363586	0.0004383	2.85
11	11000	2.59959	17.9043	0.000455346	0.000494177	3.82e-06	0.000719034	8.904e-05	0.000364486	0.000427749	2.85
11	11000	2.6295	18.2946	0.000455294	0.000494237	3.85143e-06	0.000718897	8.88514e-05	0.000364157	0.000437617	2.87
11	11000	2.59013	17.8307	0.000453829	0.000492997	3.65143e-06	0.000718723	8.96057e-05	0.000366686	0.000424234	2.83
12	12000	2.87775	19.3223	0.00050758	0.000551851	4.49714e-06	0.000743406	9.804e-05	0.000405694	0.000506843	3.13
12	12000	2.86488	19.1919	0.000509837	0.000552609	4.75143e-06	0.000743551	9.84857e-05	0.000407109	0.000503546	3.11
12	12000	2.86784	19.2735	0.000507123	0.000551051	4.41714e-06	0.000743191	9.914e-05	0.000410306	0.000505563	3.11
12	12000	2.87704	19.4469	0.000507629	0.000551114	4.47143e-06	0.000743051	9.87314e-05	0.000407891	0.000511306	3.13
12	12000	2.88085	19.6357	0.000507883	0.000551406	4.63429e-06	0.000743194	9.87543e-05	0.000408494	0.000516843	3.13
12	12000	2.88251	19.6787	0.000504874	0.000548577	4.30286e-06	0.000742191	9.87943e-05	0.000408837	0.000515869	3.13
12	12000	2.88475	19.6411	0.000506951	0.000551031	4.34286e-06	0.000743243	9.84143e-05	0.000406803	0.000516923	3.14
12	12000	2.86931	19.3657	0.000507426	0.00055156	4.48e-06	0.000743257	9.83686e-05	0.000406889	0.000508477	3.11
12	12000	2.89125	19.6411	0.000507709	0.000552126	4.58e-06	0.00074338	9.76914e-05	0.000404443	0.000518609	3.14
