N_THREADS	N_TRANSACTIONS	TIME	N_ABORTS	PROCESS_READ_TIME	PROCESS_WRITE_TIME	PROCESS_VALIDATION_TIME	PROCESS_OTHER_TIME	COMMIT_VALIDATION_TIME	COMMIT_OTHER_TIME	WASTED_TIME
1	1000	1.46201	0	0.000398197	0.000180234	0	0.000761583	6.51429e-07	0.000112194	2.48857e-06	1.56
1	1000	1.462	0	0.000398166	0.000180194	0	0.000761617	6.54286e-07	0.000112223	2.48857e-06	1.55
1	1000	1.46197	0	0.00039816	0.000180231	0	0.000761543	6.51429e-07	0.000112234	2.48857e-06	1.55
1	1000	1.46194	0	0.000398234	0.000180191	0	0.000761549	6.54286e-07	0.000112174	2.48e-06	1.55
1	1000	1.46193	0	0.000398049	0.00018026	0	0.00076154	6.54286e-07	0.000112271	2.49143e-06	1.55
1	1000	1.46198	0	0.000398163	0.000180203	0	0.000761609	6.51429e-07	0.0001122	2.48571e-06	1.56
1	1000	1.46198	0	0.000398217	0.000180191	0	0.000761574	6.51429e-07	0.000112203	2.48857e-06	1.55
1	1000	1.46204	0	0.000398249	0.000180226	0	0.000761589	6.48571e-07	0.00011218	2.49429e-06	1.55
1	1000	1.462	0	0.000398134	0.000180209	0	0.000761657	6.54286e-07	0.0001122	2.48571e-06	1.56
1	1000	1.46207	0	0.000398254	0.000180229	0	0.000761563	6.54286e-07	0.000112217	2.5e-06	1.55
2	2000	1.61499	1.9127	0.000416094	0.000187217	1.48571e-06	0.000767797	8.04114e-05	0.000118134	3.18e-05	1.71
2	2000	1.625	2.39141	0.000416383	0.000186683	1.34857e-06	0.00076802	7.98143e-05	0.00011884	3.94914e-05	1.72
2	2000	1.6287	2.00882	0.000416017	0.000187234	1.22857e-06	0.000767963	7.94543e-05	0.000118017	3.274e-05	1.73
2	2000	1.63729	2.15264	0.000416177	0.000187023	1.16857e-06	0.000767994	7.88486e-05	0.000118391	3.44657e-05	1.73
2	2000	1.62883	2.20049	0.000415931	0.000187097	1.34e-06	0.000767926	7.99086e-05	0.000118494	3.66143e-05	1.72
2	2000	1.62916	2.20049	0.000416089	0.000187289	1.31143e-06	0.000768057	7.98657e-05	0.000118477	3.66229e-05	1.72
2	2000	1.6222	2.39141	0.000416506	0.000186763	1.34e-06	0.000768014	7.97943e-05	0.000118971	3.802e-05	1.72
2	2000	1.63213	2.20049	0.000416226	0.00018742	1.34e-06	0.000767974	7.96514e-05	0.00011866	3.64971e-05	1.72
2	2000	1.63041	2.15264	0.000416017	0.000187266	1.37143e-06	0.000767974	7.98971e-05	0.000118366	3.58771e-05	1.72
2	2000	1.63716	2.10475	0.000416154	0.000187026	1.19143e-06	0.000768003	7.88829e-05	0.000118323	3.43457e-05	1.73
3	3000	1.70884	3.96927	0.000439614	0.000195377	2.14286e-06	0.00077708	8.54943e-05	0.000127877	6.51629e-05	1.81
3	3000	1.74113	5.03324	0.000440446	0.000195031	2.01429e-06	0.000777103	8.482e-05	0.000128809	8.092e-05	1.84
3	3000	1.72233	4.4586	0.000440037	0.000195034	2.12857e-06	0.00077698	8.54e-05	0.000128029	7.27714e-05	1.82
3	3000	1.73728	4.18397	0.000439349	0.000194897	2.28e-06	0.000776606	8.50686e-05	0.000128337	6.78029e-05	1.83
3	3000	1.70967	3.56798	0.000440186	0.000195217	2.13143e-06	0.000777114	8.55514e-05	0.000128514	5.92314e-05	1.80
3	3000	1.72329	3.72272	0.000439883	0.000195206	2.25714e-06	0.000776909	8.54571e-05	0.000127909	6.13543e-05	1.82
3	3000	1.7143	3.84615	0.000439517	0.000195406	2.26857e-06	0.000777011	8.54429e-05	0.000127697	6.352e-05	1.81
3	3000	1.70444	3.66089	0.000439763	0.000195517	2.39714e-06	0.00077688	8.57457e-05	0.000128177	6.01086e-05	1.80
3	3000	1.72396	4.67112	0.000440174	0.000194883	2.19143e-06	0.000777063	8.57771e-05	0.00012846	7.78086e-05	1.82
3	3000	1.73006	4.82234	0.00044088	0.000194786	1.88571e-06	0.000777606	8.52914e-05	0.0001293	7.99914e-05	1.83
4	4000	1.84101	5.57129	0.000480069	0.000209369	3.45429e-06	0.000795251	9.25629e-05	0.000144803	9.78e-05	1.93
4	4000	1.86363	5.88235	0.00048162	0.000208337	3.52571e-06	0.000795686	9.28514e-05	0.000146677	0.000103117	1.96
