N_THREADS	N_TRANSACTIONS	TIME	N_ABORTS	PROCESS_READ_TIME	PROCESS_WRITE_TIME	PROCESS_VALIDATION_TIME	PROCESS_OTHER_TIME	COMMIT_VALIDATION_TIME	COMMIT_OTHER_TIME	WASTED_TIME
1	1000	0.216496	0	1.52229e-05	2.35629e-05	0	2.30057e-05	6.45714e-07	1.16114e-05	2.44857e-06
1	1000	0.216518	0	1.52029e-05	2.358e-05	0	2.302e-05	6.45714e-07	1.16343e-05	2.45714e-06
1	1000	0.216476	0	1.52029e-05	2.35657e-05	0	2.30257e-05	6.45714e-07	1.16029e-05	2.45429e-06
1	1000	0.216504	0	1.52086e-05	2.35771e-05	0	2.30171e-05	6.45714e-07	1.162e-05	2.45714e-06
1	1000	0.21647	0	1.52086e-05	2.35686e-05	0	2.29914e-05	6.48571e-07	1.16057e-05	2.45143e-06
1	1000	0.216495	0	1.52086e-05	2.358e-05	0	2.30029e-05	6.45714e-07	1.162e-05	2.46286e-06
1	1000	0.216519	0	1.522e-05	2.35771e-05	0	2.302e-05	6.42857e-07	1.16114e-05	2.44857e-06
1	1000	0.216488	0	1.52114e-05	2.358e-05	0	2.29943e-05	6.45714e-07	1.16171e-05	2.45143e-06
1	1000	0.216485	0	1.52171e-05	2.35714e-05	0	2.30057e-05	6.45714e-07	1.16114e-05	2.44857e-06
1	1000	0.216496	0	1.52171e-05	2.358e-05	0	2.29971e-05	6.45714e-07	1.16171e-05	2.45143e-06
2	2000	0.217913	2.43902	1.53514e-05	2.37343e-05	2.57143e-08	2.312e-05	7.14286e-07	1.17971e-05	2.83143e-06
2	2000	0.217924	2.34375	1.53429e-05	2.37486e-05	2.57143e-08	2.31229e-05	7.25714e-07	1.182e-05	2.82e-06
2	2000	0.217832	2.05681	1.53543e-05	2.37286e-05	3.71429e-08	2.30914e-05	7.28571e-07	1.17971e-05	2.77143e-06
2	2000	0.217953	2.24829	1.53571e-05	2.376e-05	2.57143e-08	2.312e-05	7.2e-07	1.18257e-05	2.81429e-06
2	2000	0.217942	2.05681	1.53743e-05	2.37486e-05	3.42857e-08	2.31e-05	7.31429e-07	1.18343e-05	2.78e-06
2	2000	0.21791	2.29604	1.53629e-05	2.37371e-05	3.14286e-08	2.31029e-05	7.31429e-07	1.18029e-05	2.80286e-06
2	2000	0.217903	2.20049	1.53543e-05	2.37457e-05	3.14286e-08	2.31029e-05	7.25714e-07	1.18229e-05	2.79714e-06
2	2000	0.217869	2.05681	1.53629e-05	2.374e-05	3.14286e-08	2.30971e-05	7.22857e-07	1.17886e-05	2.77429e-06
2	2000	0.217974	2.24829	1.53743e-05	2.37514e-05	2.85714e-08	2.312e-05	7.2e-07	1.18343e-05	2.81429e-06
2	2000	0.217933	2.34375	1.53657e-05	2.37457e-05	3.71429e-08	2.31029e-05	7.25714e-07	1.18029e-05	2.81429e-06
3	3000	0.221942	12.5364	1.56314e-05	2.38686e-05	1.8e-07	2.32886e-05	1.07143e-06	1.21686e-05	4.79143e-06
3	3000	0.221838	12.993	1.564e-05	2.38714e-05	1.65714e-07	2.32943e-05	1.04571e-06	1.21714e-05	4.72857e-06
3	3000	0.221888	12.4854	1.56543e-05	2.388e-05	1.85714e-07	2.33e-05	1.09143e-06	1.21829e-05	4.66286e-06
3	3000	0.222297	13.5696	1.566e-05	2.38829e-05	1.85714e-07	2.33057e-05	1.10571e-06	1.21914e-05	4.93429e-06
3	3000	0.222044	12.9425	1.56543e-05	2.39086e-05	1.88571e-07	2.33057e-05	1.09714e-06	1.21971e-05	4.75143e-06
3	3000	0.221877	12.4854	1.56629e-05	2.388e-05	1.8e-07	2.32886e-05	1.07714e-06	1.21743e-05	4.67143e-06
3	3000	0.221804	12.332	1.56343e-05	2.38857e-05	1.74286e-07	2.33143e-05	1.06286e-06	1.21829e-05	4.62e-06
3	3000	0.222118	13.0435	1.56571e-05	2.38971e-05	1.82857e-07	2.33086e-05	1.08286e-06	1.21943e-05	4.85714e-06
3	3000	0.221951	13.0687	1.56571e-05	2.38743e-05	1.88571e-07	2.32829e-05	1.09714e-06	1.21771e-05	4.72286e-06
3	3000	0.222246	13.119	1.56543e-05	2.388e-05	1.71429e-07	2.33086e-05	1.08286e-06	1.21714e-05	4.96571e-06
4	4000	0.281109	58.5234	1.68629e-05	2.55543e-05	5.8e-07	2.42114e-05	2.24857e-06	1.29857e-05	5.47771e-05
4	4000	0.282988	58.835	1.68771e-05	2.55743e-05	6.02857e-07	2.42057e-05	2.24e-06	1.30029e-05	5.59057e-05
4	4000	0.283442	60.0998	1.688e-05	2.558e-05	5.68571e-07	2.42314e-05	2.21429e-06	1.30257e-05	5.80114e-05
4	4000	0.281489	58.8096	1.68571e-05	2.55857e-05	5.62857e-07	2.42543e-05	2.22e-06	1.29971e-05	5.55743e-05
4	4000	0.283923	58.682	1.68514e-05	2.55743e-05	5.71429e-07	2.41971e-05	2.22286e-06	1.30086e-05	5.51429e-05
4	4000	0.287437	59.9239	1.68886e-05	2.562e-05	5.8e-07	2.42543e-05	2.22857e-06	1.302e-05	5.916e-05
4	4000	0.283633	59.3165	1.68571e-05	2.558e-05	5.71429e-07	2.42314e-05	2.19143e-06	1.30143e-05	5.68829e-05
4	4000	0.284391	59.469	1.686e-05	2.56e-05	5.62857e-07	2.42286e-05	2.17714e-06	1.30114e-05	5.83314e-05
4	4000	0.287491	59.7221	1.68857e-05	2.56286e-05	5.94286e-07	2.42257e-05	2.22e-06	1.30029e-05	5.95086e-05
4	4000	0.282715	59.5265	1.68629e-05	2.56114e-05	5.85714e-07	2.42171e-05	2.25143e-06	1.30143e-05	5.682e-05
5	5000	0.375003	75.4022	1.83829e-05	2.82943e-05	7.6e-07	2.60114e-05	2.78571e-06	1.42057e-05	0.000135889
5	5000	0.38247	75.7152	1.84114e-05	2.83571e-05	7.54286e-07	2.60829e-05	2.71429e-06	1.42714e-05	0.000140557
5	5000	0.374261	75.58	1.84486e-05	2.83714e-05	7.6e-07	2.61086e-05	2.77429e-06	1.43e-05	0.000137066
5	5000	0.376852	75.7128	1.84486e-05	2.84429e-05	7.25714e-07	2.61743e-05	2.74e-06	1.42829e-05	0.000139417
5	5000	0.386343	76.1632	1.84057e-05	2.84086e-05	7.17143e-07	2.61829e-05	2.67714e-06	1.42886e-05	0.0001443
5	5000	0.372917	75.3597	1.84371e-05	2.83657e-05	7.8e-07	2.60457e-05	2.81429e-06	1.42886e-05	0.000134889
5	5000	0.373297	75.1824	1.83657e-05	2.828e-05	7.6e-07	2.60029e-05	2.76571e-06	1.42686e-05	0.000133714
5	5000	0.377504	75.1182	1.83857e-05	2.83114e-05	7.71429e-07	2.60057e-05	2.77143e-06	1.42371e-05	0.000134337
5	5000	0.376277	76.0169	1.84e-05	2.84086e-05	7.14286e-07	2.61429e-05	2.71143e-06	1.43429e-05	0.000140863
5	5000	0.375107	75.4758	1.844e-05	2.83829e-05	7.68571e-07	2.60743e-05	2.76571e-06	1.432e-05	0.000137634
6	6000	0.513655	83.6124	2.06629e-05	3.25229e-05	8.31429e-07	2.89429e-05	3.04571e-06	1.60714e-05	0.000260517
6	6000	0.511995	83.3366	2.05657e-05	3.23371e-05	8.71429e-07	2.87629e-05	3.06571e-06	1.60143e-05	0.000252591
6	6000	0.517125	83.6128	2.05343e-05	3.23343e-05	8.37143e-07	2.87829e-05	2.99143e-06	1.59457e-05	0.000260129
6	6000	0.510085	83.5675	2.06257e-05	3.23886e-05	8.71429e-07	2.88057e-05	3.05143e-06	1.606e-05	0.000257194
6	6000	0.513218	83.581	2.05914e-05	3.24171e-05	8.22857e-07	2.88629e-05	3.02286e-06	1.60257e-05	0.00025892
6	6000	0.520142	83.7151	2.06057e-05	3.24286e-05	8.17143e-07	2.88971e-05	2.99429e-06	1.59886e-05	0.000263606
6	6000	0.521892	83.8969	2.06514e-05	3.25171e-05	8.42857e-07	2.894e-05	3.05429e-06	1.60771e-05	0.000265803
6	6000	0.508946	83.4811	2.06543e-05	3.24714e-05	8.42857e-07	2.88943e-05	3.09143e-06	1.61e-05	0.000254926
