N_THREADS	N_TRANSACTIONS	TIME	N_ABORTS	PROCESS_READ_TIME	PROCESS_WRITE_TIME	PROCESS_VALIDATION_TIME	PROCESS_OTHER_TIME	COMMIT_VALIDATION_TIME	COMMIT_OTHER_TIME	WASTED_TIME
1	1000	0.213212	0	1.84971e-05	2.96343e-05	0	0.000140611	6.2e-07	1.484e-05	2.48571e-06	0.70
1	1000	0.213197	0	1.85e-05	2.96314e-05	0	0.0001406	6.14286e-07	1.48371e-05	2.48e-06	0.61
1	1000	0.213069	0	1.85057e-05	2.95914e-05	0	0.000140557	6.11429e-07	1.47857e-05	2.46e-06	0.61
1	1000	0.213195	0	1.84971e-05	2.96286e-05	0	0.000140614	6.14286e-07	1.48343e-05	2.47714e-06	0.60
1	1000	0.21315	0	1.852e-05	2.96057e-05	0	0.000140606	6.11429e-07	1.47829e-05	2.47714e-06	0.60
1	1000	0.213189	0	1.84971e-05	2.96257e-05	0	0.00014062	6.14286e-07	1.48229e-05	2.47714e-06	0.60
1	1000	0.21322	0	1.85114e-05	2.96343e-05	0	0.000140611	6.14286e-07	1.48343e-05	2.49143e-06	0.60
1	1000	0.213121	0	1.85171e-05	2.96029e-05	0	0.000140603	6.08571e-07	1.478e-05	2.46286e-06	0.60
1	1000	0.21308	0	1.84971e-05	2.95857e-05	0	0.000140577	6.11429e-07	1.47914e-05	2.46857e-06	0.60
1	1000	0.213187	0	1.85229e-05	2.96143e-05	0	0.000140614	6.08571e-07	1.48114e-05	2.46857e-06	0.61
2	2000	0.222478	0.447984	1.90571e-05	3.06314e-05	4e-08	0.000141369	6.34286e-06	1.526e-05	3.02286e-06	0.72
2	2000	0.222248	0.447984	1.90257e-05	3.05486e-05	4e-08	0.000141309	6.35429e-06	1.52171e-05	3.02286e-06	0.62
2	2000	0.222303	0.447984	1.90171e-05	3.05714e-05	4e-08	0.000141291	6.34857e-06	1.52571e-05	3.03714e-06	0.62
2	2000	0.222312	0.447984	1.90371e-05	3.05829e-05	4e-08	0.000141326	6.34286e-06	1.52029e-05	3.03143e-06	0.62
2	2000	0.22258	0.447984	1.90571e-05	3.06743e-05	4e-08	0.000141371	6.38571e-06	1.52857e-05	3.02e-06	0.62
2	2000	0.222353	0.447984	1.902e-05	3.058e-05	4e-08	0.000141317	6.36e-06	1.526e-05	3.02857e-06	0.62
2	2000	0.222427	0.447984	1.90457e-05	3.05914e-05	4e-08	0.000141351	6.35143e-06	1.52486e-05	3.02857e-06	0.62
2	2000	0.222496	0.447984	1.90571e-05	3.06543e-05	4e-08	0.000141343	6.38e-06	1.52457e-05	3.03429e-06	0.62
2	2000	0.222096	0.447984	1.89971e-05	3.04829e-05	4e-08	0.000141286	6.32857e-06	1.52057e-05	3.02286e-06	0.62
2	2000	0.222342	0.447984	1.90229e-05	3.05686e-05	4e-08	0.000141309	6.33429e-06	1.52771e-05	3.04286e-06	0.62
3	3000	0.230087	1.12063	2.002e-05	3.27543e-05	4e-08	0.000142603	6.80857e-06	1.62571e-05	4.13143e-06	0.65
3	3000	0.229591	0.924703	1.99914e-05	3.26314e-05	5.14286e-08	0.000142569	6.75143e-06	1.61886e-05	3.90571e-06	0.63
3	3000	0.229219	1.12063	1.99114e-05	3.24029e-05	4e-08	0.000142497	6.71429e-06	1.60857e-05	4.06e-06	0.63
3	3000	0.229282	0.891972	1.99029e-05	3.23257e-05	5.71429e-08	0.000142457	6.72857e-06	1.608e-05	3.98286e-06	0.63
3	3000	0.229518	1.31579	1.98943e-05	3.23229e-05	4.57143e-08	0.000142451	6.72e-06	1.608e-05	4.44286e-06	0.63
3	3000	0.22949	1.12063	1.99543e-05	3.24886e-05	4.57143e-08	0.00014254	6.76571e-06	1.61829e-05	4.12571e-06	0.63
3	3000	0.229524	1.15321	1.98914e-05	3.23629e-05	5.14286e-08	0.000142457	6.75143e-06	1.61257e-05	4.14857e-06	0.63
3	3000	0.229249	1.12063	1.97771e-05	3.20857e-05	4.85714e-08	0.000142406	6.76e-06	1.60714e-05	4.37143e-06	0.63
3	3000	0.229283	1.21831	1.99029e-05	3.23171e-05	4.28571e-08	0.000142489	6.72286e-06	1.61229e-05	4.4e-06	0.63
3	3000	0.230259	1.12063	2.00371e-05	3.276e-05	4.28571e-08	0.000142631	6.78857e-06	1.62657e-05	4.16571e-06	0.63
4	4000	0.238635	2.03282	2.13086e-05	3.522e-05	6.57143e-08	0.000144051	7.13429e-06	1.73229e-05	5.29143e-06	0.82
4	4000	0.238498	1.7199	2.12314e-05	3.50429e-05	8e-08	0.000144023	7.11429e-06	1.734e-05	5.20857e-06	0.73
4	4000	0.237795	1.9127	2.11714e-05	3.49029e-05	8.85714e-08	0.000143977	7.11429e-06	1.73114e-05	5.36571e-06	0.72
4	4000	0.239288	1.79229	2.14771e-05	3.56657e-05	8.85714e-08	0.00014416	7.18571e-06	1.74914e-05	5.24857e-06	0.71
4	4000	0.239055	1.74404	2.13229e-05	3.53171e-05	8.28571e-08	0.000144103	7.16571e-06	1.74371e-05	5.26286e-06	0.72
4	4000	0.238921	2.17657	2.13343e-05	3.53171e-05	8e-08	0.000144083	7.10857e-06	1.73514e-05	5.65429e-06	0.73
4	4000	0.238664	1.9127	2.128e-05	3.51486e-05	8.57143e-08	0.000144009	7.11429e-06	1.73314e-05	5.48286e-06	0.72
4	4000	0.23911	1.98481	2.12914e-05	3.52114e-05	6.85714e-08	0.000144114	7.17143e-06	1.746e-05	5.69143e-06	0.73
4	4000	0.240597	2.2244	2.14371e-05	3.56543e-05	6.85714e-08	0.000144171	7.20286e-06	1.75514e-05	5.91714e-06	0.72
4	4000	0.239019	1.93675	2.13971e-05	3.54943e-05	9.14286e-08	0.000144131	7.17143e-06	1.74714e-05	5.21429e-06	0.73
5	5000	0.251141	2.40094	2.33486e-05	3.926e-05	1.2e-07	0.000146291	7.62e-06	1.91429e-05	6.36857e-06	0.92
5	5000	0.253024	2.40094	2.35086e-05	3.98657e-05	1.05714e-07	0.000146517	7.72286e-06	1.94229e-05	6.55429e-06	0.83
5	5000	0.251949	2.5721	2.33114e-05	3.93686e-05	1e-07	0.000146391	7.65429e-06	1.92229e-05	6.79429e-06	0.84
5	5000	0.250944	2.34375	2.31886e-05	3.89686e-05	1.17143e-07	0.00014626	7.56857e-06	1.91229e-05	6.35429e-06	0.83
5	5000	0.249889	2.51511	2.30257e-05	3.85314e-05	1.05714e-07	0.000146051	7.51429e-06	1.87657e-05	6.58286e-06	0.83
5	5000	0.251769	2.45806	2.32429e-05	3.90914e-05	9.42857e-08	0.000146277	7.6e-06	1.90971e-05	6.58571e-06	0.83
5	5000	0.250723	2.4961	2.302e-05	3.84571e-05	1.14286e-07	0.00014604	7.49714e-06	1.88029e-05	6.62286e-06	0.83
5	5000	0.251991	2.76157	2.328e-05	3.92314e-05	9.42857e-08	0.000146331	7.64286e-06	1.92514e-05	6.94e-06	0.84
5	5000	0.251003	2.40094	2.30886e-05	3.87286e-05	9.42857e-08	0.000146097	7.52e-06	1.882e-05	6.24857e-06	0.84
5	5000	0.252617	2.47708	2.34257e-05	3.95457e-05	1.02857e-07	0.0001464	7.62857e-06	1.92371e-05	6.68286e-06	0.83
6	6000	0.267274	3.41275	2.57514e-05	4.38771e-05	1.42857e-07	0.000149137	8.21143e-06	2.13029e-05	8.24e-06	1.04
6	6000	0.266906	3.19458	2.58171e-05	4.39657e-05	1.51429e-07	0.000149143	8.22857e-06	2.12486e-05	8.07714e-06	0.96
6	6000	0.267734	3.16333	2.59686e-05	4.432e-05	1.54286e-07	0.000149283	8.21714e-06	2.13543e-05	7.94857e-06	0.94
6	6000	0.267614	2.99111	2.59571e-05	4.43029e-05	1.48571e-07	0.000149294	8.22286e-06	2.13743e-05	7.81714e-06	0.94
6	6000	0.267233	3.50595	2.56086e-05	4.35343e-05	1.22857e-07	0.000149094	8.17714e-06	2.12457e-05	8.62286e-06	0.94
6	6000	0.267362	3.35052	2.57314e-05	4.37686e-05	1.45714e-07	0.000149106	8.17714e-06	2.11971e-05	8.50286e-06	0.95
6	6000	0.265406	3.06947	2.55371e-05	4.32457e-05	1.4e-07	0.000149071	8.13143e-06	2.11829e-05	7.70286e-06	0.94
6	6000	0.266677	3.1477	2.56257e-05	4.34314e-05	1.65714e-07	0.000149	8.09714e-06	2.10086e-05	8.21429e-06	0.97
6	6000	0.265706	3.03814	2.55743e-05	4.34229e-05	1.54286e-07	0.000148934	8.12286e-06	2.09457e-05	7.64286e-06	0.94
6	6000	0.26885	3.11642	2.618e-05	4.486e-05	1.51429e-07	0.000149529	8.30571e-06	2.16543e-05	8.05429e-06	0.95
7	7000	0.287203	3.46159	2.92086e-05	5.03314e-05	1.97143e-07	0.000152963	8.99143e-06	2.42143e-05	9.13429e-06	1.16
7	7000	0.287674	4.39771	2.90657e-05	4.99886e-05	1.8e-07	0.000152866	8.92857e-06	2.40657e-05	1.06114e-05	1.09
7	7000	0.286968	4.13585	2.90486e-05	4.98686e-05	1.85714e-07	0.000152783	8.93143e-06	2.40314e-05	1.02914e-05	1.08
7	7000	0.287479	3.91215	2.91429e-05	5.01886e-05	1.91429e-07	0.000152877	8.96286e-06	2.40743e-05	9.71429e-06	1.08
7	7000	0.288686	3.92534	2.92371e-05	5.056e-05	1.68571e-07	0.000153137	9.06571e-06	2.44971e-05	9.94286e-06	1.08
7	7000	0.288967	3.93852	2.94771e-05	5.10057e-05	1.71429e-07	0.000153217	9.07714e-06	2.44429e-05	9.76857e-06	1.08
7	7000	0.2869	4.10959	2.89743e-05	4.96857e-05	2e-07	0.000152729	8.87429e-06	2.38057e-05	9.93429e-06	1.09
7	7000	0.289191	4.09645	2.93514e-05	5.06714e-05	1.77143e-07	0.000153071	8.98e-06	2.424e-05	1.02543e-05	1.09
7	7000	0.286428	3.52811	2.91457e-05	5.01229e-05	1.88571e-07	0.000152869	8.96e-06	2.40343e-05	9.29143e-06	1.08
7	7000	0.287394	3.75361	2.91171e-05	5.00914e-05	2.05714e-07	0.000152917	8.98857e-06	2.41657e-05	9.59714e-06	1.09
8	8000	0.313395	4.67112	3.34686e-05	5.83771e-05	2.05714e-07	0.000157686	1.00257e-05	2.77971e-05	1.202e-05	1.29
8	8000	0.312941	4.79591	3.34771e-05	5.82657e-05	2.05714e-07	0.000157694	9.97714e-06	2.77029e-05	1.22371e-05	1.21
8	8000	0.311115	4.53461	3.32229e-05	5.76086e-05	2.25714e-07	0.000157369	9.88571e-06	2.73971e-05	1.19914e-05	1.20
8	8000	0.31292	4.61428	3.33057e-05	5.79629e-05	2.11429e-07	0.000157571	9.98857e-06	2.77229e-05	1.20771e-05	1.21
8	8000	0.312652	4.93167	3.32629e-05	5.78e-05	2.22857e-07	0.000157514	9.90857e-06	2.75257e-05	1.22943e-05	1.21
8	8000	0.313666	4.48902	3.35429e-05	5.83771e-05	2.42857e-07	0.0001577	1.00257e-05	2.79343e-05	1.19571e-05	1.21
8	8000	0.312697	4.43197	3.34371e-05	5.81114e-05	2.42857e-07	0.000157606	9.96e-06	2.77029e-05	1.17229e-05	1.21
8	8000	0.313313	4.50042	3.32514e-05	5.79257e-05	2.25714e-07	0.000157517	1.006e-05	2.786e-05	1.17686e-05	1.21
8	8000	0.314668	4.72788	3.35943e-05	5.87143e-05	2.11429e-07	0.000157866	1.00771e-05	2.80857e-05	1.20657e-05	1.21
8	8000	0.313941	5.01069	3.34e-05	5.83714e-05	2.37143e-07	0.000157609	1.00829e-05	2.80257e-05	1.26486e-05	1.21
9	9000	0.34435	5.44232	3.84971e-05	6.76629e-05	2.8e-07	0.000163174	1.12714e-05	3.22714e-05	1.472e-05	1.41
9	9000	0.343783	5.7098	3.852e-05	6.76571e-05	3.11429e-07	0.000163089	1.12343e-05	3.21886e-05	1.496e-05	1.33
9	9000	0.34598	5.68015	3.86657e-05	6.82057e-05	2.88571e-07	0.000163171	1.13086e-05	3.228e-05	1.526e-05	1.34
9	9000	0.34367	5.34287	3.84886e-05	6.76714e-05	2.82857e-07	0.000163126	1.13e-05	3.23371e-05	1.438e-05	1.35
9	9000	0.342161	5.27313	3.83886e-05	6.72486e-05	2.82857e-07	0.000163014	1.11714e-05	3.18971e-05	1.42886e-05	1.34
9	9000	0.342994	5.21327	3.844e-05	6.72714e-05	2.71429e-07	0.000163177	1.12143e-05	3.22086e-05	1.42e-05	1.35
9	9000	0.342805	5.11334	3.84286e-05	6.73886e-05	3.31429e-07	0.000163077	1.12743e-05	3.22429e-05	1.41914e-05	1.34
9	9000	0.342988	5.27313	3.83886e-05	6.73143e-05	2.74286e-07	0.000163163	1.12343e-05	3.21543e-05	1.44257e-05	1.34
9	9000	0.343794	5.74929	3.83514e-05	6.73286e-05	2.68571e-07	0.000163077	1.12571e-05	3.21457e-05	1.53286e-05	1.34
9	9000	0.34325	5.69003	3.85229e-05	6.76171e-05	2.85714e-07	0.000163094	1.11657e-05	3.196e-05	1.50371e-05	1.35
10	10000	0.379381	6.24414	4.42886e-05	7.83714e-05	3.54286e-07	0.000169226	1.26571e-05	3.70629e-05	1.786e-05	1.48
10	10000	0.37675	6.32319	4.40371e-05	7.76771e-05	3.51429e-07	0.000169109	1.262e-05	3.69e-05	1.80714e-05	1.46
10	10000	0.377328	6.20017	4.40886e-05	7.79629e-05	3.37143e-07	0.000169123	1.268e-05	3.69714e-05	1.754e-05	1.46
10	10000	0.37778	6.27929	4.41943e-05	7.81314e-05	3.31429e-07	0.00016928	1.26514e-05	3.72e-05	1.77571e-05	1.48
10	10000	0.377074	5.99737	4.41286e-05	7.79657e-05	3.51429e-07	0.000169129	1.26057e-05	3.68857e-05	1.71886e-05	1.47
10	10000	0.379217	6.67289	4.41257e-05	7.80886e-05	3.14286e-07	0.000169209	1.25714e-05	3.68686e-05	1.85e-05	1.46
10	10000	0.377243	6.30563	4.408e-05	7.79914e-05	3.48571e-07	0.000169111	1.26743e-05	3.69029e-05	1.79457e-05	1.47
10	10000	0.377485	6.32319	4.43543e-05	7.83143e-05	3.65714e-07	0.000169209	1.262e-05	3.68429e-05	1.78114e-05	1.47
10	10000	0.37626	5.88235	4.42286e-05	7.82686e-05	3.37143e-07	0.0001692	1.26229e-05	3.68771e-05	1.66971e-05	1.47
10	10000	0.37711	6.15616	4.40714e-05	7.78686e-05	3.54286e-07	0.000169186	1.26714e-05	3.71143e-05	1.74343e-05	1.47
11	11000	0.41375	7.16516	5.03e-05	8.942e-05	4.08571e-07	0.000175637	1.41114e-05	4.20086e-05	2.134e-05	1.68
11	11000	0.412583	6.55	5.02543e-05	8.91886e-05	3.91429e-07	0.000175629	1.41371e-05	4.20457e-05	1.97086e-05	1.60
11	11000	0.414323	6.80336	5.024e-05	8.89543e-05	4.34286e-07	0.000175677	1.40829e-05	4.20771e-05	2.01914e-05	1.61
11	11000	0.412577	6.83493	5.01629e-05	8.90229e-05	4.11429e-07	0.000175649	1.42029e-05	4.22514e-05	2.06343e-05	1.61
11	11000	0.413825	7.46193	5.01314e-05	8.90943e-05	4.11429e-07	0.000175654	1.41629e-05	4.22629e-05	2.20086e-05	1.61
11	11000	0.414033	7.0789	5.01657e-05	8.90829e-05	3.74286e-07	0.000175717	1.41714e-05	4.22629e-05	2.12343e-05	1.61
