N_THREADS	N_TRANSACTIONS	TIME	N_ABORTS	PROCESS_READ_TIME	PROCESS_WRITE_TIME	PROCESS_VALIDATION_TIME	PROCESS_OTHER_TIME	COMMIT_VALIDATION_TIME	COMMIT_OTHER_TIME	WASTED_TIME
1	1000	0.852319	0	8.15571e-05	0.000131151	0	0.000581626	6.08571e-07	4.83486e-05	2.48857e-06	1.08
1	1000	0.852066	0	8.15057e-05	0.000131091	0	0.000581466	6.08571e-07	4.83657e-05	2.49143e-06	1.07
1	1000	0.852141	0	8.15343e-05	0.00013116	0	0.000581483	6.08571e-07	4.83257e-05	2.49429e-06	1.07
1	1000	0.852632	0	8.158e-05	0.000131203	0	0.000581783	6.05714e-07	4.842e-05	2.48571e-06	1.07
1	1000	0.852099	0	8.154e-05	0.000131186	0	0.000581451	6.08571e-07	4.82886e-05	2.5e-06	1.07
1	1000	0.852091	0	8.15657e-05	0.000131149	0	0.00058138	6.08571e-07	4.83714e-05	2.49143e-06	1.07
1	1000	0.852112	0	8.15886e-05	0.000131149	0	0.000581374	6.08571e-07	4.83714e-05	2.49429e-06	1.07
1	1000	0.8521	0	8.15686e-05	0.000131146	0	0.000581411	6.08571e-07	4.83486e-05	2.49429e-06	1.08
1	1000	0.8521	0	8.15714e-05	0.000131149	0	0.000581386	6.08571e-07	4.83714e-05	2.48571e-06	1.08
1	1000	0.852099	0	8.15457e-05	0.000131137	0	0.000581411	6.08571e-07	4.83771e-05	2.49143e-06	1.08
2	2000	0.975163	17.0469	8.41543e-05	0.00013528	2.03714e-06	0.000582129	2.09229e-05	4.99257e-05	9.10543e-05	1.20
2	2000	0.973289	16.8399	8.428e-05	0.000135429	2.12286e-06	0.000582186	2.09371e-05	4.99171e-05	8.908e-05	1.20
2	2000	0.979768	17.7293	8.41743e-05	0.00013538	1.94571e-06	0.000582289	2.05029e-05	4.98543e-05	9.24914e-05	1.20
2	2000	0.976622	16.978	8.432e-05	0.000135486	2.12286e-06	0.000582186	2.09286e-05	4.99686e-05	9.10829e-05	1.20
2	2000	0.977227	16.978	8.44057e-05	0.000135794	2.10286e-06	0.00058236	2.09286e-05	4.99943e-05	9.24029e-05	1.20
2	2000	0.980576	17.6616	8.42057e-05	0.000135463	2.04286e-06	0.000582223	2.058e-05	5.00114e-05	9.39143e-05	1.20
2	2000	0.972726	17.15	8.42229e-05	0.000135351	2.18571e-06	0.000582094	2.11657e-05	4.99886e-05	8.86057e-05	1.19
