N_THREADS	N_TRANSACTIONS	TIME	N_ABORTS	PROCESS_READ_TIME	PROCESS_WRITE_TIME	PROCESS_VALIDATION_TIME	PROCESS_OTHER_TIME	COMMIT_VALIDATION_TIME	COMMIT_OTHER_TIME	WASTED_TIME
1	1000	1.2354	0	0.000288063	0.000130797	0	0.000758443	6.08571e-07	4.83857e-05	2.46571e-06	1.34
1	1000	1.23536	0	0.000288091	0.000130791	0	0.000758429	6.08571e-07	4.83314e-05	2.46e-06	1.34
1	1000	1.23536	0	0.000288054	0.000130806	0	0.000758457	6.08571e-07	4.83229e-05	2.47429e-06	1.33
1	1000	1.23531	0	0.000288091	0.000130777	0	0.000758391	6.08571e-07	4.83343e-05	2.46286e-06	1.32
1	1000	1.23532	0	0.000288071	0.000130806	0	0.000758363	6.08571e-07	4.83657e-05	2.45714e-06	1.32
1	1000	1.23537	0	0.000288037	0.0001308	0	0.000758437	6.08571e-07	4.83829e-05	2.46857e-06	1.32
1	1000	1.23535	0	0.00028802	0.000130791	0	0.000758454	6.08571e-07	4.83629e-05	2.46286e-06	1.33
1	1000	1.23532	0	0.000288074	0.000130789	0	0.000758386	6.08571e-07	4.83514e-05	2.46857e-06	1.33
1	1000	1.23531	0	0.000288086	0.000130786	0	0.000758371	6.08571e-07	4.83543e-05	2.45714e-06	1.33
1	1000	1.23542	0	0.000288031	0.000130797	0	0.000758489	6.08571e-07	4.83771e-05	2.47143e-06	1.34
2	2000	1.359	3.7999	0.000297703	0.00013636	1.20571e-06	0.000765043	6.86429e-05	5.06686e-05	2.91686e-05	1.46
2	2000	1.35435	4.12272	0.000297803	0.000136634	1.37143e-06	0.000764946	6.83943e-05	5.06886e-05	2.61571e-05	1.45
2	2000	1.3581	5.16833	0.00029776	0.000136489	1.31429e-06	0.000765014	6.85971e-05	5.06829e-05	2.76029e-05	1.45
2	2000	1.35329	3.4283	0.000297683	0.000136609	1.45143e-06	0.000764849	6.882e-05	5.07829e-05	2.41771e-05	1.45
2	2000	1.35981	4.44338	0.000298146	0.000136369	1.12e-06	0.000765351	6.83e-05	5.08086e-05	3.024e-05	1.46
