N_THREADS	N_TRANSACTIONS	TIME	N_ABORTS	PROCESS_READ_TIME	PROCESS_WRITE_TIME	PROCESS_VALIDATION_TIME	PROCESS_OTHER_TIME	COMMIT_VALIDATION_TIME	COMMIT_OTHER_TIME	WASTED_TIME
1	1000	0.979213	0	0.00021912	6.14857e-05	0	0.000679854	3.45714e-07	1.54086e-05	1.16286e-06	1.47
1	1000	0.978418	0	0.00021818	6.16343e-05	0	0.000679906	3.45714e-07	1.53543e-05	1.16571e-06	1.41
1	1000	0.978541	0	0.000218334	6.16314e-05	0	0.00067988	3.45714e-07	1.53514e-05	1.16571e-06	1.40
1	1000	0.978493	0	0.00021828	6.16343e-05	0	0.000679886	3.45714e-07	1.53514e-05	1.16286e-06	1.41
1	1000	0.978465	0	0.000218197	6.16657e-05	0	0.000679906	3.45714e-07	1.53571e-05	1.16286e-06	1.40
1	1000	0.978422	0	0.00021818	6.16343e-05	0	0.000679906	3.45714e-07	1.536e-05	1.16286e-06	1.40
1	1000	0.978527	0	0.000218323	6.16029e-05	0	0.0006799	3.45714e-07	1.53571e-05	1.16286e-06	1.40
1	1000	0.97818	0	0.000217954	6.166e-05	0	0.000679877	3.45714e-07	1.53457e-05	1.16571e-06	1.41
1	1000	0.978574	0	0.000218343	6.16314e-05	0	0.000679894	3.42857e-07	1.53686e-05	1.16286e-06	1.40
1	1000	0.978446	0	0.000218217	6.16514e-05	0	0.000679886	3.45714e-07	1.53486e-05	1.16286e-06	1.40
2	2000	1.07231	1.86457	0.00021954	6.242e-05	1.55429e-06	0.000678774	7.45743e-05	1.55686e-05	1.39629e-05	1.50
2	2000	1.06837	1.47783	0.000219877	6.23514e-05	1.63143e-06	0.000678674	7.50571e-05	1.55743e-05	1.082e-05	1.50
2	2000	1.06828	1.47783	0.0002199	6.22886e-05	1.6e-06	0.0006786	7.51514e-05	1.55971e-05	1.08171e-05	1.51
2	2000	1.06801	1.5748	0.000219326	6.24371e-05	1.60286e-06	0.000678623	7.452e-05	1.55514e-05	1.22e-05	1.50
2	2000	1.06838	1.47783	0.0002199	6.23e-05	1.60857e-06	0.000678586	7.52143e-05	1.55886e-05	1.08143e-05	1.49
2	2000	1.06766	1.47783	0.000219474	6.23771e-05	1.63429e-06	0.0006786	7.482e-05	1.55686e-05	1.08114e-05	1.51
2	2000	1.06764	1.47783	0.000219423	6.23714e-05	1.60571e-06	0.000678623	7.48657e-05	1.55657e-05	1.08114e-05	1.50
2	2000	1.06769	1.47783	0.00021946	6.23629e-05	1.60571e-06	0.000678631	7.49029e-05	1.55629e-05	1.08143e-05	1.50
2	2000	1.06762	1.47783	0.00021944	6.23857e-05	1.60571e-06	0.000678631	7.48286e-05	1.55571e-05	1.08114e-05	1.50
2	2000	1.06775	1.47783	0.000219489	6.24029e-05	1.63714e-06	0.000678614	7.484e-05	1.55686e-05	1.08171e-05	1.50
3	3000	1.08832	3.31937	0.000221317	6.32771e-05	2.62e-06	0.000677851	7.59429e-05	1.58086e-05	2.52714e-05	1.52
3	3000	1.08873	3.19458	0.000221297	6.32714e-05	2.98857e-06	0.000677431	7.59029e-05	1.58057e-05	2.366e-05	1.53
3	3000	1.09226	3.53698	0.000221217	6.32371e-05	2.21714e-06	0.000678206	7.58343e-05	1.57857e-05	2.62057e-05	1.53
3	3000	1.0937	3.56798	0.000221054	6.326e-05	2.44e-06	0.000678	7.57571e-05	1.57971e-05	2.632e-05	1.53
3	3000	1.08994	3.19458	0.000221166	6.33486e-05	2.45714e-06	0.000677977	7.59e-05	1.58e-05	2.39514e-05	1.53
3	3000	1.09031	3.06947	0.000221157	6.32886e-05	3.20286e-06	0.000677229	7.58829e-05	1.57743e-05	2.25743e-05	1.53
3	3000	1.08751	3.44384	0.000221117	6.32886e-05	2.60857e-06	0.000677829	7.59257e-05	1.57771e-05	2.55886e-05	1.53
3	3000	1.08548	3.03814	0.000221249	6.32771e-05	2.85143e-06	0.000677566	7.59857e-05	1.57943e-05	2.33886e-05	1.52
3	3000	1.08983	3.35052	0.000221106	6.33314e-05	2.68571e-06	0.000677749	7.592e-05	1.57486e-05	2.35286e-05	1.52
3	3000	1.0859	3.00679	0.000221311	6.32171e-05	2.88857e-06	0.000677523	7.60286e-05	1.57971e-05	2.29171e-05	1.52
4	4000	1.10598	4.37485	0.000223697	6.44714e-05	4.03429e-06	0.000676731	7.69229e-05	1.60771e-05	3.15457e-05	1.62
4	4000	1.1034	4.19162	0.000223651	6.44314e-05	4.00857e-06	0.000676746	7.69343e-05	1.60514e-05	3.00914e-05	1.62
4	4000	1.10467	4.69383	0.000223874	6.43286e-05	4.19714e-06	0.000676597	7.71457e-05	1.60886e-05	3.41543e-05	1.62
4	4000	1.10182	4.12272	0.00022358	6.43914e-05	4.10857e-06	0.000676677	7.70171e-05	1.60771e-05	2.94943e-05	1.62
4	4000	1.11317	4.78458	0.000223774	6.426e-05	3.35714e-06	0.000677389	7.69114e-05	1.61257e-05	3.66371e-05	1.63
4	4000	1.11251	4.78458	0.00022378	6.43629e-05	3.71429e-06	0.00067704	7.68571e-05	1.616e-05	3.59857e-05	1.63
4	4000	1.10127	4.21456	0.000223503	6.42571e-05	3.92571e-06	0.000676797	7.696e-05	1.60686e-05	3.07086e-05	1.61
4	4000	1.10067	4.16866	0.000223597	6.43743e-05	4.09143e-06	0.000676631	7.69371e-05	1.604e-05	2.97e-05	1.62
4	4000	1.10101	4.05373	0.00022332	6.44686e-05	4.45714e-06	0.00067632	7.68114e-05	1.6e-05	2.89457e-05	1.62
4	4000	1.10587	4.64839	0.000223666	6.42771e-05	3.51714e-06	0.00067726	7.70886e-05	1.60886e-05	3.408e-05	1.62
5	5000	1.13124	6.06801	0.000226306	6.56629e-05	5.29143e-06	0.000675726	7.78343e-05	1.63771e-05	4.58829e-05	1.81
5	5000	1.1251	5.90892	0.000226743	6.56514e-05	5.06571e-06	0.000675983	7.79829e-05	1.64171e-05	4.43943e-05	1.73
