N_THREADS	N_TRANSACTIONS	TIME	N_ABORTS	PROCESS_READ_TIME	PROCESS_WRITE_TIME	PROCESS_VALIDATION_TIME	PROCESS_OTHER_TIME	COMMIT_VALIDATION_TIME	COMMIT_OTHER_TIME	WASTED_TIME
1	1000	0.198327	0	1.53571e-05	2.71314e-05	0	2.25571e-05	6.48571e-07	7.30571e-06	2.46571e-06
1	1000	0.198352	0	1.53657e-05	2.71286e-05	0	2.25657e-05	6.48571e-07	7.31429e-06	2.46286e-06
1	1000	0.198358	0	1.53686e-05	2.716e-05	0	2.25457e-05	6.45714e-07	7.30286e-06	2.47429e-06
1	1000	0.198379	0	1.538e-05	2.71371e-05	0	2.25657e-05	6.45714e-07	7.30571e-06	2.46857e-06
1	1000	0.198322	0	1.53686e-05	2.714e-05	0	2.254e-05	6.45714e-07	7.30286e-06	2.47143e-06
1	1000	0.198352	0	1.538e-05	2.712e-05	0	2.25514e-05	6.45714e-07	7.31714e-06	2.46286e-06
1	1000	0.198362	0	1.53771e-05	2.71343e-05	0	2.25514e-05	6.42857e-07	7.30857e-06	2.46857e-06
1	1000	0.198366	0	1.53629e-05	2.71543e-05	0	2.25629e-05	6.42857e-07	7.30286e-06	2.47143e-06
1	1000	0.198351	0	1.53714e-05	2.71686e-05	0	2.25429e-05	6.45714e-07	7.30286e-06	2.47429e-06
1	1000	0.198367	0	1.53571e-05	2.71571e-05	0	2.25629e-05	6.45714e-07	7.29714e-06	2.47143e-06
2	2000	0.198921	0	1.54e-05	2.72114e-05	0	2.26057e-05	7.34286e-07	7.34286e-06	2.48e-06
2	2000	0.198942	0	1.53943e-05	2.71914e-05	0	2.262e-05	7.42857e-07	7.34286e-06	2.48286e-06
2	2000	0.198946	0.049975	1.54171e-05	2.71514e-05	0	2.26371e-05	7.4e-07	7.35714e-06	2.48e-06
2	2000	0.198901	0	1.54e-05	2.71829e-05	0	2.26229e-05	7.28571e-07	7.34857e-06	2.47714e-06
2	2000	0.198965	0.049975	1.54114e-05	2.71943e-05	0	2.26143e-05	7.45714e-07	7.34857e-06	2.49143e-06
2	2000	0.198953	0	1.54e-05	2.71971e-05	0	2.26143e-05	7.4e-07	7.35429e-06	2.48286e-06
2	2000	0.198964	0	1.54114e-05	2.72e-05	0	2.26257e-05	7.31429e-07	7.35429e-06	2.48286e-06
2	2000	0.198939	0	1.54057e-05	2.71914e-05	0	2.26143e-05	7.31429e-07	7.34571e-06	2.48286e-06
2	2000	0.198994	0	1.54114e-05	2.72114e-05	0	2.26343e-05	7.28571e-07	7.35714e-06	2.47714e-06
2	2000	0.198995	0	1.54057e-05	2.72e-05	0	2.264e-05	7.45714e-07	7.34857e-06	2.48286e-06
3	3000	0.202813	0.398406	1.57086e-05	2.76229e-05	2e-08	2.31143e-05	2.16857e-06	7.77143e-06	2.64e-06
3	3000	0.202767	0.332226	1.57114e-05	2.76057e-05	1.14286e-08	2.31143e-05	2.17429e-06	7.78e-06	2.62857e-06
3	3000	0.202754	0.265957	1.57086e-05	2.76371e-05	8.57143e-09	2.31029e-05	2.16e-06	7.78e-06	2.61429e-06
3	3000	0.202865	0.365327	1.572e-05	2.76057e-05	2.57143e-08	2.31229e-05	2.23429e-06	7.76e-06	2.63714e-06
3	3000	0.202796	0.265957	1.57e-05	2.76486e-05	1.71429e-08	2.30971e-05	2.17143e-06	7.78e-06	2.61714e-06
3	3000	0.202815	0.398406	1.57086e-05	2.76057e-05	1.14286e-08	2.31257e-05	2.20571e-06	7.76571e-06	2.64e-06
3	3000	0.202862	0.464499	1.57143e-05	2.76571e-05	1.14286e-08	2.31086e-05	2.18571e-06	7.78e-06	2.64857e-06
3	3000	0.202798	0.299103	1.57143e-05	2.76086e-05	1.71429e-08	2.31171e-05	2.19429e-06	7.77143e-06	2.62857e-06
3	3000	0.202882	0.332226	1.57114e-05	2.76571e-05	1.71429e-08	2.31086e-05	2.22286e-06	7.78e-06	2.62857e-06
3	3000	0.202851	0.365327	1.572e-05	2.76086e-05	2e-08	2.31229e-05	2.22e-06	7.77429e-06	2.63429e-06
4	4000	0.209488	2.58159	1.63571e-05	2.904e-05	5.42857e-08	2.38371e-05	5.03143e-06	7.90286e-06	3.22857e-06
4	4000	0.209113	1.67158	1.63229e-05	2.89714e-05	6.28571e-08	2.37857e-05	5.13714e-06	7.88571e-06	3.03714e-06
4	4000	0.209266	1.88864	1.63486e-05	2.90086e-05	7.14286e-08	2.378e-05	5.07143e-06	7.9e-06	3.08571e-06
4	4000	0.209535	2.1287	1.63543e-05	2.90286e-05	6.57143e-08	2.38114e-05	5.09714e-06	7.90286e-06	3.17714e-06
4	4000	0.209267	1.84049	1.63429e-05	2.90029e-05	5.71429e-08	2.38143e-05	5.06857e-06	7.89429e-06	3.15429e-06
4	4000	0.209363	2.46281	1.63629e-05	2.90686e-05	5.42857e-08	2.38314e-05	4.96857e-06	7.89429e-06	3.20571e-06
4	4000	0.209422	2.20049	1.63457e-05	2.90286e-05	5.71429e-08	2.382e-05	5.02571e-06	7.90571e-06	3.16571e-06
4	4000	0.209454	2.48659	1.63571e-05	2.90543e-05	4.85714e-08	2.38314e-05	4.97714e-06	7.89714e-06	3.27714e-06
4	4000	0.209422	1.98481	1.63543e-05	2.90486e-05	5.42857e-08	2.38257e-05	5.04e-06	7.9e-06	3.12857e-06
4	4000	0.209219	2.00882	1.63314e-05	2.90171e-05	5.71429e-08	2.38086e-05	5.07714e-06	7.90571e-06	3.10857e-06
5	5000	0.216482	3.79065	1.74343e-05	3.11e-05	7.14286e-08	2.51829e-05	5.32e-06	8.34286e-06	4.07714e-06
5	5000	0.216632	3.93852	1.74286e-05	3.10771e-05	6e-08	2.52257e-05	5.33429e-06	8.36857e-06	4.10286e-06
5	5000	0.216103	3.80916	1.73971e-05	3.10371e-05	6.57143e-08	2.51829e-05	5.33429e-06	8.34857e-06	4.09714e-06
5	5000	0.216128	3.13832	1.73686e-05	3.09857e-05	8e-08	2.51343e-05	5.36857e-06	8.32286e-06	3.90857e-06
5	5000	0.216217	3.77213	1.73457e-05	3.096e-05	5.71429e-08	2.514e-05	5.38e-06	8.33429e-06	4.01143e-06
5	5000	0.216007	3.66089	1.74e-05	3.10143e-05	7.71429e-08	2.51714e-05	5.39143e-06	8.35429e-06	3.95143e-06
5	5000	0.215892	3.0256	1.73857e-05	3.09743e-05	6.57143e-08	2.516e-05	5.37143e-06	8.34857e-06	3.81143e-06
5	5000	0.21627	3.88312	1.74e-05	3.10371e-05	6.85714e-08	2.51914e-05	5.34571e-06	8.34857e-06	4.02571e-06
5	5000	0.216429	3.86464	1.736e-05	3.09457e-05	6.28571e-08	2.51571e-05	5.40857e-06	8.33714e-06	4.18571e-06
5	5000	0.216439	3.58658	1.74571e-05	3.11286e-05	9.14286e-08	2.51771e-05	5.36e-06	8.33143e-06	4.06571e-06
6	6000	0.22665	4.9279	1.90657e-05	3.42229e-05	1.11429e-07	2.712e-05	5.80571e-06	9.00857e-06	5.17714e-06
6	6000	0.226422	4.85252	1.90686e-05	3.42686e-05	1.02857e-07	2.71371e-05	5.80571e-06	8.99429e-06	5.09143e-06
6	6000	0.226555	5.31797	1.902e-05	3.41057e-05	1.22857e-07	2.70486e-05	5.78571e-06	8.98857e-06	5.30286e-06
6	6000	0.226788	5.15334	1.91343e-05	3.44171e-05	1.17143e-07	2.71743e-05	5.80857e-06	9.01714e-06	5.31143e-06
6	6000	0.226554	5.07831	1.91143e-05	3.43571e-05	1.17143e-07	2.71857e-05	5.8e-06	9.00571e-06	5.04286e-06
6	6000	0.225991	5.39262	1.90257e-05	3.41286e-05	1.08571e-07	2.70686e-05	5.82571e-06	8.98571e-06	5.16571e-06
6	6000	0.226119	5.16833	1.89486e-05	3.40029e-05	1.05714e-07	2.69943e-05	5.84286e-06	8.98286e-06	5.11429e-06
6	6000	0.226012	5.15334	1.90057e-05	3.41057e-05	1e-07	2.70543e-05	5.84286e-06	8.96571e-06	5.16857e-06
6	6000	0.226199	5.00317	1.906e-05	3.42171e-05	1.11429e-07	2.71143e-05	5.76857e-06	9e-06	4.97143e-06
6	6000	0.22618	5.39262	1.90629e-05	3.42029e-05	1.17143e-07	2.70743e-05	5.83429e-06	8.98e-06	5.20857e-06
7	7000	0.240426	6.50461	2.14457e-05	3.87286e-05	1.42857e-07	2.98371e-05	6.35714e-06	9.97143e-06	6.51714e-06
7	7000	0.240857	6.93964	2.14486e-05	3.88286e-05	1.42857e-07	2.98971e-05	6.38e-06	9.96857e-06	6.81143e-06
7	7000	0.239796	6.49212	2.128e-05	3.848e-05	1.51429e-07	2.96829e-05	6.35143e-06	9.95143e-06	6.45143e-06
7	7000	0.239303	6.04027	2.12029e-05	3.82e-05	1.54286e-07	2.95914e-05	6.38857e-06	9.90571e-06	6.29143e-06
7	7000	0.239555	6.42962	2.12229e-05	3.83057e-05	1.37143e-07	2.96343e-05	6.38e-06	9.91143e-06	6.37714e-06
7	7000	0.241625	6.47963	2.15971e-05	3.906e-05	1.4e-07	3.00257e-05	6.36286e-06	1.00057e-05	6.64286e-06
7	7000	0.241439	7.02617	2.13714e-05	3.86743e-05	1.65714e-07	2.98171e-05	6.38857e-06	9.98571e-06	7.22857e-06
7	7000	0.239942	6.14106	2.13629e-05	3.86371e-05	1.4e-07	2.97914e-05	6.36857e-06	9.96286e-06	6.37714e-06
7	7000	0.241106	6.12847	2.15314e-05	3.89543e-05	1.28571e-07	2.99857e-05	6.38286e-06	1.00514e-05	6.38571e-06
7	7000	0.240672	6.16622	2.13086e-05	3.85457e-05	1.28571e-07	2.97571e-05	6.38286e-06	9.92571e-06	6.46286e-06
8	8000	0.25896	8.28843	2.45429e-05	4.46571e-05	2.22857e-07	3.34743e-05	7.07714e-06	1.12686e-05	8.41429e-06
8	8000	0.259649	8.31996	2.46686e-05	4.486e-05	2.28571e-07	3.35571e-05	7.10857e-06	1.13171e-05	8.64286e-06
8	8000	0.260337	8.63408	2.46943e-05	4.49e-05	2.14286e-07	3.36314e-05	7.09714e-06	1.13629e-05	8.98857e-06
8	8000	0.260979	8.34097	2.46771e-05	4.49486e-05	2.2e-07	3.36171e-05	7.10571e-06	1.13629e-05	8.76e-06
8	8000	0.259555	8.59232	2.454e-05	4.46314e-05	1.94286e-07	3.35086e-05	7.08571e-06	1.13e-05	8.74e-06
8	8000	0.260625	8.13045	2.47657e-05	4.50857e-05	2.05714e-07	3.37e-05	7.09143e-06	1.13629e-05	8.69429e-06
8	8000	0.259614	8.20425	2.46286e-05	4.47829e-05	2.22857e-07	3.352e-05	7.07429e-06	1.13143e-05	8.42857e-06
8	8000	0.259386	8.38296	2.46371e-05	4.48629e-05	1.91429e-07	3.36086e-05	7.11143e-06	1.13343e-05	8.43429e-06
8	8000	0.260235	8.7279	2.46686e-05	4.488e-05	2.28571e-07	3.35857e-05	7.11714e-06	1.13543e-05	9.01714e-06
8	8000	0.259461	8.21478	2.45971e-05	4.47686e-05	2e-07	3.35571e-05	7.09429e-06	1.13286e-05	8.4e-06
9	9000	0.285693	10.1796	2.90543e-05	5.31886e-05	3.05714e-07	3.86457e-05	8.03143e-06	1.31886e-05	1.15143e-05
9	9000	0.283819	9.53865	2.87714e-05	5.25829e-05	2.82857e-07	3.84171e-05	7.98286e-06	1.312e-05	1.12143e-05
9	9000	0.28416	9.52955	2.87086e-05	5.24943e-05	2.8e-07	3.836e-05	7.95429e-06	1.304e-05	1.10029e-05
9	9000	0.284946	9.8648	2.88629e-05	5.27629e-05	3.25714e-07	3.84086e-05	8.00286e-06	1.30886e-05	1.15657e-05
9	9000	0.285784	10.3496	2.88771e-05	5.28371e-05	2.82857e-07	3.84886e-05	8e-06	1.31e-05	1.18057e-05
9	9000	0.284052	9.60225	2.87886e-05	5.25886e-05	2.91429e-07	3.83943e-05	7.99429e-06	1.31429e-05	1.10057e-05
9	9000	0.283909	10.7409	2.87257e-05	5.24514e-05	2.82857e-07	3.83514e-05	8.00286e-06	1.31286e-05	1.16229e-05
9	9000	0.283972	9.96399	2.87143e-05	5.24543e-05	2.8e-07	3.83543e-05	7.98e-06	1.31086e-05	1.12371e-05
9	9000	0.285556	10.036	2.88486e-05	5.26714e-05	3.17143e-07	3.84171e-05	7.99429e-06	1.31486e-05	1.12971e-05
9	9000	0.284657	10.1079	2.87714e-05	5.25686e-05	2.8e-07	3.84286e-05	7.99143e-06	1.31229e-05	1.15486e-05
10	10000	0.314655	12.0647	3.36886e-05	6.17914e-05	4.08571e-07	4.40629e-05	9.04857e-06	1.52486e-05	1.49943e-05
10	10000	0.313623	12.0415	3.37514e-05	6.194e-05	4.22857e-07	4.41e-05	9.04857e-06	1.52114e-05	1.49829e-05
10	10000	0.313526	11.9176	3.36314e-05	6.16829e-05	4.02857e-07	4.40514e-05	9.04286e-06	1.52029e-05	1.50286e-05
10	10000	0.313189	11.5357	3.37286e-05	6.18971e-05	4.05714e-07	4.40714e-05	9.04e-06	1.516e-05	1.482e-05
10	10000	0.313933	12.0879	3.36971e-05	6.178e-05	3.88571e-07	4.41371e-05	9.07143e-06	1.52571e-05	1.50943e-05
10	10000	0.314444	12.7019	3.37543e-05	6.19543e-05	4.05714e-07	4.41057e-05	9.05714e-06	1.51914e-05	1.51171e-05
10	10000	0.314851	12.7324	3.38514e-05	6.20857e-05	4.02857e-07	4.42086e-05	9.05429e-06	1.52229e-05	1.60314e-05
10	10000	0.314139	11.4731	3.372e-05	6.18714e-05	4.22857e-07	4.412e-05	9.04857e-06	1.524e-05	1.50771e-05
10	10000	0.313657	12.026	3.37257e-05	6.19543e-05	3.77143e-07	4.41343e-05	9.05429e-06	1.52086e-05	1.47686e-05
10	10000	0.314006	12.0879	3.37943e-05	6.20114e-05	4.02857e-07	4.41371e-05	9.05429e-06	1.51857e-05	1.514e-05
11	11000	0.347159	14.2701	3.91771e-05	7.21143e-05	5.28571e-07	5.038e-05	1.02086e-05	1.75114e-05	1.96371e-05
11	11000	0.346478	14.0222	3.908e-05	7.19943e-05	5.37143e-07	5.02886e-05	1.02114e-05	1.75086e-05	1.95657e-05
11	11000	0.347216	14.0088	3.91143e-05	7.20486e-05	5.54286e-07	5.02429e-05	1.02143e-05	1.75057e-05	1.94457e-05
11	11000	0.346148	13.9415	3.91886e-05	7.22486e-05	5.37143e-07	5.03343e-05	1.02057e-05	1.74657e-05	1.91314e-05
11	11000	0.345831	13.9886	3.90743e-05	7.19543e-05	5.31429e-07	5.024e-05	1.02e-05	1.74857e-05	1.90086e-05
11	11000	0.345508	13.8741	3.91886e-05	7.22314e-05	5.02857e-07	5.03343e-05	1.01943e-05	1.74486e-05	1.86371e-05
11	11000	0.346343	14.3969	3.916e-05	7.20257e-05	5.34286e-07	5.03514e-05	1.022e-05	1.75829e-05	1.96286e-05
11	11000	0.348729	15.1954	3.91829e-05	7.21371e-05	5.6e-07	5.03457e-05	1.02029e-05	1.75057e-05	2.06686e-05
11	11000	0.346824	14.1028	3.91457e-05	7.20629e-05	5.14286e-07	5.03857e-05	1.022e-05	1.75486e-05	1.96257e-05
11	11000	0.347068	14.0424	3.92114e-05	7.21943e-05	5.4e-07	5.03857e-05	1.022e-05	1.752e-05	1.98886e-05
12	12000	0.381622	16.6203	4.472e-05	8.27171e-05	6.4e-07	5.678e-05	1.13886e-05	1.97886e-05	2.49971e-05
12	12000	0.38321	16.7534	4.48657e-05	8.29029e-05	6.77143e-07	5.68371e-05	1.13657e-05	1.98057e-05	2.54514e-05
12	12000	0.381921	15.9664	4.48371e-05	8.28486e-05	7.08571e-07	5.67429e-05	1.138e-05	1.97943e-05	2.46571e-05
12	12000	0.380382	15.6355	4.48029e-05	8.27686e-05	6.68571e-07	5.68286e-05	1.13943e-05	1.98571e-05	2.44629e-05
12	12000	0.382802	15.9958	4.48143e-05	8.28543e-05	6.74286e-07	5.68629e-05	1.14029e-05	1.98971e-05	2.566e-05
12	12000	0.382658	16.388	4.48143e-05	8.27886e-05	6.82857e-07	5.67686e-05	1.138e-05	1.98e-05	2.522e-05
12	12000	0.381958	16.8514	4.48743e-05	8.28971e-05	6.8e-07	5.68286e-05	1.13857e-05	1.98171e-05	2.51029e-05
12	12000	0.381055	16.207	4.48371e-05	8.27629e-05	6.77143e-07	5.68657e-05	1.14029e-05	1.99114e-05	2.47429e-05
12	12000	0.381885	16.1718	4.48371e-05	8.28571e-05	6.62857e-07	5.68571e-05	1.14229e-05	1.98914e-05	2.48914e-05
12	12000	0.381409	16.2771	4.48343e-05	8.27743e-05	6.62857e-07	5.68086e-05	1.13714e-05	1.98143e-05	2.49629e-05
