N_THREADS	N_TRANSACTIONS	TIME	N_ABORTS	PROCESS_READ_TIME	PROCESS_WRITE_TIME	PROCESS_VALIDATION_TIME	PROCESS_OTHER_TIME	COMMIT_VALIDATION_TIME	COMMIT_OTHER_TIME	WASTED_TIME
1	1000	0.18746	0	1.54029e-05	2.73e-05	0	2.25743e-05	6.4e-07	7.41143e-06	2.45429e-06	0.27
1	1000	0.187452	0	1.54057e-05	2.73e-05	0	2.25686e-05	6.4e-07	7.40857e-06	2.45429e-06	0.25
1	1000	0.187449	0	1.54171e-05	2.72914e-05	0	2.256e-05	6.4e-07	7.41143e-06	2.45143e-06	0.25
1	1000	0.187474	0	1.54143e-05	2.73143e-05	0	2.25771e-05	6.31429e-07	7.40571e-06	2.44857e-06	0.25
1	1000	0.187469	0	1.54114e-05	2.73114e-05	0	2.25771e-05	6.34286e-07	7.40571e-06	2.44857e-06	0.25
1	1000	0.187472	0	1.54171e-05	2.72971e-05	0	2.25743e-05	6.4e-07	7.40571e-06	2.46e-06	0.25
1	1000	0.187458	0	1.54143e-05	2.73114e-05	0	2.25629e-05	6.4e-07	7.40857e-06	2.45714e-06	0.25
1	1000	0.187475	0	1.542e-05	2.72971e-05	0	2.25686e-05	6.34286e-07	7.42e-06	2.45143e-06	0.25
1	1000	0.187472	0	1.542e-05	2.73086e-05	0	2.25714e-05	6.4e-07	7.40286e-06	2.45429e-06	0.25
1	1000	0.187459	0	1.54086e-05	2.73029e-05	0	2.25714e-05	6.37143e-07	7.40857e-06	2.46e-06	0.25
2	2000	0.188206	0.049975	1.54571e-05	2.73314e-05	0	2.26829e-05	7.02857e-07	7.47714e-06	2.51143e-06	0.27
2	2000	0.18814	0.049975	1.54514e-05	2.73257e-05	0	2.26629e-05	7.02857e-07	7.46286e-06	2.51143e-06	0.25
2	2000	0.188239	0.049975	1.54714e-05	2.73343e-05	0	2.26886e-05	7.02857e-07	7.47714e-06	2.51429e-06	0.25
2	2000	0.188096	0.049975	1.54371e-05	2.732e-05	0	2.266e-05	7e-07	7.46286e-06	2.51143e-06	0.25
2	2000	0.18819	0.049975	1.546e-05	2.73229e-05	0	2.268e-05	7e-07	7.47143e-06	2.51429e-06	0.25
2	2000	0.188124	0.049975	1.54486e-05	2.73286e-05	0	2.26571e-05	6.94286e-07	7.46571e-06	2.51429e-06	0.25
2	2000	0.188232	0.049975	1.54714e-05	2.73286e-05	0	2.26829e-05	7.11429e-07	7.48857e-06	2.51429e-06	0.25
2	2000	0.188168	0.049975	1.546e-05	2.73286e-05	0	2.26743e-05	7.05714e-07	7.46857e-06	2.51143e-06	0.25
2	2000	0.188141	0.049975	1.54629e-05	2.73229e-05	0	2.26514e-05	7.11429e-07	7.46857e-06	2.51143e-06	0.25
2	2000	0.188134	0.049975	1.54629e-05	2.732e-05	0	2.266e-05	6.91429e-07	7.46571e-06	2.51143e-06	0.25
3	3000	0.193994	0.563474	1.58371e-05	2.80943e-05	4.28571e-08	2.32371e-05	3.53714e-06	7.93429e-06	2.72571e-06	0.28
3	3000	0.193999	0.530504	1.584e-05	2.81029e-05	4.85714e-08	2.32343e-05	3.53429e-06	7.93714e-06	2.72571e-06	0.26
3	3000	0.194041	0.629347	1.58314e-05	2.81029e-05	4.85714e-08	2.32486e-05	3.54286e-06	7.93143e-06	2.75429e-06	0.26
3	3000	0.193991	0.563474	1.58343e-05	2.81029e-05	4.57143e-08	2.32286e-05	3.53429e-06	7.93714e-06	2.72857e-06	0.26
3	3000	0.194019	0.563474	1.58286e-05	2.80914e-05	4.28571e-08	2.324e-05	3.58e-06	7.94e-06	2.73143e-06	0.26
3	3000	0.194032	0.497512	1.58343e-05	2.80971e-05	5.14286e-08	2.32257e-05	3.57714e-06	7.94e-06	2.71143e-06	0.26
3	3000	0.193985	0.662252	1.58257e-05	2.81057e-05	4e-08	2.32314e-05	3.52e-06	7.93714e-06	2.74857e-06	0.26
3	3000	0.194005	0.563474	1.58371e-05	2.81e-05	4.57143e-08	2.32286e-05	3.54e-06	7.94286e-06	2.72857e-06	0.26
3	3000	0.193961	0.596421	1.582e-05	2.80886e-05	3.71429e-08	2.32457e-05	3.52857e-06	7.93714e-06	2.73143e-06	0.26
3	3000	0.193998	0.596421	1.58229e-05	2.81029e-05	4.85714e-08	2.32343e-05	3.53714e-06	7.94e-06	2.73143e-06	0.26
4	4000	0.199625	2.34375	1.65571e-05	2.95486e-05	6e-08	2.39914e-05	5.10857e-06	8.09714e-06	3.36e-06	0.29
4	4000	0.199981	1.96078	1.66029e-05	2.95943e-05	4.28571e-08	2.40914e-05	5.16857e-06	8.10571e-06	3.22857e-06	0.26
4	4000	0.199602	2.2244	1.65514e-05	2.95257e-05	4.85714e-08	2.40343e-05	5.16286e-06	8.10286e-06	3.3e-06	0.26
4	4000	0.19969	2.03282	1.65429e-05	2.954e-05	6.28571e-08	2.40029e-05	5.20857e-06	8.08286e-06	3.26e-06	0.26
4	4000	0.200007	2.39141	1.65857e-05	2.95829e-05	6.28571e-08	2.40343e-05	5.10571e-06	8.09429e-06	3.43143e-06	0.26
4	4000	0.199894	2.17657	1.66057e-05	2.95943e-05	6.85714e-08	2.40657e-05	5.14e-06	8.12e-06	3.30571e-06	0.26
4	4000	0.199661	2.15264	1.65657e-05	2.95486e-05	6.28571e-08	2.40229e-05	5.14e-06	8.09714e-06	3.31143e-06	0.26
4	4000	0.199502	1.88864	1.65429e-05	2.95143e-05	4.85714e-08	2.39971e-05	5.18857e-06	8.08571e-06	3.24857e-06	0.26
4	4000	0.199793	1.93675	1.654e-05	2.95343e-05	5.14286e-08	2.39943e-05	5.18571e-06	8.09429e-06	3.34e-06	0.26
4	4000	0.199487	1.5748	1.65486e-05	2.95229e-05	5.42857e-08	2.40171e-05	5.20857e-06	8.09429e-06	3.10571e-06	0.26
5	5000	0.207678	3.77213	1.78657e-05	3.19914e-05	8e-08	2.56686e-05	5.51714e-06	8.62e-06	4.23714e-06	0.29
5	5000	0.207919	3.3069	1.78429e-05	3.20057e-05	7.42857e-08	2.56514e-05	5.54e-06	8.62571e-06	4.14571e-06	0.27
5	5000	0.208025	3.17583	1.78857e-05	3.20686e-05	8e-08	2.56914e-05	5.54571e-06	8.61143e-06	4.09143e-06	0.27
5	5000	0.207871	3.26949	1.78057e-05	3.18971e-05	8.28571e-08	2.56314e-05	5.56857e-06	8.62571e-06	4.06857e-06	0.27
5	5000	0.208034	3.77213	1.77971e-05	3.19143e-05	6e-08	2.56486e-05	5.54857e-06	8.61714e-06	4.27714e-06	0.27
5	5000	0.207913	3.08199	1.79029e-05	3.21143e-05	8.28571e-08	2.572e-05	5.50286e-06	8.62286e-06	4.06857e-06	0.27
5	5000	0.207665	3.43762	1.78057e-05	3.19257e-05	7.71429e-08	2.56314e-05	5.54286e-06	8.61429e-06	4.08e-06	0.27
5	5000	0.207986	3.64232	1.78286e-05	3.19057e-05	1.02857e-07	2.56114e-05	5.57714e-06	8.62286e-06	4.37429e-06	0.27
5	5000	0.207906	4.03071	1.78457e-05	3.198e-05	8.57143e-08	2.56514e-05	5.54286e-06	8.60857e-06	4.33143e-06	0.27
5	5000	0.207965	3.66089	1.78343e-05	3.19057e-05	8.28571e-08	2.564e-05	5.57143e-06	8.62e-06	4.32e-06	0.27
6	6000	0.220281	5.30303	1.99514e-05	3.60486e-05	1.08571e-07	2.81857e-05	6.00286e-06	9.44857e-06	5.47429e-06	0.31
6	6000	0.219535	5.07831	1.978e-05	3.57143e-05	1e-07	2.798e-05	6.01143e-06	9.4e-06	5.25429e-06	0.28
6	6000	0.220924	6.35243	1.98857e-05	3.59114e-05	1.42857e-07	2.80343e-05	5.99429e-06	9.42571e-06	5.88e-06	0.28
6	6000	0.219199	4.47381	1.97914e-05	3.56571e-05	1.14286e-07	2.79886e-05	6.02857e-06	9.38e-06	5.16857e-06	0.28
6	6000	0.219725	5.18331	1.98e-05	3.57029e-05	1.31429e-07	2.79686e-05	6.02286e-06	9.40286e-06	5.47429e-06	0.28
6	6000	0.219932	4.89777	1.98629e-05	3.58743e-05	1.14286e-07	2.80743e-05	5.95714e-06	9.42e-06	5.25714e-06	0.28
6	6000	0.219273	5.40754	1.96657e-05	3.54657e-05	1.22857e-07	2.78571e-05	5.99429e-06	9.34571e-06	5.67714e-06	0.28
6	6000	0.220278	5.55643	1.97743e-05	3.572e-05	1.02857e-07	2.8e-05	5.99143e-06	9.39143e-06	5.63143e-06	0.28
6	6000	0.219638	4.82234	1.97829e-05	3.56514e-05	1.31429e-07	2.79657e-05	6.01143e-06	9.42857e-06	5.47143e-06	0.28
6	6000	0.219514	4.56498	1.97886e-05	3.57143e-05	1.05714e-07	2.79914e-05	6.02571e-06	9.40857e-06	5.21429e-06	0.28
7	7000	0.235243	6.47963	2.24114e-05	4.072e-05	1.71429e-07	3.114e-05	6.64571e-06	1.05486e-05	6.75143e-06	0.32
7	7000	0.23538	6.30438	2.24543e-05	4.07943e-05	1.68571e-07	3.11771e-05	6.64e-06	1.05343e-05	6.72e-06	0.30
7	7000	0.236107	6.91489	2.25114e-05	4.09171e-05	1.74286e-07	3.124e-05	6.65143e-06	1.05743e-05	7.18286e-06	0.30
7	7000	0.236756	6.93964	2.258e-05	4.10343e-05	1.85714e-07	3.12686e-05	6.64571e-06	1.056e-05	7.16e-06	0.30
7	7000	0.237192	7.05086	2.27229e-05	4.132e-05	1.88571e-07	3.14286e-05	6.65714e-06	1.06029e-05	7.3e-06	0.30
7	7000	0.236065	6.26674	2.26543e-05	4.11057e-05	1.74286e-07	3.13543e-05	6.63143e-06	1.05714e-05	6.85429e-06	0.30
7	7000	0.23698	6.86535	2.268e-05	4.12829e-05	1.51429e-07	3.14571e-05	6.67143e-06	1.06686e-05	7.18857e-06	0.30
7	7000	0.236506	7.11253	2.256e-05	4.09914e-05	1.65714e-07	3.12914e-05	6.63429e-06	1.05629e-05	7.25429e-06	0.30
7	7000	0.236704	7.0632	2.26371e-05	4.11829e-05	1.54286e-07	3.14114e-05	6.63714e-06	1.06257e-05	7.12571e-06	0.30
7	7000	0.236025	6.54206	2.25143e-05	4.08886e-05	1.71429e-07	3.124e-05	6.66286e-06	1.05543e-05	7.05143e-06	0.30
8	8000	0.260149	8.86307	2.662e-05	4.86743e-05	2.62857e-07	3.60771e-05	7.48e-06	1.22657e-05	9.68857e-06	0.35
