N_THREADS	N_TRANSACTIONS	TIME	N_ABORTS	PROCESS_READ_TIME	PROCESS_WRITE_TIME	PROCESS_VALIDATION_TIME	PROCESS_OTHER_TIME	COMMIT_VALIDATION_TIME	COMMIT_OTHER_TIME	WASTED_TIME
1	1000	0.82308	0	7.80743e-05	0.00013774	0	0.00057764	6.22857e-07	1.99114e-05	2.56e-06	1.07
1	1000	0.823148	0	7.81229e-05	0.000137771	0	0.000577623	6.2e-07	1.99029e-05	2.57143e-06	1.06
1	1000	0.823196	0	7.80943e-05	0.000137817	0	0.000577646	6.22857e-07	1.99114e-05	2.56286e-06	1.07
1	1000	0.822764	0	7.79886e-05	0.000137534	0	0.000577646	6.22857e-07	1.99086e-05	2.54571e-06	1.06
1	1000	0.823052	0	7.80571e-05	0.000137717	0	0.000577646	6.22857e-07	1.99114e-05	2.56571e-06	1.06
1	1000	0.823077	0	7.80457e-05	0.000137731	0	0.000577646	6.22857e-07	1.99314e-05	2.56857e-06	1.06
1	1000	0.823196	0	7.81371e-05	0.000137777	0	0.000577651	6.22857e-07	1.99086e-05	2.56857e-06	1.06
1	1000	0.823125	0	7.812e-05	0.000137731	0	0.000577637	6.25714e-07	1.99057e-05	2.57143e-06	1.06
1	1000	0.823028	0	7.80629e-05	0.000137734	0	0.000577614	6.2e-07	1.99114e-05	2.55429e-06	1.07
1	1000	0.823158	0	7.80943e-05	0.000137809	0	0.00057762	6.25714e-07	1.99057e-05	2.56857e-06	1.06
2	2000	0.868794	2.48659	8.034e-05	0.000142369	3.65714e-07	0.000579971	2.29057e-05	2.04057e-05	1.38629e-05	1.11
2	2000	0.868795	2.58159	8.04257e-05	0.00014262	3.62857e-07	0.000580011	2.28714e-05	2.04e-05	1.43257e-05	1.11
2	2000	0.86935	2.58159	8.02743e-05	0.000142263	3.74286e-07	0.000579831	2.308e-05	2.03886e-05	1.44943e-05	1.10
2	2000	0.870973	2.58159	8.026e-05	0.000142226	3.45714e-07	0.00057986	2.29686e-05	2.04029e-05	1.51371e-05	1.11
2	2000	0.871317	2.62902	8.05257e-05	0.000142797	3.68571e-07	0.000580097	2.30143e-05	2.04114e-05	1.47086e-05	1.11
