N_THREADS	N_TRANSACTIONS	TIME	N_ABORTS	PROCESS_READ_TIME	PROCESS_WRITE_TIME	PROCESS_VALIDATION_TIME	PROCESS_OTHER_TIME	COMMIT_VALIDATION_TIME	COMMIT_OTHER_TIME	WASTED_TIME
1	1000	1.1927	0	0.00027306	0.000137389	0	0.00075256	6.22857e-07	1.99057e-05	2.52857e-06	1.28
1	1000	1.19341	0	0.000273171	0.000137997	0	0.000752477	6.25714e-07	1.98886e-05	2.55429e-06	1.29
1	1000	1.19333	0	0.000273129	0.000138	0	0.000752426	6.25714e-07	1.98971e-05	2.56e-06	1.28
1	1000	1.19282	0	0.000273131	0.000137451	0	0.000752537	6.17143e-07	1.98971e-05	2.53714e-06	1.29
1	1000	1.19333	0	0.000273223	0.000137769	0	0.000752617	6.2e-07	1.98943e-05	2.53429e-06	1.28
1	1000	1.19341	0	0.000273163	0.000137906	0	0.000752586	6.25714e-07	1.98943e-05	2.55714e-06	1.29
1	1000	1.19335	0	0.000273191	0.00013786	0	0.000752563	6.2e-07	1.98829e-05	2.54571e-06	1.28
1	1000	1.19332	0	0.000273163	0.00013788	0	0.000752529	6.25714e-07	1.98914e-05	2.54857e-06	1.29
1	1000	1.19339	0	0.000273151	0.000138049	0	0.00075242	6.25714e-07	1.98857e-05	2.56e-06	1.29
1	1000	1.19365	0	0.00027316	0.000138077	0	0.000752654	6.31429e-07	1.98771e-05	2.56e-06	1.27
2	2000	1.30897	3.33494	0.000282949	0.000143354	1.41143e-06	0.000757194	6.916e-05	2.05714e-05	2.54914e-05	1.41
2	2000	1.30945	3.33494	0.000283046	0.000143689	1.46e-06	0.000757163	6.91457e-05	2.05629e-05	2.55086e-05	1.40
2	2000	1.3096	5.79369	0.000283123	0.000143211	1.42571e-06	0.000757151	6.90857e-05	2.06057e-05	2.37086e-05	1.40
2	2000	1.30927	3.2882	0.000282957	0.0001437	1.46286e-06	0.000757117	6.91e-05	2.056e-05	2.54829e-05	1.40
2	2000	1.30704	3.75361	0.000283066	0.000143314	1.54e-06	0.000756969	6.91657e-05	2.05914e-05	2.34057e-05	1.41
2	2000	1.30989	4.48902	0.000283	0.000143671	1.43429e-06	0.000757143	6.904e-05	2.05657e-05	2.61543e-05	1.41
2	2000	1.30942	3.2882	0.000283074	0.000143734	1.46e-06	0.000757151	6.90229e-05	2.06029e-05	2.54943e-05	1.41
2	2000	1.30871	4.85252	0.000282923	0.000143871	1.67714e-06	0.000756909	6.89629e-05	2.056e-05	2.45e-05	1.41
2	2000	1.31094	3.4283	0.000283203	0.00014398	1.46571e-06	0.000757234	6.88857e-05	2.06143e-05	2.61229e-05	1.40
2	2000	1.30946	3.38164	0.000283106	0.00014374	1.49143e-06	0.000757106	6.902e-05	2.05657e-05	2.55229e-05	1.41
3	3000	1.37852	11.5566	0.000299806	0.000151326	2.59143e-06	0.00076616	7.23743e-05	2.174e-05	5.05e-05	1.47
3	3000	1.36934	8.22882	0.000299626	0.000152286	2.87143e-06	0.000765977	7.25486e-05	2.17257e-05	4.024e-05	1.46
3	3000	1.37798	9.55683	0.000298737	0.000152349	2.64e-06	0.000765883	7.21314e-05	2.15629e-05	4.83057e-05	1.47
3	3000	1.37596	10.421	0.00030032	0.000151886	2.83143e-06	0.000766249	7.21257e-05	2.17571e-05	4.172e-05	1.47
3	3000	1.36765	7.80578	0.000299014	0.000151751	2.59143e-06	0.000765906	7.25371e-05	2.17114e-05	4.02286e-05	1.46
3	3000	1.37327	9.36556	0.000299337	0.000151909	2.73714e-06	0.00076604	7.22486e-05	2.16886e-05	4.60086e-05	1.47
3	3000	1.37511	9.06335	0.000300774	0.000151529	2.72e-06	0.000766497	7.24286e-05	2.17971e-05	4.55771e-05	1.46
3	3000	1.37226	9.36556	0.000299389	0.000151737	2.86e-06	0.000765757	7.25229e-05	2.17286e-05	4.29143e-05	1.47
3	3000	1.36787	7.0632	0.000299117	0.000151414	2.66571e-06	0.000765894	7.22686e-05	2.16686e-05	4.26943e-05	1.47
3	3000	1.37139	8.45285	0.00029952	0.000151743	2.89429e-06	0.000765854	7.23714e-05	2.17371e-05	4.25286e-05	1.47
4	4000	1.46538	13.0057	0.000326514	0.00016544	4.27714e-06	0.000779189	7.64686e-05	2.33143e-05	6.67971e-05	1.56
4	4000	1.47041	12.0106	0.000326711	0.000165963	4.58857e-06	0.00077906	7.63943e-05	2.32543e-05	7.26314e-05	1.56
4	4000	1.45336	11.6022	0.000326151	0.000165394	4.44571e-06	0.000778891	7.64257e-05	2.32629e-05	6.206e-05	1.55
4	4000	1.46416	12.4343	0.000326551	0.000164657	4.93143e-06	0.00077838	7.62629e-05	2.32971e-05	6.70429e-05	1.57
4	4000	1.46162	12.0686	0.000324777	0.000165597	4.51143e-06	0.000778369	7.64229e-05	2.31686e-05	7.23343e-05	1.56
4	4000	1.45924	11.6217	0.000326117	0.00016572	4.42571e-06	0.000778977	7.63171e-05	2.33629e-05	6.43743e-05	1.56
4	4000	1.45603	12.0493	0.00032586	0.000165231	4.37429e-06	0.000778963	7.65e-05	2.32857e-05	6.51171e-05	1.55
4	4000	1.45419	9.991	0.000326494	0.000165857	4.59143e-06	0.00077906	7.62514e-05	2.32943e-05	5.90486e-05	1.55
4	4000	1.46142	12.2422	0.00032622	0.000165531	3.88857e-06	0.000779506	7.634e-05	2.328e-05	6.72657e-05	1.55
4	4000	1.46032	13.9415	0.000325394	0.000165406	4.61714e-06	0.000778529	7.63771e-05	2.31914e-05	6.66143e-05	1.55
5	5000	1.57731	16.625	0.00036368	0.000185014	6.49714e-06	0.000798269	8.212e-05	2.552e-05	9.31371e-05	1.68
5	5000	1.57468	16.5554	0.000362997	0.000184303	6.64286e-06	0.000797663	8.20514e-05	2.546e-05	9.28343e-05	1.67
5	5000	1.57858	13.8377	0.000363211	0.000185717	6.30857e-06	0.000798323	8.21057e-05	2.55371e-05	9.56143e-05	1.68
5	5000	1.5845	16.332	0.000366009	0.000185014	5.66857e-06	0.000800097	8.234e-05	2.57486e-05	9.474e-05	1.68
5	5000	1.57759	15.0093	0.000366377	0.00018348	5.81429e-06	0.00079982	8.25657e-05	2.57429e-05	8.962e-05	1.68
5	5000	1.57413	16.4578	0.000365977	0.000183454	5.97143e-06	0.000799266	8.25743e-05	2.57086e-05	9.02971e-05	1.67
5	5000	1.57991	15.9381	0.000362266	0.000185203	6.21714e-06	0.00079796	8.17514e-05	2.53543e-05	9.338e-05	1.67
5	5000	1.56768	13.4349	0.000363471	0.000185994	6.28e-06	0.000798417	8.19343e-05	2.54886e-05	8.59029e-05	1.66
5	5000	1.57909	16.9297	0.000363446	0.00018468	6.20857e-06	0.00079818	8.21029e-05	2.53943e-05	9.73886e-05	1.66
5	5000	1.57948	15.0093	0.000364023	0.000184891	5.70571e-06	0.000798937	8.204e-05	2.54886e-05	9.38914e-05	1.67
6	6000	1.7207	18.9408	0.000414023	0.000213289	8.38571e-06	0.000825631	9.00686e-05	2.86171e-05	0.000116806	1.82
6	6000	1.72818	19.9893	0.00041206	0.000212971	8.37143e-06	0.00082474	8.96543e-05	2.83771e-05	0.000124677	1.83
6	6000	1.72649	18.6882	0.000413986	0.000211911	8.54857e-06	0.000825046	9.00086e-05	2.85057e-05	0.000116886	1.82
6	6000	1.72673	19.6787	0.000415617	0.000211251	8.35143e-06	0.00082592	9.03114e-05	2.86143e-05	0.000117826	1.82
6	6000	1.74131	19.0611	0.000414329	0.000211831	8.08571e-06	0.000825757	9.00657e-05	2.85543e-05	0.000124057	1.83
6	6000	1.73663	18.5447	0.000416349	0.000210903	8.51143e-06	0.000826077	9.01771e-05	2.87571e-05	0.000118937	1.83
6	6000	1.72995	16.7014	0.000412151	0.000213426	8.43429e-06	0.000824751	8.94314e-05	2.83514e-05	0.00011322	1.82
6	6000	1.72856	19.3223	0.000413237	0.000212409	8.44e-06	0.000824954	8.986e-05	2.848e-05	0.00011998	1.83
6	6000	1.72087	16.283	0.000414206	0.000211774	8.39429e-06	0.000825394	9.01429e-05	2.84714e-05	0.000116794	1.82
6	6000	1.73888	19.2897	0.000414043	0.00021418	8.92286e-06	0.000825191	8.99657e-05	2.86143e-05	0.000125394	1.83
7	7000	1.92974	21.3572	0.000479457	0.000246829	1.08829e-05	0.000860103	0.00010062	3.258e-05	0.000158963	2.03
7	7000	1.91896	21.6652	0.000478343	0.000247831	1.18029e-05	0.00085902	0.000100274	3.24714e-05	0.000155083	2.01
7	7000	1.94152	23.6475	0.000481597	0.000246563	1.11429e-05	0.000860717	0.000100997	3.28114e-05	0.000164891	2.03
7	7000	1.91782	21.251	0.000479026	0.000247523	1.232e-05	0.000858614	0.00010042	3.24829e-05	0.000148426	2.01
7	7000	1.92083	23.3213	0.000479409	0.000248191	1.166e-05	0.000859751	0.000100531	3.24914e-05	0.000155526	2.01
7	7000	1.93414	22.3085	0.000479266	0.000247897	1.15886e-05	0.000859411	0.000100271	3.25429e-05	0.000155151	2.02
7	7000	1.93304	23.4219	0.000478643	0.00024718	1.19429e-05	0.000858814	0.000100334	3.25286e-05	0.000163657	2.03
7	7000	1.91795	21.0734	0.000482666	0.000246091	1.08943e-05	0.000861366	0.000101209	3.296e-05	0.00015478	2.02
7	7000	1.91303	21.4454	0.000477891	0.00024812	1.11343e-05	0.000859497	0.000100271	3.24286e-05	0.0001531	2.01
7	7000	1.9188	21.7177	0.000481363	0.000246477	1.13629e-05	0.000860466	0.000100937	3.27486e-05	0.0001507	2.02
8	8000	2.15335	22.951	0.000555637	0.000289086	1.52429e-05	0.00089912	0.000113149	3.72457e-05	0.000192283	2.25
8	8000	2.1474	23.6787	0.000557069	0.000288797	1.468e-05	0.000900366	0.000113497	3.736e-05	0.000196806	2.25
8	8000	2.16443	26.8605	0.000555877	0.000288906	1.44371e-05	0.00090012	0.000113249	3.734e-05	0.000206949	2.26
8	8000	2.15533	24.0266	0.000561166	0.000288463	1.456e-05	0.000901909	0.000114143	3.77257e-05	0.000196366	2.25
8	8000	2.15193	24.457	0.000560043	0.000287826	1.512e-05	0.000900886	0.000113886	3.762e-05	0.000199931	2.25
8	8000	2.16423	26.2673	0.000558323	0.000287351	1.55686e-05	0.000899543	0.000113631	3.73914e-05	0.000205174	2.27
8	8000	2.16941	25.9944	0.000558169	0.000288831	1.51457e-05	0.000900251	0.000113371	3.74771e-05	0.000206091	2.27
8	8000	2.15992	25.1847	0.000558609	0.000289009	1.51686e-05	0.00090046	0.000113669	3.754e-05	0.000205671	2.25
8	8000	2.16779	25.6298	0.000557271	0.000288854	1.48657e-05	0.000900137	0.000113311	3.72943e-05	0.000213771	2.27
8	8000	2.16304	25.5052	0.000557294	0.000288686	1.57971e-05	0.000899183	0.000113094	3.736e-05	0.000198817	2.26
9	9000	2.42693	26.6563	0.000643749	0.000334914	1.91486e-05	0.000944371	0.000128126	4.27771e-05	0.0002552	2.52
9	9000	2.4131	27.208	0.000643803	0.000336806	1.92171e-05	0.000944686	0.000127729	4.27686e-05	0.000247034	2.51
9	9000	2.42475	27.1078	0.000643657	0.00033522	1.916e-05	0.000944257	0.000128046	4.29171e-05	0.00024404	2.53
9	9000	2.42293	26.8887	0.000644026	0.000338534	1.97257e-05	0.000944783	0.000127711	4.25114e-05	0.000255409	2.52
9	9000	2.42372	27.5654	0.000645994	0.000336409	1.992e-05	0.0009449	0.000128394	4.28229e-05	0.000257897	2.51
9	9000	2.42976	26.9658	0.000644663	0.000337743	1.96257e-05	0.000944743	0.000127777	4.28257e-05	0.000251323	2.53
9	9000	2.42085	27.208	0.000644046	0.000337646	1.96029e-05	0.000944706	0.00012764	4.27057e-05	0.00025694	2.52
9	9000	2.43204	29.6435	0.000645523	0.000336317	1.92914e-05	0.000945237	0.00012796	4.292e-05	0.00026634	2.53
9	9000	2.43089	27.8326	0.000644754	0.000336226	1.93514e-05	0.000944751	0.000127971	4.29857e-05	0.000259049	2.53
9	9000	2.40978	26.9718	0.000643409	0.000337251	1.85714e-05	0.000945234	0.000127551	4.26714e-05	0.000239243	2.50
10	10000	2.7062	30.333	0.000738057	0.000388031	2.528e-05	0.000991294	0.000143486	4.86457e-05	0.000313391	2.81
10	10000	2.71177	29.1534	0.000738637	0.000385337	2.37771e-05	0.000992669	0.000143697	4.87486e-05	0.000305143	2.81
10	10000	2.69731	29.0126	0.00073978	0.000386477	2.42657e-05	0.000992926	0.000144209	4.88057e-05	0.000305923	2.80
10	10000	2.70323	28.5918	0.000738083	0.000385646	2.48971e-05	0.000991366	0.0001438	4.87657e-05	0.000299897	2.79
10	10000	2.72254	31.6753	0.000738011	0.000387517	2.42057e-05	0.000992269	0.000143529	4.85629e-05	0.000322089	2.82
10	10000	2.7138	29.5278	0.000738006	0.000388191	2.45857e-05	0.00099184	0.000143566	4.86857e-05	0.00031268	2.81
10	10000	2.70304	28.4539	0.000737683	0.000388563	2.43857e-05	0.00099224	0.000143374	4.85571e-05	0.000309154	2.80
10	10000	2.70069	28.6173	0.000739629	0.000387071	2.45629e-05	0.000992511	0.000143814	4.88914e-05	0.000308889	2.80
10	10000	2.71436	29.5824	0.000737937	0.000386514	2.362e-05	0.000992794	0.000143683	4.86314e-05	0.000317909	2.80
10	10000	2.69337	28.418	0.000737734	0.000389297	2.51914e-05	0.000991474	0.000143443	4.85371e-05	0.000299826	2.79
11	11000	3.00739	32.6641	0.000834974	0.000441934	2.99943e-05	0.00104091	0.000159923	5.46057e-05	0.000381454	3.11
11	11000	3.0099	30.6562	0.000835211	0.000441097	3.00771e-05	0.00104095	0.000159943	5.46914e-05	0.000379591	3.10
11	11000	3.00623	32.5029	0.000832789	0.000441214	2.92343e-05	0.00104076	0.00015956	5.46229e-05	0.000378334	3.10
11	11000	3.00111	31.6643	0.000831523	0.000440137	2.96286e-05	0.00103971	0.00015936	5.45286e-05	0.000365389	3.10
11	11000	3.02304	32.2159	0.000833274	0.000441117	2.98771e-05	0.00104023	0.000159657	5.45714e-05	0.000385109	3.12
11	11000	3.03106	31.5111	0.000836543	0.000439569	2.97286e-05	0.00104161	0.000160391	5.49771e-05	0.000394923	3.13
11	11000	3.01206	32.7957	0.000833594	0.000441266	2.96571e-05	0.00104078	0.000159634	5.45057e-05	0.000376177	3.12
11	11000	3.0148	32.9677	0.000835014	0.00044132	2.98743e-05	0.00104103	0.000160029	5.46743e-05	0.00037822	3.11
11	11000	3.03366	34.3284	0.000835954	0.000440937	2.96114e-05	0.00104168	0.00016022	5.476e-05	0.000404586	3.14
11	11000	3.03015	32.9677	0.00083338	0.000439574	2.92771e-05	0.00104064	0.000159957	5.47086e-05	0.00038702	3.14
12	12000	3.35003	35.4908	0.000933397	0.000495934	3.53057e-05	0.00109089	0.000176537	6.072e-05	0.000469403	3.46
12	12000	3.31126	34.864	0.00093094	0.0004942	3.56029e-05	0.00108906	0.000176171	6.06657e-05	0.000437583	3.42
12	12000	3.32767	34.3293	0.000931871	0.000493263	3.404e-05	0.001091	0.000176497	6.08e-05	0.000452251	3.42
12	12000	3.3416	34.2502	0.000933009	0.000493703	3.50686e-05	0.00109047	0.000176446	6.07143e-05	0.000470446	3.44
12	12000	3.31617	33.6503	0.00093364	0.000494363	3.55629e-05	0.00109039	0.000176711	6.09086e-05	0.000444429	3.42
12	12000	3.31527	34.2718	0.000931957	0.000494123	3.56057e-05	0.00108969	0.000176409	6.06229e-05	0.000443523	3.42
12	12000	3.32431	34.1528	0.00093116	0.000493631	3.41971e-05	0.00109042	0.000176454	6.06286e-05	0.000448046	3.42
12	12000	3.34554	35.5324	0.000931103	0.000494066	3.52971e-05	0.00108948	0.000175946	6.06057e-05	0.000456666	3.45
12	12000	3.33739	34.4549	0.000933686	0.000493063	3.484e-05	0.00109099	0.000176877	6.09657e-05	0.000460494	3.43
12	12000	3.33469	34.0478	0.00093236	0.00049418	3.61114e-05	0.00108921	0.000176503	6.06886e-05	0.000455774	3.43
