N_POINTS	N_THREADS	TIME
100000	1	0.293325
100000	1	0.22527
100000	1	0.22082
100000	1	0.226607
100000	1	0.225345
100000	4	0.1707
100000	4	0.149794
100000	4	0.145054
100000	4	0.143905
100000	4	0.144909
100000	8	0.177808
100000	8	0.17273
100000	8	0.178761
100000	8	0.180172
100000	8	0.179153
100000	40	0.335786
100000	40	0.328774
100000	40	0.333424
100000	40	0.33654
100000	40	0.335278
50000000	1	107.87
50000000	1	107.724
50000000	1	109.439
50000000	1	107.874
50000000	1	107.963
50000000	4	70.1564
50000000	4	70.337
50000000	4	71.7599
50000000	4	71.9679
50000000	4	68.9462
50000000	8	84.6331
50000000	8	84.5692
50000000	8	84.4244
50000000	8	84.9621
50000000	8	84.6887
50000000	40	170.011
50000000	40	170.149
50000000	40	168.783
50000000	40	172.417
50000000	40	169.838
100000000	1	216.239
100000000	1	216.371
100000000	1	215.391
100000000	1	215.993
100000000	1	216.126
100000000	4	140.67
100000000	4	146.764
100000000	4	146.118
100000000	4	147.862
100000000	4	147.862
100000000	8	171.901
100000000	8	169.34
100000000	8	172.984
100000000	8	170.265
100000000	8	170.821
100000000	40	325.503
100000000	40	327.799
100000000	40	332.783
100000000	40	318.435
100000000	40	325.459
