N_POINTS	N_THREADS	TIME	ENERGY
200000	8	0.252179	21.014648
200000	8	0.251071	21.275269
200000	8	0.251659	20.810547
100000000	8	310.539	28098.527832
100000000	8	307.918	27968.150696
100000000	8	311.482	-233889.570374
200000000	8	502.37	-206340.295776
200000000	8	498.254	55504.054382
200000000	8	493.896	55251.082703
300000000	8	560.395	66802.930969
300000000	8	561.94	-195023.958435
300000000	8	564.193	67109.532166
400000000	8	1239.92	128214.722900
400000000	8	1228.87	-134456.716370
400000000	8	1231.02	-134547.070129
500000000	8	1862.17	-73792.432495
500000000	8	1855.32	-78127.851135
500000000	8	1881.82	-5721.676208
