N_THREADS_DPU	N_DPUS	N_LOOPS	N_TANSACTIONS	COMM_TIME	TOTAL_TIME
11	1	3	600000	60904	1.35015e+08
11	1	2	400000	60180	9.00735e+07
11	1	2	400000	63590	9.00553e+07
11	500	3	3e+08	2.76301e+06	1.37561e+08
11	500	2	2e+08	2.71456e+06	9.26075e+07
11	500	2	2e+08	2.77549e+06	9.26399e+07
11	1000	3	6e+08	5.14523e+06	1.39965e+08
11	1000	3	6e+08	5.21717e+06	1.40056e+08
11	1000	2	4e+08	5.1344e+06	9.50458e+07
11	1500	2	6e+08	7.65332e+06	9.75801e+07
11	1500	3	9e+08	7.60067e+06	1.42378e+08
11	1500	2	6e+08	7.55202e+06	9.73931e+07
11	2000	3	1.2e+09	1.02928e+07	1.45056e+08
11	2000	3	1.2e+09	1.01688e+07	1.44832e+08
11	2000	3	1.2e+09	1.00439e+07	1.44786e+08
11	2500	3	1.5e+09	1.2368e+07	1.47111e+08
11	2500	3	1.5e+09	1.2099e+07	1.46776e+08
11	2500	2	1e+09	1.23786e+07	1.02277e+08
