N_THREADS	N_TRANSACTIONS	TIME	N_ABORTS	PROCESS_READ_TIME	PROCESS_WRITE_TIME	PROCESS_VALIDATION_TIME	PROCESS_OTHER_TIME	COMMIT_VALIDATION_TIME	COMMIT_OTHER_TIME	WASTED_TIME
1	4096	9.5173	0	5.718e-05	5.03286e-05	0	0.000100714	0	1.51486e-05	1.01143e-06
1	4096	9.51724	0	5.71686e-05	5.03714e-05	0	0.000100674	0	1.51486e-05	1.01143e-06
1	4096	9.51861	0	5.72314e-05	5.02714e-05	0	0.000100906	0	1.512e-05	1.00857e-06
1	4096	9.51743	0	5.71914e-05	5.03571e-05	0	0.000100711	0	1.51457e-05	1.00857e-06
1	4096	9.51868	0	5.724e-05	5.02714e-05	0	0.000100951	0	1.51314e-05	1.00571e-06
1	4096	9.51745	0	5.71886e-05	5.03743e-05	0	0.000100697	0	1.51486e-05	1.01429e-06
1	4096	9.5174	0	5.71857e-05	5.03829e-05	0	0.000100689	0	1.51514e-05	1.00857e-06
1	4096	9.5174	0	5.71829e-05	5.03771e-05	0	0.000100686	0	1.51486e-05	1.01429e-06
1	4096	9.51752	0	5.71886e-05	5.03543e-05	0	0.000100729	0	1.51486e-05	1.00857e-06
1	4096	9.51864	0	5.72171e-05	5.02686e-05	0	0.000100926	0	1.51257e-05	1.00571e-06
2	4096	4.76855	0.0244081	5.72629e-05	5.04e-05	1.54286e-07	0.000100629	1.42857e-08	1.51686e-05	1.02286e-06
2	4096	4.7685	0.0244081	5.72457e-05	5.042e-05	1.62857e-07	0.000100606	1.71429e-08	1.51686e-05	1.02e-06
2	4096	4.7686	0.0488043	5.72629e-05	5.04286e-05	1.54286e-07	0.00010062	1.71429e-08	1.51743e-05	1.02571e-06
2	4096	4.76863	0.0488043	5.72714e-05	5.04057e-05	1.48571e-07	0.000100671	1.42857e-08	1.51657e-05	1.03429e-06
2	4096	4.76855	0.0488043	5.726e-05	5.04343e-05	1.57143e-07	0.000100614	1.42857e-08	1.51743e-05	1.02571e-06
2	4096	4.76922	0.0244081	5.73229e-05	5.02743e-05	1.4e-07	0.000100994	1.14286e-08	1.51343e-05	1.01429e-06
2	4096	4.76861	0.0488043	5.72686e-05	5.03943e-05	1.54286e-07	0.000100654	1.14286e-08	1.51686e-05	1.03143e-06
2	4096	4.76913	0.0244081	5.72829e-05	5.032e-05	1.42857e-07	0.000100874	1.14286e-08	1.51486e-05	1.01143e-06
2	4096	4.76851	0.0488043	5.72543e-05	5.04257e-05	1.42857e-07	0.000100629	1.42857e-08	1.51686e-05	1.02286e-06
2	4096	4.76869	0.0488043	5.726e-05	5.04229e-05	1.54286e-07	0.000100649	1.14286e-08	1.51829e-05	1.02571e-06
3	4096	3.1866	0.292113	5.72943e-05	5.04086e-05	2.2e-07	0.000100754	8.57143e-09	1.51943e-05	1.46857e-06
3	4096	3.18628	0.389105	5.72829e-05	5.04286e-05	2.11429e-07	0.000100691	8.57143e-09	1.52e-05	1.51143e-06
3	4096	3.18633	0.170607	5.72829e-05	5.04229e-05	2.05714e-07	0.000100723	2.85714e-09	1.51971e-05	1.34e-06
3	4096	3.18638	0.170607	5.72914e-05	5.044e-05	2e-07	0.000100726	2.85714e-09	1.51971e-05	1.33429e-06
3	4096	3.1868	0.267835	5.73057e-05	5.04029e-05	2.48571e-07	0.000100706	0	1.51943e-05	1.34286e-06
3	4096	3.18589	0.243546	5.72886e-05	5.04257e-05	2e-07	0.000100691	8.57143e-09	1.51914e-05	1.32857e-06
3	4096	3.18666	0.292113	5.73e-05	5.04057e-05	2.4e-07	0.00010074	8.57143e-09	1.51914e-05	1.48e-06
3	4096	3.18611	0.364875	5.72943e-05	5.04457e-05	2.22857e-07	0.0001007	8.57143e-09	1.51914e-05	1.46571e-06
3	4096	3.18604	0.267835	5.73e-05	5.04314e-05	2.25714e-07	0.000100714	0	1.51914e-05	1.33429e-06
3	4096	3.18604	0.243546	5.73143e-05	5.04171e-05	2.28571e-07	0.000100714	2.85714e-09	1.51914e-05	1.32857e-06
4	4096	2.3965	0.43753	5.74371e-05	5.04771e-05	4.74286e-07	0.000100546	2e-08	1.52114e-05	1.54571e-06
4	4096	2.39565	0.389105	5.74257e-05	5.04914e-05	4.17143e-07	0.000100614	4e-08	1.52086e-05	1.48e-06
4	4096	2.39615	0.43753	5.74114e-05	5.04914e-05	3.91429e-07	0.0001006	2.57143e-08	1.52e-05	1.48571e-06
4	4096	2.39624	0.43753	5.73971e-05	5.04829e-05	3.97143e-07	0.000100594	3.71429e-08	1.51971e-05	1.51429e-06
4	4096	2.39639	0.413324	5.74686e-05	5.05e-05	5.34286e-07	0.00010056	2.85714e-08	1.52257e-05	1.49714e-06
4	4096	2.39643	0.43753	5.744e-05	5.05143e-05	5.02857e-07	0.000100517	2.85714e-08	1.52057e-05	1.52e-06
4	4096	2.39573	0.43753	5.74457e-05	5.05143e-05	4.51429e-07	0.000100623	1.42857e-08	1.52143e-05	1.49143e-06
4	4096	2.39616	0.51008	5.748e-05	5.05114e-05	5.08571e-07	0.000100631	1.71429e-08	1.52229e-05	1.56e-06
4	4096	2.39641	0.364875	5.75086e-05	5.03743e-05	4.42857e-07	0.000100889	2e-08	1.51771e-05	1.47429e-06
4	4096	2.39569	0.485909	5.74086e-05	5.05029e-05	4.48571e-07	0.000100549	2e-08	1.52086e-05	1.52857e-06
5	4096	1.92402	0.654863	5.76029e-05	5.06457e-05	7.14286e-07	0.0001004	1.17143e-07	1.51886e-05	1.86571e-06
5	4096	1.92412	0.582524	5.76343e-05	5.05229e-05	6.94286e-07	0.00010068	7.71429e-08	1.51886e-05	1.81143e-06
5	4096	1.9242	0.70303	5.77286e-05	5.052e-05	7.45714e-07	0.000100726	9.71429e-08	1.51743e-05	1.81714e-06
5	4096	1.92401	0.654863	5.76257e-05	5.06314e-05	7.37143e-07	0.000100463	1e-07	1.52086e-05	1.77429e-06
