N_THREADS	N_TRANSACTIONS	TIME	N_ABORTS	PROCESS_READ_TIME	PROCESS_WRITE_TIME	PROCESS_VALIDATION_TIME	PROCESS_OTHER_TIME	COMMIT_VALIDATION_TIME	COMMIT_OTHER_TIME	WASTED_TIME
1	4096	1.67403	0	1.27486e-05	4.20286e-05	0	6.05971e-05	2.51429e-07	8.31143e-06	1.19429e-06
1	4096	1.67405	0	1.27486e-05	4.20286e-05	0	6.05971e-05	2.51429e-07	8.31143e-06	1.19429e-06
1	4096	1.67403	0	1.27486e-05	4.20286e-05	0	6.05971e-05	2.51429e-07	8.31143e-06	1.19429e-06
1	4096	1.67396	0	1.27486e-05	4.20257e-05	0	6.05943e-05	2.51429e-07	8.31143e-06	1.19429e-06
1	4096	1.67395	0	1.27486e-05	4.20257e-05	0	6.05971e-05	2.48571e-07	8.31429e-06	1.19429e-06
1	4096	1.67395	0	1.27486e-05	4.20286e-05	0	6.05914e-05	2.51429e-07	8.31143e-06	1.19429e-06
1	4096	1.67398	0	1.27486e-05	4.20257e-05	0	6.05943e-05	2.51429e-07	8.31143e-06	1.19429e-06
1	4096	1.67395	0	1.27486e-05	4.20286e-05	0	6.05914e-05	2.51429e-07	8.31143e-06	1.19429e-06
1	4096	1.67406	0	1.27486e-05	4.20257e-05	0	6.06029e-05	2.48571e-07	8.31429e-06	1.19429e-06
1	4096	1.67396	0	1.27486e-05	4.20286e-05	0	6.05943e-05	2.51429e-07	8.30857e-06	1.19429e-06
2	4096	0.838401	1.4674	1.27486e-05	4.20286e-05	0	6.05886e-05	2.51429e-07	8.30857e-06	1.29714e-06
2	4096	0.838389	1.4437	1.27429e-05	4.20229e-05	0	6.06e-05	2.51429e-07	8.30857e-06	1.29714e-06
2	4096	0.838401	1.4674	1.27457e-05	4.20229e-05	0	6.06e-05	2.51429e-07	8.30857e-06	1.29714e-06
2	4096	0.838404	1.0628	1.27486e-05	4.20229e-05	0	6.05943e-05	2.51429e-07	8.30857e-06	1.29714e-06
2	4096	0.838392	1.4911	1.27457e-05	4.20257e-05	0	6.05943e-05	2.48571e-07	8.31143e-06	1.29714e-06
2	4096	0.838649	1.4437	1.27514e-05	4.20371e-05	0	6.06143e-05	2.51429e-07	8.31143e-06	1.29714e-06
2	4096	0.838422	1.4911	1.27457e-05	4.20257e-05	0	6.06e-05	2.51429e-07	8.30857e-06	1.29714e-06
