N_THREADS	N_TRANSACTIONS	TIME	N_ABORTS	PROCESS_READ_TIME	PROCESS_WRITE_TIME	PROCESS_VALIDATION_TIME	PROCESS_OTHER_TIME	COMMIT_VALIDATION_TIME	COMMIT_OTHER_TIME	WASTED_TIME
1	4096	2.40084	0	3.94486e-05	0.000134589	0	9.70257e-05	2.51429e-07	2.38857e-05	2.46857e-06
1	4096	2.40024	0	3.94943e-05	0.000134529	0	9.68829e-05	2.51429e-07	2.39029e-05	2.46286e-06
1	4096	2.40106	0	3.94571e-05	0.000134609	0	9.70657e-05	2.51429e-07	2.38829e-05	2.46571e-06
1	4096	2.40107	0	3.94571e-05	0.000134617	0	9.706e-05	2.51429e-07	2.388e-05	2.46857e-06
1	4096	2.40042	0	3.95e-05	0.00013456	0	9.68886e-05	2.51429e-07	2.39086e-05	2.46286e-06
1	4096	2.40037	0	3.94971e-05	0.000134537	0	9.69e-05	2.51429e-07	2.39057e-05	2.46286e-06
1	4096	2.40046	0	3.95229e-05	0.000134546	0	9.68943e-05	2.51429e-07	2.39086e-05	2.46e-06
1	4096	2.40083	0	3.946e-05	0.000134606	0	9.706e-05	2.51429e-07	2.38771e-05	2.47143e-06
1	4096	2.40119	0	3.94686e-05	0.000134626	0	9.70771e-05	2.51429e-07	2.388e-05	2.47429e-06
1	4096	2.40035	0	3.95e-05	0.00013454	0	9.69029e-05	2.51429e-07	2.38914e-05	2.46571e-06
2	4096	1.20624	1.8452	3.96029e-05	0.000134797	0	9.72229e-05	2.51429e-07	2.44114e-05	2.82e-06
2	4096	1.20631	2.00957	3.96257e-05	0.000134794	0	9.72229e-05	2.51429e-07	2.438e-05	2.83714e-06
2	4096	1.20618	1.56212	3.96257e-05	0.000134794	0	9.72257e-05	2.51429e-07	2.43886e-05	2.78571e-06
2	4096	1.20673	1.65666	3.95943e-05	0.000134909	0	9.74429e-05	2.51429e-07	2.43571e-05	2.79714e-06
2	4096	1.20629	1.63305	3.96314e-05	0.000134771	0	9.724e-05	2.48571e-07	2.43314e-05	2.83429e-06
2	4096	1.20627	1.72745	3.96286e-05	0.000134771	0	9.72343e-05	2.48571e-07	2.43829e-05	2.82286e-06
2	4096	1.20672	1.75102	3.95829e-05	0.000134894	0	9.73886e-05	2.48571e-07	2.43543e-05	2.81714e-06
2	4096	1.20626	1.65666	3.96343e-05	0.000134783	0	9.72457e-05	2.51429e-07	2.43686e-05	2.79429e-06
2	4096	1.20635	1.8452	3.96257e-05	0.000134803	0	9.724e-05	2.48571e-07	2.44086e-05	2.82e-06
2	4096	1.2063	1.65666	3.96371e-05	0.000134806	0	9.72371e-05	2.51429e-07	2.43486e-05	2.81714e-06
3	4096	0.950631	78.7618	4.07029e-05	0.000138517	0	9.93171e-05	2.48571e-07	2.53143e-05	9.56857e-05
3	4096	0.947621	78.4784	4.07057e-05	0.000138566	0	9.932e-05	2.48571e-07	2.53229e-05	9.45629e-05
3	4096	0.952536	78.5908	4.07114e-05	0.000138537	0	9.93057e-05	2.48571e-07	2.53143e-05	9.56257e-05
3	4096	0.960225	79.2239	4.07171e-05	0.000138531	0	9.93029e-05	2.48571e-07	2.53257e-05	9.83286e-05
3	4096	0.951633	78.753	4.07057e-05	0.000138554	0	9.93286e-05	2.48571e-07	2.53314e-05	9.61229e-05
3	4096	0.94953	78.7827	4.07229e-05	0.00013858	0	9.93543e-05	2.48571e-07	2.53086e-05	9.63029e-05
3	4096	0.954241	79.1233	4.07171e-05	0.000138589	0	9.93257e-05	2.48571e-07	2.53143e-05	9.84229e-05
3	4096	0.940755	78.0199	4.07314e-05	0.0001386	0	9.93571e-05	2.48571e-07	2.53257e-05	9.17171e-05
3	4096	0.943682	78.2139	4.07143e-05	0.000138554	0	9.93514e-05	2.48571e-07	2.53343e-05	9.25571e-05
3	4096	0.947707	78.4262	4.07114e-05	0.000138597	0	9.94029e-05	2.48571e-07	2.52971e-05	9.40114e-05
4	4096	0.86626	88.5673	4.20343e-05	0.000142351	0	0.000101517	2.48571e-07	2.64743e-05	0.000223063
4	4096	0.859454	88.5874	4.20857e-05	0.000142466	0	0.000101591	2.51429e-07	2.65e-05	0.000224369
4	4096	0.859379	88.5816	4.20914e-05	0.000142426	0	0.000101549	2.51429e-07	2.64886e-05	0.000226049
4	4096	0.863782	88.5603	4.20714e-05	0.000142369	0	0.000101563	2.48571e-07	2.65e-05	0.000226083
4	4096	0.855668	88.3321	4.20886e-05	0.000142494	0	0.000101614	2.45714e-07	2.65114e-05	0.000219009
