N_THREADS	N_TRANSACTIONS	TIME	N_ABORTS	PROCESS_READ_TIME	PROCESS_WRITE_TIME	PROCESS_VALIDATION_TIME	PROCESS_OTHER_TIME	COMMIT_VALIDATION_TIME	COMMIT_OTHER_TIME	WASTED_TIME
1	4096	9.23598	0	3.34714e-05	3.24629e-05	0	6.09943e-05	2.51429e-07	3.26543e-05	1.13143e-06
1	4096	9.23603	0	3.34714e-05	3.24657e-05	0	6.09943e-05	2.51429e-07	3.26514e-05	1.13143e-06
1	4096	9.23604	0	3.34743e-05	3.24657e-05	0	6.09914e-05	2.51429e-07	3.26543e-05	1.13143e-06
1	4096	9.23533	0	3.34714e-05	3.24629e-05	0	6.09857e-05	2.51429e-07	3.26514e-05	1.13143e-06
1	4096	9.236	0	3.34743e-05	3.24657e-05	0	6.09914e-05	2.51429e-07	3.26514e-05	1.13143e-06
1	4096	9.23525	0	3.34714e-05	3.24629e-05	0	6.09857e-05	2.51429e-07	3.26486e-05	1.13429e-06
1	4096	9.236	0	3.34714e-05	3.24629e-05	0	6.09914e-05	2.51429e-07	3.26514e-05	1.13429e-06
1	4096	9.23599	0	3.34714e-05	3.24629e-05	0	6.09943e-05	2.51429e-07	3.26543e-05	1.13143e-06
1	4096	9.23602	0	3.34714e-05	3.24657e-05	0	6.09914e-05	2.51429e-07	3.26543e-05	1.13143e-06
1	4096	9.2363	0	3.34743e-05	3.24657e-05	0	6.09943e-05	2.51429e-07	3.26514e-05	1.13143e-06
2	4096	5.05559	51.2961	3.34829e-05	3.24629e-05	0	6.09943e-05	2.51429e-07	3.26514e-05	0.000210714
2	4096	5.11706	54.6802	3.34829e-05	3.24629e-05	0	6.09914e-05	2.48571e-07	3.26514e-05	0.000240846
2	4096	5.11726	54.6802	3.34886e-05	3.24657e-05	0	6.09886e-05	2.51429e-07	3.26514e-05	0.000240837
2	4096	5.11852	54.6501	3.34829e-05	3.24571e-05	0	6.09914e-05	2.51429e-07	3.26486e-05	0.000241637
2	4096	5.15417	56.5088	3.34857e-05	3.24629e-05	0	6.09943e-05	2.48571e-07	3.26543e-05	0.000258854
2	4096	5.11738	54.6802	3.34886e-05	3.24629e-05	0	6.09914e-05	2.48571e-07	3.26543e-05	0.0002409
2	4096	5.05568	51.2961	3.34857e-05	3.24571e-05	0	6.09914e-05	2.51429e-07	3.26514e-05	0.000210886
2	4096	5.19522	58.2552	3.34886e-05	3.24629e-05	0	6.09943e-05	2.51429e-07	3.26514e-05	0.000279017
2	4096	5.05574	51.2961	3.34829e-05	3.24629e-05	0	6.09971e-05	2.48571e-07	3.26543e-05	0.000210791
2	4096	5.05602	51.2961	3.34886e-05	3.24629e-05	0	6.09971e-05	2.51429e-07	3.26514e-05	0.000210923
3	4096	3.32417	41.0308	3.34886e-05	3.24629e-05	0	6.09943e-05	2.48571e-07	3.26543e-05	0.000135506
3	4096	3.2517	32.2639	3.34829e-05	3.24629e-05	0	6.09943e-05	2.48571e-07	3.26514e-05	9.29914e-05
3	4096	3.21718	26.105	3.348e-05	3.246e-05	0	6.09943e-05	2.48571e-07	3.26514e-05	7.02229e-05
3	4096	3.21922	27.7856	3.34743e-05	3.246e-05	0	6.09886e-05	2.48571e-07	3.26486e-05	7.54143e-05
3	4096	3.4041	47.5746	3.34971e-05	3.24657e-05	0	6.09971e-05	2.48571e-07	3.26571e-05	0.000179897
3	4096	3.3519	42.5768	3.34914e-05	3.246e-05	0	6.1e-05	2.48571e-07	3.26543e-05	0.000147634
3	4096	3.25368	34.01	3.34857e-05	3.24629e-05	0	6.09914e-05	2.48571e-07	3.26543e-05	0.0001015
