N_THREADS	N_TRANSACTIONS	TIME	N_ABORTS	PROCESS_READ_TIME	PROCESS_WRITE_TIME	PROCESS_VALIDATION_TIME	PROCESS_OTHER_TIME	COMMIT_VALIDATION_TIME	COMMIT_OTHER_TIME	WASTED_TIME
1	4096	10.4075	0	0.000101397	0.00010496	0	9.71914e-05	2.51429e-07	0.00013592	2.44571e-06
1	4096	10.4075	0	0.000101343	0.000104903	0	9.72257e-05	2.51429e-07	0.000135966	2.43714e-06
1	4096	10.4079	0	0.000101417	0.000105029	0	9.71743e-05	2.51429e-07	0.000135931	2.44857e-06
1	4096	10.4074	0	0.000101406	0.000104931	0	9.71971e-05	2.51429e-07	0.000135923	2.44e-06
1	4096	10.4062	0	0.0001013	0.000104697	0	9.71514e-05	2.51429e-07	0.000135866	2.42286e-06
1	4096	10.4071	0	0.000101369	0.000104926	0	9.718e-05	2.51429e-07	0.000135923	2.44286e-06
1	4096	10.4084	0	0.000101383	0.00010506	0	9.71943e-05	2.51429e-07	0.000135914	2.44857e-06
1	4096	10.4085	0	0.000101406	0.000105089	0	9.71857e-05	2.51429e-07	0.000135929	2.45714e-06
1	4096	10.4072	0	0.000101409	0.000104934	0	9.71829e-05	2.51429e-07	0.000135903	2.44e-06
1	4096	10.4071	0	0.000101386	0.000104934	0	9.71743e-05	2.51429e-07	0.000135917	2.44286e-06
2	4096	5.22334	6.11964	0.000101583	0.000104951	0	9.742e-05	2.51429e-07	0.000136443	6.01714e-06
2	4096	5.22287	4.92108	0.000101651	0.000105326	0	9.74171e-05	2.51429e-07	0.0001364	5.33429e-06
2	4096	5.22921	7.70617	0.00010186	0.000105529	0	9.75743e-05	2.51429e-07	0.000136697	6.96857e-06
2	4096	5.22339	5.2729	0.000101711	0.000105251	0	9.75086e-05	2.51429e-07	0.000136566	5.51714e-06
2	4096	5.22447	5.86072	0.000101763	0.000105357	0	9.74714e-05	2.51429e-07	0.00013656	5.58571e-06
2	4096	5.22194	4.58887	0.000101626	0.000105149	0	9.74457e-05	2.45714e-07	0.000136477	4.97429e-06
2	4096	5.2248	4.63329	0.000101883	0.000105569	0	9.75714e-05	2.51429e-07	0.000136783	4.67714e-06
2	4096	5.2258	6.59065	0.000101654	0.000105357	0	9.74371e-05	2.51429e-07	0.0001364	6.48286e-06
2	4096	5.22498	6.03349	0.000101717	0.000105217	0	9.74686e-05	2.51429e-07	0.000136523	6.23143e-06
2	4096	5.22331	5.51326	0.000101683	0.000105174	0	9.74743e-05	2.51429e-07	0.000136571	5.61143e-06
3	4096	3.48917	7.87224	0.000101574	0.000105083	0	9.74571e-05	2.48571e-07	0.000136297	6.49714e-06
3	4096	3.49834	12.9067	0.000101749	0.000105603	0	9.74914e-05	2.48571e-07	0.000136631	1.034e-05
3	4096	3.49096	7.60208	0.000101654	0.00010522	0	9.73857e-05	2.48571e-07	0.000136351	6.41714e-06
3	4096	3.49363	8.59183	0.000101686	0.000105357	0	9.74371e-05	2.48571e-07	0.00013646	7.00571e-06
3	4096	3.4945	9.75986	0.000101746	0.000105294	0	9.74657e-05	2.48571e-07	0.000136474	7.73143e-06
3	4096	3.49162	8.48972	0.000101657	0.000105254	0	9.74314e-05	2.48571e-07	0.000136429	6.63714e-06
3	4096	3.49811	10.8208	0.000101754	0.000105437	0	9.74686e-05	2.48571e-07	0.000136523	8.48857e-06
3	4096	3.49163	8.91706	0.000101731	0.000105254	0	9.74914e-05	2.48571e-07	0.000136594	7.05714e-06
3	4096	3.4923	7.58123	0.000101669	0.000105377	0	9.73829e-05	2.48571e-07	0.000136366	6.26857e-06
3	4096	3.49201	8.77506	0.000101666	0.000105229	0	9.74829e-05	2.48571e-07	0.000136377	7.21714e-06
4	4096	2.63055	14.9855	0.000102106	0.000105811	0	9.77086e-05	2.42857e-07	0.000137097	1.04629e-05
4	4096	2.62804	12.9252	0.000102031	0.000105583	0	9.77114e-05	2.51429e-07	0.000136977	8.95714e-06
4	4096	2.6309	13.3122	0.000102117	0.000106	0	9.77886e-05	2.45714e-07	0.000137166	9.79143e-06
4	4096	2.62635	10.6847	0.000102166	0.000105726	0	9.77143e-05	2.48571e-07	0.000137077	7.32857e-06
4	4096	2.63225	17.5689	0.000102163	0.000105734	0	9.78257e-05	2.51429e-07	0.000137326	1.192e-05
4	4096	2.62869	13.0546	0.000102046	0.000105591	0	9.76914e-05	2.45714e-07	0.000137003	9.42286e-06
4	4096	2.62899	14.0038	0.000102074	0.000105569	0	9.77057e-05	2.51429e-07	0.000137097	9.61429e-06
4	4096	2.63379	17.001	0.000102237	0.000105783	0	9.78e-05	2.48571e-07	0.000137271	1.26343e-05
4	4096	2.63247	14.6311	0.000102046	0.000105577	0	9.77714e-05	2.51429e-07	0.000137086	1.04114e-05
4	4096	2.6295	14.4528	0.000102174	0.000106057	0	9.77771e-05	2.51429e-07	0.000137271	9.68571e-06
5	4096	2.12976	32.1517	0.000103643	0.000107586	0	9.87629e-05	2.42857e-07	0.000139557	2.31714e-05
5	4096	2.12632	27.6069	0.000103211	0.00010688	0	9.85314e-05	2.42857e-07	0.000138934	2.06943e-05
5	4096	2.12135	24.844	0.000103003	0.000106926	0	9.83171e-05	2.42857e-07	0.000138403	1.762e-05
5	4096	2.12646	30.0427	0.000103294	0.000107186	0	9.85086e-05	2.42857e-07	0.00013906	2.25486e-05
5	4096	2.12625	32.1517	0.000103371	0.000107097	0	9.866e-05	2.42857e-07	0.000139026	2.444e-05
5	4096	2.1282	27.6581	0.000102997	0.000106911	0	9.83514e-05	2.42857e-07	0.00013866	1.96514e-05
5	4096	2.11733	23.696	0.000102843	0.000106563	0	9.82343e-05	2.42857e-07	0.000138269	1.70229e-05
5	4096	2.12228	25.4731	0.000102923	0.000106829	0	9.82686e-05	2.42857e-07	0.000138477	1.81829e-05
5	4096	2.12241	24.8854	0.000103177	0.000107097	0	9.84343e-05	2.42857e-07	0.000138794	1.72543e-05
5	4096	2.12308	28.0899	0.000103111	0.0001067	0	9.84229e-05	2.42857e-07	0.000138574	2.11086e-05
6	4096	1.79549	41.402	0.000104991	0.000108791	0	9.97429e-05	2.4e-07	0.000141671	3.54629e-05
6	4096	1.7902	40.5946	0.000104391	0.000108166	0	9.93143e-05	2.4e-07	0.000140751	3.48943e-05
6	4096	1.78137	35.4147	0.000104	0.000107726	0	9.90114e-05	2.4e-07	0.000139983	2.81429e-05
6	4096	1.78889	39.7647	0.000104331	0.000108217	0	9.92886e-05	2.4e-07	0.00014064	3.32114e-05
6	4096	1.78999	41.4355	0.000104626	0.000108394	0	9.94514e-05	2.4e-07	0.000140963	3.43514e-05
6	4096	1.79453	40.8861	0.000104549	0.00010834	0	9.94429e-05	2.4e-07	0.000140874	3.53114e-05
6	4096	1.78849	41.0478	0.000104489	0.000108263	0	9.93286e-05	2.4e-07	0.000140594	3.43286e-05
6	4096	1.78035	33.05	0.000103997	0.000107714	0	9.90429e-05	2.4e-07	0.000140086	2.40314e-05
6	4096	1.78889	41.3265	0.000104494	0.000108277	0	9.93314e-05	2.4e-07	0.000140643	3.60686e-05
6	4096	1.78443	39.7558	0.000104446	0.000108231	0	9.93886e-05	2.4e-07	0.000140729	3.264e-05
7	4096	1.55564	47.9013	0.000105654	0.000109594	0	0.000100177	2.4e-07	0.000142417	4.57057e-05
7	4096	1.54473	45.8488	0.00010608	0.000110031	0	0.000100517	2.4e-07	0.00014302	4.05686e-05
7	4096	1.54843	48.1519	0.000105423	0.000109283	0	0.000100086	2.4e-07	0.000142169	4.49943e-05
7	4096	1.54242	45.5753	0.000105606	0.000109549	0	0.000100154	2.4e-07	0.000142291	3.92429e-05
7	4096	1.55237	49.8776	0.000105949	0.00010982	0	0.00010046	2.4e-07	0.000143026	4.94229e-05
7	4096	1.54722	50.0183	0.000106389	0.000110391	0	0.000100711	2.4e-07	0.000143174	4.76686e-05
7	4096	1.56098	51.9812	0.000106109	0.000110057	0	0.000100617	2.4e-07	0.00014314	5.57229e-05
7	4096	1.54365	46.3734	0.000105403	0.000109286	0	0.00010002	2.4e-07	0.000142374	4.15543e-05
7	4096	1.55332	50.4296	0.000105903	0.000109917	0	0.000100371	2.4e-07	0.00014276	4.95171e-05
7	4096	1.54758	48.3871	0.000105774	0.000109671	0	0.000100311	2.4e-07	0.000142551	4.53457e-05
