N_THREADS	N_TRANSACTIONS	TIME	N_ABORTS	PROCESS_READ_TIME	PROCESS_WRITE_TIME	PROCESS_VALIDATION_TIME	PROCESS_OTHER_TIME	COMMIT_VALIDATION_TIME	COMMIT_OTHER_TIME	WASTED_TIME
1	4096	2.46282	0	4.55743e-05	0.000133451	0	9.74857e-05	2.48571e-07	3.34229e-05	2.53429e-06
1	4096	2.46274	0	4.55629e-05	0.000133446	0	9.74829e-05	2.51429e-07	3.34171e-05	2.53429e-06
1	4096	2.46274	0	4.55943e-05	0.000133434	0	9.74629e-05	2.51429e-07	3.34143e-05	2.53714e-06
1	4096	2.46279	0	4.55914e-05	0.000133446	0	9.74543e-05	2.51429e-07	3.34286e-05	2.53714e-06
1	4096	2.46268	0	4.55686e-05	0.000133426	0	9.74914e-05	2.51429e-07	3.34029e-05	2.53714e-06
1	4096	2.4628	0	4.55657e-05	0.000133457	0	9.74743e-05	2.51429e-07	3.34229e-05	2.53429e-06
1	4096	2.4627	0	4.55486e-05	0.000133434	0	9.75057e-05	2.51429e-07	3.34057e-05	2.53429e-06
1	4096	2.46271	0	4.55543e-05	0.000133431	0	9.75057e-05	2.51429e-07	3.34057e-05	2.53429e-06
1	4096	2.46277	0	4.55714e-05	0.000133443	0	9.748e-05	2.51429e-07	3.342e-05	2.53143e-06
1	4096	2.46273	0	4.55543e-05	0.000133446	0	9.74886e-05	2.48571e-07	3.34143e-05	2.53143e-06
2	4096	1.23959	2.03301	4.58343e-05	0.000133917	0	9.79714e-05	2.51429e-07	3.43171e-05	2.88857e-06
2	4096	1.23966	2.07985	4.58429e-05	0.000133937	0	9.796e-05	2.51429e-07	3.43257e-05	2.89429e-06
2	4096	1.23957	1.98612	4.584e-05	0.000133931	0	9.79657e-05	2.51429e-07	3.43143e-05	2.88857e-06
2	4096	1.23964	1.96266	4.58343e-05	0.000133929	0	9.79829e-05	2.51429e-07	3.432e-05	2.88571e-06
2	4096	1.2397	2.03301	4.58371e-05	0.000133946	0	9.79771e-05	2.48571e-07	3.43371e-05	2.88857e-06
2	4096	1.23949	1.89222	4.58743e-05	0.000133917	0	9.78886e-05	2.48571e-07	3.43429e-05	2.88e-06
2	4096	1.23976	2.24344	4.58514e-05	0.000133951	0	9.79571e-05	2.51429e-07	3.43286e-05	2.91714e-06
2	4096	1.2397	2.31338	4.58343e-05	0.000133917	0	9.798e-05	2.51429e-07	3.43343e-05	2.94e-06
2	4096	1.2397	2.19675	4.584e-05	0.000133934	0	9.79686e-05	2.48571e-07	3.43171e-05	2.91143e-06
2	4096	1.23972	2.33667	4.58343e-05	0.000133923	0	9.79914e-05	2.48571e-07	3.43371e-05	2.94e-06
3	4096	0.989855	78.9127	4.74143e-05	0.000138317	0	0.000100111	2.48571e-07	3.60629e-05	0.000100231
3	4096	0.986775	79.358	4.74629e-05	0.000138334	0	0.000100146	2.48571e-07	3.60886e-05	0.000102526
3	4096	0.975858	78.8386	4.746e-05	0.000138389	0	0.000100137	2.48571e-07	3.60857e-05	9.93257e-05
3	4096	0.983405	79.0754	4.74571e-05	0.000138331	0	0.000100169	2.48571e-07	3.61057e-05	0.000101103
3	4096	0.983586	79.0871	4.74571e-05	0.000138386	0	0.000100137	2.48571e-07	3.60943e-05	0.000101043
3	4096	0.99067	78.9765	4.74457e-05	0.000138317	0	0.00010012	2.48571e-07	3.60714e-05	0.000100851
3	4096	0.980147	78.6578	4.74714e-05	0.000138366	0	0.000100149	2.48571e-07	3.60886e-05	9.86457e-05
3	4096	0.989646	79.4748	4.74571e-05	0.000138323	0	0.000100106	2.48571e-07	3.60686e-05	0.000103477
3	4096	0.985234	79.2271	4.74743e-05	0.000138337	0	0.000100154	2.48571e-07	3.60629e-05	0.000102006
3	4096	0.982196	78.8364	4.74686e-05	0.000138317	0	0.000100157	2.48571e-07	3.60857e-05	9.98e-05
4	4096	0.897225	88.787	4.92286e-05	0.000142849	0	0.000102666	2.45714e-07	3.83514e-05	0.000239211
4	4096	0.898746	88.6732	4.92143e-05	0.000142757	0	0.000102631	2.51429e-07	3.83114e-05	0.000235006
