N_THREADS	N_TRANSACTIONS	TIME	N_ABORTS	PROCESS_READ_TIME	PROCESS_WRITE_TIME	PROCESS_VALIDATION_TIME	PROCESS_OTHER_TIME	COMMIT_VALIDATION_TIME	COMMIT_OTHER_TIME	WASTED_TIME
1	4096	9.84542	0	4.56743e-05	0.000135374	0	9.71057e-05	2.51429e-07	2.39086e-05	2.44286e-06
1	4096	9.84544	0	4.56657e-05	0.000135386	0	9.71171e-05	2.51429e-07	2.39143e-05	2.44e-06
1	4096	9.84535	0	4.56629e-05	0.00013538	0	9.71029e-05	2.51429e-07	2.39114e-05	2.44e-06
1	4096	9.84533	0	4.56714e-05	0.000135366	0	9.71086e-05	2.51429e-07	2.39086e-05	2.44e-06
1	4096	9.84537	0	4.56571e-05	0.000135386	0	9.71e-05	2.51429e-07	2.39086e-05	2.44e-06
1	4096	9.84556	0	4.56829e-05	0.000135371	0	9.71086e-05	2.51429e-07	2.39343e-05	2.44857e-06
1	4096	9.84534	0	4.56686e-05	0.000135366	0	9.71114e-05	2.48571e-07	2.39114e-05	2.44e-06
1	4096	9.8454	0	4.56657e-05	0.000135389	0	9.71e-05	2.51429e-07	2.39086e-05	2.44286e-06
1	4096	9.8454	0	4.56629e-05	0.000135377	0	9.71143e-05	2.51429e-07	2.39057e-05	2.44e-06
1	4096	9.84546	0	4.566e-05	0.0001354	0	9.70971e-05	2.51429e-07	2.39171e-05	2.44286e-06
2	4096	4.93468	2.03301	4.57857e-05	0.000135657	0	9.728e-05	2.48571e-07	2.40743e-05	2.85143e-06
2	4096	4.93429	1.68027	4.576e-05	0.000135609	0	9.72486e-05	2.51429e-07	2.40314e-05	2.79714e-06
2	4096	4.93508	2.07985	4.57886e-05	0.000135686	0	9.73229e-05	2.48571e-07	2.41371e-05	2.87714e-06
2	4096	4.9347	2.05643	4.57857e-05	0.000135654	0	9.72629e-05	2.48571e-07	2.40857e-05	2.86e-06
2	4096	4.93468	1.82167	4.57629e-05	0.000135651	0	9.72857e-05	2.48571e-07	2.40914e-05	2.83429e-06
2	4096	4.93414	1.51479	4.57457e-05	0.000135617	0	9.72229e-05	2.51429e-07	2.40057e-05	2.78857e-06
2	4096	4.93452	1.75102	4.57714e-05	0.000135657	0	9.72571e-05	2.51429e-07	2.40629e-05	2.82e-06
2	4096	4.93465	1.89222	4.57771e-05	0.000135657	0	9.72857e-05	2.48571e-07	2.40886e-05	2.82e-06
2	4096	4.93489	2.03301	4.57857e-05	0.000135697	0	9.72943e-05	2.51429e-07	2.41114e-05	2.85143e-06
2	4096	4.93466	1.98612	4.57857e-05	0.00013566	0	9.72829e-05	2.48571e-07	2.40714e-05	2.84e-06
3	4096	3.29688	3.305	4.57686e-05	0.000135631	0	9.72657e-05	2.48571e-07	2.40771e-05	3.18286e-06
3	4096	3.29697	2.8463	4.57543e-05	0.000135597	0	9.72543e-05	2.48571e-07	2.40714e-05	3.11429e-06
3	4096	3.29644	3.0303	4.574e-05	0.00013558	0	9.724e-05	2.48571e-07	2.40429e-05	3.10857e-06
3	4096	3.29613	2.91538	4.57343e-05	0.000135571	0	9.72429e-05	2.48571e-07	2.40314e-05	3.09429e-06
3	4096	3.29649	3.23648	4.57429e-05	0.000135606	0	9.72486e-05	2.48571e-07	2.40543e-05	3.15429e-06
3	4096	3.29717	3.51001	4.57771e-05	0.00013564	0	9.72914e-05	2.48571e-07	2.41343e-05	3.2e-06
3	4096	3.29658	3.35064	4.57543e-05	0.000135623	0	9.72629e-05	2.48571e-07	2.40771e-05	3.18857e-06
3	4096	3.29656	3.16785	4.57457e-05	0.00013562	0	9.72686e-05	2.48571e-07	2.40914e-05	3.13143e-06
3	4096	3.29697	2.89237	4.57457e-05	0.000135577	0	9.72543e-05	2.48571e-07	2.40714e-05	3.10857e-06
3	4096	3.29669	3.46453	4.57686e-05	0.000135631	0	9.72771e-05	2.48571e-07	2.41e-05	3.14857e-06
4	4096	2.47894	5.96878	4.58486e-05	0.00013592	0	9.74143e-05	2.45714e-07	2.412e-05	3.85714e-06
4	4096	2.47934	6.07659	4.584e-05	0.000135857	0	9.73743e-05	2.45714e-07	2.40914e-05	3.91429e-06
4	4096	2.47889	5.53506	4.58257e-05	0.000135826	0	9.73686e-05	2.42857e-07	2.412e-05	3.77714e-06
4	4096	2.47964	6.05505	4.58857e-05	0.00013596	0	9.74457e-05	2.51429e-07	2.41429e-05	3.88571e-06
4	4096	2.47981	5.94719	4.58657e-05	0.000135931	0	9.74229e-05	2.48571e-07	2.41343e-05	3.84286e-06
4	4096	2.47941	6.07659	4.58286e-05	0.000135846	0	9.73771e-05	2.48571e-07	2.414e-05	3.84857e-06
4	4096	2.47981	6.65451	4.58371e-05	0.000135886	0	9.74143e-05	2.51429e-07	2.41343e-05	4.01714e-06
4	4096	2.47908	6.01193	4.58286e-05	0.000135811	0	9.73771e-05	2.45714e-07	2.41314e-05	3.86286e-06
4	4096	2.47988	6.37714	4.58629e-05	0.0001359	0	9.74143e-05	2.48571e-07	2.41629e-05	3.95714e-06
4	4096	2.47921	6.09812	4.58857e-05	0.000135977	0	9.744e-05	2.48571e-07	2.41371e-05	3.88571e-06
5	4096	1.99146	9.0788	4.60171e-05	0.000136337	0	9.76371e-05	2.42857e-07	2.42029e-05	4.68571e-06
5	4096	1.9921	9.28018	4.60629e-05	0.000136429	0	9.77e-05	2.42857e-07	2.42571e-05	4.74857e-06
5	4096	1.99232	9.52065	4.60714e-05	0.000136497	0	9.774e-05	2.42857e-07	2.42743e-05	4.78571e-06
5	4096	1.99214	8.55102	4.604e-05	0.000136463	0	9.77029e-05	2.42857e-07	2.42714e-05	4.56e-06
5	4096	1.99112	8.40787	4.60571e-05	0.000136443	0	9.76943e-05	2.42857e-07	2.42229e-05	4.48857e-06
5	4096	1.99258	9.11915	4.60914e-05	0.000136551	0	9.78e-05	2.42857e-07	2.43657e-05	4.66e-06
5	4096	1.99208	9.32035	4.61057e-05	0.000136349	0	9.77e-05	2.42857e-07	2.42629e-05	4.76571e-06
5	4096	1.99151	8.44882	4.60114e-05	0.000136346	0	9.76629e-05	2.42857e-07	2.43e-05	4.44857e-06
5	4096	1.99146	10.6262	4.60457e-05	0.000136443	0	9.77057e-05	2.42857e-07	2.422e-05	5.12286e-06
5	4096	1.99195	9.89881	4.61e-05	0.000136603	0	9.77371e-05	2.42857e-07	2.42171e-05	4.90286e-06
6	4096	1.66106	11.0918	4.62029e-05	0.000136869	0	9.79343e-05	2.4e-07	2.43514e-05	5.32286e-06
6	4096	1.66499	12.9067	4.63e-05	0.000137129	0	9.80857e-05	2.4e-07	2.44943e-05	5.70857e-06
6	4096	1.66279	11.9897	4.61657e-05	0.000136803	0	9.79114e-05	2.4e-07	2.43686e-05	5.54e-06
6	4096	1.66437	14.184	4.62657e-05	0.000137086	0	9.80829e-05	2.4e-07	2.44457e-05	6.15714e-06
6	4096	1.66477	13.6594	4.62857e-05	0.0001371	0	9.80686e-05	2.4e-07	2.44114e-05	5.97714e-06
6	4096	1.66358	12.5907	4.62686e-05	0.000137043	0	9.80429e-05	2.4e-07	2.44086e-05	5.68286e-06
6	4096	1.66442	13.4404	4.61857e-05	0.000136789	0	9.79029e-05	2.4e-07	2.43543e-05	6.06857e-06
6	4096	1.66432	13.4952	4.622e-05	0.000136923	0	9.79571e-05	2.4e-07	2.43629e-05	5.99429e-06
6	4096	1.66408	12.516	4.61857e-05	0.000136783	0	9.79e-05	2.4e-07	2.43543e-05	5.72286e-06
6	4096	1.66269	13.0546	4.62e-05	0.000136814	0	9.79143e-05	2.4e-07	2.436e-05	5.87429e-06
7	4096	1.43167	16.0484	4.64143e-05	0.000137423	0	9.82457e-05	2.4e-07	2.45229e-05	6.94571e-06
7	4096	1.43135	15.945	4.64629e-05	0.00013758	0	9.83371e-05	2.4e-07	2.45286e-05	7.01143e-06
7	4096	1.43159	16.9337	4.654e-05	0.000137766	0	9.84114e-05	2.4e-07	2.452e-05	7.28e-06
7	4096	1.4301	13.5683	4.63743e-05	0.000137306	0	9.81829e-05	2.4e-07	2.44686e-05	6.22286e-06
7	4096	1.43262	15.8932	4.64143e-05	0.000137377	0	9.82486e-05	2.4e-07	2.44971e-05	6.82571e-06
7	4096	1.42975	13.5865	4.62571e-05	0.00013692	0	9.79829e-05	2.4e-07	2.44457e-05	6.21429e-06
7	4096	1.43188	16.1858	4.64714e-05	0.00013754	0	9.83143e-05	2.4e-07	2.45657e-05	7.05143e-06
7	4096	1.4341	16.3228	4.644e-05	0.000137506	0	9.83171e-05	2.4e-07	2.44829e-05	7.10286e-06
