N_THREADS	N_TRANSACTIONS	TIME	N_ABORTS	PROCESS_READ_TIME	PROCESS_WRITE_TIME	PROCESS_VALIDATION_TIME	PROCESS_OTHER_TIME	COMMIT_VALIDATION_TIME	COMMIT_OTHER_TIME	WASTED_TIME
1	4096	2.90821	0	0.000116803	0.0001183	0	0.000103097	6.91429e-07	8.01571e-05	2.45714e-06
1	4096	2.91038	0	0.000116951	0.000118326	0	0.000103069	6.91429e-07	8.05829e-05	2.46e-06
1	4096	2.9086	0	0.000116831	0.000118329	0	0.000103126	6.88571e-07	8.01771e-05	2.45429e-06
1	4096	2.90853	0	0.000116814	0.00011832	0	0.000103131	6.91429e-07	8.018e-05	2.45143e-06
1	4096	2.90855	0	0.000116814	0.000118326	0	0.000103126	6.91429e-07	8.01771e-05	2.45143e-06
1	4096	2.91069	0	0.000116949	0.000118383	0	0.000103077	6.88571e-07	8.05629e-05	2.46286e-06
1	4096	2.90856	0	0.000116837	0.000118326	0	0.000103117	6.91429e-07	8.01743e-05	2.45143e-06
1	4096	2.90874	0	0.000116843	0.000118331	0	0.000103134	6.91429e-07	8.01829e-05	2.45143e-06
1	4096	2.90863	0	0.000116811	0.000118309	0	0.00010314	6.91429e-07	8.02029e-05	2.45714e-06
1	4096	2.90876	0	0.000116846	0.000118349	0	0.000103129	6.91429e-07	8.01771e-05	2.45143e-06
2	4096	1.58421	29.6099	0.000119806	0.000120057	1.71429e-08	0.000104431	1.03e-05	8.36429e-05	4.50686e-05
2	4096	1.58429	29.5736	0.000119866	0.000120071	1.71429e-08	0.000104434	1.03371e-05	8.362e-05	4.50286e-05
2	4096	1.58425	29.5372	0.000119869	0.000120083	2e-08	0.000104431	1.03486e-05	8.36286e-05	4.496e-05
2	4096	1.58449	29.5978	0.000119871	0.00012008	1.71429e-08	0.000104431	1.03314e-05	8.366e-05	4.50543e-05
2	4096	1.58429	29.5372	0.000119837	0.000120097	2e-08	0.000104443	1.03657e-05	8.36457e-05	4.49486e-05
2	4096	1.58408	29.5615	0.000119846	0.00012008	1.71429e-08	0.000104449	1.02686e-05	8.36314e-05	4.49771e-05
2	4096	1.58454	29.513	0.000119954	0.000120103	1.71429e-08	0.000104429	1.02857e-05	8.36914e-05	4.49943e-05
2	4096	1.5843	29.5736	0.000119871	0.000120086	2e-08	0.000104423	1.03029e-05	8.36543e-05	4.50114e-05
2	4096	1.58439	29.6462	0.000119797	0.000120063	1.71429e-08	0.000104437	1.03257e-05	8.36514e-05	4.51257e-05
2	4096	1.5847	29.5615	0.000119869	0.000120094	2e-08	0.000104429	1.04514e-05	8.36257e-05	4.50714e-05
3	4096	1.33859	50.061	0.000124509	0.000126231	0	0.000107837	1.59543e-05	8.75029e-05	0.0002184
3	4096	1.34867	50.5911	0.000124631	0.00012618	0	0.000107849	1.58086e-05	8.762e-05	0.000222511
3	4096	1.34641	50.0061	0.000124566	0.000126271	0	0.000107866	1.57771e-05	8.74314e-05	0.000222189
3	4096	1.34553	49.3508	0.000124517	0.000126143	0	0.000107837	1.59857e-05	8.74029e-05	0.000214037
3	4096	1.36483	50.0975	0.000124551	0.000126206	0	0.000107829	1.56171e-05	8.72971e-05	0.000226257
3	4096	1.34325	50.597	0.000124643	0.000126294	0	0.000107883	1.57686e-05	8.75771e-05	0.000225789
3	4096	1.33953	50.5732	0.00012466	0.000126306	0	0.000107909	1.58229e-05	8.758e-05	0.000223017
3	4096	1.34816	50.067	0.00012456	0.000126234	0	0.000107871	1.57171e-05	8.75257e-05	0.0002205
3	4096	1.34986	50.8401	0.000124586	0.000126269	0	0.000107894	1.56914e-05	8.75943e-05	0.000225554
3	4096	1.34667	50.3876	0.000124509	0.000126206	0	0.000107866	1.58143e-05	8.75314e-05	0.000221683
4	4096	1.35342	62.6448	0.000132763	0.000134883	0	0.000112874	1.86171e-05	9.20171e-05	0.00049016
4	4096	1.34373	62.9522	0.000132831	0.000135034	0	0.000112926	1.87171e-05	9.23057e-05	0.000491906
4	4096	1.34678	62.4565	0.000132703	0.00013478	0	0.000112783	1.864e-05	9.20943e-05	0.000481583
4	4096	1.3407	62.597	0.000132474	0.00013478	0	0.000112749	1.85143e-05	9.204e-05	0.000486014
4	4096	1.33881	62.8481	0.000132734	0.000135083	0	0.000112903	1.85057e-05	9.21686e-05	0.000494931
4	4096	1.33504	63.1853	0.000133089	0.000135349	0	0.000113043	1.86971e-05	9.22057e-05	0.000505203
4	4096	1.35248	62.3668	0.000132591	0.000134829	0	0.000112763	1.85486e-05	9.19257e-05	0.000482954
4	4096	1.32985	62.5457	0.00013288	0.000135143	0	0.000112946	1.89771e-05	9.21886e-05	0.000487143
4	4096	1.33778	62.6924	0.000132723	0.000134994	0	0.000112869	1.87771e-05	9.20771e-05	0.000491146
4	4096	1.33601	62.6584	0.00013284	0.000135086	0	0.000112923	1.884e-05	9.21857e-05	0.000490494
5	4096	1.44202	70.3253	0.000147017	0.000150929	8.57143e-09	0.000120729	2.016e-05	9.92457e-05	0.000857637
5	4096	1.44108	70.8636	0.000147657	0.000151697	1.42857e-08	0.000121091	2.03371e-05	9.96343e-05	0.000875717
5	4096	1.43402	70.2736	0.000146597	0.000150297	5.71429e-09	0.000120451	2.02e-05	9.89943e-05	0.00084886
5	4096	1.44653	70.3145	0.000146549	0.000150329	1.14286e-08	0.00012042	2.02286e-05	9.92057e-05	0.000851634
5	4096	1.44468	69.838	0.00014608	0.000149797	8.57143e-09	0.000120131	1.99629e-05	9.87343e-05	0.000830214
5	4096	1.43841	69.8135	0.000145826	0.000149671	2.85714e-09	0.000120097	1.99057e-05	9.86486e-05	0.000827457
5	4096	1.43377	70.3059	0.000147234	0.000151063	1.14286e-08	0.000120783	2.03086e-05	9.906e-05	0.000859863
5	4096	1.46056	69.3138	0.000145126	0.000148834	5.71429e-09	0.000119674	1.96686e-05	9.81171e-05	0.000814803
5	4096	1.43647	70.4772	0.000146997	0.000150906	1.14286e-08	0.000120714	2.026e-05	9.91057e-05	0.000859283
5	4096	1.44706	69.9949	0.000146377	0.000150094	1.42857e-08	0.000120271	1.98943e-05	9.87857e-05	0.000841823
6	4096	1.6177	74.3455	0.000163169	0.000170406	1.14286e-08	0.000129874	2.07829e-05	0.000107031	0.00125735
6	4096	1.66124	73.8141	0.00016134	0.000168311	8.57143e-09	0.000128809	2.01543e-05	0.0001065	0.00122362
6	4096	1.62057	73.6575	0.000158869	0.000165649	5.71429e-09	0.000127551	2.01629e-05	0.000105843	0.00119339
6	4096	1.58583	74.0562	0.000162434	0.000169423	1.14286e-08	0.000129357	2.10714e-05	0.000106937	0.00123375
6	4096	1.61251	74.6047	0.000164031	0.000171097	1.71429e-08	0.000130274	2.10057e-05	0.000107323	0.00127589
6	4096	1.66993	72.039	0.000153657	0.000159537	2.85714e-09	0.000124534	1.89686e-05	0.00010416	0.00109479
6	4096	1.59639	74.611	0.000164369	0.000171517	1.14286e-08	0.000130326	2.09171e-05	0.000107463	0.00128459
6	4096	1.67074	74.6895	0.000163631	0.000170883	1.71429e-08	0.000130117	2.03771e-05	0.000107569	0.00129168
6	4096	1.65336	73.7671	0.00015952	0.00016606	0	0.000127749	1.96114e-05	0.000105823	0.00120753
6	4096	1.62431	73.3351	0.000159243	0.000165726	8.57143e-09	0.000127571	1.998e-05	0.000105491	0.00118073
7	4096	1.66761	75.0335	0.000165574	0.000173346	2.85714e-09	0.000130789	1.966e-05	0.000110706	0.00143907
7	4096	1.77194	75.4848	0.000169523	0.000178003	8.57143e-09	0.000132971	1.94e-05	0.000111606	0.00152936
7	4096	1.70223	75.3342	0.000166469	0.000174211	5.71429e-09	0.000131363	1.996e-05	0.000110903	0.00147004
7	4096	1.73717	75.6103	0.000168563	0.00017694	8.57143e-09	0.00013262	1.96686e-05	0.000111297	0.00152163
7	4096	1.67525	75.6422	0.000171069	0.000179523	2.85714e-09	0.000133786	2.06371e-05	0.000111966	0.00152714
7	4096	1.73665	76.0566	0.00017562	0.000184837	8.57143e-09	0.000136414	2.09171e-05	0.000112934	0.00159397
7	4096	1.73392	75.5214	0.00017086	0.000179514	2.85714e-09	0.000133651	1.98771e-05	0.000111777	0.00153181
7	4096	1.67545	74.6283	0.000163571	0.000171026	2.85714e-09	0.000129706	1.96743e-05	0.000109869	0.00140288
7	4096	1.76273	76.8679	0.000177046	0.000186757	8.57143e-09	0.000137266	2.06829e-05	0.000114531	0.00168371
7	4096	1.70751	75.1697	0.000168386	0.000176789	5.71429e-09	0.000132429	2.00829e-05	0.000111717	0.00149763
8	4096	1.75552	77.5574	0.000180014	0.00019058	5.71429e-09	0.000138529	2.14771e-05	0.000118754	0.00189082
8	4096	1.7162	76.8718	0.000173683	0.000182871	5.71429e-09	0.000134989	2.05714e-05	0.00011606	0.00176913
8	4096	1.86762	79.1308	0.00019194	0.000204334	1.14286e-08	0.000145003	2.24857e-05	0.000122866	0.00213567
8	4096	1.79122	77.3889	0.000181009	0.000191486	2.85714e-09	0.000138989	2.11686e-05	0.000117757	0.00187714
8	4096	1.78349	77.3802	0.000179346	0.000189946	2.85714e-09	0.000138029	2.05286e-05	0.00011806	0.00189278
8	4096	1.76158	77.3789	0.000177057	0.000186874	5.71429e-09	0.000137014	2.114e-05	0.000117691	0.0018377
8	4096	1.82829	77.6492	0.000182846	0.000193423	8.57143e-09	0.000139934	2.09343e-05	0.000117743	0.00193069
8	4096	1.74673	77.1084	0.000177269	0.000187217	0	0.000137134	2.08914e-05	0.000117109	0.00181999
8	4096	1.80038	77.7003	0.000181774	0.000192126	5.71429e-09	0.000139446	2.12914e-05	0.000118146	0.00191661
8	4096	1.7327	76.8992	0.000174674	0.000184423	8.57143e-09	0.000135646	2.08086e-05	0.000117074	0.00179492
9	4096	1.81533	78.8178	0.000186497	0.000198506	2.85714e-09	0.000142086	2.25543e-05	0.000124357	0.0022165
9	4096	1.82979	79.2418	0.000188157	0.00020026	2.85714e-09	0.000142929	2.27571e-05	0.000124946	0.00227868
9	4096	1.85876	79.5517	0.000191326	0.000204406	2.85714e-09	0.00014482	2.29257e-05	0.000126369	0.00232752
9	4096	1.81224	79.0132	0.000185466	0.000197214	8.57143e-09	0.000141474	2.25457e-05	0.000124746	0.00221952
9	4096	1.83844	79.3787	0.000188189	0.000200414	2.85714e-09	0.000143151	2.29943e-05	0.000125777	0.00227259
9	4096	1.81454	79.0561	0.000183926	0.00019556	0	0.00014058	2.22857e-05	0.000123566	0.0022113
9	4096	1.87289	79.7378	0.000193151	0.000206374	2.85714e-09	0.000145837	2.336e-05	0.000126437	0.00236772
9	4096	1.78755	78.7221	0.000184451	0.00019602	2.85714e-09	0.000141009	2.26629e-05	0.00012342	0.00217426
9	4096	1.79104	78.9906	0.000183937	0.000195557	5.71429e-09	0.000140826	2.27286e-05	0.000124194	0.00219582
9	4096	1.78389	78.6744	0.00018336	0.000194923	0	0.000140551	2.24657e-05	0.000123629	0.00215749
10	4096	1.90436	80.9355	0.000199806	0.000213786	0	0.000149446	2.44829e-05	0.000132974	0.00273999
10	4096	1.92724	80.5923	0.000199131	0.000213274	0	0.00014892	2.40914e-05	0.0001318	0.00269667
10	4096	1.88711	80.6244	0.000196111	0.00020984	2.85714e-09	0.000147474	2.39e-05	0.0001315	0.0026614
10	4096	1.96674	80.9833	0.00020518	0.000220349	0	0.000152169	2.46629e-05	0.000133657	0.00283892
10	4096	1.85263	80.2612	0.000191517	0.000204143	5.71429e-09	0.000144909	2.36629e-05	0.000128923	0.00254765
10	4096	1.85452	80.3803	0.000192706	0.000205634	0	0.000145637	2.37229e-05	0.000129794	0.00257799
10	4096	1.93287	81.001	0.000202351	0.000217094	2.85714e-09	0.000150766	2.47686e-05	0.000133586	0.00279361
10	4096	1.99164	81.5504	0.000209863	0.000225714	2.85714e-09	0.000154763	2.542e-05	0.000136091	0.00297279
10	4096	1.93072	80.9373	0.000201817	0.000216151	2.85714e-09	0.000150357	2.468e-05	0.000132777	0.00277479
10	4096	1.9009	80.5092	0.000198283	0.00021252	0	0.000148589	2.43857e-05	0.000132174	0.00265972
11	4096	2.03526	82.2423	0.000215723	0.000232343	2.85714e-09	0.000158091	2.59229e-05	0.000139869	0.00325647
11	4096	2.00227	82.2692	0.000210431	0.000226303	0	0.000155094	2.50229e-05	0.000137786	0.00325095
11	4096	2.01605	82.25	0.000207674	0.000223489	0	0.000153857	2.43571e-05	0.000137766	0.00319779
11	4096	2.02861	82.4492	0.00021498	0.000231374	0	0.000157454	2.54629e-05	0.000138577	0.00330852
11	4096	2.01704	82.2353	0.000208517	0.00022404	2.85714e-09	0.000154131	2.46429e-05	0.000137931	0.00317772
11	4096	2.05713	82.5181	0.000215406	0.000232074	2.85714e-09	0.000157837	2.51114e-05	0.000138749	0.00335347
11	4096	2.06781	82.6815	0.000218971	0.000236046	0	0.000159694	2.574e-05	0.000140549	0.00342057
11	4096	2.02313	82.4349	0.000211554	0.000227603	2.85714e-09	0.000155634	2.47286e-05	0.00013778	0.0032502
11	4096	2.00785	81.823	0.000203369	0.000218263	0	0.00015128	2.37457e-05	0.00013494	0.00310343
11	4096	2.03234	82.4402	0.000216054	0.00023264	0	0.00015798	2.59514e-05	0.000140997	0.00336026
12	4096	2.11943	83.5746	0.000223274	0.000241003	2.85714e-09	0.000162191	2.62971e-05	0.000145989	0.003826
12	4096	2.14305	83.6891	0.000227834	0.000246686	0	0.000164586	2.63114e-05	0.000145631	0.00394319
12	4096	2.14185	83.8084	0.000227314	0.000245834	0	0.000164323	2.66457e-05	0.000146471	0.00391562
12	4096	2.13659	83.3306	0.000223271	0.000241037	0	0.00016184	2.51029e-05	0.000143886	0.00375993
12	4096	2.12928	83.6035	0.00022544	0.000243737	2.85714e-09	0.00016318	2.63771e-05	0.000145651	0.00387475
12	4096	2.12859	83.7131	0.000226754	0.000244666	0	0.000163746	2.62629e-05	0.000145063	0.00389359
12	4096	2.12541	83.4845	0.000221954	0.000239834	2.85714e-09	0.000161474	2.58857e-05	0.000145043	0.00381096
12	4096	2.16298	83.7376	0.00022714	0.000245626	0	0.000163863	2.64086e-05	0.000146217	0.00397023
12	4096	2.13027	83.5304	0.000223769	0.000241614	0	0.00016248	2.61e-05	0.00014504	0.00383159
12	4096	2.07537	83.2124	0.000217423	0.000234323	0	0.000159046	2.59029e-05	0.00014336	0.0036405
