N_THREADS	N_TRANSACTIONS	TIME	N_ABORTS	PROCESS_READ_TIME	PROCESS_WRITE_TIME	PROCESS_VALIDATION_TIME	PROCESS_OTHER_TIME	COMMIT_VALIDATION_TIME	COMMIT_OTHER_TIME	WASTED_TIME
1	4096	2.37782	0	5.68971e-05	9.73486e-05	0	0.000103106	6.54286e-07	3.154e-05	2.45714e-06
1	4096	2.37774	0	5.68943e-05	9.73686e-05	0	0.000103057	6.57143e-07	3.15429e-05	2.45429e-06
1	4096	2.37821	0	5.69029e-05	9.73771e-05	0	0.00010318	6.51429e-07	3.15343e-05	2.46286e-06
1	4096	2.37789	0	5.69086e-05	9.736e-05	0	0.000103086	6.54286e-07	3.15457e-05	2.45714e-06
1	4096	2.37823	0	5.69086e-05	9.738e-05	0	0.000103171	6.51429e-07	3.15343e-05	2.46e-06
1	4096	2.37794	0	5.69e-05	9.73829e-05	0	0.000103089	6.57143e-07	3.15457e-05	2.45429e-06
1	4096	2.37832	0	5.69114e-05	9.73743e-05	0	0.000103206	6.51429e-07	3.15343e-05	2.45714e-06
1	4096	2.37781	0	5.69e-05	9.73771e-05	0	0.000103066	6.57143e-07	3.154e-05	2.45429e-06
1	4096	2.37829	0	5.69e-05	9.73829e-05	0	0.000103194	6.54286e-07	3.15343e-05	2.45714e-06
1	4096	2.37678	0	5.67229e-05	9.74771e-05	0	0.000102911	6.51429e-07	3.15114e-05	2.46286e-06
2	4096	1.195	0.823245	5.708e-05	9.75971e-05	0	0.000103391	6.74286e-07	3.20229e-05	2.70286e-06
2	4096	1.19489	0.727096	5.70914e-05	9.75429e-05	0	0.000103443	6.77143e-07	3.19371e-05	2.69429e-06
2	4096	1.19486	0.799225	5.70857e-05	9.75543e-05	0	0.000103411	6.77143e-07	3.19571e-05	2.70857e-06
2	4096	1.19497	0.799225	5.71e-05	9.75714e-05	0	0.000103446	6.8e-07	3.196e-05	2.70571e-06
2	4096	1.19514	0.70303	5.71029e-05	9.75743e-05	0	0.000103509	6.82857e-07	3.19771e-05	2.69714e-06
2	4096	1.19428	0.775194	5.69143e-05	9.76371e-05	0	0.000103263	6.74286e-07	3.18571e-05	2.71429e-06
2	4096	1.19498	0.775194	5.70886e-05	9.75886e-05	0	0.000103434	6.82857e-07	3.19714e-05	2.7e-06
2	4096	1.19516	0.823245	5.712e-05	9.758e-05	0	0.000103491	6.74286e-07	3.19457e-05	2.71143e-06
2	4096	1.19501	0.871249	5.70971e-05	9.75686e-05	0	0.000103431	6.82857e-07	3.19771e-05	2.71714e-06
2	4096	1.19524	0.799225	5.71029e-05	9.75857e-05	0	0.000103549	6.77143e-07	3.19571e-05	2.71143e-06
3	4096	0.933321	76.3483	5.91029e-05	0.000101623	0	0.00010604	5.76286e-06	3.316e-05	8.52714e-05
3	4096	0.935496	76.6317	5.91029e-05	0.000101637	0	0.000106026	5.78286e-06	3.316e-05	8.65571e-05
3	4096	0.936194	76.4516	5.916e-05	0.000101583	0	0.000106097	5.79143e-06	3.316e-05	8.572e-05
3	4096	0.938472	76.9512	5.90914e-05	0.000101649	0	0.000106034	5.67143e-06	3.31343e-05	8.83371e-05
3	4096	0.935771	76.5299	5.914e-05	0.000101591	0	0.000106106	5.78e-06	3.31743e-05	8.58886e-05
3	4096	0.935751	76.7048	5.91057e-05	0.000101634	0	0.00010608	5.71714e-06	3.316e-05	8.69543e-05
3	4096	0.934626	76.2082	5.916e-05	0.000101586	0	0.000106097	5.83714e-06	3.31829e-05	8.42943e-05
3	4096	0.9392	76.7893	5.912e-05	0.000101629	0	0.0001061	5.69714e-06	3.31514e-05	8.81543e-05
3	4096	0.936758	76.7524	5.91714e-05	0.000101574	0	0.000106086	5.72857e-06	3.316e-05	8.73543e-05
3	4096	0.933801	76.3333	5.91057e-05	0.000101629	0	0.000106071	5.80571e-06	3.31686e-05	8.546e-05
4	4096	0.85516	87.4256	6.17086e-05	0.000106846	0	0.000109126	8.60571e-06	3.50657e-05	0.000211597
4	4096	0.851597	87.4012	6.16514e-05	0.000106903	0	0.00010912	8.79714e-06	3.502e-05	0.000212474
4	4096	0.857974	87.4667	6.168e-05	0.000106891	0	0.000109157	8.60571e-06	3.50371e-05	0.00021258
4	4096	0.853043	87.3798	6.16514e-05	0.000106809	0	0.000109123	8.86857e-06	3.50171e-05	0.000211574
4	4096	0.857629	87.4379	6.16429e-05	0.000106806	0	0.000109086	8.74857e-06	3.50429e-05	0.000212957
4	4096	0.856528	87.3611	6.16657e-05	0.00010684	0	0.000109057	8.73143e-06	3.50057e-05	0.000211486
4	4096	0.851188	87.274	6.16714e-05	0.000106897	0	0.000109131	8.88e-06	3.506e-05	0.000209557
4	4096	0.854346	87.3236	6.16629e-05	0.000106883	0	0.000109143	8.58571e-06	3.50371e-05	0.000210629
4	4096	0.853035	87.5365	6.166e-05	0.000106917	0	0.00010916	8.73143e-06	3.50714e-05	0.000214363
4	4096	0.856242	87.2854	6.17e-05	0.00010686	0	0.000109131	8.69714e-06	3.50629e-05	0.00020998
5	4096	0.858943	91.7871	6.49057e-05	0.00011366	0	0.000112691	1.09914e-05	3.80029e-05	0.000395477
5	4096	0.865669	91.6697	6.482e-05	0.000113514	0	0.000112586	1.06229e-05	3.79457e-05	0.000392503
5	4096	0.856715	91.7746	6.49571e-05	0.000113743	0	0.000112769	1.07857e-05	3.80971e-05	0.000396574
5	4096	0.856781	91.8067	6.50314e-05	0.000113986	0	0.000112791	1.09914e-05	3.81286e-05	0.000395506
5	4096	0.858813	91.7393	6.49429e-05	0.00011362	0	0.000112703	1.07114e-05	3.80457e-05	0.000393711
5	4096	0.854583	91.6393	6.494e-05	0.000113711	0	0.000112697	1.076e-05	3.806e-05	0.000389071
5	4096	0.858256	91.7263	6.49629e-05	0.000113711	0	0.000112714	1.10229e-05	3.79886e-05	0.000392326
5	4096	0.855154	91.7301	6.49486e-05	0.000113657	0	0.000112714	1.078e-05	3.80629e-05	0.000392537
5	4096	0.852422	91.8325	6.50143e-05	0.00011388	0	0.00011282	1.09543e-05	3.80771e-05	0.000397257
5	4096	0.862271	91.7018	6.49543e-05	0.00011368	0	0.000112649	1.07371e-05	3.80457e-05	0.000390277
6	4096	0.893168	93.5993	6.81657e-05	0.000120449	0	0.000116149	1.18457e-05	4.14086e-05	0.000596603
6	4096	0.881432	93.7832	6.85171e-05	0.000121026	0	0.000116483	1.20886e-05	4.17229e-05	0.000615451
6	4096	0.887441	93.6146	6.824e-05	0.000120629	0	0.00011624	1.19514e-05	4.13571e-05	0.00059818
6	4096	0.889898	93.6401	6.82857e-05	0.00012064	0	0.000116309	1.19314e-05	4.152e-05	0.000601463
6	4096	0.882279	93.7339	6.83943e-05	0.000121011	0	0.000116477	1.21457e-05	4.16343e-05	0.000608709
6	4096	0.900508	93.7314	6.82714e-05	0.000120646	0	0.00011634	1.15857e-05	4.15086e-05	0.000606266
6	4096	0.885361	93.6709	6.83371e-05	0.000120646	0	0.00011636	1.17629e-05	4.16543e-05	0.000606491
6	4096	0.887469	93.7629	6.83571e-05	0.00012082	0	0.000116449	1.17457e-05	4.16143e-05	0.000612011
6	4096	0.885932	93.7217	6.83486e-05	0.000120877	0	0.00011644	1.17943e-05	4.15943e-05	0.000609094
6	4096	0.895838	93.7531	6.83286e-05	0.000120746	0	0.000116434	1.164e-05	4.168e-05	0.000611723
7	4096	0.920602	94.6138	7.10029e-05	0.000126543	0	0.000119286	1.24114e-05	4.45514e-05	0.000812451
7	4096	0.918073	94.8895	7.18829e-05	0.0001282	0	0.000120217	1.29029e-05	4.528e-05	0.000856323
7	4096	0.931	94.7611	7.15486e-05	0.000127437	0	0.000119866	1.24771e-05	4.49743e-05	0.0008245
7	4096	0.92135	94.8068	7.162e-05	0.000127546	0	0.000119943	1.26943e-05	4.51086e-05	0.000841111
7	4096	0.927741	94.853	7.17486e-05	0.00012782	0	0.000120063	1.24486e-05	4.52743e-05	0.000845117
7	4096	0.916512	94.8253	7.16771e-05	0.000127809	0	0.00012	1.26629e-05	4.50657e-05	0.000844931
7	4096	0.917295	94.7626	7.142e-05	0.000127231	0	0.000119683	1.23686e-05	4.48543e-05	0.0008368
7	4096	0.9202	94.8285	7.16286e-05	0.00012774	0	0.000120003	1.25571e-05	4.52314e-05	0.000836197
7	4096	0.918378	94.6707	7.12486e-05	0.000126806	0	0.000119563	1.23343e-05	4.47229e-05	0.000822803
7	4096	0.924882	94.7934	7.16e-05	0.000127643	0	0.000120006	1.27429e-05	4.52057e-05	0.00083362
8	4096	0.964045	95.4838	7.486e-05	0.000134303	0	0.000123443	1.33771e-05	4.82457e-05	0.00107455
8	4096	0.95171	95.6229	7.55257e-05	0.000135797	0	0.000124226	1.36514e-05	4.88457e-05	0.00110517
8	4096	0.966735	95.5782	7.52486e-05	0.000135226	0	0.000123866	1.34171e-05	4.86514e-05	0.00108986
8	4096	0.958224	95.5895	7.51571e-05	0.000135054	0	0.000123866	1.35114e-05	4.88629e-05	0.00111001
8	4096	0.954254	95.6006	7.516e-05	0.000135186	0	0.000123874	1.35086e-05	4.88057e-05	0.00110743
8	4096	0.94925	95.5452	7.50714e-05	0.00013498	0	0.000123749	1.36429e-05	4.84686e-05	0.00107352
8	4096	0.952862	95.5264	7.49714e-05	0.000134614	0	0.0001236	1.32486e-05	4.83857e-05	0.00108348
8	4096	0.982675	95.4957	7.48e-05	0.000134234	0	0.00012342	1.32457e-05	4.82629e-05	0.00108295
8	4096	0.961047	95.5167	7.49057e-05	0.00013454	0	0.000123603	1.34514e-05	4.84743e-05	0.00109627
8	4096	0.962015	95.6065	7.53971e-05	0.000135391	0	0.000124046	1.33429e-05	4.90143e-05	0.0011055
9	4096	1.00116	96.1444	7.90086e-05	0.000143306	0	0.000128231	1.43343e-05	5.26343e-05	0.00138197
