N_THREADS	N_TRANSACTIONS	TIME	N_ABORTS	PROCESS_READ_TIME	PROCESS_WRITE_TIME	PROCESS_VALIDATION_TIME	PROCESS_OTHER_TIME	COMMIT_VALIDATION_TIME	COMMIT_OTHER_TIME	WASTED_TIME
1	4096	2.27854	0	5.43571e-05	9.27029e-05	0	0.000101483	6.48571e-07	1.618e-05	2.44e-06
1	4096	2.27891	0	5.42914e-05	9.27886e-05	0	0.000101523	6.45714e-07	1.61971e-05	2.43714e-06
1	4096	2.27889	0	5.43857e-05	9.27286e-05	0	0.000101509	6.51429e-07	1.61829e-05	2.44286e-06
1	4096	2.27884	0	5.43514e-05	9.27514e-05	0	0.000101497	6.51429e-07	1.61829e-05	2.44e-06
1	4096	2.27898	0	5.43914e-05	9.27257e-05	0	0.00010152	6.51429e-07	1.61829e-05	2.44571e-06
1	4096	2.27892	0	5.43886e-05	9.27314e-05	0	0.000101509	6.51429e-07	1.61829e-05	2.44571e-06
1	4096	2.27901	0	5.43914e-05	9.274e-05	0	0.000101506	6.51429e-07	1.61857e-05	2.44571e-06
1	4096	2.27926	0	5.44343e-05	9.27686e-05	0	0.000101506	6.45714e-07	1.62257e-05	2.44e-06
1	4096	2.27908	0	5.43943e-05	9.27457e-05	0	0.000101514	6.51429e-07	1.61829e-05	2.44571e-06
1	4096	2.2791	0	5.43714e-05	9.27714e-05	0	0.000101517	6.51429e-07	1.61829e-05	2.44571e-06
2	4096	1.14381	0.799225	5.44314e-05	9.28543e-05	0	0.000101663	6.68571e-07	1.63314e-05	2.66e-06
2	4096	1.14407	0.895233	5.446e-05	9.28343e-05	0	0.0001017	6.82857e-07	1.63429e-05	2.68286e-06
2	4096	1.14462	0.967118	5.45086e-05	9.288e-05	0	0.000101751	6.82857e-07	1.64257e-05	2.69429e-06
2	4096	1.14391	0.70303	5.44543e-05	9.28457e-05	0	0.000101689	6.74286e-07	1.63343e-05	2.64571e-06
2	4096	1.14409	0.895233	5.44543e-05	9.28514e-05	0	0.000101694	6.88571e-07	1.63486e-05	2.68286e-06
2	4096	1.1443	0.895233	5.44771e-05	9.28743e-05	0	0.000101729	6.85714e-07	1.63714e-05	2.68571e-06
2	4096	1.14422	0.775194	5.44657e-05	9.28971e-05	0	0.000101717	6.88571e-07	1.63629e-05	2.66571e-06
2	4096	1.14419	0.895233	5.45314e-05	9.28457e-05	0	0.000101686	6.88571e-07	1.63829e-05	2.66857e-06
2	4096	1.14399	0.919207	5.44514e-05	9.28629e-05	0	0.000101683	6.85714e-07	1.63343e-05	2.68e-06
2	4096	1.14381	0.823245	5.44657e-05	9.28229e-05	0	0.000101671	6.82857e-07	1.63114e-05	2.65714e-06
3	4096	0.895866	76.186	5.62914e-05	9.66229e-05	0	0.000104003	5.82571e-06	1.69086e-05	8.44229e-05
3	4096	0.895908	76.1902	5.62943e-05	9.66571e-05	0	0.000104046	5.78e-06	1.68971e-05	8.41114e-05
3	4096	0.89709	76.204	5.62943e-05	9.66429e-05	0	0.000104083	5.89714e-06	1.69086e-05	8.44743e-05
3	4096	0.898307	76.0552	5.63029e-05	9.66371e-05	0	0.000104049	5.80571e-06	1.68971e-05	8.38229e-05
3	4096	0.901259	76.4232	5.62886e-05	9.662e-05	0	0.000104031	5.62286e-06	1.68857e-05	8.57314e-05
3	4096	0.896597	75.8704	5.63086e-05	9.666e-05	0	0.000104026	5.94857e-06	1.69029e-05	8.284e-05
3	4096	0.89496	75.7202	5.63057e-05	9.66629e-05	0	0.000104034	5.92571e-06	1.69e-05	8.21686e-05
3	4096	0.896896	76.3387	5.62857e-05	9.666e-05	0	0.000104049	5.83429e-06	1.69057e-05	8.49743e-05
3	4096	0.894562	75.6393	5.62857e-05	9.66314e-05	0	0.000104034	5.88571e-06	1.69057e-05	8.196e-05
3	4096	0.897712	76.2509	5.63086e-05	9.66686e-05	0	0.00010404	5.82857e-06	1.69114e-05	8.40857e-05
4	4096	0.814646	86.8287	5.86286e-05	0.000101051	0	0.000106786	8.84857e-06	1.76086e-05	0.000200443
4	4096	0.813923	86.8693	5.85771e-05	0.000101014	0	0.00010676	8.72857e-06	1.76371e-05	0.000200874
4	4096	0.815285	86.8827	5.862e-05	0.000101117	0	0.00010676	8.77429e-06	1.76286e-05	0.00020216
4	4096	0.818195	86.7336	5.85486e-05	0.000100954	0	0.000106691	8.67429e-06	1.76257e-05	0.000199957
4	4096	0.819427	86.9083	5.862e-05	0.000101043	0	0.000106771	8.70857e-06	1.764e-05	0.000201843
4	4096	0.814163	86.8164	5.86257e-05	0.00010108	0	0.000106757	8.91143e-06	1.76429e-05	0.000200703
4	4096	0.814545	86.9608	5.86371e-05	0.00010108	0	0.000106771	8.83429e-06	1.76257e-05	0.000204106
4	4096	0.81873	87.2898	5.864e-05	0.000101097	0	0.000106769	8.68e-06	1.76486e-05	0.000209391
4	4096	0.826154	86.955	5.85657e-05	0.000100969	0	0.00010674	8.58857e-06	1.762e-05	0.000203649
4	4096	0.815199	87.1796	5.86571e-05	0.000101117	0	0.000106811	8.70286e-06	1.76486e-05	0.000207189
5	4096	0.815197	91.4711	6.16257e-05	0.000106671	0	0.000110106	1.07943e-05	1.87371e-05	0.00038
5	4096	0.819095	91.4629	6.16657e-05	0.000106663	0	0.000110109	1.06457e-05	1.87486e-05	0.000378351
5	4096	0.814505	91.5277	6.17257e-05	0.000106729	0	0.000110157	1.08629e-05	1.87743e-05	0.000381169
5	4096	0.823296	91.3901	6.16114e-05	0.000106526	0	0.000110023	1.07029e-05	1.86886e-05	0.000376009
5	4096	0.821585	91.3252	6.16e-05	0.000106489	0	0.000109971	1.07971e-05	1.86886e-05	0.00037242
5	4096	0.821057	91.3123	6.15257e-05	0.000106457	0	0.000109926	1.05086e-05	1.86886e-05	0.000373794
5	4096	0.823133	91.3616	6.15514e-05	0.00010646	0	0.000109963	1.04971e-05	1.87143e-05	0.000373483
5	4096	0.818806	91.4856	6.16143e-05	0.00010662	0	0.000110089	1.06114e-05	1.87229e-05	0.000379223
5	4096	0.815881	91.475	6.164e-05	0.000106606	0	0.000110071	1.06771e-05	1.87171e-05	0.00038068
5	4096	0.818209	91.3993	6.15914e-05	0.00010654	0	0.000109994	1.072e-05	1.86886e-05	0.000377709
6	4096	0.838662	93.3802	6.47514e-05	0.000112317	0	0.00011342	1.174e-05	2.00886e-05	0.000578431
6	4096	0.845567	93.5255	6.48629e-05	0.000112483	0	0.000113583	1.16171e-05	2.02057e-05	0.000589374
6	4096	0.840883	93.3161	6.46257e-05	0.000112137	0	0.000113314	1.15629e-05	2.01257e-05	0.000569017
6	4096	0.848077	93.2469	6.44457e-05	0.000111697	0	0.000113111	1.12629e-05	1.99829e-05	0.000561843
6	4096	0.84345	93.4098	6.47429e-05	0.000112277	0	0.0001134	1.16171e-05	2.00886e-05	0.000576131
6	4096	0.840158	93.4028	6.47829e-05	0.000112311	0	0.000113506	1.178e-05	2.01171e-05	0.000575526
6	4096	0.842049	93.4419	6.47343e-05	0.000112286	0	0.000113349	1.16086e-05	2.01e-05	0.000580591
