N_THREADS	N_TRANSACTIONS	TIME	N_ABORTS	PROCESS_READ_TIME	PROCESS_WRITE_TIME	PROCESS_VALIDATION_TIME	PROCESS_OTHER_TIME	COMMIT_VALIDATION_TIME	COMMIT_OTHER_TIME	WASTED_TIME
1	192	9.02783	0	0.00109051	0.000153409	0	0.0455483	0	5.54114e-05	1.03714e-06	205.46
1	192	9.15883	0	0.001092	0.000153771	0	0.0462286	0	5.53571e-05	1.02286e-06	205.60
1	192	9.10821	0	0.00109077	0.000153686	0	0.0459662	0	5.54429e-05	1.03143e-06	205.54
2	192	118.405	4.9505	0.00111494	0.000156443	3.05714e-07	0.0555965	0	5.62057e-05	0.0140626	118.50
2	192	118.412	4.9505	0.00111483	0.000156326	3.08571e-07	0.0556653	0	5.61286e-05	0.0140714	118.51
2	192	118.419	4.9505	0.00111459	0.000156357	3.05714e-07	0.0557271	0	5.61457e-05	0.0140767	118.52
3	192	88.6326	9.00474	0.00113779	0.000159837	1.04e-06	0.0594788	0	5.73457e-05	0.153026	88.72
3	192	88.648	9.00474	0.00113809	0.000159811	1.31143e-06	0.0596509	0	5.73314e-05	0.153073	88.75
3	192	88.6379	9.00474	0.00113763	0.000159971	4.11429e-07	0.059544	0	5.74143e-05	0.153044	88.75
4	192	80.7571	16.1572	0.00114842	0.000162837	4.45714e-07	0.128526	0	5.83257e-05	0.0955552	80.87
4	192	80.7503	16.1572	0.00114918	0.000162746	4.48571e-07	0.128432	0	5.84229e-05	0.0955124	80.86
4	192	80.7834	16.1572	0.00114849	0.000162934	4.51429e-07	0.128872	0	5.84029e-05	0.0957336	80.89
5	192	70.952	18.6441	0.00117787	0.00016876	4.74286e-07	0.139951	0	6.06371e-05	0.151735	71.09
5	192	70.9467	18.6441	0.00117731	0.000169063	4.71429e-07	0.139871	0	6.06886e-05	0.151692	71.06
5	192	70.9431	18.6441	0.00117767	0.0001688	4.68571e-07	0.139802	0	6.04743e-05	0.151664	71.06
6	192	63.5241	22.2672	0.00120679	0.000173074	5.25714e-07	0.149896	0	6.21171e-05	0.169711	63.63
6	192	63.5192	22.2672	0.00120791	0.00017302	5.25714e-07	0.149875	0	6.23143e-05	0.169709	63.63
6	192	63.5231	22.2672	0.00120662	0.000173151	5.4e-07	0.149885	0	6.22143e-05	0.169701	63.63
7	192	55.4345	24.1107	0.00121309	0.000178697	5.48571e-07	0.219021	0	6.44886e-05	0.211299	55.54
7	192	55.4558	24.1107	0.00121319	0.000178803	5.45714e-07	0.219421	0	6.446e-05	0.21155	55.57
7	192	55.4401	24.1107	0.00121368	0.00017884	5.31429e-07	0.219112	0	6.42457e-05	0.211341	55.56
8	192	56.2842	28.6245	0.00121929	0.000183863	2.21714e-06	0.291565	0	6.63514e-05	0.187506	56.43
8	192	56.2829	28.6245	0.00121901	0.000183851	1.95143e-06	0.291537	0	6.61971e-05	0.187511	56.41
8	192	56.2835	28.6245	0.00121941	0.000183711	2.09143e-06	0.291572	0	6.63457e-05	0.187531	56.40
9	192	56.5651	35.1351	0.00131443	0.000197134	5.51429e-07	0.23719	0	7.13057e-05	0.328819	56.71
9	192	56.5749	35.1351	0.00131397	0.000196774	5.51429e-07	0.237263	0	7.09486e-05	0.328909	56.69
9	192	56.5701	35.1351	0.00131593	0.000196029	5.57143e-07	0.237282	0	7.10829e-05	0.328914	56.69
10	192	51.6581	35.1351	0.00134949	0.000209291	1.35429e-06	0.321219	0	7.50429e-05	0.312078	51.77
10	192	51.6534	35.1351	0.00135165	0.000209277	1.90286e-06	0.385038	0	7.47943e-05	0.31199	51.77
10	192	51.6519	35.1351	0.00134782	0.000208054	1.22571e-06	0.321053	0	7.49429e-05	0.311941	51.77
11	192	48.873	38.2637	0.0013943	0.000218046	5.85714e-07	0.39794	0	7.88171e-05	0.322177	49.03
11	192	48.8731	38.2637	0.00139749	0.000219223	5.88571e-07	0.397918	0	7.91657e-05	0.322189	49.01
11	192	48.872	38.2637	0.00138734	0.000217389	6.05714e-07	0.397864	0	7.874e-05	0.322111	48.99
12	192	52.7556	42.1687	0.00141097	0.000226163	6.31429e-07	0.313088	0	8.21086e-05	0.333132	52.92
12	192	52.7473	42.1687	0.00140965	0.000226474	6.28571e-07	0.312898	0	8.22229e-05	0.332833	52.88
12	192	52.7545	42.1687	0.0014107	0.00022598	6.51429e-07	0.313058	0	8.25229e-05	0.333078	52.87
