N_THREADS	N_TRANSACTIONS	TIME	N_ABORTS	PROCESS_READ_TIME	PROCESS_WRITE_TIME	PROCESS_VALIDATION_TIME	PROCESS_OTHER_TIME	COMMIT_VALIDATION_TIME	COMMIT_OTHER_TIME	WASTED_TIME
1	192	0.895028	0	1.96686e-05	6.89143e-06	0	0.00460144	0	6.16571e-06	1.02571e-06
1	192	0.89519	0	1.968e-05	6.88857e-06	0	0.00460223	0	6.17714e-06	1.03143e-06
1	192	0.895075	0	1.96771e-05	6.9e-06	0	0.00460162	0	6.16857e-06	1.02286e-06
1	192	0.89517	0	1.96857e-05	6.88286e-06	0	0.00460218	0	6.16571e-06	1.02e-06
1	192	0.895108	0	1.97029e-05	6.89143e-06	0	0.00460179	0	6.18857e-06	1.03143e-06
1	192	0.895177	0	1.97029e-05	6.88857e-06	0	0.00460214	0	6.16e-06	1.04286e-06
1	192	0.895052	0	1.96971e-05	6.86857e-06	0	0.00460157	0	6.16571e-06	1.02571e-06
1	192	0.895187	0	1.968e-05	6.89429e-06	0	0.00460221	0	6.16286e-06	1.02286e-06
1	192	0.895144	0	1.96914e-05	6.87143e-06	0	0.00460199	0	6.16286e-06	1.02571e-06
1	192	0.895194	0	1.96743e-05	6.88857e-06	0	0.00460225	0	6.15714e-06	1.05429e-06
2	192	0.49341	2.53807	2.122e-05	7.38286e-06	2.34286e-07	0.00437063	0	6.45714e-06	0.0006856
2	192	0.493484	3.0303	2.12057e-05	7.43714e-06	2.45714e-07	0.00437108	0	6.46571e-06	0.000685774
2	192	0.493485	2.53807	2.12057e-05	7.41714e-06	1.4e-07	0.00437129	0	6.46286e-06	0.000685726
2	192	0.493424	3.0303	2.12114e-05	7.41429e-06	2e-07	0.00437031	0	6.47714e-06	0.000685951
2	192	0.493569	3.0303	2.12086e-05	7.43429e-06	1.22857e-07	0.00437177	0	6.46e-06	0.000686146
2	192	0.49348	2.53807	2.11914e-05	7.40857e-06	2.25714e-07	0.0043711	0	6.46e-06	0.00068582
2	192	0.493549	3.0303	2.12029e-05	7.41143e-06	2.22857e-07	0.00437153	0	6.42286e-06	0.000685986
2	192	0.493449	2.53807	2.12371e-05	7.41714e-06	2.31429e-07	0.0043707	0	6.47714e-06	0.00068568
2	192	0.493508	3.0303	2.11971e-05	7.44e-06	2.02857e-07	0.00437141	0	6.48857e-06	0.000685883
2	192	0.493415	2.53807	2.11714e-05	7.4e-06	2.11429e-07	0.00437057	0	6.47429e-06	0.000685663
3	192	0.351604	6.79612	2.11543e-05	7.35429e-06	1.45714e-07	0.00406947	0	6.62857e-06	0.00131101
3	192	0.351632	6.79612	2.12086e-05	7.37429e-06	1.54286e-07	0.0040699	0	6.61143e-06	0.0013107
3	192	0.35163	6.34146	2.12657e-05	7.36286e-06	1.65714e-07	0.00406988	0	6.58857e-06	0.00131058
3	192	0.351685	6.79612	2.12657e-05	7.33143e-06	2.02857e-07	0.00407028	0	6.60286e-06	0.00131098
3	192	0.351686	6.34146	2.12086e-05	7.36286e-06	1.6e-07	0.00407037	0	6.63143e-06	0.00131097
3	192	0.351669	6.79612	2.12657e-05	7.35429e-06	1.6e-07	0.00407018	0	6.6e-06	0.00131086
3	192	0.351672	6.79612	2.126e-05	7.32571e-06	1.57143e-07	0.00407041	0	6.60857e-06	0.00131096
3	192	0.351644	6.34146	2.12514e-05	7.37143e-06	1.85714e-07	0.00407031	0	6.6e-06	0.00131075
3	192	0.351667	6.79612	2.12171e-05	7.35429e-06	1.8e-07	0.00407023	0	6.60571e-06	0.0013108
3	192	0.351629	7.24638	2.12086e-05	7.35714e-06	1.6e-07	0.00406986	0	6.62e-06	0.00131089
4	192	0.302091	11.5207	2.41314e-05	8.28286e-06	1.17143e-07	0.00363277	0	7.14286e-06	0.00249289
4	192	0.302094	11.5207	2.42286e-05	8.28857e-06	1.25714e-07	0.00363288	0	7.17143e-06	0.00249315
4	192	0.302094	11.5207	2.40886e-05	8.26857e-06	1.17143e-07	0.00363282	0	7.15143e-06	0.00249286
4	192	0.302094	11.5207	2.41371e-05	8.34e-06	1.31429e-07	0.00363295	0	7.1e-06	0.00249309
4	192	0.302084	11.5207	2.40971e-05	8.28286e-06	1.2e-07	0.00363264	0	7.14e-06	0.00249304
4	192	0.302154	11.5207	2.42114e-05	8.28e-06	1.17143e-07	0.00363339	0	7.14857e-06	0.00249377
4	192	0.30217	11.9266	2.41371e-05	8.2e-06	1.2e-07	0.00363349	0	7.14571e-06	0.00249384
4	192	0.302091	11.1111	2.42571e-05	8.29714e-06	1.2e-07	0.00363289	0	7.11714e-06	0.00249267
4	192	0.302088	11.5207	2.41371e-05	8.25143e-06	1.22857e-07	0.00363321	0	7.18e-06	0.00249318
4	192	0.3021	11.5207	2.418e-05	8.29429e-06	1.17143e-07	0.00363301	0	7.09714e-06	0.00249289
5	192	0.249117	13.5135	2.53686e-05	8.57429e-06	1.57143e-07	0.00376502	0	7.49429e-06	0.00252133
5	192	0.249154	13.9013	2.544e-05	8.53429e-06	1.82857e-07	0.00376552	0	7.49143e-06	0.00252222
5	192	0.249159	13.5135	2.53629e-05	8.58286e-06	1.8e-07	0.0037664	0	7.47143e-06	0.00252205
5	192	0.249137	13.9013	2.53771e-05	8.60857e-06	1.65714e-07	0.00376545	0	7.47143e-06	0.00252143
5	192	0.249219	14.2857	2.54886e-05	8.64286e-06	1.74286e-07	0.00376268	0	7.52e-06	0.00252287
5	192	0.249194	14.2857	2.52829e-05	8.60286e-06	1.57143e-07	0.00376628	0	7.43714e-06	0.00252253
5	192	0.249147	14.2857	2.54571e-05	8.60571e-06	1.77143e-07	0.00376621	0	7.47714e-06	0.00252225
5	192	0.249172	14.2857	2.52886e-05	8.68571e-06	1.68571e-07	0.00376657	0	7.45429e-06	0.00252248
5	192	0.249146	14.2857	2.54057e-05	8.61714e-06	1.82857e-07	0.00376577	0	7.45429e-06	0.00252229
5	192	0.249151	14.6667	2.54657e-05	8.57143e-06	2.31429e-07	0.00376525	3.71429e-08	7.51714e-06	0.00252262
6	192	0.253359	15.4185	2.50086e-05	8.41143e-06	2.77143e-07	0.00471674	4.28571e-08	7.52e-06	0.0028033
6	192	0.239767	14.2857	2.45314e-05	8.26e-06	2.22857e-07	0.00467798	0	7.59714e-06	0.00243769
6	192	0.239805	15.0442	2.45429e-05	8.20286e-06	1.65714e-07	0.00467717	0	7.60571e-06	0.00243841
6	192	0.253418	15.0442	2.48714e-05	8.43429e-06	2.48571e-07	0.0047184	5.42857e-08	7.52571e-06	0.00280396
6	192	0.253427	15.0442	2.48829e-05	8.36571e-06	2.91429e-07	0.00471956	5.14286e-08	7.66e-06	0.00280427
6	192	0.239828	15.7895	2.44629e-05	8.29143e-06	1.68571e-07	0.00467743	0	7.55429e-06	0.00243817
6	192	0.253421	15.4185	2.49771e-05	8.34857e-06	2.6e-07	0.00471809	0	7.60571e-06	0.00280359
6	192	0.253374	15.0442	2.5e-05	8.31429e-06	2.88571e-07	0.00471751	5.71429e-08	7.63714e-06	0.00280371
6	192	0.253388	15.0442	2.48714e-05	8.38857e-06	3e-07	0.0047182	1e-07	7.59143e-06	0.00280391
6	192	0.253381	15.0442	2.48943e-05	8.31714e-06	2.05714e-07	0.0047162	4.85714e-08	7.62e-06	0.00280415
7	192	0.223501	20.9877	2.68486e-05	8.95143e-06	2.2e-07	0.0045927	6.85714e-08	8.17429e-06	0.0032784
7	192	0.223633	20.9877	2.65371e-05	8.74571e-06	2.02857e-07	0.00459438	1.02857e-07	8.26286e-06	0.00327761
7	192	0.223523	20.332	2.68657e-05	9.02286e-06	2.51429e-07	0.00459352	5.71429e-08	8.14e-06	0.00327784
7	192	0.223574	20.332	2.68571e-05	8.87714e-06	2.85714e-07	0.00459267	5.71429e-08	8.1e-06	0.00327772
7	192	0.223485	20.6612	2.70171e-05	9.02571e-06	1.68571e-07	0.00456069	0	8.24571e-06	0.00330528
