N_THREADS	N_TRANSACTIONS	TIME	N_ABORTS	PROCESS_READ_TIME	PROCESS_WRITE_TIME	PROCESS_VALIDATION_TIME	PROCESS_OTHER_TIME	COMMIT_VALIDATION_TIME	COMMIT_OTHER_TIME	WASTED_TIME
1	192	0.886165	0	6.92286e-06	5.25429e-06	0	0.00458197	0	3.38571e-06	5e-07	0.95
1	192	0.886135	0	6.90286e-06	5.24571e-06	0	0.00458184	0	3.39143e-06	5e-07	0.93
1	192	0.886209	0	6.92571e-06	5.25429e-06	0	0.0045822	0	3.37429e-06	4.82857e-07	0.93
1	192	0.886262	0	6.93429e-06	5.25714e-06	0	0.00458246	0	3.38857e-06	4.97143e-07	0.93
1	192	0.88621	0	6.91714e-06	5.26857e-06	0	0.00458218	0	3.38857e-06	4.8e-07	0.93
1	192	0.88615	0	6.90286e-06	5.25714e-06	0	0.00458192	0	3.38e-06	4.91429e-07	0.93
1	192	0.886124	0	6.91429e-06	5.24857e-06	0	0.00458176	0	3.38857e-06	5.05714e-07	0.93
1	192	0.886222	0	6.92857e-06	5.26286e-06	0	0.00458225	0	3.39143e-06	4.8e-07	0.93
1	192	0.886271	0	6.92e-06	5.24857e-06	0	0.00458252	0	3.39714e-06	4.77143e-07	0.93
1	192	0.886363	0	6.90857e-06	5.26571e-06	0	0.00458301	0	3.39714e-06	4.74286e-07	0.93
2	192	0.489619	2.53807	9.05143e-06	6.06e-06	5.14286e-08	0.00429939	0	3.69714e-06	0.0007279	0.56
2	192	0.489662	2.53807	9.03714e-06	6.09143e-06	5.14286e-08	0.00429978	0	3.70286e-06	0.000727986	0.53
2	192	0.489712	2.53807	9.08286e-06	6.04571e-06	5.42857e-08	0.00430025	0	3.67143e-06	0.000727837	0.53
2	192	0.48964	2.53807	9.05714e-06	6.07714e-06	5.14286e-08	0.00429993	0	3.68e-06	0.000727774	0.53
2	192	0.489675	2.53807	9.02571e-06	6.07714e-06	5.14286e-08	0.00429987	0	3.68e-06	0.000727971	0.53
2	192	0.489609	2.53807	9.02857e-06	6.06571e-06	5.14286e-08	0.00429935	0	3.68857e-06	0.000727811	0.53
2	192	0.489605	2.53807	9.03429e-06	6.06571e-06	5.42857e-08	0.00429906	0	3.67714e-06	0.000727971	0.52
2	192	0.489708	2.53807	9.06286e-06	6.06857e-06	5.14286e-08	0.00430025	0	3.67143e-06	0.000727963	0.53
2	192	0.489587	2.53807	9.05714e-06	6.05429e-06	5.14286e-08	0.00429889	0	3.68e-06	0.000727863	0.54
2	192	0.489611	2.53807	9.04286e-06	6.08857e-06	5.14286e-08	0.00429895	0	3.68e-06	0.000727777	0.53
3	192	0.36372	4.9505	7.68286e-06	5.83714e-06	8.28571e-08	0.00432225	0	3.67429e-06	0.00114163	0.44
3	192	0.363559	4.9505	7.67714e-06	5.83429e-06	9.42857e-08	0.00432077	0	3.64857e-06	0.00114105	0.41
3	192	0.363625	4.9505	7.70286e-06	5.85714e-06	8.57143e-08	0.0043215	0	3.64e-06	0.00114153	0.41
3	192	0.363579	4.9505	7.7e-06	5.80571e-06	8.85714e-08	0.0043209	0	3.66286e-06	0.00114122	0.41
3	192	0.363669	4.9505	7.67429e-06	5.86286e-06	7.42857e-08	0.00432163	0	3.68286e-06	0.00114173	0.41
3	192	0.363633	4.9505	7.70571e-06	5.82e-06	8.57143e-08	0.00432137	0	3.64571e-06	0.00114174	0.41
3	192	0.363553	4.9505	7.68e-06	5.84857e-06	8.28571e-08	0.00432033	0	3.65429e-06	0.00114159	0.41
3	192	0.363564	4.9505	7.67429e-06	5.84286e-06	7.42857e-08	0.00432083	0	3.67429e-06	0.00114139	0.41
3	192	0.363699	4.9505	7.66857e-06	5.86857e-06	8.28571e-08	0.00432163	0	3.68e-06	0.00114179	0.41
3	192	0.363601	4.9505	7.69143e-06	5.82857e-06	7.42857e-08	0.0043207	0	3.67143e-06	0.00114165	0.41
4	192	0.294578	4.47761	9.22286e-06	6.17714e-06	1.4e-07	0.00390862	0	3.82286e-06	0.00177565	0.36
4	192	0.294614	4.47761	9.24286e-06	6.17714e-06	1.17143e-07	0.00390934	0	3.81429e-06	0.00177605	0.34
4	192	0.29461	4.47761	9.21143e-06	6.17714e-06	1.17143e-07	0.00390892	0	3.85714e-06	0.00177595	0.35
4	192	0.294654	4.47761	9.22e-06	6.15429e-06	1.37143e-07	0.00390923	0	3.81714e-06	0.00177622	0.34
4	192	0.294532	4.47761	9.18857e-06	6.2e-06	1.37143e-07	0.00390796	0	3.81429e-06	0.00177545	0.34
4	192	0.294597	4.47761	9.26e-06	6.15429e-06	1.42857e-07	0.0039086	0	3.82571e-06	0.00177596	0.35
4	192	0.294595	4.47761	9.17429e-06	6.19714e-06	1.17143e-07	0.00390896	0	3.83429e-06	0.00177581	0.34
4	192	0.294564	4.47761	9.24e-06	6.16e-06	1.4e-07	0.00390816	0	3.84857e-06	0.00177585	0.35
4	192	0.294635	4.47761	9.20571e-06	6.17714e-06	1.08571e-07	0.00390852	0	3.80857e-06	0.00177611	0.34
4	192	0.294616	4.47761	9.20571e-06	6.14e-06	1.05714e-07	0.00390882	0	3.84571e-06	0.00177611	0.35
5	192	0.244648	7.69231	9.34571e-06	6.36857e-06	1.28571e-07	0.00358316	0	3.9e-06	0.00247951	0.31
5	192	0.244579	7.69231	9.39429e-06	6.32286e-06	1.02857e-07	0.00358272	0	3.91714e-06	0.00247897	0.29
5	192	0.24459	7.69231	9.36571e-06	6.28857e-06	9.71429e-08	0.00358169	0	3.94571e-06	0.00247841	0.29
5	192	0.244605	7.69231	9.33143e-06	6.32571e-06	1.31429e-07	0.00358213	0	3.88857e-06	0.00247858	0.29
5	192	0.244621	7.69231	9.34e-06	6.29714e-06	1.31429e-07	0.003582	0	3.92571e-06	0.00247822	0.29
5	192	0.244642	7.69231	9.35429e-06	6.30857e-06	1.34286e-07	0.0035824	0	3.89714e-06	0.00247945	0.29
5	192	0.244666	7.69231	9.36286e-06	6.30857e-06	1e-07	0.00358236	0	3.91429e-06	0.00247893	0.29
5	192	0.244638	7.69231	9.30286e-06	6.32e-06	9.42857e-08	0.00358253	0	3.91714e-06	0.00247888	0.29
5	192	0.244623	7.69231	9.36e-06	6.29143e-06	1.31429e-07	0.00358285	0	3.96e-06	0.00247881	0.29
5	192	0.244651	7.69231	9.37143e-06	6.27714e-06	1.08571e-07	0.00358251	0	3.95143e-06	0.00247879	0.29
6	192	0.281755	11.9266	1.05543e-05	7.10857e-06	1.4e-07	0.0041824	0	4.28e-06	0.00379516	0.35
6	192	0.281747	11.9266	1.04514e-05	6.98286e-06	1.68571e-07	0.00418299	0	4.25429e-06	0.00379351	0.32
6	192	0.281774	11.9266	1.04314e-05	7.02286e-06	1.82857e-07	0.00418224	0	4.31143e-06	0.00379469	0.34
6	192	0.281847	11.9266	1.04714e-05	7.05714e-06	1.14286e-07	0.00418285	0	4.28e-06	0.00379518	0.33
6	192	0.281765	11.9266	1.04714e-05	7.07429e-06	1.8e-07	0.00418336	0	4.30571e-06	0.00379443	0.33
6	192	0.28176	11.9266	1.048e-05	7.11714e-06	1.45714e-07	0.00418257	0	4.26e-06	0.0037947	0.34
6	192	0.281764	11.9266	1.04371e-05	7.07429e-06	1.14286e-07	0.0041829	0	4.30286e-06	0.00379464	0.33
6	192	0.281805	11.9266	1.04257e-05	7.06571e-06	1.17143e-07	0.00418259	0	4.21429e-06	0.00379345	0.33
6	192	0.281759	11.9266	1.04086e-05	7.11429e-06	1.25714e-07	0.00418269	0	4.26571e-06	0.00379511	0.33
6	192	0.281835	11.9266	1.05029e-05	6.98857e-06	1.25714e-07	0.00418298	0	4.27714e-06	0.00379476	0.34
7	192	0.224294	10.6977	9.47143e-06	7.18571e-06	1.28571e-07	0.00401312	0	4.45143e-06	0.00363021	0.29
7	192	0.224309	10.6977	9.60571e-06	7.23143e-06	1.4e-07	0.00401321	0	4.41714e-06	0.0036303	0.27
7	192	0.224291	10.6977	9.54286e-06	7.22e-06	1.42857e-07	0.00401338	0	4.46286e-06	0.00363094	0.27
7	192	0.224287	10.6977	9.60857e-06	7.18857e-06	1.31429e-07	0.00401425	0	4.37143e-06	0.00363071	0.27
7	192	0.224289	10.6977	9.56857e-06	7.22571e-06	1.48571e-07	0.00401409	0	4.43143e-06	0.00362951	0.27
7	192	0.224289	10.6977	9.44857e-06	7.32e-06	1.22857e-07	0.00401375	0	4.50571e-06	0.00362963	0.27
7	192	0.224274	10.6977	9.52857e-06	7.24e-06	1.45714e-07	0.00401322	0	4.41143e-06	0.00363005	0.27
7	192	0.224282	10.6977	9.44e-06	7.27429e-06	1.34286e-07	0.00401288	0	4.46e-06	0.00363025	0.27
7	192	0.22431	10.6977	9.57714e-06	7.25714e-06	1.34286e-07	0.00401444	0	4.50571e-06	0.00363004	0.27
7	192	0.224284	10.6977	9.58571e-06	7.15143e-06	1.34286e-07	0.00401407	0	4.52e-06	0.00362949	0.27
8	192	0.26123	9.43396	7.37143e-06	5.86286e-06	9.42857e-08	0.00575741	0	3.91143e-06	0.0038385	0.34
8	192	0.261204	9.43396	7.32e-06	5.87143e-06	1.37143e-07	0.00575815	0	3.94e-06	0.00383979	0.31
8	192	0.261168	9.43396	7.35143e-06	5.83429e-06	1.08571e-07	0.00575738	0	3.98571e-06	0.00383883	0.31
8	192	0.261183	9.43396	7.38857e-06	5.86e-06	1.4e-07	0.00575705	0	3.97429e-06	0.0038381	0.31
8	192	0.261095	9.43396	7.33714e-06	5.94857e-06	1.02857e-07	0.00575757	0	3.9e-06	0.00383703	0.31
8	192	0.261238	9.43396	7.25714e-06	5.98e-06	1.2e-07	0.00575935	0	3.91429e-06	0.00383872	0.31
8	192	0.261213	9.43396	7.36571e-06	5.89143e-06	1.17143e-07	0.00575728	0	3.95143e-06	0.00383861	0.31
8	192	0.261092	9.43396	7.31714e-06	5.78286e-06	1.05714e-07	0.00575711	0	4.06571e-06	0.00383737	0.31
8	192	0.261155	9.43396	7.40857e-06	5.94286e-06	1.17143e-07	0.00575743	0	4.00857e-06	0.00383866	0.31
8	192	0.261338	9.43396	7.26e-06	6.04286e-06	1.02857e-07	0.00575833	0	3.96857e-06	0.00384111	0.31
9	192	0.229176	13.9013	1.03971e-05	7.22e-06	2.08571e-07	0.00497147	0	4.70857e-06	0.0050773	0.30
9	192	0.229173	13.9013	1.02857e-05	7.26857e-06	2e-07	0.00497363	0	4.69429e-06	0.00507707	0.28
9	192	0.229223	13.9013	1.01314e-05	7.55143e-06	1.77143e-07	0.00497417	0	4.56e-06	0.00507812	0.28
9	192	0.229143	13.9013	1.02429e-05	7.4e-06	3.05714e-07	0.00497471	0	4.48857e-06	0.0050763	0.28
9	192	0.229134	13.9013	1.02571e-05	7.37429e-06	1.85714e-07	0.00497337	0	4.73143e-06	0.00507771	0.28
9	192	0.229046	13.9013	1.02457e-05	7.39714e-06	2.34286e-07	0.00497291	0	4.64286e-06	0.0050762	0.28
9	192	0.229061	13.9013	1.02314e-05	7.45714e-06	1.91429e-07	0.00497313	0	4.67143e-06	0.00507855	0.28
9	192	0.229027	13.9013	1.02371e-05	7.42e-06	1.94286e-07	0.0049705	0	4.59429e-06	0.00507593	0.28
9	192	0.229082	13.9013	1.03857e-05	7.24857e-06	2.31429e-07	0.00497206	0	4.66857e-06	0.00507547	0.28
9	192	0.229142	13.9013	1.01314e-05	7.42e-06	2.08571e-07	0.0049709	0	4.69429e-06	0.00507641	0.28
10	192	0.236172	15.0442	1.08143e-05	8.18286e-06	2.57143e-07	0.00508573	0	4.97429e-06	0.00638498	0.31
10	192	0.236194	15.0442	1.08714e-05	8.21429e-06	2.6e-07	0.00508573	0	5.04286e-06	0.00638841	0.29
10	192	0.23624	15.0442	1.07143e-05	8.12857e-06	2.2e-07	0.00508595	1.17143e-07	5.07143e-06	0.00638649	0.29
10	192	0.236204	15.0442	1.08543e-05	8.24571e-06	2e-07	0.00508536	0	5.04e-06	0.00638639	0.29
10	192	0.236168	15.0442	1.07829e-05	8.2e-06	2.17143e-07	0.0050836	0	5.17143e-06	0.00638543	0.29
10	192	0.236207	15.0442	1.09857e-05	8.11143e-06	2.11429e-07	0.00508646	0	5.17143e-06	0.00638586	0.29
10	192	0.236043	15.0442	1.09629e-05	8.34571e-06	2.68571e-07	0.00508425	0	5.03429e-06	0.00638377	0.29
10	192	0.236308	15.0442	1.07943e-05	8.21143e-06	2.71429e-07	0.00508763	0	5.10571e-06	0.0063892	0.29
10	192	0.234506	15.0442	1.09886e-05	8.04857e-06	2.74286e-07	0.00507524	0	5.08571e-06	0.00638805	0.29
10	192	0.236145	15.0442	1.09114e-05	8.08571e-06	2.34286e-07	0.00508552	0	5.06571e-06	0.00638702	0.28
11	192	0.182604	10.2804	1.12114e-05	9.01143e-06	2.94286e-07	0.00501276	0	5.54286e-06	0.00406527	0.26
