N_THREADS	N_TRANSACTIONS	TIME	N_ABORTS	PROCESS_READ_TIME	PROCESS_WRITE_TIME	PROCESS_VALIDATION_TIME	PROCESS_OTHER_TIME	COMMIT_VALIDATION_TIME	COMMIT_OTHER_TIME	WASTED_TIME
1	192	0.290189	0	1.97886e-05	6.92857e-06	0	0.00145922	0	6.22e-06	1.00286e-06	0.36
1	192	0.29003	0	1.97943e-05	6.94e-06	0	0.00145838	0	6.21429e-06	1.02e-06	0.32
1	192	0.290052	0	1.98029e-05	6.94571e-06	0	0.00145851	0	6.19714e-06	1.00857e-06	0.34
1	192	0.290199	0	1.97714e-05	6.96e-06	0	0.00145926	0	6.21714e-06	1.00571e-06	0.34
1	192	0.290066	0	1.98114e-05	6.92e-06	0	0.00145858	0	6.19714e-06	1.02e-06	0.34
1	192	0.290067	0	1.97914e-05	6.94e-06	0	0.00145861	0	6.19143e-06	1.01429e-06	0.33
1	192	0.290099	0	1.97543e-05	6.93143e-06	0	0.00145879	0	6.19429e-06	1.01429e-06	0.33
1	192	0.290061	0	1.98029e-05	6.91429e-06	0	0.00145858	0	6.19714e-06	1.02571e-06	0.34
1	192	0.290066	0	1.97914e-05	6.94286e-06	0	0.00145857	0	6.19714e-06	1.02e-06	0.34
1	192	0.290081	0	1.98029e-05	6.93143e-06	0	0.00145868	0	6.18857e-06	1.01429e-06	0.33
2	192	0.157416	4.47761	2.156e-05	7.52857e-06	1.02857e-07	0.00136475	0	6.66e-06	0.000207603	0.22
2	192	0.15751	4.9505	2.16e-05	7.52286e-06	1.77143e-07	0.00136515	0	6.67143e-06	0.00020798	0.20
2	192	0.157518	4.9505	2.156e-05	7.51429e-06	1.62857e-07	0.00136513	0	6.67429e-06	0.000208154	0.20
2	192	0.157446	4.9505	2.16e-05	7.53143e-06	1.77143e-07	0.00136481	0	6.68e-06	0.000207614	0.21
2	192	0.157423	4.47761	2.15629e-05	7.5e-06	1.88571e-07	0.00136469	0	6.68e-06	0.00020756	0.21
2	192	0.157442	4.9505	2.154e-05	7.52286e-06	1.54286e-07	0.00136469	0	6.69143e-06	0.000207777	0.21
2	192	0.15745	4.9505	2.15143e-05	7.53714e-06	1.68571e-07	0.00136489	0	6.69429e-06	0.00020766	0.21
2	192	0.157408	4	2.15629e-05	7.50857e-06	1.02857e-07	0.00136483	1e-07	6.66571e-06	0.000207297	0.21
2	192	0.157396	4.47761	2.15771e-05	7.51714e-06	1.82857e-07	0.00136451	0	6.66e-06	0.000207489	0.21
2	192	0.157411	4.47761	2.15657e-05	7.53429e-06	1.82857e-07	0.00136458	0	6.68571e-06	0.000207506	0.21
3	192	0.133608	8.13397	2.33e-05	7.96571e-06	1.6e-07	0.00150819	0	7.27143e-06	0.000490137	0.20
3	192	0.13366	8.13397	2.33257e-05	7.97714e-06	1.68571e-07	0.00150827	0	7.24286e-06	0.000490737	0.18
3	192	0.133585	7.24638	2.33943e-05	7.94286e-06	1.57143e-07	0.00150796	0	7.25714e-06	0.000489871	0.18
3	192	0.133625	8.13397	2.34229e-05	7.93714e-06	1.74286e-07	0.00150813	0	7.27143e-06	0.000490254	0.18
3	192	0.133659	8.13397	2.33143e-05	7.97429e-06	1.45714e-07	0.00150877	0	7.24286e-06	0.000490277	0.18
3	192	0.133582	7.69231	2.334e-05	7.95143e-06	1.54286e-07	0.00150779	0	7.27429e-06	0.000490037	0.18
3	192	0.133572	6.79612	2.332e-05	7.94857e-06	1.48571e-07	0.00150817	0	7.25143e-06	0.000489766	0.18
