N_THREADS	N_TRANSACTIONS	TIME	N_ABORTS	PROCESS_READ_TIME	PROCESS_WRITE_TIME	PROCESS_VALIDATION_TIME	PROCESS_OTHER_TIME	COMMIT_VALIDATION_TIME	COMMIT_OTHER_TIME	WASTED_TIME
1	2127	16.0508	0	9.76857e-06	3.36286e-06	0	0.00175895	0	1.38286e-06	6.28571e-08
1	2127	16.0512	0	9.77714e-06	3.36e-06	0	0.00175916	0	1.38286e-06	6.28571e-08
1	2127	16.0511	0	9.76857e-06	3.36571e-06	0	0.00175912	0	1.38571e-06	6.28571e-08
1	2127	16.0509	0	9.76571e-06	3.36286e-06	0	0.001759	0	1.38286e-06	6.28571e-08
1	2127	16.0508	0	9.77143e-06	3.36571e-06	0	0.00175895	0	1.38286e-06	6.28571e-08
1	2127	16.0509	0	9.77429e-06	3.36571e-06	0	0.001759	0	1.38286e-06	6.28571e-08
1	2127	16.0508	0	9.77143e-06	3.36571e-06	0	0.00175893	0	1.38286e-06	6.28571e-08
1	2127	16.0509	0	9.77429e-06	3.36286e-06	0	0.00175901	0	1.38286e-06	6.28571e-08
1	2127	16.0507	0	9.77429e-06	3.36286e-06	0	0.00175892	0	1.38286e-06	6.28571e-08
1	2127	16.051	0	9.77429e-06	3.36e-06	0	0.00175903	0	1.38286e-06	6.28571e-08
2	2125	10.105	0.514981	1.008e-05	3.42857e-06	1.42857e-08	0.00763221	0	1.40857e-06	0.00183047
2	2125	10.105	0.514981	1.00771e-05	3.42857e-06	1.42857e-08	0.00763212	0	1.40571e-06	0.00183047
2	2125	10.105	0.514981	1.00914e-05	3.42571e-06	1.42857e-08	0.0076321	0	1.41143e-06	0.00183051
2	2125	10.105	0.514981	1.00829e-05	3.42571e-06	1.42857e-08	0.00763217	0	1.40857e-06	0.00183053
2	2125	10.1049	0.514981	1.008e-05	3.42286e-06	1.42857e-08	0.00763206	0	1.40857e-06	0.00183047
2	2125	10.1049	0.514981	1.00771e-05	3.42857e-06	1.42857e-08	0.00763213	0	1.40571e-06	0.00183047
2	2125	10.1049	0.514981	1.00829e-05	3.42857e-06	1.42857e-08	0.00763211	0	1.40571e-06	0.00183047
2	2125	10.105	0.514981	1.00743e-05	3.42571e-06	1.42857e-08	0.00763214	0	1.40857e-06	0.00183044
2	2125	10.1049	0.514981	1.00771e-05	3.43143e-06	1.42857e-08	0.00763211	0	1.41143e-06	0.00183046
2	2125	10.1048	0.514981	1.00771e-05	3.42857e-06	1.42857e-08	0.00763199	0	1.40857e-06	0.00183046
3	2044	7.58645	0.872939	1.00229e-05	3.46571e-06	1.11429e-07	0.0079777	0	1.43143e-06	0.00299311
3	2044	7.58634	0.872939	1.00257e-05	3.46571e-06	1.2e-07	0.00797766	0	1.43143e-06	0.00299304
3	2044	7.58649	0.872939	1.002e-05	3.47714e-06	6.57143e-08	0.00797779	3.71429e-08	1.43714e-06	0.00299301
3	2044	7.58633	0.872939	1.00314e-05	3.47143e-06	1.14286e-07	0.00797774	0	1.43714e-06	0.00299298
3	2044	7.5864	0.824842	1.00171e-05	3.47714e-06	1.14286e-07	0.00797775	0	1.43429e-06	0.00299301
3	2044	7.58654	0.824842	1.00057e-05	3.47143e-06	9.71429e-08	0.00797784	0	1.43714e-06	0.00299299
3	2044	7.5864	0.824842	1.00286e-05	3.46e-06	1.17143e-07	0.00797765	0	1.43714e-06	0.00299304
3	2044	7.58659	0.824842	1.00343e-05	3.46571e-06	1.05714e-07	0.00797784	0	1.43714e-06	0.0029931
3	2044	7.5863	0.824842	1.00086e-05	3.46857e-06	9.42857e-08	0.0079777	0	1.43429e-06	0.00299302
3	2044	7.58632	0.824842	1.002e-05	3.46571e-06	1.17143e-07	0.0079777	0	1.43143e-06	0.00299291
4	2037	6.81053	1.35593	1.028e-05	3.56571e-06	4.57143e-08	0.00787184	0	1.48571e-06	0.0045345
4	2037	6.81065	1.35593	1.028e-05	3.56286e-06	5.42857e-08	0.00787184	0	1.48286e-06	0.00453469
4	2037	6.81052	1.35593	1.02914e-05	3.57143e-06	4.85714e-08	0.00787173	0	1.48857e-06	0.00453472
4	2037	6.81041	1.35593	1.028e-05	3.57143e-06	5.14286e-08	0.00787168	0	1.48571e-06	0.00453459
4	2037	6.8109	1.35593	1.02771e-05	3.57714e-06	2e-08	0.00787195	0	1.48286e-06	0.00453471
4	2037	6.81038	1.35593	1.02886e-05	3.57143e-06	4.28571e-08	0.0078716	0	1.48857e-06	0.00453453
4	2037	6.81033	1.35593	1.02743e-05	3.57429e-06	4.57143e-08	0.00787169	0	1.49143e-06	0.00453463
4	2037	6.81073	1.35593	1.02914e-05	3.56571e-06	4.57143e-08	0.00787173	0	1.49143e-06	0.00453473
4	2037	6.81072	1.35593	1.02657e-05	3.57429e-06	2e-08	0.00787215	0	1.48571e-06	0.00453467
4	2037	6.81082	1.35593	1.02914e-05	3.56286e-06	5.71429e-08	0.00787192	0	1.48e-06	0.00453476
5	2053	6.36579	1.72331	1.04171e-05	3.67143e-06	1.71429e-08	0.00794825	0	1.52571e-06	0.00615245
5	2053	6.36593	1.72331	1.04029e-05	3.69143e-06	2e-08	0.00794806	0	1.51714e-06	0.00615291
5	2053	6.36625	1.72331	1.04171e-05	3.67429e-06	1.71429e-08	0.00794876	0	1.52571e-06	0.00615298
5	2053	6.36618	1.72331	1.04029e-05	3.68571e-06	2e-08	0.00794861	0	1.52286e-06	0.00615317
5	2053	6.3661	1.72331	1.04e-05	3.68286e-06	1.71429e-08	0.00794867	0	1.52e-06	0.00615299
5	2053	6.36578	1.72331	1.04e-05	3.68286e-06	2e-08	0.00794843	0	1.52857e-06	0.00615273
5	2053	6.36613	1.72331	1.04e-05	3.68286e-06	1.71429e-08	0.00794858	0	1.52571e-06	0.00615305
