N_THREADS	N_TRANSACTIONS	TIME	N_ABORTS	PROCESS_READ_TIME	PROCESS_WRITE_TIME	PROCESS_VALIDATION_TIME	PROCESS_OTHER_TIME	COMMIT_VALIDATION_TIME	COMMIT_OTHER_TIME	WASTED_TIME
1	192	6.5806	0	0.000108277	0.000101094	0	0.0339192	2.17143e-07	0.000110331	2.42857e-06
1	192	6.58059	0	0.000107403	0.00010026	0	0.0339216	2.14286e-07	0.000109646	2.45143e-06
1	192	6.57857	0	0.000106846	9.97143e-05	0	0.0339125	2.14286e-07	0.000109334	2.43429e-06
1	192	6.58029	0	0.000107777	0.00010048	0	0.0339192	2.14286e-07	0.000109843	2.43429e-06
1	192	6.58035	0	0.00010812	0.000100846	0	0.0339185	2.14286e-07	0.00011018	2.44571e-06
1	192	6.58052	0	0.000107991	0.000100846	0	0.0339196	2.14286e-07	0.000110071	2.44571e-06
1	192	6.58066	0	0.000108211	0.00010102	0	0.0339198	2.14286e-07	0.00011018	2.43714e-06
1	192	6.58056	0	0.000108057	0.000100866	0	0.0339198	2.14286e-07	0.000110029	2.45429e-06
1	192	6.57872	0	0.000106903	9.96486e-05	0	0.0339134	2.14286e-07	0.000109251	2.43714e-06
1	192	6.58046	0	0.000108014	0.000100857	0	0.0339192	2.14286e-07	0.000110091	2.42286e-06
2	192	4.42604	10.6977	0.000104814	9.78171e-05	0	0.0374142	2.17143e-07	0.000106054	0.00828927
2	192	4.42655	10.6977	0.000104929	9.78457e-05	0	0.0374189	2.17143e-07	0.000106309	0.00829043
2	192	4.42668	10.6977	0.000104914	9.78686e-05	0	0.0374187	2.2e-07	0.000106226	0.00829067
2	192	4.42634	10.6977	0.0001049	9.786e-05	0	0.0374172	2.17143e-07	0.000106269	0.00829012
2	192	4.42638	10.6977	0.000105023	9.78257e-05	0	0.037418	2.17143e-07	0.000106291	0.00828983
2	192	4.42651	10.6977	0.000104929	9.788e-05	0	0.0374182	2.14286e-07	0.000106306	0.00829028
2	192	4.42656	10.6977	0.000104894	9.786e-05	0	0.0374187	2.17143e-07	0.000106377	0.00829027
2	192	4.42682	10.6977	0.000104971	9.79029e-05	0	0.0374207	2.17143e-07	0.000106229	0.00828993
2	192	4.4265	10.6977	0.000104931	9.78543e-05	0	0.0374184	2.17143e-07	0.000106351	0.00829041
2	192	4.42658	10.6977	0.000104943	9.79429e-05	0	0.0374186	2.17143e-07	0.000106234	0.00829045
3	192	3.42302	16.1572	9.81371e-05	9.06057e-05	0	0.0362889	2.17143e-07	0.000102611	0.0164994
3	192	3.823	19.6653	0.000103009	9.56657e-05	0	0.0375744	2.17143e-07	0.000107037	0.0216406
3	192	3.42267	15.4185	9.79286e-05	9.02629e-05	0	0.036286	2.14286e-07	0.000102329	0.0164979
3	192	3.42281	16.1572	9.81629e-05	9.05057e-05	0	0.0362874	2.14286e-07	0.000102603	0.0164988
3	192	3.42281	16.1572	9.81371e-05	9.06171e-05	0	0.0362878	2.11429e-07	0.000102637	0.0164981
3	192	3.42272	16.1572	9.81e-05	9.06143e-05	0	0.0362845	2.11429e-07	0.00010256	0.0164987
