N_THREADS	N_TRANSACTIONS	TIME	N_ABORTS	PROCESS_READ_TIME	PROCESS_WRITE_TIME	PROCESS_VALIDATION_TIME	PROCESS_OTHER_TIME	COMMIT_VALIDATION_TIME	COMMIT_OTHER_TIME	WASTED_TIME
1	192	9.68864	0	0.00134299	0.0013701	0	0.0469545	2.48571e-07	0.000621157	2.44571e-06	206.14
1	192	9.64719	0	0.00133797	0.00136553	0	0.0467493	2.48571e-07	0.000619997	2.43714e-06	206.08
1	192	9.63387	0	0.0013407	0.00136827	0	0.0466735	2.51429e-07	0.000620906	2.41714e-06	206.07
2	192	118.71	10.2804	0.0013575	0.00138539	0	0.0565001	2.51429e-07	0.00063466	0.0142306	118.81
2	192	118.716	11.1111	0.00135921	0.00138643	0	0.056544	2.45714e-07	0.000634991	0.0142419	118.82
2	192	118.692	10.2804	0.00136004	0.00138743	0	0.0563287	2.48571e-07	0.000635031	0.0142092	118.79
3	192	90.913	18.9873	0.0013764	0.00140398	0	0.0605555	2.48571e-07	0.000646077	0.121308	91.02
3	192	90.9028	18.9873	0.00137608	0.00140407	0	0.0604362	2.48571e-07	0.000645706	0.121273	91.00
3	192	88.8779	14.6667	0.00139262	0.0014052	0	0.0604908	2.45714e-07	0.000645723	0.153425	88.99
4	192	80.9431	22.8916	0.00137811	0.00140741	0	0.129328	2.45714e-07	0.000643169	0.0961955	81.05
4	192	80.942	23.506	0.00137371	0.00140305	0	0.129329	2.48571e-07	0.000641869	0.0961927	81.06
4	192	80.951	24.4094	0.00137664	0.00140551	0	0.129413	2.48571e-07	0.00064258	0.0962583	81.06
5	192	71.0572	40.3727	0.00142721	0.0014572	0	0.140392	2.48571e-07	0.000665649	0.152299	71.17
5	192	71.068	53.1707	0.00142595	0.00145565	0	0.140526	2.45714e-07	0.00066526	0.152414	71.18
5	192	71.0569	44.6686	0.00142797	0.00145709	0	0.140382	2.42857e-07	0.000665503	0.1523	71.17
6	192	63.6525	59.7484	0.00143443	0.00146432	0	0.150259	2.45714e-07	0.000675389	0.183211	63.78
6	192	63.6536	65.7754	0.00143576	0.00146622	0	0.150243	2.42857e-07	0.000675909	0.183248	63.76
6	192	63.6582	75.97	0.00143381	0.00146451	0	0.150252	2.45714e-07	0.000675146	0.183415	63.77
7	192	55.6298	79.7468	0.00145185	0.00148381	0	0.219574	2.42857e-07	0.000684234	0.254292	55.74
7	192	55.6256	73.0337	0.00145338	0.00148574	0	0.219644	2.42857e-07	0.000684591	0.254157	55.74
7	192	55.5518	78.2066	0.00145725	0.00148725	0	0.219733	2.48571e-07	0.000687251	0.212642	55.66
8	192	56.4088	74.1935	0.00145132	0.00148379	0	0.228479	2.45714e-07	0.000690863	0.252673	56.55
8	192	56.4122	83.5052	0.00145173	0.00148513	0	0.228425	2.45714e-07	0.0006905	0.252922	56.53
8	192	56.4078	79.3991	0.00145224	0.00148471	0	0.228398	2.37143e-07	0.000690577	0.252727	56.52
9	192	53.0522	88.0597	0.00153805	0.00157468	0	0.303045	2.37143e-07	0.000737906	0.238008	53.21
9	192	53.0293	69.906	0.00153752	0.00157591	0	0.302935	2.4e-07	0.000740217	0.23707	53.14
9	192	53.0419	87.3016	0.00153877	0.00157506	0	0.302875	2.42857e-07	0.000741046	0.237752	53.16
10	192	53.2844	90.098	0.0015722	0.00161108	0	0.323341	2.37143e-07	0.000756283	0.304327	53.44
10	192	52.7659	89.4563	0.00157423	0.00161455	0	0.323228	2.42857e-07	0.000759811	0.370014	52.89
10	192	55.1546	86.7128	0.00157399	0.00161244	0	0.25546	2.42857e-07	0.000759049	0.198509	55.27
11	192	51.5374	92.1633	0.00163123	0.00167351	0	0.335027	2.4e-07	0.000781166	0.358083	51.65
11	192	51.5166	90.057	0.00163167	0.00167258	0	0.334742	2.37143e-07	0.000782934	0.357241	51.64
11	192	51.5278	92.0166	0.00163029	0.00167586	0	0.334836	2.4e-07	0.000785334	0.357829	51.65
12	192	54.1335	94.0959	0.00168694	0.00173508	0	0.371849	2.42857e-07	0.000815423	0.460627	54.30
12	192	52.9315	93.3495	0.00166489	0.00170937	0	0.314175	2.42857e-07	0.000812571	0.33799	53.06
12	192	52.9394	94.5655	0.00166317	0.0017087	0	0.314118	2.4e-07	0.000811877	0.338587	53.07
