N_THREADS	N_TRANSACTIONS	TIME	N_ABORTS	PROCESS_READ_TIME	PROCESS_WRITE_TIME	PROCESS_VALIDATION_TIME	PROCESS_OTHER_TIME	COMMIT_VALIDATION_TIME	COMMIT_OTHER_TIME	WASTED_TIME
1	192	0.899215	0	2.02857e-05	1.19514e-05	0	0.00460101	1.62857e-07	2.22286e-05	2.43429e-06
1	192	0.899153	0	2.02743e-05	1.19686e-05	0	0.00460078	1.62857e-07	2.21571e-05	2.42571e-06
1	192	0.899255	0	2.028e-05	1.19257e-05	0	0.00460132	1.65714e-07	2.22e-05	2.41714e-06
1	192	0.899141	0	2.02514e-05	1.19343e-05	0	0.00460073	1.62857e-07	2.22257e-05	2.41429e-06
1	192	0.899269	0	2.03171e-05	1.19457e-05	0	0.00460131	1.6e-07	2.22229e-05	2.42857e-06
1	192	0.89926	0	2.02971e-05	1.19371e-05	0	0.00460128	1.65714e-07	2.22e-05	2.44571e-06
1	192	0.899282	0	2.02771e-05	1.19543e-05	0	0.00460142	1.62857e-07	2.21971e-05	2.44571e-06
1	192	0.899284	0	2.02943e-05	1.19514e-05	0	0.00460144	1.62857e-07	2.22e-05	2.43429e-06
1	192	0.899229	0	2.02343e-05	1.19429e-05	0	0.00460119	1.65714e-07	2.22057e-05	2.44e-06
1	192	0.899201	0	2.03e-05	1.19457e-05	0	0.00460099	1.65714e-07	2.22314e-05	2.41714e-06
2	192	0.495389	19.3277	2.16629e-05	1.31257e-05	0	0.00435277	1.62857e-07	2.37971e-05	0.000701703
2	192	0.495232	17.2414	2.17714e-05	1.31686e-05	0	0.00435356	1.62857e-07	2.38171e-05	0.000699117
2	192	0.495201	16.5217	2.17143e-05	1.318e-05	0	0.00435349	1.62857e-07	2.38829e-05	0.000698897
2	192	0.495453	19.3277	2.16829e-05	1.31371e-05	0	0.00435325	1.62857e-07	2.38171e-05	0.00070192
2	192	0.495252	17.2414	2.17314e-05	1.312e-05	0	0.00435325	1.65714e-07	2.38371e-05	0.000699731
2	192	0.49528	17.2414	2.16971e-05	1.314e-05	0	0.00435356	1.6e-07	2.386e-05	0.000699703
2	192	0.495463	18.9873	2.17286e-05	1.31171e-05	0	0.00435387	1.62857e-07	2.38371e-05	0.000701274
2	192	0.495232	17.2414	2.16886e-05	1.31486e-05	0	0.00435304	1.65714e-07	2.38686e-05	0.000699697
2	192	0.495215	17.2414	2.168e-05	1.31457e-05	0	0.004353	1.62857e-07	2.38743e-05	0.000699643
2	192	0.495518	19.6653	2.17543e-05	1.31114e-05	0	0.00435358	1.6e-07	2.38343e-05	0.000702146
3	192	0.431041	18.2979	2.368e-05	1.49514e-05	0	0.00435386	1.6e-07	2.51629e-05	0.00217966
3	192	0.35382	17.9487	2.15229e-05	1.26029e-05	0	0.00407129	1.57143e-07	2.33429e-05	0.00132253
3	192	0.430934	16.1572	2.37171e-05	1.494e-05	0	0.00435307	1.6e-07	2.51286e-05	0.00217721
