N_THREADS	N_TRANSACTIONS	TIME	N_ABORTS	PROCESS_READ_TIME	PROCESS_WRITE_TIME	PROCESS_VALIDATION_TIME	PROCESS_OTHER_TIME	COMMIT_VALIDATION_TIME	COMMIT_OTHER_TIME	WASTED_TIME
1	192	0.892142	0	1.02771e-05	1.01829e-05	0	0.00459285	3.71429e-08	1.51886e-05	1.19714e-06	0.97
1	192	0.89213	0	1.02286e-05	1.01886e-05	0	0.00459277	3.71429e-08	1.52371e-05	1.21429e-06	0.94
1	192	0.892115	0	1.02257e-05	1.016e-05	0	0.00459273	3.71429e-08	1.52343e-05	1.20571e-06	0.94
1	192	0.892051	0	1.02486e-05	1.01914e-05	0	0.00459233	3.71429e-08	1.52314e-05	1.22857e-06	0.94
1	192	0.892029	0	1.02514e-05	1.02e-05	0	0.00459221	3.71429e-08	1.52286e-05	1.20857e-06	0.94
1	192	0.891992	0	1.02457e-05	1.02029e-05	0	0.00459203	3.71429e-08	1.52057e-05	1.21143e-06	0.94
1	192	0.892063	0	1.02343e-05	1.02029e-05	0	0.00459241	3.71429e-08	1.522e-05	1.21429e-06	0.94
1	192	0.892016	0	1.02543e-05	1.02229e-05	0	0.00459213	3.71429e-08	1.522e-05	1.20857e-06	0.94
1	192	0.892066	0	1.028e-05	1.01971e-05	0	0.00459239	3.71429e-08	1.52286e-05	1.19714e-06	0.94
1	192	0.892031	0	1.02486e-05	1.01971e-05	0	0.00459226	3.71429e-08	1.52057e-05	1.22e-06	0.94
2	192	0.493538	2.53807	1.32514e-05	1.32657e-05	0	0.00430937	3.14286e-08	1.79514e-05	0.000730943	0.56
2	192	0.493467	2.53807	1.32457e-05	1.33143e-05	0	0.00430884	3.14286e-08	1.80229e-05	0.000730749	0.53
2	192	0.493518	2.53807	1.32314e-05	1.32886e-05	0	0.00430947	3.14286e-08	1.79657e-05	0.000730909	0.54
2	192	0.493469	2.53807	1.324e-05	1.32686e-05	0	0.00430899	3.42857e-08	1.79686e-05	0.00073096	0.54
2	192	0.493496	2.53807	1.32514e-05	1.32886e-05	0	0.00430907	3.42857e-08	1.80057e-05	0.000730783	0.54
2	192	0.493541	2.53807	1.32e-05	1.33057e-05	0	0.00430919	3.14286e-08	1.79686e-05	0.00073088	0.54
2	192	0.493505	2.53807	1.32371e-05	1.32943e-05	0	0.00430906	3.71429e-08	1.794e-05	0.000730911	0.54
2	192	0.493545	2.53807	1.322e-05	1.32543e-05	0	0.00430931	3.42857e-08	1.79543e-05	0.000730954	0.54
2	192	0.493577	2.53807	1.32029e-05	1.33114e-05	0	0.0043092	3.42857e-08	1.79571e-05	0.000731054	0.54
2	192	0.493475	2.53807	1.32514e-05	1.32829e-05	0	0.00430879	3.71429e-08	1.80029e-05	0.00073092	0.54
3	192	0.365411	4.9505	1.15171e-05	1.15543e-05	0	0.004329	3.14286e-08	1.69886e-05	0.00114567	0.44
3	192	0.351971	5.41872	1.12657e-05	1.12514e-05	0	0.00416739	3.14286e-08	1.65829e-05	0.00123568	0.41
3	192	0.365453	4.9505	1.156e-05	1.15886e-05	0	0.00432959	3.42857e-08	1.69771e-05	0.00114588	0.41
3	192	0.352038	5.41872	1.12943e-05	1.12114e-05	0	0.00416792	3.14286e-08	1.65371e-05	0.0012358	0.41
3	192	0.352003	5.41872	1.12571e-05	1.12371e-05	0	0.00416802	3.14286e-08	1.658e-05	0.00123557	0.40
3	192	0.365477	4.9505	1.16029e-05	1.15429e-05	0	0.00432965	3.42857e-08	1.69829e-05	0.00114572	0.41
3	192	0.352035	5.41872	1.13171e-05	1.122e-05	0	0.00416782	3.14286e-08	1.656e-05	0.00123581	0.41
3	192	0.365492	4.9505	1.15743e-05	1.15714e-05	0	0.00433003	3.42857e-08	1.696e-05	0.00114594	0.41
3	192	0.36542	4.9505	1.15457e-05	1.15743e-05	0	0.00432938	3.14286e-08	1.69771e-05	0.00114562	0.42
3	192	0.352002	5.41872	1.128e-05	1.12e-05	0	0.00416784	3.14286e-08	1.65686e-05	0.0012358	0.40
4	192	0.295978	4.47761	1.25e-05	1.25686e-05	0	0.00391733	3.14286e-08	1.792e-05	0.00178293	0.37
4	192	0.29601	4.47761	1.25257e-05	1.25657e-05	0	0.00391725	3.14286e-08	1.79057e-05	0.00178292	0.34
4	192	0.29602	4.47761	1.252e-05	1.26057e-05	0	0.00391726	3.14286e-08	1.78943e-05	0.00178301	0.35
4	192	0.296016	4.47761	1.25286e-05	1.25829e-05	0	0.00391732	3.14286e-08	1.79229e-05	0.0017831	0.34
4	192	0.296016	4.47761	1.25657e-05	1.25286e-05	0	0.00391696	3.14286e-08	1.79086e-05	0.00178286	0.35
4	192	0.296011	4.47761	1.25657e-05	1.25743e-05	0	0.00391771	3.14286e-08	1.79257e-05	0.00178283	0.35
4	192	0.295985	4.47761	1.252e-05	1.25657e-05	0	0.00391684	3.14286e-08	1.79114e-05	0.00178299	0.35
4	192	0.296043	4.47761	1.26029e-05	1.25543e-05	0	0.00391725	3.14286e-08	1.79371e-05	0.00178294	0.34
4	192	0.295988	4.47761	1.25314e-05	1.25457e-05	0	0.00391779	3.14286e-08	1.792e-05	0.00178313	0.35
4	192	0.295967	4.47761	1.25314e-05	1.25914e-05	0	0.0039169	3.14286e-08	1.78886e-05	0.001783	0.34
5	192	0.247475	7.69231	1.33686e-05	1.332e-05	0	0.00369066	2.85714e-08	1.90886e-05	0.002488	0.32
5	192	0.247444	7.69231	1.34429e-05	1.33914e-05	0	0.00369096	2.85714e-08	1.90343e-05	0.00248771	0.30
5	192	0.247456	7.69231	1.33829e-05	1.33857e-05	0	0.00369522	2.85714e-08	1.908e-05	0.00248798	0.30
5	192	0.24749	7.69231	1.33371e-05	1.33e-05	0	0.003691	2.85714e-08	1.90571e-05	0.0024885	0.30
5	192	0.247498	7.69231	1.33943e-05	1.33257e-05	0	0.00369157	2.85714e-08	1.90914e-05	0.00248834	0.29
5	192	0.247406	7.69231	1.33657e-05	1.33371e-05	0	0.00369034	2.85714e-08	1.90914e-05	0.00248776	0.29
5	192	0.247495	7.69231	1.33629e-05	1.334e-05	0	0.00369513	2.85714e-08	1.902e-05	0.00248821	0.30
5	192	0.247547	7.69231	1.33486e-05	1.33429e-05	0	0.00369184	2.85714e-08	1.90343e-05	0.00248851	0.30
5	192	0.247425	7.69231	1.33857e-05	1.33629e-05	0	0.00369073	2.85714e-08	1.91057e-05	0.00248771	0.29
