N_THREADS	N_TRANSACTIONS	TIME	N_ABORTS	PROCESS_READ_TIME	PROCESS_WRITE_TIME	PROCESS_VALIDATION_TIME	PROCESS_OTHER_TIME	COMMIT_VALIDATION_TIME	COMMIT_OTHER_TIME	WASTED_TIME
1	192	1.99067	0	0.0001069	9.96914e-05	0	0.0100253	2.14286e-07	0.000109406	2.46571e-06	2.07
1	192	1.98939	0	0.000108034	0.000100783	0	0.0100158	2.14286e-07	0.00011006	2.47143e-06	2.05
1	192	1.98922	0	0.00010808	0.000100797	0	0.0100148	2.14286e-07	0.000110066	2.47429e-06	2.05
1	192	1.98895	0	0.000108331	0.00010092	0	0.0100131	2.14286e-07	0.000110071	2.47429e-06	2.05
1	192	1.98921	0	0.000108289	0.000100803	0	0.0100146	2.14286e-07	0.000110069	2.45714e-06	2.05
1	192	1.98897	0	0.000108271	0.000100906	0	0.0100132	2.17143e-07	0.000110131	2.44286e-06	2.06
1	192	1.98959	0	0.000108063	0.000100743	0	0.0100169	2.14286e-07	0.000110023	2.46286e-06	2.05
1	192	1.98998	0	0.000107663	0.000100483	0	0.0100196	2.14286e-07	0.00010994	2.46571e-06	2.05
1	192	1.98979	0	0.000108037	0.000100743	0	0.010018	2.14286e-07	0.000109994	2.47143e-06	2.05
1	192	1.98938	0	0.000108077	0.000100831	0	0.0100157	2.17143e-07	0.000109994	2.46571e-06	2.05
2	192	1.41014	11.5207	0.000106943	9.96714e-05	0	0.01138	2.11429e-07	0.000108511	0.00294124	1.49
2	192	1.41004	11.5207	0.00010682	9.97686e-05	0	0.0113788	2.17143e-07	0.000108503	0.00294109	1.47
2	192	1.40988	11.5207	0.000106929	9.97457e-05	0	0.0113774	2.17143e-07	0.000108463	0.00294073	1.47
2	192	1.4102	11.5207	0.000106851	9.98029e-05	0	0.0113797	2.17143e-07	0.00010846	0.00294147	1.48
2	192	1.40986	11.5207	0.000106849	9.97857e-05	0	0.0113785	2.17143e-07	0.00010846	0.00294056	1.48
2	192	1.41018	11.5207	0.000107026	9.98486e-05	0	0.0113794	2.17143e-07	0.000108534	0.00294101	1.47
2	192	1.40998	11.5207	0.000106871	9.984e-05	0	0.0113791	2.14286e-07	0.000108486	0.00294074	1.47
2	192	1.41012	11.5207	0.00010694	9.97686e-05	0	0.0113799	2.17143e-07	0.00010844	0.00294129	1.47
2	192	1.41005	11.5207	0.0001069	9.97543e-05	0	0.0113785	2.17143e-07	0.00010844	0.00294164	1.47
2	192	1.40993	11.5207	0.000106903	9.97943e-05	0	0.0113784	2.14286e-07	0.000108489	0.00294063	1.48
3	192	1.11833	16.5217	0.000100814	9.248e-05	0	0.011606	2.08571e-07	0.000104146	0.00548244	1.19
3	192	1.11888	18.9873	0.000100714	9.25057e-05	0	0.0116087	2.08571e-07	0.000104403	0.00548693	1.19
3	192	1.11849	16.5217	0.000100749	9.24857e-05	0	0.0116081	2.11429e-07	0.000104406	0.00548305	1.18
3	192	1.11893	22.2672	0.000100766	9.25743e-05	0	0.0116063	2.11429e-07	0.000104446	0.00549052	1.19
3	192	1.11841	15.7895	0.000100657	9.25629e-05	0	0.011607	2.17143e-07	0.000104426	0.00548253	1.19
3	192	1.11829	15.7895	0.000100723	9.25771e-05	0	0.0116054	2.11429e-07	0.00010432	0.00548235	1.19
3	192	1.11917	23.8095	0.000100791	9.238e-05	0	0.0116074	2.11429e-07	0.000104357	0.0054905	1.19
3	192	1.11869	18.9873	0.000100746	9.248e-05	0	0.0116059	2.08571e-07	0.000104389	0.00548518	1.19
3	192	1.11841	16.5217	0.000100726	9.25543e-05	0	0.0116059	2.08571e-07	0.000104486	0.00548307	1.19
3	192	1.11854	15.7895	0.000100686	9.25229e-05	0	0.011608	2.14286e-07	0.000104446	0.00548305	1.19
4	192	1.06516	22.5806	0.000120694	0.000112069	0	0.0132514	2.17143e-07	0.000125329	0.00847165	1.14
4	192	1.06234	25.5814	0.000122083	0.000112629	0	0.0132312	2.14286e-07	0.000125726	0.00840428	1.13
4	192	1.08831	27.8195	0.000121326	0.000112774	0	0.0131992	2.17143e-07	0.000125894	0.00898081	1.16
4	192	1.06542	25	0.000120729	0.00011226	0	0.0132507	2.17143e-07	0.000125543	0.00847493	1.15
4	192	1.0619	21.9512	0.000121814	0.000112837	0	0.0132409	2.08571e-07	0.000125666	0.00839642	1.13
4	192	1.06267	31.1828	0.0001215	0.000112457	0	0.0132296	2.14286e-07	0.000125689	0.00841351	1.14
4	192	1.06194	25.8687	0.000122609	0.000112751	0	0.0132419	2.14286e-07	0.000125669	0.00840235	1.12
4	192	1.06219	27.5472	0.000122214	0.00011278	0	0.0132397	2.17143e-07	0.000125663	0.00840673	1.13
4	192	1.08057	26.4368	0.000120669	0.000112203	0	0.013283	2.11429e-07	0.000125346	0.00873248	1.16
4	192	1.06537	23.2	0.000120894	0.000112294	0	0.0132546	2.17143e-07	0.000125291	0.00847385	1.14
5	192	1.02011	42.515	0.000124691	0.000115166	0	0.0156925	2.11429e-07	0.0001307	0.010252	1.08
5	192	1.03831	40.7407	0.000144366	0.000135449	0	0.0142099	2.17143e-07	0.000148871	0.0121645	1.11
5	192	1.0395	47.6839	0.000144006	0.00013536	0	0.0142137	2.14286e-07	0.000148837	0.0121741	1.10
5	192	0.929612	41.2844	0.000125303	0.000116057	0	0.0146629	2.11429e-07	0.000132654	0.00895919	1.00
5	192	1.04137	43.695	0.000143769	0.00013524	0	0.0142008	2.2e-07	0.000148143	0.0122229	1.11
5	192	1.02214	37.8641	0.000127206	0.000117954	0	0.0152453	2.11429e-07	0.000134134	0.010754	1.09
5	192	1.09439	55.4524	0.000135471	0.000126423	0	0.0151074	2.11429e-07	0.000142003	0.0127927	1.16
5	192	1.02009	37.8641	0.00012466	0.000115517	0	0.0156935	2.11429e-07	0.0001314	0.0102432	1.09
5	192	1.03932	48.8	0.00014378	0.000134997	0	0.0142196	2.14286e-07	0.000148549	0.0121789	1.11
5	192	1.03884	45.2991	0.000143786	0.000135206	0	0.0142192	2.14286e-07	0.000148277	0.0121677	1.09
6	192	1.14272	44.186	0.00016362	0.000153549	0	0.0173532	2.08571e-07	0.000169943	0.0174198	1.21
6	192	1.20942	53.2847	0.000158697	0.000149117	0	0.0173368	2.08571e-07	0.00016468	0.019124	1.28
6	192	1.22823	73.1469	0.000161617	0.000151877	0	0.0169385	2.11429e-07	0.000170991	0.020488	1.29
6	192	1.20798	50.3876	0.000157426	0.000147731	0	0.0173441	2.08571e-07	0.000164414	0.0192075	1.27
6	192	1.22417	68.4211	0.000167066	0.000157746	0	0.0174291	2.08571e-07	0.000174223	0.0200729	1.30
6	192	1.22015	53.0562	0.000165063	0.000155083	0	0.017539	2.08571e-07	0.000173303	0.0197466	1.29
6	192	1.2114	64.7706	0.000159089	0.000149177	0	0.0173438	2.08571e-07	0.000164457	0.0191842	1.29
6	192	1.22301	65.0273	0.000167323	0.00015738	0	0.0174353	2.11429e-07	0.000174914	0.0200353	1.29
6	192	1.21101	62.6459	0.000159537	0.000149129	0	0.0173297	2.11429e-07	0.000164626	0.0191997	1.28
6	192	1.15849	62.7184	0.000143577	0.000133051	0	0.0163062	2.08571e-07	0.000155123	0.0190607	1.23
7	192	1.20252	84.6768	0.000188166	0.00017686	0	0.0200499	2.05714e-07	0.000198037	0.022665	1.27
7	192	1.26934	74.1588	0.000185954	0.000174086	0	0.0210574	2.05714e-07	0.000197737	0.023996	1.34
7	192	1.31043	76.03	0.000179657	0.000167874	0	0.0198966	2.08571e-07	0.000191754	0.0266648	1.38
7	192	1.24132	69.906	0.000168654	0.000156994	0	0.0204679	2.08571e-07	0.000180889	0.0236077	1.31
7	192	1.29594	68.1063	0.000162877	0.0001508	0	0.0203064	2.08571e-07	0.000175646	0.0255342	1.37
7	192	1.40377	81.8182	0.000198706	0.000186037	0	0.0203791	2.08571e-07	0.000205714	0.029204	1.47
7	192	1.26556	78.0069	0.000165694	0.000154	0	0.0208546	2.11429e-07	0.00017934	0.0238527	1.34
7	192	1.28788	79.4433	0.00016758	0.000155791	0	0.0208648	2.05714e-07	0.000178669	0.0245523	1.36
7	192	1.20593	68.6786	0.000183614	0.000171226	0	0.0205553	2.05714e-07	0.00019724	0.0220365	1.28
7	192	1.34212	79.3326	0.000186563	0.000174971	0	0.0204705	2.02857e-07	0.000193283	0.0272072	1.41
8	192	1.27338	75.6036	0.000186643	0.00017362	0	0.0230479	2.05714e-07	0.000199346	0.0284173	1.35
8	192	1.40704	87.5406	0.000216506	0.000205214	0	0.0233117	2.08571e-07	0.00022832	0.0333163	1.48
8	192	1.40007	81.8009	0.000217409	0.000205914	0	0.0233426	2.14286e-07	0.000230066	0.0329891	1.47
8	192	1.34907	80.2266	0.000216246	0.000201103	0	0.0231691	2.05714e-07	0.00022392	0.0309357	1.42
8	192	1.3915	79.3326	0.000208506	0.000195797	0	0.0230221	2.11429e-07	0.000221597	0.0328553	1.46
8	192	1.40896	81.1949	0.000216854	0.000205231	0	0.0233575	2.11429e-07	0.000228171	0.0332656	1.48
8	192	1.25458	85.9031	0.00022426	0.000211069	0	0.0213806	2.02857e-07	0.000226051	0.0298293	1.32
8	192	1.27798	86.1071	0.000185963	0.000173569	0	0.0231012	2.08571e-07	0.000200026	0.0284853	1.35
8	192	1.26529	83.6873	0.000186257	0.000172511	0	0.022885	2.11429e-07	0.000198451	0.0281525	1.33
8	192	1.38208	85.0234	0.000209374	0.000197266	0	0.0222322	2.08571e-07	0.000219589	0.033709	1.45
