N_THREADS	N_TRANSACTIONS	TIME	N_ABORTS	PROCESS_READ_TIME	PROCESS_WRITE_TIME	PROCESS_VALIDATION_TIME	PROCESS_OTHER_TIME	COMMIT_VALIDATION_TIME	COMMIT_OTHER_TIME	WASTED_TIME
1	192	9.13478	0	0.000216594	0.000747946	0	0.0463414	2.48571e-07	9.82914e-05	2.39143e-06	205.57
1	192	9.22121	0	0.000216563	0.000748429	0	0.0467913	2.51429e-07	9.794e-05	2.41429e-06	205.66
1	192	9.19549	0	0.000216614	0.000748269	0	0.0466571	2.51429e-07	9.81029e-05	2.41429e-06	205.64
2	192	118.507	4.9505	0.000216043	0.00076038	0	0.0567777	2.51429e-07	9.96314e-05	0.0142096	118.60
2	192	118.47	8.57143	0.000216077	0.00075976	0	0.0564299	2.51429e-07	9.97857e-05	0.0141715	118.57
2	192	118.456	4.9505	0.000216029	0.000760037	0	0.0563022	2.45714e-07	9.96829e-05	0.0141521	118.55
3	192	90.7743	15.4185	0.000216734	0.000772023	0	0.060802	2.48571e-07	0.000101694	0.121224	90.88
3	192	96.0439	16.8831	0.000212737	0.000767166	0	0.0598456	2.48571e-07	0.00010164	0.0665182	96.14
3	192	90.7457	15.4185	0.000216597	0.000772154	0	0.0604532	2.45714e-07	0.000101674	0.121126	90.84
4	192	80.7972	22.2672	0.000222563	0.000780669	0	0.129247	2.42857e-07	0.00010304	0.0959196	80.91
4	192	80.7996	17.2414	0.000222654	0.000780266	0	0.129277	2.45714e-07	0.000103031	0.0959231	80.91
4	192	80.7874	26.4368	0.00022256	0.000779569	0	0.129123	2.45714e-07	0.000103026	0.0958563	80.89
5	192	70.9739	23.8095	0.000226671	0.000802211	0	0.140409	2.45714e-07	0.000106406	0.151999	71.10
5	192	70.9758	25.5814	0.000226603	0.000802543	0	0.140462	2.48571e-07	0.000106294	0.152026	71.08
5	192	70.9677	25.8687	0.000226657	0.000801797	0	0.140339	2.45714e-07	0.000106286	0.151964	71.07
6	192	63.5536	50	0.000228249	0.000814009	0	0.150528	2.48571e-07	0.00010868	0.170145	63.69
6	192	63.5582	34.471	0.000228023	0.000813654	0	0.150622	2.4e-07	0.00010846	0.170129	63.66
6	192	63.5391	28.0899	0.00022816	0.000814169	0	0.150349	2.45714e-07	0.000108689	0.169948	63.64
7	192	55.4502	55.9633	0.000237177	0.000828417	0	0.219466	2.45714e-07	0.000111537	0.211595	55.56
7	192	55.4554	38.4615	0.000236691	0.000829526	0	0.219594	2.37143e-07	0.000111694	0.21162	55.56
7	192	55.4611	69.6682	0.000237291	0.000828629	0	0.219601	2.4e-07	0.000111654	0.21182	55.57
8	192	56.309	66.9535	0.000242226	0.000837823	0	0.228216	2.42857e-07	0.000114314	0.252097	56.42
8	192	56.3053	41.4634	0.000242086	0.000838674	0	0.228222	2.37143e-07	0.000114609	0.251919	56.42
8	192	56.3141	76.9784	0.0002421	0.000838446	0	0.228231	2.45714e-07	0.00011396	0.252276	56.43
9	192	56.5963	78.2805	0.000257406	0.000891851	0	0.237663	2.4e-07	0.000121746	0.329779	56.74
9	192	56.5898	76.6707	0.00025724	0.000889077	0	0.23759	2.37143e-07	0.0001219	0.329584	56.70
9	192	56.5956	81.0837	0.000258194	0.000890229	0	0.237588	2.4e-07	0.000121891	0.329773	56.71
10	192	51.6806	83.8384	0.000262637	0.000914563	0	0.321393	2.45714e-07	0.000127429	0.31301	51.80
10	192	51.6931	86.097	0.000262394	0.000918346	0	0.321564	2.37143e-07	0.00012722	0.31333	51.81
10	192	51.6829	82.9333	0.000262263	0.000916554	0	0.321476	2.4e-07	0.000127186	0.313009	51.80
11	192	48.9138	88.0967	0.000278554	0.000946823	0	0.398467	2.37143e-07	0.000132706	0.323899	49.07
11	192	48.9089	84.87	0.000277654	0.000949286	0	0.398478	2.4e-07	0.000132369	0.32363	49.03
11	192	48.9283	91.601	0.00027868	0.000955163	0	0.398462	2.34286e-07	0.000133554	0.324617	49.05
12	192	52.7967	90.184	0.000287126	0.000975774	0	0.313666	2.42857e-07	0.000138109	0.335372	52.95
12	192	52.8005	90.8658	0.000286543	0.000974589	0	0.313641	2.4e-07	0.000138154	0.335552	52.92
12	192	52.8091	93.0233	0.000286929	0.000973406	0	0.313584	2.4e-07	0.000138171	0.336094	52.93
