N_THREADS	N_TRANSACTIONS	TIME	N_ABORTS	PROCESS_READ_TIME	PROCESS_WRITE_TIME	PROCESS_VALIDATION_TIME	PROCESS_OTHER_TIME	COMMIT_VALIDATION_TIME	COMMIT_OTHER_TIME	WASTED_TIME
1	192	0.896476	0	1.37971e-05	1.59343e-05	0	0.00460101	1.6e-07	1.05143e-05	2.42857e-06
1	192	0.896459	0	1.37943e-05	1.59286e-05	0	0.0046009	1.62857e-07	1.05429e-05	2.42857e-06
1	192	0.896505	0	1.38086e-05	1.59257e-05	0	0.00460112	1.62857e-07	1.05314e-05	2.41714e-06
1	192	0.896571	0	1.38086e-05	1.59514e-05	0	0.00460145	1.62857e-07	1.04914e-05	2.44286e-06
1	192	0.896623	0	1.37743e-05	1.58886e-05	0	0.00460185	1.62857e-07	1.04943e-05	2.43143e-06
1	192	0.896389	0	1.38086e-05	1.58971e-05	0	0.00460054	1.62857e-07	1.05057e-05	2.43429e-06
1	192	0.896695	0	1.38286e-05	1.59057e-05	0	0.00460213	1.62857e-07	1.05114e-05	2.41714e-06
1	192	0.896617	0	1.38114e-05	1.592e-05	0	0.00460173	1.62857e-07	1.04857e-05	2.42e-06
1	192	0.896597	0	1.38229e-05	1.58886e-05	0	0.00460164	1.62857e-07	1.04943e-05	2.42e-06
1	192	0.896601	0	1.38314e-05	1.59229e-05	0	0.00460162	1.6e-07	1.04943e-05	2.43429e-06
2	192	0.493982	8.13397	1.454e-05	1.73429e-05	0	0.00436458	1.62857e-07	1.10114e-05	0.000691017
2	192	0.494183	6.34146	1.45429e-05	1.73429e-05	0	0.00436776	1.62857e-07	1.10171e-05	0.000689843
2	192	0.494032	7.69231	1.45143e-05	1.73514e-05	0	0.0043651	1.62857e-07	1.10229e-05	0.000690911
2	192	0.493788	4.47761	1.45e-05	1.73971e-05	0	0.00436479	1.6e-07	1.10371e-05	0.000688709
2	192	0.49426	11.1111	1.45286e-05	1.73743e-05	0	0.00436521	1.62857e-07	1.10143e-05	0.000693254
2	192	0.493878	5.41872	1.45371e-05	1.73657e-05	0	0.00436518	1.65714e-07	1.10029e-05	0.000689257
2	192	0.493915	6.34146	1.45257e-05	1.736e-05	0	0.00436469	1.62857e-07	1.10143e-05	0.000690149
2	192	0.494042	7.24638	1.45114e-05	1.73486e-05	0	0.00436568	1.6e-07	1.10171e-05	0.000690506
2	192	0.493874	6.34146	1.45171e-05	1.73686e-05	0	0.00436457	1.6e-07	1.10343e-05	0.000689886
2	192	0.49436	11.9266	1.44829e-05	1.73829e-05	0	0.0043652	1.62857e-07	1.10171e-05	0.000694309
3	192	0.352336	10.2804	1.47314e-05	1.66743e-05	0	0.00406889	1.6e-07	1.11229e-05	0.00131617
3	192	0.35259	14.6667	1.47086e-05	1.66914e-05	0	0.00406976	1.54286e-07	1.11371e-05	0.00131987
3	192	0.352529	12.3288	1.47114e-05	1.66629e-05	0	0.0040697	1.6e-07	1.11143e-05	0.00131871
3	192	0.352518	13.1222	1.47057e-05	1.66457e-05	0	0.00406962	1.54286e-07	1.11371e-05	0.00131843
3	192	0.35245	11.1111	1.47229e-05	1.66371e-05	0	0.00406999	1.6e-07	1.11e-05	0.00131738
3	192	0.352382	11.9266	1.46714e-05	1.66686e-05	0	0.00406828	1.57143e-07	1.10714e-05	0.00131814
3	192	0.352614	15.4185	1.47543e-05	1.666e-05	0	0.00406963	1.62857e-07	1.11029e-05	0.00132038
3	192	0.352878	16.5217	1.47143e-05	1.668e-05	0	0.00407054	1.6e-07	1.11343e-05	0.00132196
3	192	0.352902	16.8831	1.478e-05	1.668e-05	0	0.00407017	1.57143e-07	1.11343e-05	0.00132226
3	192	0.352545	12.3288	1.46571e-05	1.66686e-05	0	0.00406973	1.57143e-07	1.11286e-05	0.00131874
4	192	0.302804	17.5966	1.58829e-05	1.95343e-05	0	0.00363099	1.6e-07	1.19629e-05	0.0025041
4	192	0.30308	23.506	1.59543e-05	1.95486e-05	0	0.00363223	1.6e-07	1.19571e-05	0.00250911
4	192	0.302796	17.5966	1.59257e-05	1.952e-05	0	0.00363111	1.6e-07	1.192e-05	0.00250464
4	192	0.303647	30.9353	1.59343e-05	1.96829e-05	0	0.00363302	1.6e-07	1.19457e-05	0.00251929
4	192	0.303111	25	1.59057e-05	1.954e-05	0	0.00363275	1.62857e-07	1.18771e-05	0.00251113
4	192	0.303253	25.5814	1.59429e-05	1.95771e-05	0	0.00363244	1.6e-07	1.19086e-05	0.00251254
4	192	0.302859	18.9873	1.59029e-05	1.94943e-05	0	0.00363108	1.62857e-07	1.192e-05	0.00250546
4	192	0.302961	21.3115	1.58743e-05	1.95286e-05	0	0.00363191	1.6e-07	1.18629e-05	0.00250751
4	192	0.303061	22.5806	1.59629e-05	1.95029e-05	0	0.00363346	1.62857e-07	1.18714e-05	0.00250925
4	192	0.302733	17.2414	1.59e-05	1.95657e-05	0	0.00363109	1.62857e-07	1.18943e-05	0.00250388
5	192	0.250035	28.6245	1.67057e-05	2.00943e-05	0	0.00376425	1.57143e-07	1.23829e-05	0.00254225
5	192	0.251121	40.1869	1.65771e-05	2.004e-05	0	0.0037624	1.62857e-07	1.24857e-05	0.00256875
5	192	0.25024	27.5472	1.67029e-05	2.006e-05	0	0.00376311	1.6e-07	1.24543e-05	0.00253974
5	192	0.249963	25.5814	1.66629e-05	2.02029e-05	0	0.00376045	1.6e-07	1.24971e-05	0.00253784
