N_THREADS	N_TRANSACTIONS	TIME	N_ABORTS	PROCESS_READ_TIME	PROCESS_WRITE_TIME	PROCESS_VALIDATION_TIME	PROCESS_OTHER_TIME	COMMIT_VALIDATION_TIME	COMMIT_OTHER_TIME	WASTED_TIME
1	192	0.889697	0	5.10571e-06	1.32229e-05	0	0.00459211	3.71429e-08	5.32e-06	1.20571e-06	0.97
1	192	0.889846	0	5.12571e-06	1.32229e-05	0	0.00459283	3.42857e-08	5.34571e-06	1.22e-06	0.94
1	192	0.889782	0	5.11714e-06	1.32057e-05	0	0.00459252	3.71429e-08	5.35143e-06	1.22286e-06	0.93
1	192	0.889734	0	5.11143e-06	1.32429e-05	0	0.00459223	3.71429e-08	5.36286e-06	1.19714e-06	0.93
1	192	0.889831	0	5.12571e-06	1.32229e-05	0	0.00459273	3.71429e-08	5.35429e-06	1.20857e-06	0.94
1	192	0.889763	0	5.1e-06	1.32114e-05	0	0.00459242	3.71429e-08	5.35429e-06	1.21714e-06	0.93
1	192	0.889834	0	5.10571e-06	1.32114e-05	0	0.00459281	3.71429e-08	5.32286e-06	1.22571e-06	0.93
1	192	0.889783	0	5.12e-06	1.32514e-05	0	0.00459247	3.71429e-08	5.34857e-06	1.21429e-06	0.94
1	192	0.889953	0	5.13429e-06	1.32371e-05	0	0.00459337	3.71429e-08	5.34857e-06	1.20571e-06	0.94
1	192	0.889834	0	5.14286e-06	1.32229e-05	0	0.00459276	3.42857e-08	5.34e-06	1.21143e-06	0.93
2	192	0.491628	2.53807	5.86857e-06	1.602e-05	0	0.00430859	3.71429e-08	5.87143e-06	0.000730794	0.56
2	192	0.491691	2.53807	5.86e-06	1.60286e-05	0	0.00430894	3.14286e-08	5.9e-06	0.000730803	0.54
2	192	0.491751	2.53807	5.85143e-06	1.60657e-05	0	0.00430984	3.42857e-08	5.88857e-06	0.000730837	0.54
2	192	0.491775	2.53807	5.84571e-06	1.60629e-05	0	0.00430981	3.14286e-08	5.89429e-06	0.000730986	0.54
2	192	0.491754	2.53807	5.84857e-06	1.606e-05	0	0.00430972	3.71429e-08	5.87429e-06	0.000730889	0.54
2	192	0.491798	2.53807	5.88571e-06	1.60686e-05	0	0.00431015	3.14286e-08	5.88286e-06	0.000730909	0.55
2	192	0.491637	2.53807	5.85143e-06	1.60257e-05	0	0.0043089	3.71429e-08	5.88857e-06	0.00073084	0.54
2	192	0.491776	2.53807	5.87143e-06	1.60286e-05	0	0.00430979	3.71429e-08	5.86571e-06	0.000730891	0.54
2	192	0.491711	2.53807	5.85143e-06	1.60257e-05	0	0.00430935	3.42857e-08	5.88286e-06	0.000730929	0.54
2	192	0.491727	2.53807	5.85714e-06	1.602e-05	0	0.00430976	3.14286e-08	5.86571e-06	0.000730826	0.54
3	192	0.364827	4.9505	5.66286e-06	1.48343e-05	0	0.00432973	3.42857e-08	5.81714e-06	0.00114561	0.43
3	192	0.364905	4.9505	5.69429e-06	1.48314e-05	0	0.00433025	3.42857e-08	5.8e-06	0.00114584	0.42
3	192	0.364946	4.9505	5.67714e-06	1.48543e-05	0	0.00433083	3.42857e-08	5.82e-06	0.00114592	0.42
3	192	0.364792	4.9505	5.70286e-06	1.48343e-05	0	0.0043293	3.14286e-08	5.81143e-06	0.00114569	0.42
3	192	0.364779	4.9505	5.66857e-06	1.48629e-05	0	0.0043291	3.42857e-08	5.83143e-06	0.00114539	0.41
3	192	0.364734	4.9505	5.68857e-06	1.48457e-05	0	0.00432912	3.42857e-08	5.78571e-06	0.00114532	0.42
3	192	0.364889	4.9505	5.69429e-06	1.48829e-05	0	0.00433063	3.42857e-08	5.79429e-06	0.00114593	0.42
3	192	0.364861	4.9505	5.69429e-06	1.48371e-05	0	0.00433055	3.42857e-08	5.8e-06	0.00114572	0.42
3	192	0.364859	4.9505	5.65429e-06	1.48286e-05	0	0.00432984	3.42857e-08	5.81143e-06	0.00114571	0.42
3	192	0.364813	4.9505	5.66857e-06	1.48743e-05	0	0.0043291	3.42857e-08	5.82857e-06	0.00114551	0.42
4	192	0.295595	4.47761	5.93429e-06	1.57829e-05	0	0.0039165	3.14286e-08	6.04857e-06	0.00178206	0.37
4	192	0.295652	4.47761	5.91143e-06	1.58543e-05	0	0.00391738	3.14286e-08	6.05429e-06	0.00178239	0.35
4	192	0.295583	4.47761	5.92571e-06	1.582e-05	0	0.00391651	3.14286e-08	6.05714e-06	0.0017819	0.34
4	192	0.295633	4.47761	5.97143e-06	1.57771e-05	0	0.00391696	3.14286e-08	6.06571e-06	0.0017822	0.34
4	192	0.295647	4.47761	5.93143e-06	1.57657e-05	0	0.00391751	3.14286e-08	6.05714e-06	0.00178213	0.34
4	192	0.295605	4.47761	5.97714e-06	1.576e-05	0	0.00391737	3.14286e-08	6.06857e-06	0.00178171	0.34
4	192	0.295596	4.47761	5.92286e-06	1.57829e-05	0	0.00391659	3.14286e-08	6.05143e-06	0.00178205	0.35
4	192	0.295643	4.47761	5.95714e-06	1.57829e-05	0	0.00391733	3.14286e-08	6.02286e-06	0.0017824	0.34
4	192	0.29561	4.47761	5.94857e-06	1.58143e-05	0	0.00391673	3.14286e-08	6.05143e-06	0.00178225	0.35
4	192	0.295641	4.47761	5.91714e-06	1.582e-05	0	0.00391703	3.14286e-08	6.03429e-06	0.00178242	0.35
5	192	0.245128	7.69231	5.99714e-06	1.65343e-05	0	0.00358536	2.85714e-08	6.14857e-06	0.00248729	0.31
5	192	0.245053	7.69231	5.98e-06	1.658e-05	0	0.00358563	2.85714e-08	6.12571e-06	0.00248689	0.29
5	192	0.2451	7.69231	6.00857e-06	1.652e-05	0	0.00358569	2.85714e-08	6.14571e-06	0.00248703	0.29
5	192	0.245058	7.69231	5.98e-06	1.64771e-05	0	0.00358541	2.85714e-08	6.16286e-06	0.0024869	0.29
5	192	0.245068	7.69231	6e-06	1.64914e-05	0	0.00358585	2.85714e-08	6.12286e-06	0.00248732	0.29
5	192	0.245114	7.69231	5.98571e-06	1.65886e-05	0	0.00358553	2.85714e-08	6.19143e-06	0.00248731	0.29
5	192	0.245188	7.69231	5.97143e-06	1.65686e-05	0	0.00358689	2.85714e-08	6.10857e-06	0.00248726	0.29
5	192	0.245055	7.69231	5.93143e-06	1.64857e-05	0	0.00358579	2.85714e-08	6.15714e-06	0.00248699	0.29
5	192	0.245076	7.69231	6.03429e-06	1.65543e-05	0	0.00358521	2.85714e-08	6.13714e-06	0.00248677	0.29
5	192	0.245053	7.69231	5.98571e-06	1.65086e-05	0	0.00358506	2.85714e-08	6.16857e-06	0.00248712	0.29
6	192	0.282596	11.9266	6.73714e-06	1.834e-05	0	0.00419073	3.14286e-08	6.91714e-06	0.00380482	0.35
6	192	0.282621	11.9266	6.69429e-06	1.84286e-05	0	0.00419072	3.14286e-08	6.90571e-06	0.00380444	0.33
6	192	0.282755	11.9266	6.71714e-06	1.83943e-05	0	0.00419176	3.42857e-08	7.00857e-06	0.00380711	0.34
6	192	0.284303	11.9266	6.38857e-06	1.60229e-05	0	0.00409823	3.14286e-08	6.43429e-06	0.0039486	0.33
6	192	0.282698	11.9266	6.72857e-06	1.84029e-05	0	0.00419136	3.42857e-08	6.92e-06	0.00380547	0.33
6	192	0.284268	11.9266	6.35429e-06	1.61429e-05	0	0.00409569	3.14286e-08	6.35714e-06	0.00394999	0.34
6	192	0.284244	11.9266	6.38e-06	1.60571e-05	0	0.00409515	3.14286e-08	6.38857e-06	0.00394969	0.34
6	192	0.282643	11.9266	6.78571e-06	1.84371e-05	0	0.0041906	3.14286e-08	6.90571e-06	0.00380555	0.33
6	192	0.282568	11.9266	6.67143e-06	1.84686e-05	0	0.0041935	3.42857e-08	6.85143e-06	0.00380459	0.34
6	192	0.284247	11.9266	6.37429e-06	1.60714e-05	0	0.00409793	3.42857e-08	6.39429e-06	0.00394784	0.34
7	192	0.224888	10.6977	6.77429e-06	1.70657e-05	0	0.00401779	3.42857e-08	6.89429e-06	0.00364167	0.30
7	192	0.224919	10.6977	6.78286e-06	1.70343e-05	0	0.00401739	3.42857e-08	6.86571e-06	0.00364194	0.28
7	192	0.224887	10.6977	6.77714e-06	1.70771e-05	0	0.00401769	3.71429e-08	6.90286e-06	0.00364136	0.27
7	192	0.224895	10.6977	6.75714e-06	1.70114e-05	0	0.00401705	3.42857e-08	6.88286e-06	0.00364197	0.27
7	192	0.224922	10.6977	6.82e-06	1.70514e-05	0	0.00401682	3.42857e-08	6.87143e-06	0.00364175	0.28
7	192	0.224829	10.6977	6.77143e-06	1.70657e-05	0	0.00401693	3.14286e-08	6.85143e-06	0.00364055	0.27
7	192	0.224844	10.6977	6.74286e-06	1.714e-05	0	0.00401627	3.14286e-08	6.89143e-06	0.00364117	0.27
7	192	0.22499	10.6977	6.72286e-06	1.704e-05	0	0.00401966	3.42857e-08	6.84e-06	0.00364256	0.26
7	192	0.224933	10.6977	6.78e-06	1.70686e-05	0	0.00401947	3.42857e-08	6.90571e-06	0.00364155	0.27
7	192	0.224916	10.6977	6.83429e-06	1.71057e-05	0	0.00401828	3.42857e-08	6.83714e-06	0.0036422	0.28
8	192	0.26195	9.43396	5.64286e-06	1.34057e-05	0	0.00583265	3.14286e-08	5.97714e-06	0.00385118	0.33
8	192	0.261899	9.43396	5.58857e-06	1.33371e-05	0	0.00583117	2.57143e-08	5.96e-06	0.00385039	0.31
8	192	0.26197	9.43396	5.60571e-06	1.33314e-05	0	0.00583432	2.57143e-08	5.90857e-06	0.00385005	0.31
8	192	0.261787	9.43396	5.52571e-06	1.326e-05	0	0.00576773	2.57143e-08	5.95143e-06	0.00385023	0.31
8	192	0.26189	9.43396	5.58286e-06	1.33943e-05	0	0.00583153	2.57143e-08	5.94e-06	0.00385095	0.31
8	192	0.261849	9.43396	5.54857e-06	1.33171e-05	0	0.00583266	3.14286e-08	5.93143e-06	0.00385102	0.31
8	192	0.261833	9.43396	5.49429e-06	1.33114e-05	0	0.00583218	2.57143e-08	5.98857e-06	0.00384939	0.31
8	192	0.261939	9.43396	5.52e-06	1.34371e-05	0	0.00583388	2.85714e-08	5.92857e-06	0.00384967	0.31
8	192	0.261882	9.43396	5.50857e-06	1.34429e-05	0	0.00583304	2.57143e-08	6.02e-06	0.0038505	0.31
8	192	0.261917	9.43396	5.51714e-06	1.33514e-05	0	0.00583202	2.85714e-08	5.96286e-06	0.00384982	0.31
9	192	0.230075	13.9013	6.91429e-06	1.784e-05	0	0.00498104	2.85714e-08	7.07429e-06	0.00509585	0.30
9	192	0.229983	13.9013	6.84286e-06	1.77543e-05	0	0.00497966	2.85714e-08	7.13714e-06	0.00509378	0.28
9	192	0.229939	13.9013	6.85714e-06	1.77714e-05	0	0.00497836	2.85714e-08	7.10857e-06	0.0050931	0.28
