N_THREADS	N_TRANSACTIONS	TIME	N_ABORTS	PROCESS_READ_TIME	PROCESS_WRITE_TIME	PROCESS_VALIDATION_TIME	PROCESS_OTHER_TIME	COMMIT_VALIDATION_TIME	COMMIT_OTHER_TIME	WASTED_TIME
1	192	0.292275	0	1.38486e-05	1.59886e-05	0	0.00146213	1.62857e-07	1.05657e-05	2.45714e-06	0.36
1	192	0.29233	0	1.38629e-05	1.59829e-05	0	0.0014624	1.62857e-07	1.05886e-05	2.43143e-06	0.35
1	192	0.29221	0	1.38486e-05	1.59971e-05	0	0.00146178	1.62857e-07	1.05829e-05	2.45143e-06	0.33
1	192	0.292356	0	1.384e-05	1.59829e-05	0	0.00146257	1.6e-07	1.05686e-05	2.45143e-06	0.34
1	192	0.292345	0	1.38486e-05	1.59829e-05	0	0.0014625	1.62857e-07	1.058e-05	2.46e-06	0.34
1	192	0.292309	0	1.38457e-05	1.60143e-05	0	0.00146229	1.62857e-07	1.058e-05	2.44286e-06	0.34
1	192	0.292323	0	1.386e-05	1.59971e-05	0	0.00146237	1.62857e-07	1.05714e-05	2.43143e-06	0.34
1	192	0.29239	0	1.38571e-05	1.59857e-05	0	0.0014627	1.62857e-07	1.058e-05	2.44857e-06	0.34
1	192	0.292299	0	1.386e-05	1.59943e-05	0	0.00146223	1.65714e-07	1.05714e-05	2.46e-06	0.34
1	192	0.29232	0	1.38686e-05	1.6e-05	0	0.00146234	1.62857e-07	1.05629e-05	2.43714e-06	0.34
2	192	0.158851	10.2804	1.49057e-05	1.70943e-05	0	0.00136721	1.6e-07	1.122e-05	0.000213651	0.22
2	192	0.158925	10.6977	1.48629e-05	1.70971e-05	0	0.00136745	1.62857e-07	1.12257e-05	0.000214274	0.21
2	192	0.15874	8.13397	1.48857e-05	1.70886e-05	0	0.00136757	1.6e-07	1.11857e-05	0.000212329	0.21
2	192	0.158807	8.57143	1.48629e-05	1.71114e-05	0	0.00136725	1.6e-07	1.12514e-05	0.000213314	0.21
2	192	0.159011	11.9266	1.48886e-05	1.70886e-05	0	0.00136739	1.62857e-07	1.124e-05	0.00021518	0.21
2	192	0.158687	7.69231	1.48686e-05	1.708e-05	0	0.00136712	1.6e-07	1.12343e-05	0.000212123	0.21
2	192	0.158548	5.41872	1.49029e-05	1.704e-05	0	0.00136729	1.6e-07	1.124e-05	0.000210583	0.21
2	192	0.159068	12.7273	1.48571e-05	1.71257e-05	0	0.00136729	1.62857e-07	1.12657e-05	0.000215849	0.21
2	192	0.158644	6.34146	1.486e-05	1.71229e-05	0	0.00136738	1.6e-07	1.12171e-05	0.000211457	0.21
2	192	0.158666	6.79612	1.49086e-05	1.70686e-05	0	0.00136711	1.6e-07	1.12314e-05	0.00021186	0.21
3	192	0.134916	19.3277	1.57943e-05	1.78114e-05	0	0.00150937	1.54286e-07	1.19686e-05	0.0005037	0.19
3	192	0.135107	23.2	1.57771e-05	1.77886e-05	0	0.00150952	1.57143e-07	1.19114e-05	0.000507471	0.19
3	192	0.135209	22.5806	1.58229e-05	1.78343e-05	0	0.00150931	1.57143e-07	1.19286e-05	0.00050828	0.19
3	192	0.135102	21.9512	1.58457e-05	1.78229e-05	0	0.001509	1.6e-07	1.198e-05	0.000506917	0.19
3	192	0.135483	25.2918	1.58514e-05	1.784e-05	0	0.00150978	1.57143e-07	1.19457e-05	0.00051212	0.19
3	192	0.134761	16.5217	1.58486e-05	1.784e-05	0	0.0015092	1.57143e-07	1.19171e-05	0.000501811	0.18
3	192	0.134983	20.6612	1.582e-05	1.77914e-05	0	0.00150913	1.54286e-07	1.19229e-05	0.000504934	0.19
3	192	0.134618	13.5135	1.58114e-05	1.786e-05	0	0.00150939	1.57143e-07	1.198e-05	0.000498811	0.19
3	192	0.135483	18.2979	1.57514e-05	1.78171e-05	0	0.00151887	1.57143e-07	1.19514e-05	0.000503417	0.19
3	192	0.134942	20	1.58571e-05	1.782e-05	0	0.0015093	1.57143e-07	1.192e-05	0.000504051	0.19
4	192	0.118396	24.4094	1.89143e-05	2.18343e-05	0	0.00146125	1.6e-07	1.42429e-05	0.000891274	0.19
4	192	0.136463	24.1107	1.87571e-05	2.29e-05	0	0.00169249	1.62857e-07	1.412e-05	0.00101016	0.17
4	192	0.136008	16.5217	1.88314e-05	2.29857e-05	0	0.00169302	1.62857e-07	1.414e-05	0.00100009	0.19
4	192	0.136369	23.506	1.888e-05	2.28686e-05	0	0.00169247	1.57143e-07	1.41257e-05	0.00100829	0.19
4	192	0.136428	23.506	1.88686e-05	2.28743e-05	0	0.00169363	1.62857e-07	1.40257e-05	0.00100839	0.19
4	192	0.136256	23.2	1.88857e-05	2.30057e-05	0	0.00169026	1.6e-07	1.41914e-05	0.00100771	0.19
4	192	0.136711	29.6703	1.87629e-05	2.29171e-05	0	0.00169206	1.6e-07	1.40229e-05	0.00101648	0.19
4	192	0.118703	29.4118	1.87686e-05	2.17571e-05	0	0.00146144	1.57143e-07	1.41857e-05	0.000897191	0.17
4	192	0.12354	29.6703	1.93086e-05	2.33743e-05	0	0.00142492	1.57143e-07	1.44514e-05	0.00103234	0.17
4	192	0.136826	30.6859	1.89171e-05	2.29314e-05	0	0.00169262	1.57143e-07	1.40857e-05	0.00101788	0.19
5	192	0.112815	51.0204	2.22571e-05	2.53029e-05	0	0.00170538	1.57143e-07	1.65543e-05	0.00109425	0.19
5	192	0.125915	33.101	2.218e-05	2.61914e-05	0	0.00196151	1.62857e-07	1.65943e-05	0.00114047	0.18
5	192	0.110709	34.9153	2.24171e-05	2.528e-05	0	0.00171251	1.57143e-07	1.66629e-05	0.00103171	0.16
5	192	0.125154	23.506	2.234e-05	2.63857e-05	0	0.00195729	1.54286e-07	1.68057e-05	0.00112535	0.17
5	192	0.125366	24.1107	2.22229e-05	2.628e-05	0	0.00196058	1.6e-07	1.67771e-05	0.00112741	0.18
5	192	0.11125	40.1869	2.23743e-05	2.53457e-05	0	0.00171357	1.57143e-07	1.68343e-05	0.00104425	0.16
5	192	0.110404	26.4368	2.23714e-05	2.53771e-05	0	0.0017177	1.57143e-07	1.67686e-05	0.00101917	0.16
5	192	0.126554	37.4593	2.21143e-05	2.62543e-05	0	0.00196684	1.57143e-07	1.64629e-05	0.0011501	0.17
5	192	0.110305	29.6703	2.23857e-05	2.536e-05	0	0.00171255	1.57143e-07	1.68143e-05	0.00102276	0.16
5	192	0.110879	31.9149	2.24629e-05	2.55886e-05	0	0.00170588	1.54286e-07	1.688e-05	0.00104263	0.16
6	192	0.117659	29.927	2.56257e-05	2.752e-05	0	0.00233043	1.54286e-07	1.92943e-05	0.00112228	0.19
6	192	0.138355	64.7706	2.666e-05	3.04714e-05	0	0.00207096	1.6e-07	1.96429e-05	0.00207919	0.19
6	192	0.119417	48.248	2.55886e-05	2.75e-05	0	0.00233032	1.57143e-07	1.92571e-05	0.00117432	0.17
6	192	0.130576	40.7407	2.67971e-05	3.01943e-05	0	0.00206019	1.6e-07	1.98771e-05	0.00184378	0.18
6	192	0.119715	48.9362	2.63886e-05	2.96571e-05	0	0.00210628	1.6e-07	1.98257e-05	0.00146153	0.17
6	192	0.117467	28.0899	2.566e-05	2.75457e-05	0	0.00232592	1.54286e-07	1.93457e-05	0.00111834	0.16
6	192	0.118438	43.1953	2.55286e-05	2.72686e-05	0	0.00232006	1.54286e-07	1.91714e-05	0.00115703	0.17
6	192	0.138787	50.8951	2.65514e-05	3.03914e-05	0	0.00208379	1.54286e-07	1.96714e-05	0.00207749	0.19
6	192	0.118897	46.2185	2.55314e-05	2.73086e-05	0	0.0023227	1.57143e-07	1.91086e-05	0.00116858	0.17
6	192	0.134594	38.8535	2.67086e-05	3.06657e-05	0	0.00207249	1.6e-07	1.99371e-05	0.00195603	0.18
7	192	0.133954	56.8539	3.036e-05	3.17686e-05	0	0.00270907	1.62857e-07	2.27314e-05	0.00191827	0.21
7	192	0.139505	69.7161	3.12886e-05	3.48429e-05	0	0.0024342	1.6e-07	2.34657e-05	0.00244508	0.19
7	192	0.138748	67.6768	3.14029e-05	3.47971e-05	0	0.00242796	1.57143e-07	2.34571e-05	0.00242201	0.19
7	192	0.134079	78.427	3.07343e-05	3.29257e-05	0	0.0025675	1.57143e-07	2.28171e-05	0.00209806	0.18
7	192	0.125869	51.8797	3.07229e-05	3.30143e-05	0	0.00257567	1.57143e-07	2.31343e-05	0.00179281	0.18
7	192	0.130796	38.2637	3.02914e-05	3.17686e-05	0	0.00270827	1.62857e-07	2.27229e-05	0.00178608	0.18
7	192	0.134413	63.6364	3.02571e-05	3.16771e-05	0	0.00270981	1.54286e-07	2.26571e-05	0.00191821	0.18
7	192	0.131991	74.3658	3.09114e-05	3.29857e-05	0	0.00257254	1.57143e-07	2.29371e-05	0.00201833	0.19
7	192	0.138937	76.5281	3.008e-05	3.162e-05	0	0.00270521	1.6e-07	2.24e-05	0.00210423	0.18
7	192	0.134182	56.0641	3.03743e-05	3.174e-05	0	0.00270692	1.6e-07	2.26029e-05	0.0019121	0.18
8	192	0.150453	54.067	3.678e-05	4.19114e-05	0	0.00273907	1.54286e-07	2.74943e-05	0.00328567	0.22
8	192	0.165768	87.9397	3.61286e-05	3.95657e-05	0	0.00263161	1.62857e-07	2.64971e-05	0.00402184	0.21
8	192	0.150557	81.6444	3.59971e-05	4.13629e-05	0	0.00272029	1.54286e-07	2.70486e-05	0.00329113	0.20
8	192	0.172923	89.2013	3.65714e-05	4.18086e-05	0	0.00271383	1.57143e-07	2.73686e-05	0.00424089	0.22
8	192	0.154324	86.3733	3.61429e-05	4.00514e-05	0	0.00266636	1.57143e-07	2.67914e-05	0.00348206	0.20
8	192	0.158468	82.5455	3.61571e-05	4.00771e-05	0	0.00260932	1.6e-07	2.66943e-05	0.00372373	0.21
8	192	0.149204	81.6092	3.50114e-05	3.758e-05	0	0.00263164	1.57143e-07	2.61943e-05	0.00333918	0.20
8	192	0.147142	80.5865	3.54371e-05	3.76057e-05	0	0.0028811	1.6e-07	2.61743e-05	0.00299691	0.19
8	192	0.167023	88.4546	3.61686e-05	4.01686e-05	0	0.00263094	1.6e-07	2.67e-05	0.00408299	0.22
8	192	0.163759	84.8341	3.64857e-05	4.14943e-05	0	0.00269331	1.6e-07	2.672e-05	0.00388243	0.22
9	192	0.182703	91.7808	3.97314e-05	4.57486e-05	0	0.00282464	1.54286e-07	2.87686e-05	0.00541795	0.25
9	192	0.154377	88.5236	4.03029e-05	4.45171e-05	0	0.00299819	1.57143e-07	2.94229e-05	0.00395476	0.20
9	192	0.188191	94.8977	3.898e-05	4.35829e-05	0	0.00293689	1.51429e-07	2.804e-05	0.00560757	0.24
9	192	0.170528	92.0133	4.04771e-05	4.54286e-05	0	0.0029126	1.54286e-07	2.96286e-05	0.00479519	0.22
9	192	0.173396	90.4478	4.134e-05	4.79229e-05	0	0.00318759	1.6e-07	3.04657e-05	0.00464611	0.22
9	192	0.201119	95.7681	3.82743e-05	4.29543e-05	0	0.00291814	1.54286e-07	2.74771e-05	0.00623147	0.25
9	192	0.154046	87.1658	4.10114e-05	4.588e-05	0	0.00291509	1.54286e-07	2.98714e-05	0.00401103	0.21
9	192	0.161719	91.0112	4.048e-05	4.45371e-05	0	0.00298868	1.54286e-07	2.89771e-05	0.00430404	0.22
9	192	0.167396	89.9371	3.95829e-05	4.14114e-05	0	0.00312605	1.6e-07	2.87971e-05	0.00443309	0.21
9	192	0.182635	94.1356	3.94e-05	4.50171e-05	0	0.00284825	1.54286e-07	2.84657e-05	0.00543292	0.24
10	192	0.172365	90.6341	4.51657e-05	4.77914e-05	0	0.00364116	1.48571e-07	3.26343e-05	0.00500254	0.24
10	192	0.154304	86.8132	4.56114e-05	4.97886e-05	0	0.00336513	1.51429e-07	3.38657e-05	0.00434043	0.21
10	192	0.178651	91.4629	4.38057e-05	4.61371e-05	0	0.00358833	1.51429e-07	3.2e-05	0.00535017	0.23
10	192	0.20697	95.7276	4.31371e-05	4.714e-05	0	0.00325178	1.57143e-07	3.08657e-05	0.00720487	0.26
10	192	0.177477	92.4617	4.45086e-05	4.89114e-05	0	0.0033866	1.54286e-07	3.22457e-05	0.00552787	0.23
10	192	0.206147	95.513	4.38314e-05	4.68886e-05	0	0.0035705	1.54286e-07	3.16114e-05	0.00685028	0.26
10	192	0.192323	94.8649	4.48743e-05	4.964e-05	0	0.00330617	1.51429e-07	3.22371e-05	0.0063929	0.25
10	192	0.209402	95.4653	4.37971e-05	4.766e-05	0	0.00333809	1.51429e-07	3.2e-05	0.00725083	0.26
10	192	0.178496	92.0133	4.48714e-05	4.79714e-05	0	0.00371501	1.54286e-07	3.32543e-05	0.00524494	0.23
10	192	0.186217	93.9413	4.46857e-05	4.82e-05	0	0.00335908	1.51429e-07	3.29057e-05	0.00601976	0.24
11	192	0.226439	95.7858	4.942e-05	5.722e-05	0	0.00385505	1.54286e-07	3.594e-05	0.00873153	0.30
11	192	0.282356	97.6202	4.71286e-05	5.582e-05	0	0.00370737	1.48571e-07	3.44229e-05	0.0120972	0.34
11	192	0.225049	94.6309	4.86743e-05	5.278e-05	0	0.00409871	1.54286e-07	3.58514e-05	0.00841705	0.28
11	192	0.208556	94.1677	4.94629e-05	5.368e-05	0	0.00400989	1.57143e-07	3.61286e-05	0.00756001	0.27
11	192	0.266794	96.9402	4.79829e-05	5.87829e-05	0	0.0037066	1.51429e-07	3.47857e-05	0.0112242	0.32
11	192	0.273133	97.0251	4.61171e-05	5.16371e-05	0	0.0040105	1.57143e-07	3.33914e-05	0.0112951	0.32
11	192	0.291564	97.2731	4.82629e-05	5.35e-05	0	0.00404966	1.57143e-07	3.42714e-05	0.0123093	0.34
11	192	0.260974	96.7693	4.65886e-05	5.13686e-05	0	0.00397167	1.54286e-07	3.34029e-05	0.0106176	0.32
11	192	0.233692	96.1173	4.75743e-05	5.25286e-05	0	0.00389985	1.57143e-07	3.41086e-05	0.0091157	0.29
11	192	0.258909	96.6603	4.618e-05	5.158e-05	0	0.00398233	1.54286e-07	3.34343e-05	0.0104844	0.31
12	192	0.31768	97.8466	4.95543e-05	5.60971e-05	0	0.00422391	1.54286e-07	3.56257e-05	0.0152448	0.39
12	192	0.299156	97.3181	5.44114e-05	6.336e-05	0	0.00429998	1.54286e-07	3.97343e-05	0.0139759	0.36
12	192	0.225343	91.5269	5.40714e-05	5.78343e-05	0	0.00419619	1.48571e-07	4.04086e-05	0.00946021	0.28
12	192	0.291667	97.428	5.07086e-05	5.706e-05	0	0.00437235	1.54286e-07	3.72143e-05	0.0134477	0.35
12	192	0.301677	97.5681	5.18029e-05	6.22057e-05	0	0.00437377	1.51429e-07	3.77314e-05	0.014065	0.36
12	192	0.29219	97.4166	5.25086e-05	5.70743e-05	0	0.0043027	1.6e-07	3.80686e-05	0.0135386	0.35
12	192	0.288643	97.398	5.08771e-05	5.678e-05	0	0.0043935	1.51429e-07	3.68829e-05	0.0132723	0.34
12	192	0.239941	95.6174	5.44914e-05	5.81657e-05	0	0.00451558	1.54286e-07	4.066e-05	0.0100919	0.30
12	192	0.22512	94.8415	5.406e-05	5.82286e-05	0	0.00422188	1.54286e-07	3.93086e-05	0.00942209	0.28
12	192	0.29667	97.4931	5.35143e-05	5.76429e-05	0	0.00447293	1.48571e-07	3.83571e-05	0.013653	0.35
