N_THREADS	N_TRANSACTIONS	TIME	N_ABORTS	PROCESS_READ_TIME	PROCESS_WRITE_TIME	PROCESS_VALIDATION_TIME	PROCESS_OTHER_TIME	COMMIT_VALIDATION_TIME	COMMIT_OTHER_TIME	WASTED_TIME
1	128	16.0871	0	6.14086e-05	0.000238237	0	0.0294082	2.48571e-07	4.60371e-05	2.42286e-06
1	128	16.0823	0	6.12343e-05	0.000238094	0	0.0293709	2.51429e-07	4.57486e-05	2.42571e-06
1	128	16.0867	0	6.12771e-05	0.000238194	0	0.0294049	2.51429e-07	4.60257e-05	2.43429e-06
1	128	16.0823	0	6.13314e-05	0.000238174	0	0.0293711	2.48571e-07	4.57257e-05	2.40571e-06
1	128	16.0868	0	6.13171e-05	0.000238297	0	0.0294053	2.48571e-07	4.606e-05	2.44571e-06
1	128	16.0824	0	6.12914e-05	0.000238154	0	0.0293721	2.51429e-07	4.57029e-05	2.44286e-06
1	128	16.0853	0	6.13086e-05	0.000238069	0	0.0293945	2.45714e-07	4.59171e-05	2.43143e-06
1	128	16.0826	0	6.124e-05	0.000238286	0	0.029373	2.48571e-07	4.57371e-05	2.43714e-06
1	128	16.0826	0	6.12257e-05	0.000238109	0	0.0293733	2.48571e-07	4.57143e-05	2.42571e-06
1	128	16.0823	0	6.12914e-05	0.000238171	0	0.0293709	2.51429e-07	4.57286e-05	2.46286e-06
2	128	10.1254	11.7241	6.23514e-05	0.000242011	0	0.126866	2.48571e-07	4.63914e-05	0.0304421
2	128	10.1268	7.91367	6.23857e-05	0.000242251	0	0.126885	2.48571e-07	4.64486e-05	0.0304444
2	128	10.1265	12.9252	6.23629e-05	0.000242186	0	0.126877	2.48571e-07	4.63457e-05	0.0304465
2	128	10.1269	7.91367	6.23514e-05	0.000242231	0	0.126886	2.48571e-07	4.64171e-05	0.0304435
2	128	10.1275	7.91367	6.23514e-05	0.000242071	0	0.126894	2.51429e-07	4.64829e-05	0.030446
2	128	10.1264	7.91367	6.23143e-05	0.000242154	0	0.126879	2.45714e-07	4.63114e-05	0.0304423
2	128	10.1272	9.21986	6.23571e-05	0.000242249	0	0.12689	2.48571e-07	4.64057e-05	0.0304466
2	128	10.1265	10.4895	6.24286e-05	0.000242174	0	0.126879	2.51429e-07	4.63257e-05	0.0304439
2	128	10.1268	9.21986	6.23171e-05	0.00024214	0	0.126885	2.48571e-07	4.64229e-05	0.0304453
2	128	10.1263	10.4895	6.24171e-05	0.000242237	0	0.126878	2.48571e-07	4.62886e-05	0.0304447
3	128	7.85335	17.4194	6.05057e-05	0.000226297	0	0.127509	2.45714e-07	4.49486e-05	0.0541077
3	128	7.85347	17.4194	6.05886e-05	0.000226226	0	0.127508	2.48571e-07	4.49686e-05	0.0541064
3	128	7.85298	19.4969	6.064e-05	0.00022646	0	0.127499	2.42857e-07	4.49257e-05	0.0541067
3	128	7.85315	20.4969	6.05714e-05	0.000226477	0	0.127501	2.48571e-07	4.49829e-05	0.0541083
3	128	7.85317	20.4969	6.05771e-05	0.000226229	0	0.127502	2.45714e-07	4.48629e-05	0.0541075
3	128	7.85292	19.4969	6.05171e-05	0.00022644	0	0.127498	2.45714e-07	4.49371e-05	0.0541068
3	128	7.85301	20.4969	6.05714e-05	0.000226471	0	0.127501	2.48571e-07	4.48857e-05	0.0541074
3	128	7.85321	19.4969	6.05943e-05	0.000226277	0	0.127501	2.42857e-07	4.502e-05	0.0541059
3	128	7.85322	19.4969	6.05571e-05	0.000226431	0	0.127499	2.45714e-07	4.48943e-05	0.0541071
3	128	7.85317	20.9877	6.06143e-05	0.0002263	0	0.127501	2.48571e-07	4.48971e-05	0.054109
4	128	6.26965	26.0116	6.25e-05	0.000235903	0	0.125545	2.42857e-07	4.63229e-05	0.0560567
4	128	6.2709	16.8831	6.26771e-05	0.00023576	0	0.125576	2.45714e-07	4.64286e-05	0.056056
4	128	6.82417	28.4916	6.22171e-05	0.000229257	0	0.125457	2.42857e-07	4.60286e-05	0.0723043
4	128	6.8243	28.4916	6.22914e-05	0.00022898	0	0.125456	2.45714e-07	4.60029e-05	0.0723074
4	128	6.82411	27.2727	6.21229e-05	0.000229326	0	0.125457	2.48571e-07	4.59771e-05	0.0723026
4	128	6.82393	26.4368	6.22e-05	0.000229271	0	0.125455	2.45714e-07	4.59714e-05	0.0723026
4	128	6.82479	31.5508	6.23629e-05	0.000229026	0	0.125462	2.45714e-07	4.59657e-05	0.0723135
4	128	6.27044	20.9877	6.26514e-05	0.000235823	0	0.125563	2.42857e-07	4.64086e-05	0.0560569
4	128	6.82423	28.4916	6.22029e-05	0.000229163	0	0.125447	2.42857e-07	4.59486e-05	0.0723048
4	128	6.8244	25.5814	6.23029e-05	0.000229143	0	0.12546	2.42857e-07	4.60514e-05	0.0723021
5	128	6.37955	32.6316	6.43114e-05	0.000238786	0	0.127661	2.42857e-07	4.76743e-05	0.0988681
5	128	6.38041	29.2818	6.44229e-05	0.00023896	0	0.127674	2.45714e-07	4.76371e-05	0.0988723
5	128	6.37983	29.2818	6.44057e-05	0.000238783	0	0.127673	2.48571e-07	4.75314e-05	0.0988636
5	128	6.37973	35.0254	6.43886e-05	0.00023894	0	0.127664	2.45714e-07	4.73543e-05	0.098873
5	128	6.38105	50.3876	6.43114e-05	0.000238377	0	0.12766	2.48571e-07	4.74286e-05	0.0989173
5	128	6.38052	36.9458	6.438e-05	0.000238994	0	0.12767	2.48571e-07	4.76429e-05	0.0988827
5	128	6.38008	36.9458	6.46371e-05	0.000238686	0	0.127669	2.4e-07	4.75429e-05	0.098877
5	128	6.37968	31.5508	6.45057e-05	0.000238666	0	0.127667	2.48571e-07	4.75057e-05	0.0988632
5	128	6.37948	31.5508	6.45429e-05	0.000239051	0	0.127666	2.45714e-07	4.72743e-05	0.0988683
5	128	6.37819	27.6836	6.45343e-05	0.000238997	0	0.127643	2.45714e-07	4.75429e-05	0.0988408
